,https://roic.ai/company/MTCH,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,5700000,9400000,8200000,3500000,94500000,218100000,213000000,67838000,-216423000,86753000,400183000,232506000,344229000,253371000,-159564000,-61961000,-1058506000,49795000,197762000,323568000,426203000,378727000,179588000,-32625000,188466000,565139000,581333000,745715000,851679000
18,Operating Income ratio,0.1234,0.2017,0.1712,0.0465,0.0749,0.0828,0.0658,0.0147,-0.0624,0.0188,0.0632,0.0375,0.0598,0.0404,-0.0250,-0.0429,-0.7694,0.0304,0.0960,0.1155,0.1410,0.1218,0.0556,-0.0104,0.0570,0.1326,0.1222,0.3118,0.2855
19,Total Other Income Expenses (Gains),-11800000,-8800000,-7000000,-8100000,-40300000,-13600000,-149700000,-43557000,32074000,-39725000,-202835000,132441000,645227000,46007000,87486000,155444000,90975000,-27109000,-26240000,-34506000,-9902000,-108798000,-36715000,-48649000,-121508000,196419000,-86822000,-158930000,-595531000
20,Income Before Tax,-6100000,600000,1200000,-4600000,54200000,204500000,63300000,24281000,-184349000,47028000,197348000,364947000,989456000,299378000,-72078000,93483000,-967531000,22686000,171522000,289062000,416301000,269929000,142873000,-81274000,66958000,761558000,494511000,586785000,256148000
21,Income Before Tax Ratio,-0.1320,0.0129,0.0251,-0.0612,0.0430,0.0776,0.0196,0.0053,-0.0531,0.0102,0.0312,0.0589,0.1720,0.0477,-0.0113,0.0647,-0.7033,0.0139,0.0833,0.1032,0.1377,0.0868,0.0442,-0.0259,0.0202,0.1786,0.1040,0.2454,0.0859
22,Income Tax expense (Gain),300000,1500000,1100000,1900000,41100000,127600000,90900000,112869000,2450000,5572000,70691000,179186000,391069000,125137000,138052000,-37697000,1485000,32079000,-4047000,119215000,134502000,35372000,29516000,-64934000,-291050000,3811000,-49309000,32874000,-19897000
23,Net Income,-6400000,-3900000,- -,-6500000,13100000,76900000,-27600000,-147983000,392795000,1953103000,167396000,164861000,876150000,192635000,-144069000,-156201000,-978822000,99359000,174233000,159266000,285784000,414873000,119472000,-41280000,304924000,626961000,431131000,128561000,277723000
24,Net Income ratio,-0.1385,-0.0837,- -,-0.0864,0.0104,0.0292,-0.0085,-0.0322,0.1132,0.4226,0.0265,0.0266,0.1523,0.0307,-0.0226,-0.1081,-0.7115,0.0607,0.0846,0.0569,0.0945,0.1334,0.0370,-0.0131,0.0922,0.1471,0.0906,0.0538,0.0931
25,EPS,-0.17,-0.11,0.01,-0.28,0.06,0.50,-0.07,-0.76,1.91,8.43,0.48,0.41,2.45,0.58,-0.46,-0.52,-3.27,0.43,0.93,0.86,1.58,2.31,0.67,-0.24,1.77,3.48,2.37,0.73,1.07
26,EPS Diluted,-0.17,-0.11,0.01,-0.28,0.06,0.40,-0.07,-0.76,1.11,8.41,0.43,0.37,2.28,0.56,-0.46,-0.52,-3.27,0.43,0.86,0.79,1.52,2.17,0.62,-0.24,1.47,3.05,2.08,0.66,1.07
27,Weighted Average Shares Outstanding,19103998,19207601,21584000,99756931,120747371,140296000,372324000,194760065,205778817,230230598,320316937,372343622,354914542,329986813,310958530,301852240,299247791,230598350,187251992,186155524,180183232,179777452,179026329,172769128,172864097,179951147,181748662,223433000,276955000
28,Weighted Average Shares Outstanding Diluted,19103998,19207601,21584000,99756931,120747371,200422857,372324000,194760065,233484920,230737714,362097407,409577984,380883899,346486153,310958530,310757798,299247791,230598350,203582446,200923297,187223932,191143587,190515492,172769128,184133104,205346377,206789589,256020000,316951000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1575189/000157518917000003/0001575189-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1575189/000157518918000019/0001575189-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1575189/000157518919000020/0001575189-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110320000004/0000891103-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110321000014/0000891103-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110322000020/0000891103-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,3077410000,899062000,1157462000,987080000,1428140000,1585302000,1744994000,1245997000,742099000,704153000,749977000,1100444000,990405000,1481447000,1329187000,1630809000,2131632000,3139295000,739164000,815384000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,849762000,2419735000,2409745000,1488058000,897742000,326788000,125592000,487591000,563997000,165695000,20604000,6004000,160648000,39200000,89342000,4995000,123665000,19993000,347976000,11818000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3927172000,3318797000,3567207000,2475138000,2325882000,1912090000,1870586000,1733588000,1306096000,869848000,770581000,1106448000,1151053000,1520647000,1418529000,1635804000,2255297000,3159288000,1087140000,827202000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,310811000,429424000,550867000,487968000,528505000,483336000,213544000,101834000,119581000,177030000,257267000,219650000,240591000,276870000,261490000,337266000,359138000,379190000,137023000,188482000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,197584000,215995000,240977000,337186000,362196000,331970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,186655000,250760000,525701000,693236000,595754000,560033000,102656000,164627000,118308000,112255000,128902000,149288000,162237000,147493000,162716000,152135000,148304000,168511000,-203951000,202568000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4622222000,4214976000,4884752000,3993528000,3812337000,3287429000,2186786000,2000049000,1543985000,1159133000,1156750000,1475386000,1553881000,1945010000,1842735000,2125205000,2762739000,3706989000,1020212000,1218252000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,431455000,473177000,514517000,567408000,612161000,651474000,326961000,297412000,267928000,259588000,270512000,293964000,302459000,302817000,306248000,315170000,318800000,539154000,107799000,163256000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7351700000,6972697000,6473014000,1910295000,999355000,989493000,1358524000,1616154000,1675323000,1754926000,2245364000,1924052000,2559066000,2726859000,2854462000,1270532000,2411996000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7255912000,13795657000,13767409000,1558188000,1463997000,1404897000,386756000,261172000,245044000,378107000,482904000,445336000,491936000,440828000,355451000,663737000,631422000,578474000,230900000,771697000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7255912000,13795657000,13767409000,8909888000,8436694000,7877911000,2297051000,1260527000,1234537000,1736631000,2099058000,2120659000,2246862000,2686192000,2279503000,3222803000,3358281000,3432936000,1501432000,3183693000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272930000,200721000,173752000,161278000,179990000,114983000,137386000,122810000,64977000,235055000,353052000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171932000,- -,- -,- -,- -,- -,- -,- -,- -,66321000,64786000,167054000,224013000,334937000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3353524000,3102778000,3232187000,446941000,333231000,707706000,267868000,184971000,192383000,80761000,118230000,164685000,56693000,138545000,94577000,73334000,134924000,133640000,123524000,163150000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11040891000,17371612000,17514113000,9924237000,9382086000,9237091000,3063812000,2015840000,1895569000,2250732000,2649078000,2759298000,2720997000,3264940000,2803138000,3742605000,4111846000,4625836000,1956768000,3845036000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15663113000,21586588000,22398865000,13917765000,13194423000,12524520000,5250598000,4015889000,3439554000,3409865000,3805828000,4234684000,4274878000,5209950000,4645873000,5867810000,6874585000,8332825000,2976980000,5063288000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,460815000,829979000,988795000,596491000,592428000,692819000,52833000,39173000,56375000,64398000,98314000,77653000,81163000,86883000,62863000,76571000,74907000,94356000,29200000,37871000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,13750000,13750000,13750000,13750000,99927000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6410000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,264902000,180229000,104611000,123267000,147120000,171650000,50886000,57822000,78175000,126297000,155499000,158206000,194988000,258412000,285615000,342483000,360015000,397490000,239088000,262131000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,815739000,867973000,1552309000,1513239000,1513641000,824343000,182285000,193282000,222323000,343490000,371076000,351038000,397803000,423251000,344910000,366924000,434886000,502003000,217998000,768366000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1541456000,1878181000,2645715000,2232997000,2253189000,1688812000,286004000,290277000,356873000,534185000,624889000,586897000,673954000,768546000,713388000,799728000,883558000,1007599000,500036000,1168295000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1211145000,1120097000,796715000,1181968000,857103000,834566000,95844000,95844000,95844000,95844000,580000000,1080000000,1080000000,1748213000,1582484000,1979469000,2245548000,3121572000,3534706000,3829421000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2385006000,2565415000,2479099000,1265530000,1129994000,938786000,- -,450129000,- -,302213000,323403000,320748000,409529000,348773000,228798000,35070000,23600000,21388000,17213000,130261000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1519542000,1496511000,1580110000,928000,160263000,438213000,418443000,51813000,496035000,467134000,569901000,517638000,118253000,128593000,110533000,106720000,170078000,283948000,101650000,129893000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5115693000,5182023000,4855924000,2448426000,2147360000,2211565000,514287000,597786000,591879000,865191000,1473304000,1918386000,1607782000,2225579000,1921815000,2121259000,2439226000,3426908000,3653569000,4089575000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6657149000,7060204000,7501639000,4681423000,4400549000,3900377000,800291000,888063000,948752000,1399376000,2098193000,2505283000,2281736000,2994125000,2635203000,2920987000,3322784000,4434507000,4153605000,5257870000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000,131000,131000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,4498000,6951000,7616000,431000,442000,449000,226000,239000,242000,250000,267000,267000,268000,270000,272000,277000,278000,279000,267000,283000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,2122611000,2276952000,2428760000,128076000,320711000,567820000,227445000,-751377000,-652018000,-477785000,-318519000,-32735000,325118000,331394000,290114000,595038000,1258794000,1689925000,-8491126000,-8144514000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-437401000,-575446000,-707780000,-684491000,-664597000,-728703000,-190010000,-179606000,-199446000,-218081000,-232911000,-265298000,-279534000,-284494000,-166000000,-104000000,-129000000,-136000000,-81454000,-223754000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6241624000,12706997000,12876577000,9786812000,9112437000,8744096000,4389875000,4058570000,3282155000,2600665000,2206891000,1984502000,1946101000,1757356000,1744836000,1938713000,1713053000,1373838000,7394646000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,7931463000,14415585000,14605304000,9230828000,8768993000,8583662000,4427536000,3127826000,2430933000,1905049000,1655728000,1686736000,1991953000,1804526000,1869222000,2430028000,2843125000,2928042000,-1177667000,-203769000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,14588612000,21475789000,22106943000,13912251000,13169542000,12484039000,5227827000,4015889000,3379685000,3304425000,3753921000,4192019000,4273689000,4798651000,4504425000,5351015000,6165909000,7362549000,2975938000,5054101000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1074501000,110799000,291922000,5514000,24881000,40481000,22771000,- -,59869000,105440000,51907000,42665000,1189000,411299000,141448000,516795000,708676000,970276000,1042000,9187000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,15663113000,21586588000,22398865000,13917765000,13194423000,12524520000,5250598000,4015889000,3439554000,3409865000,3805828000,4234684000,4274878000,5209950000,4645873000,5867810000,6874585000,8332825000,2976980000,5063288000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1575189/000157518917000003/0001575189-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1575189/000157518918000019/0001575189-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1575189/000157518919000020/0001575189-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110320000004/0000891103-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110321000014/0000891103-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110322000020/0000891103-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6400000,-3900000,- -,-6500000,13100000,76900000,-27600000,-147983000,392795000,1953103000,167396000,164861000,876150000,192635000,-144069000,-156201000,-978822000,99359000,174233000,159266000,285784000,414873000,119472000,-41280000,304924000,626961000,431131000,128561000,277723000
74,Depreciation and Amortization,17800000,15000000,14700000,19700000,99100000,767300000,942000000,1384887000,477605000,380527000,685742000,857478000,543614000,405900000,362811000,114969000,222304000,91369000,78776000,88252000,118752000,119082000,202157000,151102000,116408000,183759000,180994000,48796000,69961000
75,Deferred Income Tax,- -,3800000,200000,400000,22500000,94500000,12100000,50606000,12253000,-46913000,-169655000,-29277000,-1068829000,12048000,-65059000,-158749000,28689000,-6074000,-35483000,37076000,-9096000,76869000,-59786000,-119181000,-285278000,-34679000,-80101000,4985000,-57969000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69886000,84280000,88588000,85625000,53005000,59634000,105450000,104820000,264618000,238420000,240788000,102268000,146816000
77,Change in Working Capital,900000,- -,- -,- -,- -,- -,- -,- -,3080766000,- -,-743971000,-97758000,-478506000,-201383000,39469000,302165000,-191010000,-522660000,-562164000,-93087000,356628000,-8562000,296537000,-47117000,196130000,553704000,820209000,-2179214000,449956000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16300000,-32901000,-58314000,-30991000,10421000,-19918000,-29680000,1283000,-115169000,-34828000,-91435000,-24213000,-34021000
79,Inventory,- -,- -,- -,9900000,-37400000,-150900000,-24300000,-45767000,31128000,4243000,-6083000,-23079000,1816000,-26067000,-14754000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17414000,54188000,57228000,-14384000,-766000,5206000,8989000,-52359000,-14142000,53555000,41882000,24155000,458757000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,3080766000,3080766000,2336795000,2239037000,1760531000,1559148000,1598617000,1900782000,1709772000,1187112000,624948000,531861000,888489000,879927000,1176464000,1129347000,1325477000,1879181000,2699390000,520176000,23477000
82,Other Non-Cash Items,400000,200000,2300000,-1600000,-87000000,-711900000,-560000000,-997566000,-3665084000,-1545156000,1365156000,360396000,808933000,411394000,670143000,271881000,1176973000,589832000,628436000,77395000,-394112000,-237848000,-314425000,244033000,-180112000,-580037000,-655082000,2696786000,26012000
83,Cash Provided by Operating Activities,12700000,15100000,17200000,12000000,47700000,226800000,366500000,289944000,298335000,741561000,1304668000,1255700000,681362000,820594000,863295000,374065000,328020000,336106000,372386000,354527000,410961000,424048000,349405000,292377000,416690000,988128000,937939000,802182000,912499000
84,CAPEX,-2800000,-1900000,-1700000,-1100000,-45900000,-1487100000,-334400000,-176884000,-130536000,-165555000,-186865000,-223787000,-241469000,-251427000,-231944000,-65554000,-37922000,-39829000,-39954000,-51201000,-80311000,-57233000,-62049000,-78039000,-75523000,-85634000,-136652000,-42376000,-79971000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-227768000,-198641000,-560465000,-1092009000,-486033000,-693388000,-117580000,-191882000,-148631000,-85534000,-17333000,-278469000,-396841000,29278000,-201003000,-607989000,153825000,36684000,72223000,-40602000,- -,-859905000
86,Purchases of Investments,- -,- -,-2900000,- -,-39800000,-26600000,-69100000,-167814000,-174390000,-728589000,-497038000,-3419907000,-2191057000,-948223000,-1014367000,-237894000,-592756000,-840438000,-294215000,-90046000,-51080000,-200160000,-127604000,-414008000,-38997000,-502656000,-313302000,-9115000,- -
87,Sales/Maturities of Investments,- -,- -,300000,- -,- -,- -,107200000,- -,- -,33118000,- -,3370147000,3124145000,1543818000,1492770000,905557000,293629000,768650000,600149000,195501000,12502000,21644000,218462000,339869000,114350000,333600000,163500000,- -,- -
88,Other Investing Activites,-3000000,1000000,2900000,-1500000,3400000,320100000,-147100000,47910000,538619000,2229500000,5840000,6386000,2086005000,254498000,17273000,-21184000,-41944000,-31919000,-52651000,-60702000,-70717000,-60275000,-65590000,-66824000,-72529000,-76607000,-139125000,-4876436000,-79920000
89,Cash Used for Investing Activites,-5800000,-900000,-1400000,-2600000,-82300000,-1193600000,-443400000,-524556000,35052000,808009000,-1770072000,-753194000,2084236000,481086000,71850000,432294000,-426605000,-121040000,-25186000,-352088000,-80017000,-439794000,-582721000,12862000,39508000,-173440000,-329529000,-4885551000,-939825000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15844000,- -,-80000000,-576409000,-838636000,-14113000,-348785000,-420000000,-630658000
91,Common Stock Issued,- -,- -,5200000,1200000,7200000,936700000,426800000,303831000,93166000,239550000,1487411000,147283000,- -,93780000,- -,- -,151933000,25939000,132785000,262841000,- -,1609000,428789000,9548000,- -,- -,- -,1421801000,- -
92,Common Stock Repurchased,- -,100000,- -,- -,- -,- -,-8900000,-129907000,-1928000,-6278000,-1485955000,-430295000,-19887000,-983208000,-607140000,-156154000,-545489000,-539598000,-507765000,-691830000,-269291000,- -,-238418000,-309843000,-56424000,-216346000,-273258000,-132868000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-17369000,-10222000,-13055000,-13053000,-9569000,- -,- -,- -,- -,- -,-10668000,-68163000,-79189000,-97338000,-113196000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2700000,-12100000,-10800000,12900000,100900000,361000000,-362000000,-115578000,330561000,315283000,-641673000,36419000,-2721612000,-3018000,-194119000,-467478000,-12457000,-203551000,13415000,541453000,382246000,14749000,737633000,425639000,728936000,-82339000,1021874000,807954000,741764000
95,Cash Used/Provided by Financing Activities,2700000,-12000000,-5600000,14100000,108100000,1297700000,55900000,58346000,404430000,538333000,-653272000,-259646000,-2751068000,-892446000,-801259000,-623632000,-406013000,-717210000,-372233000,44301000,17922000,-80980000,734808000,-451065000,-166124000,-312798000,399831000,1676887000,111106000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-1500000,-100000,-2687000,-3663000,11130000,19624000,15540000,-27148000,31826000,23276000,-23035000,5601000,-1754000,-4496000,2556000,3478000,-13168000,-10298000,-6434000,11548000,-1887000,-1568000,5426000,-7570000
97,Net Change In Cash,2700000,-12000000,-5600000,14100000,108100000,1297700000,-21200000,-178953000,734154000,2099033000,-1099052000,258400000,-12618000,441060000,157162000,159692000,-498997000,-503898000,-37946000,45824000,350467000,-110039000,491042000,-152260000,301622000,500003000,1006673000,-2401056000,76210000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,424200000,244223000,978377000,3077410000,899062000,1157462000,987080000,1428140000,1585302000,1744994000,1245997000,742099000,704153000,749977000,1100444000,990405000,1481447000,1329187000,1630809000,2133685000,3140358000,739302000,815512000
99,Cash at the Beginning of Period,200000,9900000,12000000,19100000,42600000,116000000,445400000,423176000,244223000,978377000,1998114000,899062000,999698000,987080000,1428140000,1585302000,1744994000,1245997000,742099000,704153000,749977000,1100444000,990405000,1481447000,1329187000,1633682000,2133685000,3140358000,739302000
100,Free Cash Flow,9900000,13200000,15500000,10900000,1800000,-1260300000,32100000,113060000,167799000,576006000,1117803000,1031913000,439893000,569167000,631351000,308511000,290098000,296277000,332432000,303326000,330650000,366815000,287356000,214338000,341167000,902494000,801287000,759806000,832528000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1575189/000157518917000003/0001575189-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1575189/000157518918000019/0001575189-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1575189/000157518919000020/0001575189-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110320000004/0000891103-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110321000014/0000891103-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110322000020/0000891103-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
