,https://roic.ai/company/JMIA,2017,2018,2019,2020,2021
84,CAPEX,-2253000,-3535000,-5767000,-2517000,-7185000
85,Acquisitions Net,- -,- -,7841,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-399566000
87,Sales/Maturities of Investments,- -,- -,- -,61718000,- -
88,Other Investing Activites,-431000,-125000,-62050841,323000,1922000
89,Cash Used for Investing Activites,-2581000,-3633000,-67701000,60044000,-404810000
90,Debt Repayment,- -,-2244000,-3778000,-3999000,-5072000
91,Common Stock Issued,120000000,215985000,329161000,203006000,- -
92,Common Stock Repurchased,- -,-350000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1556000,-142000,-8555000,-11879000,339318000
95,Cash Used/Provided by Financing Activities,121556000,213249000,316828000,187128000,334246000
96,Effect of Forex Changes on Cash,-2060000,303000,2847000,-13820000,-15156000
97,Net Change In Cash,-61000,70907000,69386000,134880000,-256841000
98,Cash at the End of Period,29728000,100635000,170021000,304901000,117090000
99,Cash at the Beginning of Period,29789000,29728000,100635000,170021000,373931000
100,Free Cash Flow,-119229000,-142547000,-188355000,-100989000,-178306000
101,SEC Link,- -,- -,- -,- -,- -
102,false,,,,,
