,https://roic.ai/company/XTLB,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
40,Intangible Assets,- -,- -,- -,- -,39000,25000,11000,- -,- -,2540000,2457000,4886000,2865000,2498000,1037000,253000,380000,380000,380000,380000
41,Intangible Assets,- -,- -,- -,- -,39000,25000,11000,- -,- -,2540000,2457000,4886000,2865000,2498000,1037000,253000,380000,380000,380000,380000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,135000,- -,- -,2336000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,19000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,832000,943000,1321000,760000,215000,41000,23000,35000,32000,72000,61000,24000,21000,10000,- -,- -,2000,- -
45,Total Non-Current Assets,- -,- -,1885000,1851000,1360000,804000,226000,41000,158000,2575000,2489000,7294000,2926000,2522000,1058000,263000,380000,380000,382000,382000
46,Other Assets,- -,38423000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,38423000,24853000,25624000,15151000,26900000,14127000,3430000,715000,3797000,4073000,11086000,8015000,5644000,5323000,3017000,6586000,8575000,7212000,6503000
48,Accounts Payable,- -,- -,3001000,3134000,2007000,941000,2144000,416000,708000,963000,629000,596000,455000,139000,84000,15000,4000,8000,1000,2000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,399000,- -,- -,- -,- -,- -,- -,35000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,399000,399000,2062000,3225000,1588000,- -,- -,- -,1053000,729000,826000,352000,315000,296000,245000,231000,252000
53,Total Current Liabilities,- -,- -,3001000,3533000,2406000,3402000,5369000,2004000,708000,963000,629000,1649000,1219000,965000,436000,330000,300000,253000,232000,254000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1244000,2489000,1493000,738000,194000,- -,- -,- -,- -,13000,11000,- -,- -,- -,2667000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,1244000,2489000,1493000,738000,194000,- -,- -,- -,- -,13000,11000,- -,- -,- -,2667000,- -,- -,- -
59,Other Liabilities,- -,3593000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9450000,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,3593000,4245000,6022000,3899000,4140000,5563000,2004000,708000,963000,629000,11086000,1230000,965000,436000,330000,2967000,253000,232000,254000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,594000,841000,864000,1072000,1444000,1445000,1445000,4993000,5335000,5997000,6093000,6198000,6606000,6624000,13182000,13182000,13182000,13182000
64,Retained Earnings,- -,- -,-69303000,-85776000,-99791000,-114923000,-139862000,-149108000,-141224000,-142142000,-143276000,-143560000,-146073000,-148322000,-152487000,-154904000,-155645000,-152588000,-153930000,-154661000
65,Other Comprehensive Income/Loss,- -,- -,14000,-2404000,-2366000,-1746000,-472000,-262000,-115000,-125000,-98000,-90000,9000,9000,20000,183000,67000,20000,20000,20000
66,Other Total Stockholders Equity,- -,34830000,89303000,106941000,112545000,138357000,147454000,149351000,139901000,140108000,141483000,145006000,146236000,146775000,150748000,150784000,146015000,147708000,147708000,147708000
67,Total Stockholders Equity,- -,34830000,20608000,19602000,11252000,22760000,8564000,1426000,7000,2834000,3444000,7353000,6265000,4660000,4887000,2687000,3619000,8322000,6980000,6249000
68,Total Liabilities And Stockholders Equity,- -,38423000,24853000,25624000,15151000,26900000,14127000,3430000,715000,3797000,4073000,18439000,7495000,5625000,5323000,3017000,6586000,8575000,7212000,6503000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7353000,520000,19000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,38423000,24853000,25624000,15151000,26900000,14127000,3430000,715000,3797000,4073000,11086000,8015000,5644000,5323000,3017000,6586000,8575000,7212000,6503000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1023549/000114420406022558/0001144204-06-022558-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420407014214/0001144204-07-014214-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420408017934/0001144204-08-017934-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420409019131/0001144204-09-019131-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420410035785/0001144204-10-035785-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420411033048/0001144204-11-033048-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420412018123/0001144204-12-018123-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420413023777/0001144204-13-023777-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420414020261/0001144204-14-020261-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420415025405/0001144204-15-025405-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420416091777/0001144204-16-091777-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420417017762/0001144204-17-017762-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000121390018003028/0001213900-18-003028-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000121390019003911/0001213900-19-003911-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000121390020006104/0001213900-20-006104-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-14288000,-16473000,-14015000,-15132000,-24939000,-9246000,2587000,-1257000,-1207000,-1390000,-2476000,-2527000,-4311000,-2545000,-781000,2986000,-1347000,-782000
74,Depreciation and Amortization,- -,- -,440000,319000,242000,243000,108000,39000,13000,42000,94000,136000,313000,53000,7000,3000,1000,- -,- -,1000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-48000,48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,345000,- -,- -,73000,1299000,-65000,278000,148000,182000,40000,24000,5000,51000
77,Change in Working Capital,- -,- -,59000,1587000,-1109000,332000,-220000,-1765000,-597000,273000,-283000,238000,-483000,-154000,-16000,-220000,52000,-8000,-50000,45000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,249000,- -,42000,3000,-50000,58000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44000,-73000,184000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-846000,278000,-325000,199000,-86000,-210000,-117000,-101000,-13000,-47000,-21000,22000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,-2000,12000,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,463000,72000,4416000,2018000,3546000,49000,-4491000,207000,11000,-1789000,212000,-120000,2311000,848000,-437000,-3818000,484000,-165000
83,Cash Provided by Operating Activities,- -,- -,-13326000,-14495000,-10466000,-12587000,-21457000,-10578000,-2488000,-735000,-1312000,-1506000,-2499000,-2470000,-1861000,-1732000,-1125000,-816000,-908000,-850000
84,CAPEX,- -,- -,-81000,-180000,-38000,-21000,-65000,-2000,- -,-16000,-12000,-1658000,-84000,-10000,-66000,-66000,- -,- -,-2000,-1000
85,Acquisitions Net,- -,- -,- -,- -,-548000,- -,- -,- -,- -,- -,- -,-925000,- -,- -,-55000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-91000,- -,- -,-20845000,- -,- -,-55000,-81000,-1377000,-170000,- -,- -,-10000,- -,-2500000,-6300000,- -,- -
87,Sales/Maturities of Investments,- -,- -,15772000,7961000,10136000,- -,10245000,10600000,- -,- -,25000,- -,3420000,1507000,- -,- -,- -,7004000,2020000,- -
88,Other Investing Activites,- -,- -,-110000,-131000,-23000,33000,458000,317000,31000,-6000,-8000,-108000,- -,- -,-43000,-64000,5000,74000,93000,33000
89,Cash Used for Investing Activites,- -,- -,15490000,7650000,9527000,-20833000,10638000,10915000,-24000,-103000,-1372000,-1209000,3336000,1499000,-110000,-66000,-2495000,778000,2111000,32000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,4000,15449000,1511000,24460000,8796000,- -,- -,1473000,1741000,2418000,283000,309000,3579000,- -,4892000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,210000,- -,7000,3000,1865000,34000,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,4000,15449000,1511000,24460000,8796000,210000,- -,1480000,1744000,4283000,317000,309000,3579000,- -,4892000,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,-3000,5000,37000,-14000,-2000,- -,-2000,4000,-3000,-6000
97,Net Change In Cash,- -,- -,2168000,8604000,572000,-8960000,-2023000,547000,-2512000,654000,-943000,1573000,1191000,-728000,1658000,-1798000,1270000,-34000,1200000,-824000
98,Cash at the End of Period,- -,- -,4184000,12788000,13360000,4400000,2377000,2924000,412000,1066000,123000,1696000,2887000,2159000,3817000,2019000,3289000,3255000,4455000,3631000
99,Cash at the Beginning of Period,- -,- -,2016000,4184000,12788000,13360000,4400000,2377000,2924000,412000,1066000,123000,1696000,2887000,2159000,3817000,2019000,3289000,3255000,4455000
100,Free Cash Flow,- -,- -,-13407000,-14675000,-10504000,-12608000,-21522000,-10580000,-2488000,-751000,-1324000,-1592000,-2583000,-2480000,-1927000,-1798000,-1125000,-816000,-910000,-851000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1023549/000114420406022558/0001144204-06-022558-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420407014214/0001144204-07-014214-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420408017934/0001144204-08-017934-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420409019131/0001144204-09-019131-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420410035785/0001144204-10-035785-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420411033048/0001144204-11-033048-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420412018123/0001144204-12-018123-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420413023777/0001144204-13-023777-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420414020261/0001144204-14-020261-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420415025405/0001144204-15-025405-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420416091777/0001144204-16-091777-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420417017762/0001144204-17-017762-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000121390018003028/0001213900-18-003028-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000121390019003911/0001213900-19-003911-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000121390020006104/0001213900-20-006104-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,
