,https://roic.ai/company/PUBC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,22000,- -,490984,939210,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,650000,171680,1523280,437597,782000,595513,1269158,- -
95,Cash Used/Provided by Financing Activities,10000,22000,- -,1011200,1093210,1523280,437597,782000,551013,1264378,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,19100,-39100,1011200,-105451,489379,-549362,1995,119,-950,- -
98,Cash at the End of Period,10000,39500,400,171720,66269,555648,6286,8281,8400,7450,- -
99,Cash at the Beginning of Period,- -,20400,39500,- -,171720,66269,555648,6286,8281,8400,7450
100,Free Cash Flow,- -,-2900,-39100,-750981,-1170732,-1033901,-783398,-780005,-550894,-1265328,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1575858/000112785514000167/0001127855-14-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000112785515000117/0001127855-15-000117-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1575858/000112785517000090/0001127855-17-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000112785518000033/0001127855-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1575858/000149315219003440/0001493152-19-003440-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000149315220003157/0001493152-20-003157-index.html,https://www.sec.gov/Archives/edgar/data/1575858/000149315221006086/0001493152-21-006086-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000149315222006914/0001493152-22-006914-index.htm
102,false,,,,,,,,,,,
