,https://roic.ai/company/CBNT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421636/000135448812001484/0001354488-12-001484-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997413000112/0001079974-13-000112-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997414000142/0001079974-14-000142-index.htm,https://www.sec.gov/Archives/edgar/data/1421636/000107997415000208/0001079974-15-000208-index.htm,https://www.sec.gov/Archives/edgar/data/1421636/000107997416001041/0001079974-16-001041-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997417000106/0001079974-17-000106-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997418000103/0001079974-18-000103-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000121390019005453/0001213900-19-005453-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000121390020007368/0001213900-20-007368-index.htm,https://www.sec.gov/Archives/edgar/data/1421636/000121390021021575/0001213900-21-021575-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,184834,293488,157243,201745,412682,430522,391056,342176,294666,239882,128567,77211,323407
32,Short-Term Investments,- -,- -,204656,205083,205296,205466,205592,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,184834,293488,361899,406828,617978,635988,596648,342176,294666,239882,128567,77211,323407
34,Net Receivables,30768,31124,31250,26250,45833,27281,7891,7891,3140,3140,91319,151989,79697
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8977,14820,77200
36,Other Current Assets,3195,3183,4683,1849,-205210,-204886,-196965,1485,1667,1433,31199,18577,56249
37,Total Current Assets,218797,327795,397832,434927,458601,458383,407574,351552,299473,244455,260062,262597,536553
38,PP&E,5462,2966,630,- -,- -,11589,6935,2280,- -,- -,57405,102584,18683
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,1573,1441,1575,457,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100346,- -,- -,- -,- -,- -,- -,- -,- -,- -,8977,7132,- -
45,Total Non-Current Assets,105808,2966,2203,1441,1575,12046,6935,2280,- -,- -,66382,109716,18683
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,324605,330761,400035,436368,460176,470429,414509,353832,299473,244455,326444,372313,555236
48,Accounts Payable,4573,- -,- -,- -,- -,- -,- -,- -,- -,- -,507058,746663,794905
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,583469,543354
50,Tax Payable,- -,- -,3653,1805,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,14775,800,15364,12805,14200,18500,15300,18000,16500,18500,234509,1369104,612562
53,Total Current Liabilities,19348,800,15364,12805,14200,18500,15300,18000,16500,18500,1141567,2699236,1950821
54,Long-Term Debt,- -,- -,- -,- -,800,700,800,800,800,800,- -,159798,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,10150,- -,- -,- -,1,1,- -,- -,- -,- -,130216,- -
58,Total Non-Current Liabilities,- -,10150,- -,- -,800,701,801,800,800,800,- -,290014,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69852,22216
61,Total Liabilities,19348,10950,15364,12805,15000,19201,16101,18800,17300,19300,1141567,2989250,35062
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000,1765477
63,Common Stock,9106,9106,9106,9106,9106,9106,9106,9106,9106,9106,80459,116750,228347
64,Retained Earnings,-70508,-55954,8906,47798,69411,75463,22643,-40733,-93592,-150610,-32759275,-40000015,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-2373,-7027,-20633,- -,- -,-124884,-149513,- -
66,Other Total Stockholders Equity,- -,366659,366659,366659,366659,369032,373686,387292,366659,366659,31988577,37415841,-3395567
67,Total Stockholders Equity,305257,319811,384671,423563,445176,451228,398408,335032,282173,225155,-815123,-2508937,-1401743
68,Total Liabilities And Stockholders Equity,324605,330761,400035,436368,460176,470429,414509,353832,299473,244455,326444,480313,-1366681
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-108000,1921917
70,Total Liabilities & Equity,324605,330761,400035,436368,460176,470429,414509,353832,299473,244455,326444,372313,555236
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421636/000135448812001484/0001354488-12-001484-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997413000112/0001079974-13-000112-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997414000142/0001079974-14-000142-index.htm,https://www.sec.gov/Archives/edgar/data/1421636/000107997415000208/0001079974-15-000208-index.htm,https://www.sec.gov/Archives/edgar/data/1421636/000107997416001041/0001079974-16-001041-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997417000106/0001079974-17-000106-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997418000103/0001079974-18-000103-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000121390019005453/0001213900-19-005453-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000121390020007368/0001213900-20-007368-index.htm,https://www.sec.gov/Archives/edgar/data/1421636/000121390021021575/0001213900-21-021575-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-41133,14554,64860,38892,21613,6052,-52820,-63376,-52859,-57018,-9904719,-7240740,-4434
74,Depreciation and Amortization,2850,2898,3269,3580,- -,2373,4654,4654,2280,- -,33718,24629,14093
75,Deferred Income Tax,- -,- -,-1573,132,-134,1118,457,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6735124,3858967,2108472
77,Change in Working Capital,-34393,127546,55473,39654,22279,-4518,-47609,-58722,-50579,-57018,-1107460,-1555134,1022371
78,Accounts Receivable,-30768,-356,-126,5000,-12962,19822,19390,- -,-1000,- -,-55542,-61662,-130188
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1516,-5843,-62380
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382067,239605,139300
81,Other Working Capital,- -,326995,382468,422122,444401,439883,392274,333552,282973,225955,-881505,-2436639,-1414268
82,Other Non-Cash Items,1,-136288,-52685,-37329,-37904,26776,55852,68564,53648,59127,2275555,3598567,-4923529
83,Cash Provided by Operating Activities,-72675,8710,69344,44929,5854,31801,-39466,-48880,-47510,-54909,-1967782,-1313711,-1783027
84,CAPEX,- -,-402,-933,- -,- -,-13961,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-920,- -,-213,-170,-126,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,199654,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-103390,- -,-427,- -,- -,- -,49878,-140,- -,187401,- -,- -
89,Cash Used for Investing Activites,199654,-103792,-1853,-427,-213,-14131,-126,49878,-140,- -,187401,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260000,-263080,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1267500,780000,821000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215424
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,855000,745435,992799
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1862500,1262355,2029223
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,126979,-95082,67491,44502,5641,17670,-39592,998,-47650,-54909,82119,-51356,246196
98,Cash at the End of Period,184834,89752,157243,201745,207386,225056,185464,186462,138812,83903,128567,77211,323407
99,Cash at the Beginning of Period,57855,184834,89752,157243,201745,207386,225056,185464,186462,138812,46448,128567,77211
100,Free Cash Flow,-72675,8308,68411,44929,5854,17840,-39466,-48880,-47510,-54909,-1967782,-1313711,-1783027
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421636/000135448812001484/0001354488-12-001484-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997413000112/0001079974-13-000112-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997414000142/0001079974-14-000142-index.htm,https://www.sec.gov/Archives/edgar/data/1421636/000107997415000208/0001079974-15-000208-index.htm,https://www.sec.gov/Archives/edgar/data/1421636/000107997416001041/0001079974-16-001041-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997417000106/0001079974-17-000106-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000107997418000103/0001079974-18-000103-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000121390019005453/0001213900-19-005453-index.html,https://www.sec.gov/Archives/edgar/data/1421636/000121390020007368/0001213900-20-007368-index.htm,https://www.sec.gov/Archives/edgar/data/1421636/000121390021021575/0001213900-21-021575-index.htm
102,false,,,,,,,,,,,,,
