,https://roic.ai/company/DAVA,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,28422000,40594000,82921000,85799000,173496000,283521000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,72897000,106382000,151014000,222678000,360943000,473209000
48,Accounts Payable,1524000,3722000,4504000,4220000,2159000,6998000
49,Short-Term Debt,15405000,29402000,19744000,21000,11132000,13543000
50,Tax Payable,4629000,5336000,4707000,8554000,9742000,14398000
51,Deferred Revenue,3598000,1604000,2411000,2337000,3203000,3891000
52,Other Current Liabilities,20768000,20032000,44476000,47625000,59892000,78381000
53,Total Current Liabilities,41295000,54760000,71135000,54203000,76386000,102813000
54,Long-Term Debt,38000,63000,20000,- -,42233000,50142000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1532000,2586000,2832000,2033000,5861000,10010000
57,Other Non-Current Liabilities,239000,253000,7528000,113000,136000,9575000
58,Total Non-Current Liabilities,1809000,2902000,10380000,2146000,48230000,69727000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,107000,151000,64000,21000,53365000,63685000
61,Total Liabilities,43104000,57662000,81515000,56349000,124616000,172540000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,996000,996000,996000,1089000,1099000,1114000
64,Retained Earnings,20425000,38072000,59260000,146963000,214638000,283059000
65,Other Comprehensive Income/Loss,6729000,9249000,8840000,2853000,21710000,16404000
66,Other Total Stockholders Equity,1643000,403000,403000,15424000,-1120000,92000
67,Total Stockholders Equity,29793000,48720000,69499000,166329000,236327000,300669000
68,Total Liabilities And Stockholders Equity,72897000,106382000,151014000,222678000,360943000,473209000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,72897000,106382000,151014000,222678000,360943000,473209000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1656081/000165608119000025/0001656081-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1656081/000165608120000016/0001656081-20-000016-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,16706000,16832000,18975000,24007000,21410000,43441000
74,Depreciation and Amortization,2882000,4346000,6269000,7900000,18725000,25144000
75,Deferred Income Tax,3008000,3546000,4667000,4815000,2246000,8272000
76,Stock Based Compensation,768000,854000,1505000,12022000,15663000,24427000
77,Change in Working Capital,-7653000,-5008000,6839000,-11516000,-7759000,-21360000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-4814000,-5830000,-4271000,-1880000,-10042000,8428000
83,Cash Provided by Operating Activities,10897000,14740000,33984000,35348000,40243000,88352000
84,CAPEX,-2745000,-6372000,-5483000,-7383000,-9880000,-6113000
85,Acquisitions Net,-4551000,-13807000,-28765000,-3201000,-23851000,-109991000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,36000,680000,2456000,533000,3983000,9010000
89,Cash Used for Investing Activites,-7260000,-19499000,-31792000,-10051000,-29748000,-107094000
90,Debt Repayment,-3364000,-3462000,-36768000,-23547000,-10859000,-11828000
91,Common Stock Issued,- -,- -,- -,44828000,30917000,- -
92,Common Stock Repurchased,- -,-1240000,- -,- -,- -,- -
93,Dividends Paid,-18181000,- -,- -,- -,- -,- -
94,Other Financing Activites,16927000,19540000,26036000,5074000,820000,-92000
95,Cash Used/Provided by Financing Activities,-4618000,14838000,-10732000,26355000,20878000,-11920000
96,Effect of Forex Changes on Cash,566000,545000,17000,3472000,-218000,-781000
97,Net Change In Cash,-415000,10624000,-8523000,55124000,31155000,-31443000
98,Cash at the End of Period,12947000,23571000,15048000,70172000,101327000,69884000
99,Cash at the Beginning of Period,13362000,12947000,23571000,15048000,70172000,101327000
100,Free Cash Flow,8152000,8368000,28501000,27965000,30363000,82239000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1656081/000165608119000025/0001656081-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1656081/000165608120000016/0001656081-20-000016-index.htm,- -
102,Forex Rate,1.3306,1.3025,1.3207,1.2693,1.2399,1.3827
