,https://roic.ai/company/CO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,24770000,33929000,9634000,38543000,58398000,47327000,50000000,37622000,62656000,61260000,101084000,94546000
23,Net Income,2872102,-7879240,- -,49177000,91703000,131980000,112447000,131903000,107292000,90970000,126190000,237098000,291124000,470717000,508247000
24,Net Income ratio,Infinity,-Infinity,- -,0.1880,0.2701,0.3469,0.2137,0.2303,0.1689,0.1372,0.1660,0.2531,0.2950,0.3854,0.4383
25,EPS,0.44,-1.16,- -,0.69,1.31,1.79,1.49,1.60,1.36,1.25,1.59,2.10,2.40,3.87,4.18
26,EPS Diluted,0.44,-1.16,- -,0.66,1.31,1.79,1.49,1.60,1.36,1.25,1.59,1.99,2.40,3.87,4.18
27,Weighted Average Shares Outstanding,7000000,6997460,- -,71271014,70002290,73731844,75467785,82439375,78891176,72776000,79364780,112903810,121301667,121632300,121590191
28,Weighted Average Shares Outstanding Diluted,7000000,6997460,- -,74510606,70002290,73731844,75467785,82439375,78891176,72776000,79364780,119144724,121301667,121632300,121590191
29,SEC Link,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1467808/000114420411055310/v233979_20f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000114420412041827/v317907_20f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000114420413042083/v349858_20f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465914055216/a14-14808_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465915055036/a15-6996_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465916135012/a16-7975_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465917046810/a17-10321_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465918046514/a18-11014_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465919041461/a19-10484_120f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2478029,128721,- -,280835000,611387000,794311000,1494099000,1882901000,2436655000,3008422000,3510264000,4250610000,4997861000,5473373000,6075798000
32,Short-Term Investments,1061209,196801720,- -,- -,- -,354000,- -,- -,7708000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3539238,196930441,- -,280835000,611387000,794665000,1494099000,1882901000,2444363000,3008422000,3510264000,4250610000,4997861000,5473373000,6075798000
34,Net Receivables,- -,- -,- -,61349000,78561000,79012000,75306000,111690000,125944000,131763000,117800000,117034000,107707000,110276000,135074000
35,Inventory,- -,- -,- -,5070000,6729000,6666000,10265000,31583000,23803000,28326000,30987000,27718000,27612000,43758000,44257000
36,Other Current Assets,246157301,60071,- -,16580000,14196000,16829000,18504000,31873000,28188000,31350000,12257000,13060000,14748000,38760000,43012000
37,Total Current Assets,249696539,196990512,- -,363834000,710873000,897172000,1598174000,2058047000,2622298000,3199861000,3671308000,4408422000,5147928000,5666167000,6298141000
38,PP&E,- -,- -,- -,250491000,250348000,267862000,468272000,626632000,603167000,574567000,551434000,552960000,545340000,527227000,503695000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,26297000,134412000,129791000,125170000,120549000,115928000,111307000,106686000,102065000,97444000,92823000,88202000
41,Intangible Assets,- -,- -,- -,26297000,134412000,129791000,125170000,120549000,115928000,111307000,106686000,102065000,97444000,92823000,88202000
42,Investments,- -,- -,- -,48475000,187096000,232562000,277533000,333376000,311545000,351863000,389919000,343011000,296491000,290435000,307040000
43,Tax Assets,- -,- -,- -,288000,2565000,5013000,3727000,1789000,2618000,2617000,22155000,31295000,44981000,50701000,55845000
44,Other Non-Current Assets,- -,- -,- -,357649000,278304000,291750000,513400000,490629000,463930000,447712000,441410000,406682000,418770000,592500000,653406000
45,Total Non-Current Assets,- -,- -,- -,683200000,852725000,926978000,1388102000,1572975000,1497188000,1488066000,1511604000,1436013000,1403026000,1553686000,1608188000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,249696539,196990512,- -,1047034000,1563598000,1824150000,2986276000,3631022000,4119486000,4687927000,5182912000,5844435000,6550954000,7219853000,7906329000
48,Accounts Payable,- -,- -,- -,8387000,5046000,6343000,9890000,10422000,12673000,13248000,11060000,11372000,33566000,19992000,9479000
49,Short-Term Debt,- -,1454641,- -,45000000,45000000,45000000,50000000,60000000,60000000,60000000,1031154000,- -,- -,1717000,1636000
50,Tax Payable,- -,10052,- -,4098000,11156000,8591000,6599000,6498000,13393000,11013000,15748000,19209000,22776000,33250000,34050000
51,Deferred Revenue,- -,2256008,- -,36074000,82319000,106110000,172328000,196432000,220140000,257692000,323690000,366373000,461986000,402751000,449359000
52,Other Current Liabilities,4434878,8326818,- -,26573000,118247000,39654000,100230000,130483000,127364000,137383000,81224000,90430000,100090000,146318000,165995000
53,Total Current Liabilities,4434878,12037467,- -,116034000,250612000,197107000,332448000,397337000,420177000,468323000,1447128000,468175000,595642000,570778000,626469000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,751781000,777753000,815851000,906222000,- -,- -,- -,1782000,147000
55,Deferred Revenue,- -,- -,- -,93155000,162668000,306534000,530258000,823921000,1099399000,1321239000,1569579000,1874014000,2108442000,2289762000,2392906000
56,Deferred Tax Liabilities,- -,- -,- -,2259000,26890000,24462000,23168000,27938000,25261000,22786000,21423000,20628000,19626000,18140000,16132000
57,Other Non-Current Liabilities,47820697,44671308,- -,15978000,30036000,60420000,107158000,164077000,215585000,255932000,302233000,362876000,404482000,450900000,482224000
58,Total Non-Current Liabilities,47820697,44671308,- -,111392000,219594000,391416000,1412365000,1793689000,2156096000,2506179000,1893235000,2257518000,2532550000,2760584000,2891409000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3499000,1783000
61,Total Liabilities,52255575,56708775,- -,227426000,470206000,588523000,1744813000,2191026000,2576273000,2974502000,3340363000,2725693000,3128192000,3331362000,3517878000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5114,4142,- -,46000,52000,50000,50000,50000,50000,50000,50000,83000,83000,83000,83000
64,Retained Earnings,2889064,-5180445,- -,87290000,178993000,310973000,423420000,555323000,662615000,753585000,879775000,1116873000,1407223000,1877940000,2386187000
65,Other Comprehensive Income/Loss,- -,- -,- -,2221000,-18580000,26057000,18256000,84263000,63230000,84779000,24428000,-54654000,-88738000,-94663000,-103179000
66,Other Total Stockholders Equity,194546787,145458040,- -,- -,910316000,865654000,795406000,795406000,811863000,870839000,933602000,2051051000,2098767000,2098767000,2098767000
67,Total Stockholders Equity,197440964,140281737,- -,808886000,1070781000,1202734000,1237132000,1435042000,1537758000,1709253000,1837855000,3113353000,3417335000,3882127000,4381858000
68,Total Liabilities And Stockholders Equity,249696539,196990512,- -,1036312000,1540987000,1791257000,2981945000,3626068000,4114031000,4683755000,5178218000,5839046000,6545527000,7213489000,7899736000
69,Minority Interest,- -,- -,- -,10722000,22611000,32893000,4331000,4954000,5455000,4172000,4694000,5389000,5427000,6364000,6593000
70,Total Liabilities & Equity,249696539,196990512,- -,1047034000,1563598000,1824150000,2986276000,3631022000,4119486000,4687927000,5182912000,5844435000,6550954000,7219853000,7906329000
71,SEC Link,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1467808/000114420411055310/v233979_20f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000114420412041827/v317907_20f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000114420413042083/v349858_20f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465914055216/a14-14808_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465915055036/a15-6996_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465916135012/a16-7975_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465917046810/a17-10321_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465918046514/a18-11014_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465919041461/a19-10484_120f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,2872102,-7879240,- -,49177000,91703000,131980000,112447000,131903000,107292000,90970000,126190000,237098000,291124000,470717000,508247000
74,Depreciation and Amortization,- -,- -,- -,20431000,23475000,29357000,35874000,37065000,50609000,50166000,50481000,50590000,52365000,49449000,49090000
75,Deferred Income Tax,- -,- -,- -,-3643000,-6951000,-4771000,-194000,8398000,-912000,-1060000,-21145000,-9935000,-14688000,-7206000,-7152000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,16535000,58684000,62241000,84268000,- -,- -,- -
77,Change in Working Capital,1260638,6899992,- -,-66538000,36842000,174831000,384923000,322640000,348955000,299127000,322007000,420192000,363450000,64080000,58328000
78,Accounts Receivable,- -,- -,- -,-105504000,-105149000,-27482000,3334000,-16296000,-19273000,5093000,12401000,6338000,-30367000,-86897000,-120436000
79,Inventory,- -,- -,- -,-2137000,-3622000,-2988000,-8678000,-29973000,-2059000,-10621000,-7114000,286000,-5330000,-24061000,-6836000
80,Accounts Payable,- -,- -,- -,642000,-364000,1297000,3547000,532000,2251000,575000,-991000,312000,22194000,-13574000,-10513000
81,Other Working Capital,- -,1012235,- -,42696000,133290000,201449000,291455000,318028000,299198000,259403000,314350000,347127000,330041000,122085000,149752000
82,Other Non-Cash Items,-8189389,-3196134,- -,36938000,31516000,22461000,45582000,36009000,72387000,83110000,97858000,36549000,99867000,46964000,22197000
83,Cash Provided by Operating Activities,-4056650,-4175382,- -,36365000,176585000,353858000,578632000,536015000,594866000,580997000,637632000,818762000,792118000,624004000,630710000
84,CAPEX,- -,- -,- -,-18605000,-20337000,-123302000,-226241000,-150093000,-37797000,-16630000,-24693000,-67066000,-30689000,-24240000,-20892000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-1433622,- -,- -,- -,-13245000,- -,-267926000,- -,-4647000,- -,-66154000,- -,- -,-340000000,- -
87,Sales/Maturities of Investments,- -,38752987,- -,- -,- -,- -,- -,- -,- -,- -,- -,217000,- -,210000000,- -
88,Other Investing Activites,2191524,- -,- -,-140244000,-332000,-79831000,450000,210000,13000,150000,272000,372000,479000,8179000,785000
89,Cash Used for Investing Activites,757902,38752987,- -,-158849000,-33914000,-122945000,-493717000,-149883000,-42431000,-16480000,-90575000,-66477000,-30210000,-146061000,-20107000
90,Debt Repayment,- -,- -,- -,- -,-45000000,-45000000,-45000000,-50000000,-60000000,-60000000,-60000000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,137623000,211007000,- -,25320000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-37952834,- -,- -,-10653000,-44664000,-126819000,-4422000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18173000,- -,- -
94,Other Financing Activites,-944883,1189119,- -,104770000,37787000,45000000,765217000,56758000,- -,58354000,- -,-2015000,-3019000,-4039000,-6074000
95,Cash Used/Provided by Financing Activities,-944883,-36763715,- -,242393000,193141000,-44664000,618718000,2336000,- -,-1646000,-60000000,-2015000,-21192000,-4039000,-6074000
96,Effect of Forex Changes on Cash,- -,- -,- -,-480000,-5260000,-3325000,-3845000,334000,1319000,8896000,14785000,-9924000,6535000,1608000,-2104000
97,Net Change In Cash,-4243631,-2186110,- -,119429000,330552000,182924000,699788000,388802000,553754000,571767000,501842000,740346000,747251000,475512000,602425000
98,Cash at the End of Period,2478029,128721,- -,280835000,611387000,794311000,1494099000,1882901000,2436655000,3008422000,3510264000,4250610000,4997861000,5473373000,6075798000
99,Cash at the Beginning of Period,6721660,2314830,- -,161406000,280835000,611387000,794311000,1494099000,1882901000,2436655000,3008422000,3510264000,4250610000,4997861000,5473373000
100,Free Cash Flow,-4056650,-4175382,- -,17760000,156248000,230556000,352391000,385922000,557069000,564367000,612939000,751696000,761429000,599764000,609818000
101,SEC Link,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1467808/000114420411055310/v233979_20f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000114420412041827/v317907_20f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000114420413042083/v349858_20f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465914055216/a14-14808_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465915055036/a15-6996_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465916135012/a16-7975_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465917046810/a17-10321_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465918046514/a18-11014_120f.htm,https://www.sec.gov/Archives/edgar/data/1467808/000110465919041461/a19-10484_120f.htm,- -,- -
102,Forex Rate,0.1369,0.1466,undefined,0.1465,0.1527,0.1588,0.161,0.1608,0.1613,0.155,0.1451,0.1593,0.149,0.1412,0.1526
