,https://roic.ai/company/TWNK,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,353797000,267771000,277954000,256051000,295009000,317847000
57,Other Non-Current Liabilities,- -,- -,13125000,165384000,110160000,64663000,126096000,146304000,135870000
58,Total Non-Current Liabilities,- -,- -,13125000,1512555000,1365851000,1319353000,1357552000,1554350000,1553692000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,13412301,1616481000,1493702000,1460456000,1517477000,1743883000,1747321000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1112,13000,13000,13000,13000,13000,14000
64,Retained Earnings,- -,- -,-469919,-15618000,208279000,271365000,334480000,399215000,475400000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1606000,1318000,2523000,-756000,-10407000,-506000
66,Other Total Stockholders Equity,- -,- -,363116771,914430000,920723000,925902000,1152055000,1232765000,- -
67,Total Stockholders Equity,- -,- -,362647964,897219000,1130333000,1199803000,1485792000,1621586000,1718990000
68,Total Liabilities And Stockholders Equity,- -,- -,376060265,2513700000,2624035000,2660259000,3003269000,3365469000,3466311000
69,Minority Interest,- -,- -,- -,334192000,342240000,350454000,94432000,- -,- -
70,Total Liabilities & Equity,- -,- -,376060265,2847892000,2966275000,3010713000,3097701000,3365469000,3466311000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1644406/000156459016014939/0001564590-16-014939-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440617000024/0001644406-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440618000012/0001644406-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440619000011/0001644406-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440620000011/0001644406-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440621000009/0001644406-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1644406/000164440622000012/0001644406-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,77197000,84253000,52807000,223897000,62895000,63115000,64735000,119299000
74,Depreciation and Amortization,- -,7113000,9836000,16108000,38170000,41411000,43334000,54940000,51681000
75,Deferred Income Tax,- -,- -,- -,-7815000,-131492000,-3982000,14306000,17566000,17586000
76,Stock Based Compensation,- -,372000,1381000,30638000,7413000,5600000,9231000,8671000,9585000
77,Change in Working Capital,- -,1721000,-6645516,46674516,103740000,7162000,134892000,-113218000,3462000
78,Accounts Receivable,- -,-8630000,-1077000,-16164000,-11775000,-3667000,-2570000,4434000,-22728000
79,Inventory,- -,-1468000,-5611000,5901000,-3901000,3569000,-12477000,5824000,-3465000
80,Accounts Payable,- -,4755000,10480000,22590000,4839000,14418000,- -,- -,13723000
81,Other Working Capital,- -,7408000,762484,47437000,151177000,158339000,293231000,180013000,6056000
82,Other Non-Cash Items,- -,21926000,44147516,-22580516,-78043000,30569000,-120904000,126549000,1416000
83,Cash Provided by Operating Activities,- -,108329000,132972000,115832000,163685000,143655000,143974000,159243000,203029000
84,CAPEX,- -,-54728000,-27267000,- -,-35294000,-48424000,-40484000,-58252000,-65425000
85,Acquisitions Net,- -,- -,- -,-470977000,- -,-23160000,63345000,-316013000,- -
86,Purchases of Investments,- -,-42470000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,42960000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2150000,2000,1329000,-2296000,-3200000,-5609000,-6269000,-4622000
89,Cash Used for Investing Activites,- -,-91393000,17880000,-504775000,-35209000,-70945000,22861000,-374265000,-65425000
90,Debt Repayment,- -,-3751000,-498565000,-224387000,-5144000,-10105000,-9894000,-11168000,-11167000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-6000000,-53172000
93,Dividends Paid,- -,-6018000,-952853000,-23582000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1155416000,-15972000,-14486000,-51929000,-18231000,120389000,3084000
95,Cash Used/Provided by Financing Activities,- -,-9769000,-296002000,-263941000,-19630000,-62034000,-28125000,103221000,-61255000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-252000,-224000
97,Net Change In Cash,- -,7167000,-145150000,-652884000,108846000,10676000,138710000,-112053000,76125000
98,Cash at the End of Period,- -,209623000,64473000,85374000,135701000,146377000,285087000,173034000,249159000
99,Cash at the Beginning of Period,- -,202456000,209623000,738258000,26855000,135701000,146377000,285087000,173034000
100,Free Cash Flow,- -,53601000,105705000,78034000,128391000,95231000,103490000,100991000,137604000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1644406/000156459016014939/0001564590-16-014939-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440617000024/0001644406-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440618000012/0001644406-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440619000011/0001644406-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440620000011/0001644406-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440621000009/0001644406-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1644406/000164440622000012/0001644406-22-000012-index.htm
102,false,,,,,,,,,
