,https://roic.ai/company/AEMD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882291/000091205702027582/0000912057-02-027582-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882291/000101968711002256/0001019687-11-002256-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968712002296/0001019687-12-002296-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968713002649/0001019687-13-002649-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968714002728/0001019687-14-002728-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968715002535/0001019687-15-002535-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968716006800/0001019687-16-006800-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316817001671/0001683168-17-001671-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316818001643/0001683168-18-001643-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316819002070/0001683168-19-002070-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316820002070/0001683168-20-002070-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316821002707/0001683168-21-002707-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1534,-3599,-352679,-1299382,-4423073,-3995910,-2461116,-1518798,-2096951,-2920183,-6024545,-4140264,-6084158,-4573315,-5711435,-8111340,-4892040,-13357232,-6797157,-4872329,-7276113,-5679558,-6194719,-6373948,-7886709
74,Depreciation and Amortization,- -,- -,24458,303122,228418,204202,159783,127000,108645,327740,246079,1217413,1533413,13653,19102,17219,10484,21087,37352,38524,32413,35658,30695,26366,39939
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,733289,504933,1862030,1100510,765273,607946,416481,202844,2186309,1260769,1319001,843998,779421
77,Change in Working Capital,-400,-3479,-782172,-918291,-1622351,304540,-987856,77838,581127,1427847,-5339689,3779413,-622581,-765022,-1264132,-3305605,161661,-4892853,14799891,1247112,-892036,5766797,-4538063,6759163,3119
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400114,- -,- -,- -,- -,- -,-74813,- -,-206729,57647
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,751210,46602,-1108294,-46365,322140,-104154,390340,-16765,341858
81,Other Working Capital,2134,-1345,-783517,-1701808,-3324159,-3019619,-4007475,-3929637,-3348510,-1920663,-7260352,-3480939,-4103520,-4868542,-6132674,-9438279,-9276618,-14169471,630420,1877532,985496,6752293,2214230,8973393,8976512
82,Other Non-Cash Items,-285,5228,987643,1235624,5016339,2479737,2774686,771904,-152187,-419685,9399251,-2960834,2662649,2842234,3126102,8457861,1855765,15482081,-13505981,-945458,2443527,-5294346,5089653,-6453187,299290
83,Cash Provided by Operating Activities,-2219,-1850,-122750,-678927,-800667,-1007431,-514503,-542056,-1559366,-1584281,-1718904,-2104272,-1777388,-1977517,-1968333,-1841355,-2098857,-2138971,-5049414,-4329307,-3505900,-3910680,-4293433,-5197608,-6764940
84,CAPEX,- -,- -,- -,-13476,-6478,- -,-1198,-4782,-30070,-15651,-17810,-11543,-1407,-17068,-2541,-1735,- -,-96056,- -,-9307,-16433,-24823,- -,-151665,-59881
85,Acquisitions Net,- -,- -,- -,- -,-136915,-30804,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-31382,19351,-46920,-49034,- -,- -,- -,-6294,- -,-10419,-13087,-6805,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-44858,-124042,-77724,-50232,-4782,-30070,-15651,-24104,-11543,-11826,-30155,-9346,-1735,- -,-96056,- -,-9307,-16433,-24823,- -,-151665,-59881
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000,- -,-223078,-29610,-217000,-523422,- -,- -,- -,- -,-992591,- -
91,Common Stock Issued,- -,- -,- -,- -,100000,911764,230400,522125,1488942,1454415,1296737,1290400,1110680,115200,320433,300000,2109834,3177032,4763153,5606755,2759355,9628505,1341303,12159508,7260869
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-378518,-278633,-193866,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,124570,937750,613750,178000,330000,20000,107500,973269,50000,640000,430000,1978265,1605000,1894371,- -,400000,415000,- -,577460,- -,- -,-40938,-132527
95,Cash Used/Provided by Financing Activities,- -,- -,124570,937750,713750,1089764,560400,542125,1596442,2427684,1346737,1930400,1540680,2069465,1925433,1971293,2080224,3360032,4654731,5606755,2958297,9349872,1147437,11125979,7128342
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2219,-1850,1820,213965,-210959,4609,-4335,-4713,7006,827752,-396271,-185415,-248534,61793,-52246,128203,-18633,1125005,-394683,1268141,-564036,5414369,-3145996,5776706,303521
98,Cash at the End of Period,2484,634,3052,217017,6058,10667,6332,1619,8625,836377,440106,254691,6157,67950,15704,143907,125274,1250279,855596,2123737,1559701,6974070,3828074,9604780,9908301
99,Cash at the Beginning of Period,4703,2484,1232,3052,217017,6058,10667,6332,1619,8625,836377,440106,254691,6157,67950,15704,143907,125274,1250279,855596,2123737,1559701,6974070,3828074,9604780
100,Free Cash Flow,-2219,-1850,-122750,-692403,-807145,-1007431,-515701,-546838,-1589436,-1599932,-1736714,-2115815,-1778795,-1994585,-1970874,-1843090,-2098857,-2235027,-5049414,-4338614,-3522333,-3935503,-4293433,-5349273,-6824821
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882291/000091205702027582/0000912057-02-027582-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882291/000101968711002256/0001019687-11-002256-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968712002296/0001019687-12-002296-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968713002649/0001019687-13-002649-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968714002728/0001019687-14-002728-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968715002535/0001019687-15-002535-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968716006800/0001019687-16-006800-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316817001671/0001683168-17-001671-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316818001643/0001683168-18-001643-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316819002070/0001683168-19-002070-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316820002070/0001683168-20-002070-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316821002707/0001683168-21-002707-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
