,https://roic.ai/company/TME,2016,2017,2018,2019,2020,2021
34,Net Receivables,720000000,1220000000,1511000000,2248000000,2839000000,3610000000
35,Inventory,14000000,30000000,35000000,26000000,18000000,24000000
36,Other Current Assets,931000000,1043000000,1795000000,2170000000,2807000000,2731000000
37,Total Current Assets,4997000000,7467000000,20778000000,26914000000,31687000000,26791000000
38,PP&E,108000000,127000000,168000000,327000000,487000000,526000000
39,Goodwill,15762000000,16262000000,17088000000,17140000000,17492000000,19121000000
40,Intangible Assets,2007000000,1717000000,1763000000,1622000000,2020000000,4324000000
41,Intangible Assets,17769000000,17979000000,18851000000,18762000000,19512000000,23445000000
42,Investments,302000000,4118000000,3784000000,5667000000,15328000000,15403000000
43,Tax Assets,87000000,105000000,123000000,192000000,303000000,346000000
44,Other Non-Current Assets,272000000,204000000,901000000,816000000,956000000,743000000
45,Total Non-Current Assets,18538000000,22533000000,23827000000,25764000000,36586000000,40463000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,23535000000,30000000000,44605000000,52678000000,68273000000,67254000000
48,Accounts Payable,998000000,1045000000,1830000000,2559000000,3565000000,4329000000
49,Short-Term Debt,- -,- -,- -,69000000,103000000,92000000
50,Tax Payable,74000000,229000000,338000000,526000000,582000000,363000000
51,Deferred Revenue,415000000,1047000000,1537000000,1800000000,1710000000,1834000000
52,Other Current Liabilities,1110000000,1435000000,2871000000,4062000000,4224000000,4195000000
53,Total Current Liabilities,2523000000,3527000000,6238000000,8490000000,9602000000,10450000000
54,Long-Term Debt,- -,- -,- -,78000000,5393000000,5267000000
55,Deferred Revenue,- -,- -,40000000,135000000,146000000,86000000
56,Deferred Tax Liabilities,350000000,304000000,354000000,297000000,265000000,271000000
57,Other Non-Current Liabilities,28000000,21000000,201000000,- -,136000000,125000000
58,Total Non-Current Liabilities,378000000,325000000,595000000,510000000,5940000000,5749000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,147000000,321000000,297000000
61,Total Liabilities,2901000000,3852000000,6833000000,9000000000,15542000000,16199000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,-57000000,1227000000,3040000000,7007000000,11111000000,14194000000
65,Other Comprehensive Income/Loss,617000000,997000000,903000000,2187000000,6300000000,3726000000
66,Other Total Stockholders Equity,20063000000,23915000000,33776000000,34394000000,34832000000,32395000000
67,Total Stockholders Equity,20625000000,26141000000,37721000000,43590000000,52245000000,50317000000
68,Total Liabilities And Stockholders Equity,23526000000,29993000000,44554000000,52590000000,67787000000,66516000000
69,Minority Interest,9000000,7000000,51000000,88000000,486000000,738000000
70,Total Liabilities & Equity,23535000000,30000000000,44605000000,52678000000,68273000000,67254000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1744676/000156459020012674/0001564590-20-012674-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,82000000,1326000000,1833000000,3982000000,4155000000,3029000000
74,Depreciation and Amortization,236000000,379000000,369000000,583000000,824000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,170000000,362000000,487000000,519000000,569000000,- -
77,Change in Working Capital,405000000,455000000,1386000000,982000000,-497000000,- -
78,Accounts Receivable,-266000000,-447000000,-182000000,-733000000,-520000000,- -
79,Inventory,-11000000,-16000000,-4000000,9000000,8000000,- -
80,Accounts Payable,315000000,4000000,780000000,717000000,644000000,- -
81,Other Working Capital,367000000,914000000,792000000,- -,- -,- -
82,Other Non-Cash Items,-20000000,-22000000,1557000000,134000000,-166000000,2210000000
83,Cash Provided by Operating Activities,873000000,2500000000,5632000000,6200000000,4885000000,5239000000
84,CAPEX,-41000000,-77000000,-144000000,-286000000,-501000000,- -
85,Acquisitions Net,676000000,-76000000,-833000000,-338000000,-2527000000,- -
86,Purchases of Investments,- -,- -,-200000000,-12050000000,-31562000000,- -
87,Sales/Maturities of Investments,371000000,261000000,11000000,4586000000,20338000000,- -
88,Other Investing Activites,-510000000,-593000000,-36000000,-205000000,-347000000,-5999000000
89,Cash Used for Investing Activites,496000000,-483000000,-1190000000,-8102000000,-14206000000,-5999000000
90,Debt Repayment,- -,- -,- -,-63000000,-80000000,- -
91,Common Stock Issued,1901000000,- -,7319000000,15000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-31000000,-134000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-189000000,99000000,422000000,48000000,5506000000,-3710000000
95,Cash Used/Provided by Financing Activities,1712000000,99000000,7741000000,-31000000,5292000000,-3710000000
96,Effect of Forex Changes on Cash,-10000000,-13000000,-1000000,3000000,-269000000,-67000000
97,Net Change In Cash,- -,2103000000,12182000000,-1930000000,-4298000000,-4537000000
98,Cash at the End of Period,3071000000,5174000000,17356000000,15426000000,11128000000,6591000000
99,Cash at the Beginning of Period,- -,3071000000,5174000000,17356000000,15426000000,11128000000
100,Free Cash Flow,832000000,2423000000,5488000000,5914000000,4384000000,5239000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1744676/000156459020012674/0001564590-20-012674-index.html,- -,- -
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
