,https://roic.ai/company/MBOT,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-12.8000,-7.1429,-4.1667,-12.6923,-0.7542,-1.9437,-1.7075,-1.4318,-3.1281,-152.6444,-4.2801,-24.9534,-44.9503,-108.6993,-57.0061,-204.0752,-441.1481,-125.5201,-27.2205,-17.6903,-17.4728,-20.8276,-21.9728,-32.3405,-311.5404,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-23328.00,-21546.00,-23814.00,-24624.00,-11178.00,-14330.22,-17496.00,-11178.00,-13608.00,-9396.00,-3078.00,-7452.00,-7290.00,-5022.00,-2916.00,-4050.00,-5022.00,-5670.00,-4050.00,-3240.00,-2430.00,-1603.80,-988.20,-858.60,-615.60,-6.00,-2.70,-2.41,-1.70,-1.29,-1.59
26,EPS Diluted,-23328.00,-21546.00,-23814.00,-24624.00,-11178.00,-14330.22,-17496.00,-11178.00,-13608.00,-9396.00,-3078.00,-7452.00,-7290.00,-5022.00,-2916.00,-4050.00,-5022.00,-5670.00,-4050.00,-3240.00,-2430.00,-1603.80,-988.20,-858.60,-615.60,-6.00,-2.70,-2.41,-1.70,-1.29,-1.59
27,Weighted Average Shares Outstanding,389,483,646,679,936,963,1031,1129,1154,1238,1372,1549,1980,3062,3928,4605,4924,5105,6546,7611,8757,17792,26803,38032,59140,952891,2178837,2904253,4267209,7117747,7117747
28,Weighted Average Shares Outstanding Diluted,389,483,646,679,936,963,1031,1129,1157,1238,1448,1549,1980,3062,3928,4605,4924,5105,6546,7611,8757,17792,26803,38032,59140,952891,2178837,2904253,4267209,7117747,7117747
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883975/000095013404004708/f97676e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000095013405004962/f06774e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000089161806000120/f18529e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000095013407005808/f27726e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000089161808000164/f38946e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000095013409005379/0000950134-09-005379-index.html,https://www.sec.gov/Archives/edgar/data/883975/000095012310023245/0000950123-10-023245-index.html,https://www.sec.gov/Archives/edgar/data/883975/000095012311024882/f58670e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000119312512115972/0001193125-12-115972-index.html,https://www.sec.gov/Archives/edgar/data/883975/000119312513119450/0001193125-13-119450-index.html,https://www.sec.gov/Archives/edgar/data/883975/000119312514097773/d673433d10k.htm,https://www.sec.gov/Archives/edgar/data/883975/000119312515091382/d873875d10k.htm,https://www.sec.gov/Archives/edgar/data/883975/000119312516504472/0001193125-16-504472-index.html,https://www.sec.gov/Archives/edgar/data/883975/000149315217002678/0001493152-17-002678-index.html,https://www.sec.gov/Archives/edgar/data/883975/000149315218004562/0001493152-18-004562-index.html,https://www.sec.gov/Archives/edgar/data/883975/000149315219004545/0001493152-19-004545-index.html,https://www.sec.gov/Archives/edgar/data/883975/000149315220006338/form10-k.htm,https://www.sec.gov/Archives/edgar/data/883975/000149315221007453/0001493152-21-007453-index.htm,https://www.sec.gov/Archives/edgar/data/883975/000149315222008344/0001493152-22-008344-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,19900000,15900000,7900000,4760064,6068947,13697195,4236367,13081703,41059532,34540908,51795529,9759169,30042986,38617977,19707821,13311261,8471275,30585424,24987603,12110565,2709000,10787000,5238000,28771000,19650,13493
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,16356334,- -,- -,- -,- -,- -,4132646,26696413,4181592,196995,190804,3280591,13900678,- -,- -,- -,- -,- -,- -,2521000,4998,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,19900000,15900000,7900000,4760064,22425281,13697195,4236367,13081703,41059532,34540908,55928175,36455582,34224578,38814972,19898625,16591852,22371953,30585424,24987603,12110565,2709000,10787000,5238000,31292000,24648,13493
34,Net Receivables,- -,- -,- -,- -,- -,700000,600000,200000,42212,16725,54228,64892,145463,180963,201919,482850,1264631,462236,766053,270034,268027,310947,595037,415632,53405,15000,35000,65000,101000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,23200000,13700000,10300000,4168579,524509,361636,102829,180048,209074,386966,1119467,1032482,645242,560144,1000019,528527,1358417,659994,1104736,3049020,591000,108000,528000,4543000,605,2386
37,Total Current Assets,- -,- -,- -,- -,- -,43800000,30200000,18400000,8970855,22966515,14113059,4404088,13407214,41449569,35129793,57530492,38752695,35332056,40141169,21168678,17388406,24041317,31840455,26507971,15212990,3315000,10930000,5831000,35936000,25253,15879
38,PP&E,- -,- -,- -,- -,- -,10700000,7900000,8400000,5251376,4654552,4422810,4337711,3611402,3424294,3282588,3596150,3905404,3173468,2856695,2626821,2054563,1375329,5304684,5186958,5217929,53000,90000,259000,1190000,251,888
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2019679,1877315,1895000,1983426,2139294,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1298203,- -,- -,- -,- -,- -,876182,762667,645538,3647596,2996888,2011473,1822904,1835717,356889,45816,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1298203,- -,- -,- -,- -,- -,876182,762667,645538,5667275,4874203,3906473,3806330,3975011,356889,45816,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,3900000,6200000,6100000,1858768,875709,2267207,2587023,2767798,2753419,6426307,4853993,4861800,2079278,2525185,1931871,1856057,947301,437024,374941,742729,- -,- -,- -,- -,4998,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,14600000,14100000,14500000,7110144,6828464,6690017,6924734,6379200,6177713,9708895,9326325,9529871,5898284,11049155,9432895,7817093,6128960,9716719,5918788,6006474,53000,90000,259000,1190000,5249,888
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,58400000,44300000,32900000,16080999,29794979,20803076,11328822,19786414,47627282,44838688,66856817,48282566,41230340,51190324,30601573,25205499,30170277,41557174,32426759,21219464,3368000,11020000,6090000,37126000,30502,16767
48,Accounts Payable,- -,- -,- -,- -,- -,1900000,900000,700000,631315,526191,578270,341995,454434,524917,637122,620765,1813595,1078123,890582,1098962,1066495,216900,263866,339762,476544,201000,78000,630000,284000,275,279
49,Short-Term Debt,- -,- -,- -,- -,- -,1200000,1100000,1300000,324167,332083,289167,229166,237084,297010,308843,205833,153780,167906,229250,176250,191250,206250,3789370,4686388,1417388,- -,- -,- -,- -,- -,278
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43909,43909,199934,45885,43910,74426,67245,16826,16826,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,4200000,3200000,3500000,2905068,2617937,499165,587916,1830150,2560830,2602096,3323211,3836884,4028553,5210248,4206586,4351599,4599556,5011635,6454895,7919467,582000,450000,4130000,4542000,1070,1427
53,Total Current Liabilities,- -,- -,- -,- -,- -,7300000,5200000,5500000,3860550,3476211,1366602,1159077,2521668,3382757,3548061,4149809,5848168,5318491,6530014,5527683,5653254,5097132,9132116,11497871,9830225,783000,528000,4760000,4826000,1345,1984
54,Long-Term Debt,- -,- -,- -,- -,- -,8200000,4100000,3800000,2937083,2605000,- -,- -,- -,1605417,- -,1145416,1009166,866529,784576,522500,331250,125000,9244874,10334029,8916641,76000,- -,- -,- -,- -,402
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147039,180813,113387,96562,79736,62910,46084,29258,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117815,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,8200000,- -,5700000,528353,731746,6228667,6382174,6301188,5689561,8915043,7185589,6213332,13089296,13199854,8957374,8399309,10883792,8045747,4678002,2777550,813000,528000,8000,760000,626,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,16400000,4100000,9500000,3465436,3336746,6228667,6382174,6301188,7294978,8915043,8331005,7222498,14102864,14165243,9593261,8827121,11088528,17471346,15058115,11723449,889000,528000,8000,760000,626,402
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2086667,1849583,41065,- -,- -,25269,- -,- -,85826,17979,19534,50738,29421,35910,- -,- -,- -,903000,813000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,23700000,9300000,15000000,7325986,6812957,7595269,7541251,8822856,10677735,12463104,12480814,13070666,19421355,20695257,15120944,14480375,16185660,26603462,26555986,21553674,1672000,1056000,4768000,5586000,1971,2386
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,186355,209569,242200,268601,409988,621293,653960,780462,806810,949455,1183495,1273128,1472776,375063,551383,687298,1113483,266000,406000,31000,72000,72,72
64,Retained Earnings,- -,- -,- -,- -,- -,-72900000,-91000000,-103700000,-119372710,-130498187,-133944684,-144661464,-158874915,-174205214,-185943565,-204891945,-229914747,-259001524,-286027935,-311271486,-332600022,-361091175,-387530334,-420271608,-456686634,-13035000,-20624000,-27864000,-35111000,- -,-55593
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-6900000,-6300000,-8100000,-3778978,-1207218,-1654658,-1962092,-2878134,-2961233,-3915487,-4852628,-5864248,-6909172,-8265310,-8915168,-8969792,-9333348,-9886448,-10408798,-7259121,-64000,-78000,-132000,-145000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,114500000,132300000,129700000,131720346,154477858,148564949,150142526,172306619,213494701,221580676,263340114,270184085,286770226,323604817,334394155,350822162,384034077,411819111,435863881,462498062,14529000,30260000,29287000,66724000,24307928,69902
67,Total Stockholders Equity,- -,- -,- -,- -,- -,34700000,35000000,17900000,8755013,22982022,13207807,3787571,10963558,36949547,32375584,54376003,35211900,21808985,30495067,15480629,10725124,13984617,14953712,5870773,-334210,1696000,9964000,1322000,31540000,24308000,14381
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,58400000,44300000,32900000,16080999,29794979,20803076,11328822,19786414,47627282,44838688,66856817,48282566,41230340,51190324,30601573,25205499,30170277,41557174,32426759,21219464,3368000,11020000,6090000,37126000,24309971,16767
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24279469,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,58400000,44300000,32900000,16080999,29794979,20803076,11328822,19786414,47627282,44838688,66856817,48282566,41230340,51190324,30601573,25205499,30170277,41557174,32426759,21219464,3368000,11020000,6090000,37126000,30502,16767
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883975/000095013404004708/f97676e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000095013405004962/f06774e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000089161806000120/f18529e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000095013407005808/f27726e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000089161808000164/f38946e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000095013409005379/0000950134-09-005379-index.html,https://www.sec.gov/Archives/edgar/data/883975/000095012310023245/0000950123-10-023245-index.html,https://www.sec.gov/Archives/edgar/data/883975/000095012311024882/f58670e10vk.htm,https://www.sec.gov/Archives/edgar/data/883975/000119312512115972/0001193125-12-115972-index.html,https://www.sec.gov/Archives/edgar/data/883975/000119312513119450/0001193125-13-119450-index.html,https://www.sec.gov/Archives/edgar/data/883975/000119312514097773/d673433d10k.htm,https://www.sec.gov/Archives/edgar/data/883975/000119312515091382/d873875d10k.htm,https://www.sec.gov/Archives/edgar/data/883975/000119312516504472/0001193125-16-504472-index.html,https://www.sec.gov/Archives/edgar/data/883975/000149315217002678/0001493152-17-002678-index.html,https://www.sec.gov/Archives/edgar/data/883975/000149315218004562/0001493152-18-004562-index.html,https://www.sec.gov/Archives/edgar/data/883975/000149315219004545/0001493152-19-004545-index.html,https://www.sec.gov/Archives/edgar/data/883975/000149315220006338/form10-k.htm,https://www.sec.gov/Archives/edgar/data/883975/000149315221007453/0001493152-21-007453-index.htm,https://www.sec.gov/Archives/edgar/data/883975/000149315222008344/0001493152-22-008344-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6400000,-10000000,-12500000,-16500000,-8900000,-13800000,-18100000,-12600000,-15708626,-11341477,-3446497,-10365053,-12290752,-15330299,-11738350,-18948380,-25022802,-29086777,-27026411,-25243551,-21328536,-28491153,-26439159,-32741274,-36415026,-9663000,-7589000,-7240000,-7247000,-9169,-11313
74,Depreciation and Amortization,400000,800000,1500000,1800000,1500000,1800000,2100000,2800000,2046170,2783220,1890681,402190,1013133,1867288,1437417,1044688,1174510,1186428,1694490,1520772,1207911,991721,1058725,1307203,1125696,10000,21000,54000,84000,68,76
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4203270,3929634,3260937,2878134,2608670,2034898,4244408,676000,479000,1399000,1099000,1937,1386
77,Change in Working Capital,800000,- -,- -,- -,- -,36500000,-11500000,-12100000,-7789695,14379999,-6743847,-9501446,7640535,27181266,-6485080,21798951,-20476156,-2890962,3597590,-17970160,-3905843,7209033,3764154,-7698239,-9627335,-2850765,7870000,-9331000,30039000,-31086092,-10013
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39146,67974,-50451,3606,-55457,155419,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-409333,2143917,2055437,292190,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,36500000,25000000,12900000,5110305,19490304,12746457,3245011,10885546,38066812,31581732,53380683,32904527,30013565,33611155,15640995,11735152,18944185,22708339,15010100,5382765,2532000,10402000,1071000,31110000,23908,13895
82,Other Non-Cash Items,100000,300000,-900000,1300000,3400000,-34500000,13700000,12700000,8962809,-12139846,-2216304,9377004,-4906112,-24992163,4915445,-19999379,23467702,8050890,-7151608,13243392,-1292752,-2457079,-4314391,9744981,9992833,11041765,-5637000,9808000,-30426000,31086004,10510
83,Cash Provided by Operating Activities,-5100000,-8900000,-11900000,-13400000,-4000000,-10000000,-13800000,-9200000,-12489342,-6318104,-10515967,-10087305,-8543196,-11273908,-11870568,-16104120,-20856746,-22740421,-24682669,-24519913,-22058283,-19869344,-23322001,-27352431,-30679424,-786000,-4856000,-5310000,-6451000,-7252,-9354
84,CAPEX,-700000,-5000000,-1000000,-3700000,-1400000,-4400000,-10200000,-2600000,-192747,-151212,-334321,-222335,-189733,-676138,-847505,-1258749,-1319374,-337363,-716240,-923964,-296933,-73083,-4680796,-903943,-1053993,-25000,-58000,-223000,-216000,-91,-69
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-1500000,-29300000,-26500000,-12000000,-48100000,-3100000,-14200000,-19000000,-4397676,- -,- -,- -,- -,- -,- -,- -,-27861561,-4822684,-4976959,- -,-10188285,-16380748,-687798,- -,- -,- -,- -,- -,-2496000,-4998,- -
87,Sales/Maturities of Investments,5000000,9000000,24300000,24000000,24100000,14900000,23700000,22600000,13923813,- -,7782398,- -,- -,- -,- -,- -,3074654,28681708,9505019,- -,7063206,5762000,14430000,- -,- -,- -,- -,- -,- -,2521,270
88,Other Investing Activites,-200000,-900000,-600000,-1100000,-1000000,-800000,11000000,- -,634683,540935,290451,- -,- -,-72167,- -,-38375,-1049375,677593,-94829,- -,- -,- -,-25500,478321,168713,- -,-27000,- -,259000,-200,2999
89,Cash Used for Investing Activites,2600000,-26200000,-3800000,7200000,-26400000,6600000,10300000,1000000,9968073,389723,7738528,-222335,-189733,-748305,-847505,-1297124,-27155656,24223629,3731991,-923964,-3422012,-10691831,9035906,-425622,-885280,-25000,-85000,-223000,-2453000,-2768,3200
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-153780,-149167,-229250,-244097,-211417,-838861,-4004287,-4802653,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,15700000,23900000,100000,400000,500000,10900000,2100000,200000,664045,6951526,10737770,1128644,17807432,40267955,6676794,34964709,6139076,18826865,29602953,7279234,19371195,19747550,23491597,18949647,26324565,- -,12702000,- -,36770000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-380548,-483406,- -,-59090,-342366,-499333,-392587,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-400000,3200000,17100000,6300000,30700000,2900000,-2400000,-100000,-1817500,285738,-332083,-279832,-229167,-267913,-477345,-308844,-163034,127524,713042,19802,2386,6260067,14091907,7750474,-2422500,3083000,317000,-18000,- -,-3375,- -
95,Cash Used/Provided by Financing Activities,15300000,27100000,17200000,6700000,31200000,13800000,-300000,100000,-1153455,7237264,10405687,848812,17578265,40000042,6199449,34655865,5976042,18800609,29786280,6586380,19129484,25737110,36402277,22196501,18706825,3083000,13019000,-18000,36770000,-3375,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-200000,- -,570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260611,-52659,-45749,-15921,-2033,-16269,-19159,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,15300000,27100000,17200000,400000,800000,10400000,- -,- -,-3104724,1308883,7628248,-9460828,8845336,27977829,-6518624,17254621,-42036360,20283817,8574991,-18910156,-6396560,-4839986,22114149,-5597821,-12877038,2272000,8078000,-5551000,27866000,-13395,-6154
98,Cash at the End of Period,- -,- -,- -,8700000,9500000,19900000,- -,- -,4760064,6068947,13697195,4236367,13081703,41059532,34540908,51795529,9759169,30042986,38617977,19707821,13311261,8471275,30585424,24987603,12110565,2709000,10787000,5263000,33129000,19734,13580
