,https://roic.ai/company/CODA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,1650252,1716469,2748327,3463327,3479136,3517713,5310007,5604873,6599980,6701146,6708534,8282988,9111356,10093538,10680007,10733799,10830183
28,Weighted Average Shares Outstanding Diluted,1650252,1716469,2748327,3463327,3479136,3517713,5310007,5604873,6603551,6704718,6758534,10482987,9311356,10093538,10680007,11294799,11342684
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1334325/000114420408011892/v103063_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1334325/000114420409014826/v143161_10k.htm,https://www.sec.gov/Archives/edgar/data/1334325/000114420410004559/0001144204-10-004559-index.html,https://www.sec.gov/Archives/edgar/data/1334325/000149315216012682/form10-k.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334325/000149315218001259/0001493152-18-001259-index.html,https://www.sec.gov/Archives/edgar/data/1334325/000149315219001229/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1334325/000149315220001193/0001493152-20-001193-index.html,https://www.sec.gov/Archives/edgar/data/1334325/000149315221001943/0001493152-21-001943-index.htm,https://www.sec.gov/Archives/edgar/data/1334325/000149315222004191/0001493152-22-004191-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,142936,1377972,916257,3896149,275885,215204,1398289,5177879,8248269,5292427,6310694,5601767,6851539,7512422,11721683,15134289,17747656
32,Short-Term Investments,- -,- -,935000,153000,51000,14875,2681,2231,12750,3031,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,142936,1377972,1851257,4049149,326885,230079,1400970,5180110,8261019,5295458,6310694,5601767,6851539,7512422,11721683,15134289,17747656
34,Net Receivables,4222920,1355561,3412127,3423756,2724223,2631454,4165510,3882240,3360612,5386619,3843410,6822200,4450845,6481033,6786337,3007147,5852007
35,Inventory,1044051,1951392,2926517,2317322,2798425,1780114,2002631,2380188,3091955,4060352,3781311,2598925,3652249,3823243,5350514,9142273,10691177
36,Other Current Assets,310683,901132,961569,1547828,1526906,1045325,334602,1594455,242484,282973,145744,126229,302878,305609,241072,402188,1266319
37,Total Current Assets,5720590,5586057,9151470,11338055,7376439,5686972,7903713,13036993,14956070,15025402,14081159,15149121,15257511,18122307,24099606,27685897,35557159
38,PP&E,233558,276581,422738,355909,267964,114469,137426,251382,1332777,2179617,3935520,3840500,5213281,5246183,5986812,6059900,6037101
39,Goodwill,71480,1071700,4007253,3099575,3524538,3382108,3382108,3382108,3382108,3382108,3382108,3382108,3382108,3382108,3382108,3382108,3382108
40,Intangible Assets,- -,- -,- -,732448,697269,539739,470280,376815,306863,453422,467554,367417,207173,231844,230783,349344,412275
41,Intangible Assets,71480,1071700,4007253,3832023,4221807,3921847,3852388,3758923,3688971,3835530,3849662,3749525,3589281,3613952,3612891,3731452,3794383
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,110667,133233,- -,96374,- -,1754169,631684,561902,76776
44,Other Non-Current Assets,- -,- -,- -,1513297,1271170,- -,- -,- -,18109,17918,13890,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,305038,1348281,4429991,5701229,5760941,4036316,3989814,4010305,5150524,6166298,7799072,7686399,8802562,10614304,10231387,10353254,9908260
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6025628,6934338,13581461,17039284,13137380,9723288,11893527,17047298,20106594,21191700,21880231,22835520,24060073,28736611,34330993,38039151,45465419
48,Accounts Payable,403816,1997817,1618250,1159849,2390039,2036340,2248438,1825768,1133187,1389506,1032673,1396475,981994,988148,1273490,1284097,1454611
49,Short-Term Debt,3029015,1119496,56382,12358597,- -,14423516,16483367,1071365,942122,705101,2050930,846994,2212951,964695,487140,509769,63559
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,593325,268650,398482,1214183,2996370,3126034,488366,530581,495566,464541,402955,602914,830148,1006454,1999841
52,Other Current Liabilities,1989140,3531869,2972696,2443300,5030438,4925548,1830489,1481452,790417,812183,705927,794067,519208,685454,396421,584202,740449
53,Total Current Liabilities,5421971,6649182,5240653,16230396,7818959,22599587,23558664,7504619,3354092,3437371,4285096,3502077,4117108,3241211,2987199,3384522,4258460
54,Long-Term Debt,114990,- -,265139,162700,13233523,160350,- -,15021838,15852703,15051254,13302120,9178930,6066402,1059544,572434,63339,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49143,48906,143587,195022,157886
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35963,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,114990,- -,265139,162700,13233523,160350,- -,15021838,15852703,15051254,13338083,9178930,6115545,1108450,716021,258361,157886
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5536961,6649182,5505792,16393096,21052482,22759937,23558664,22526457,19206795,18488625,17623179,12681007,10232653,4349661,3703220,3642883,4416346
62,Preferred Stock,15,65,6,6,6,6,6,6,6,6,1,1,1,- -,- -,- -,- -
63,Common Stock,23668,24302,48246,48854,49000,60615,74339,89755,93776,93919,6716,9093,9136,10641,10723,10753,10858
64,Retained Earnings,-13362433,-25458447,-41599730,-49649815,-59130336,-59285833,-58189658,-53265330,-47949843,-46323440,-45253148,-40322600,-36982937,-31994406,-26769207,-23425622,-18477857
65,Other Comprehensive Income/Loss,-10117,-139071,-158097,-1317696,-696617,-979342,-985988,-766971,-274536,-101169,373516,-2337437,-2038431,-2228663,-2135408,-2321278,-1667059
66,Other Total Stockholders Equity,13837534,25858307,49785244,51564839,51862845,47167905,47436164,48463381,49030396,49033759,49129967,52805456,52839651,58599378,59521665,60132415,- -
67,Total Stockholders Equity,488667,285156,8075669,646188,-7915102,-13036649,-11665137,-5479159,899799,2703075,4257052,10154513,13827420,24386950,30627773,34396268,41049073
68,Total Liabilities And Stockholders Equity,6025628,6934338,13581461,17039284,13137380,9723288,11893527,17047298,20106594,21191700,21880231,22835520,24060073,28736611,34330993,38039151,45465419
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6025628,6934338,13581461,17039284,13137380,9723288,11893527,17047298,20106594,21191700,21880231,22835520,24060073,28736611,34330993,38039151,45465419
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1334325/000114420408011892/v103063_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1334325/000114420409014826/v143161_10k.htm,https://www.sec.gov/Archives/edgar/data/1334325/000114420410004559/0001144204-10-004559-index.html,https://www.sec.gov/Archives/edgar/data/1334325/000149315216012682/form10-k.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334325/000149315218001259/0001493152-18-001259-index.html,https://www.sec.gov/Archives/edgar/data/1334325/000149315219001229/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1334325/000149315220001193/0001493152-20-001193-index.html,https://www.sec.gov/Archives/edgar/data/1334325/000149315221001943/0001493152-21-001943-index.htm,https://www.sec.gov/Archives/edgar/data/1334325/000149315222004191/0001493152-22-004191-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-3807055,-7559170,-14952315,-7920517,-9433138,-1778316,1096175,4924328,5315487,1626403,1070292,4930548,3339663,4988531,5225199,3343585,4947765
74,Depreciation and Amortization,132929,137189,337658,547369,689744,274019,35365,271982,150074,236571,449696,809377,953626,758408,833775,806686,924073
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69782,485126
76,Stock Based Compensation,- -,- -,- -,1067221,290722,51771,- -,19833,- -,- -,9000,119730,134238,448499,650409,610780,1050821
77,Change in Working Capital,-585033,-1361744,4973942,-8803158,4449821,-16470095,1257664,21187325,6069604,-13947,-1791968,1850981,-506641,3740693,6231311,3188968,-3489143
78,Accounts Receivable,- -,- -,- -,56080,593621,160712,-1339520,571259,213255,-1612779,1968328,-1240962,1856090,-1908509,-1105348,2417311,-2193336
79,Inventory,447203,-482882,-975125,609195,-445850,1018311,-222517,-377557,-711767,-968397,279041,1182386,-1053324,-349823,-1527271,-3791759,-1063163
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-692581,516925,-701931,451942,-689341,172400,-3691,18137,326761
81,Other Working Capital,298619,-1063125,3910817,-4892341,-442520,-16912615,-15654951,5532374,11601978,11588031,9796063,11647044,11140403,14881096,21112407,24301375,956251
82,Other Non-Cash Items,689235,8905532,-447690,8847523,2337781,17666206,-3594246,-21528070,-8275956,-1530461,3515248,-3325596,919506,-7505482,-6549425,-3585395,-648872
83,Cash Provided by Operating Activities,-3569924,121807,-10088405,-6261562,-1665070,-256415,-1205042,4875398,3259209,318566,3252268,4385040,4840392,2430649,6391269,4434406,3269770
84,CAPEX,-272157,-144715,-407278,-142968,-66282,-20635,- -,-292473,-630816,-1229966,-2219731,-614220,-2561551,-637152,-2301635,-998335,-964204
85,Acquisitions Net,- -,-958906,-1322955,-763936,-181317,-10061,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,49750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-11466,5279,192451,918614,-11548,-28531,-237675,-147650,196,518496,- -,680449,-163203,-113310
89,Cash Used for Investing Activites,-272157,-1103621,-1730233,-906904,-223796,232140,838404,-292473,-648925,-1229775,-2215703,-614024,-2043055,-637152,-1582558,-998335,-964204
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-32329,-2218000,-492983,-1768990,-746571,-6255114,-964665,-486466,-509549
91,Common Stock Issued,800534,4564100,14677980,- -,- -,- -,281981,- -,- -,- -,- -,- -,- -,5312732,271960,- -,- -
92,Common Stock Repurchased,- -,- -,-1818100,- -,- -,- -,- -,2800,- -,- -,- -,- -,-1100000,- -,- -,- -,- -
93,Dividends Paid,- -,-79650,-637476,-127541,-101256,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2898126,-2106342,-884405,10605377,-1530086,246319,1274387,-1025152,- -,- -,- -,- -,- -,- -,- -,648871,648872
95,Cash Used/Provided by Financing Activities,3698660,2378108,11337999,10477836,-1631342,246319,1556368,-1022352,-32329,-2218000,-492983,-1768990,-1846571,-942382,-692705,162405,139323
96,Effect of Forex Changes on Cash,244503,-161258,18924,-329477,-100056,-282725,-6646,219017,492435,173367,474685,-2710953,299006,-190232,93255,-185870,168478
97,Net Change In Cash,101082,1235036,-461715,2979892,-3620264,-60681,1183085,3779590,3070390,-2955842,1018267,-708927,1249772,660883,4209261,3412606,2613367
98,Cash at the End of Period,142936,1377972,916257,3896149,275885,215204,1398289,5177879,8248269,5292427,6310694,5601767,6851539,7512422,11721683,15134289,17747656
99,Cash at the Beginning of Period,41854,142936,1377972,916257,3896149,275885,215204,1398289,5177879,8248269,5292427,6310694,5601767,6851539,7512422,11721683,15134289
100,Free Cash Flow,-3842081,-22908,-10495683,-6404530,-1731352,-277050,-1205042,4582925,2628393,-911400,1032537,3770820,2278841,1793497,4089634,3436071,2305566
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1334325/000114420408011892/v103063_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1334325/000114420409014826/v143161_10k.htm,https://www.sec.gov/Archives/edgar/data/1334325/000114420410004559/0001144204-10-004559-index.html,https://www.sec.gov/Archives/edgar/data/1334325/000149315216012682/form10-k.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1334325/000149315218001259/0001493152-18-001259-index.html,https://www.sec.gov/Archives/edgar/data/1334325/000149315219001229/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1334325/000149315220001193/0001493152-20-001193-index.html,https://www.sec.gov/Archives/edgar/data/1334325/000149315221001943/0001493152-21-001943-index.htm,https://www.sec.gov/Archives/edgar/data/1334325/000149315222004191/0001493152-22-004191-index.htm
102,false,,,,,,,,,,,,,,,,,
