,https://roic.ai/company/HOFT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,4900000,4988000,6689000,7592000,8103000,8724000,7422000,6296000,4645000,- -,- -,- -,3125000,- -,2570000,2570000,2490000,2599000,2946000,8000000,6647000,7442000,7100000,6778000
15,EBITDA,21927000,28164000,29598000,17742000,32888000,34762000,39215000,26805000,27352000,-17300000,31200000,10700000,8212000,4129000,9558000,15537000,14929000,21997000,27405000,48150000,53667000,60486000,30265000,-7250000
16,EBITDA ratio,0.1068,0.1236,0.1180,0.0802,0.1324,0.1125,0.1134,0.0784,0.0781,-0.3523,0.0985,0.0410,0.0404,0.0192,0.0430,0.0711,0.0654,0.0900,0.1110,0.0834,0.0865,0.0885,0.0495,-0.0134
17,Operating Income,16913000,23534000,22947000,11077000,26319000,25752000,31166000,21155000,22784000,-17200000,29697000,10341000,5186000,4061000,6673000,12940000,12503000,19048000,24262000,39220000,45484000,52675000,22707000,-14364000
18,Operating Income ratio,0.0824,0.1033,0.0915,0.0501,0.1060,0.0833,0.0901,0.0619,0.0651,-0.3503,0.0937,0.0396,0.0255,0.0189,0.0300,0.0592,0.0548,0.0780,0.0982,0.0679,0.0733,0.0771,0.0372,-0.0266
19,Total Other Income Expenses (Gains),114000,-358000,-38000,-927000,-1534000,-2352000,-1242000,-646000,-77000,100000,1503000,359000,-99000,139000,227000,60000,-3000,350000,197000,-24000,288000,-1085000,-780000,-204000
20,Income Before Tax,17027000,23176000,22909000,10150000,24785000,23400000,29924000,20509000,22707000,-17100000,31200000,10700000,5087000,4200000,6900000,13000000,12500000,19398000,24459000,39196000,45772000,51590000,21927000,-14568000
21,Income Before Tax Ratio,0.0829,0.1017,0.0913,0.0459,0.0998,0.0757,0.0865,0.0600,0.0649,-0.3483,0.0985,0.0410,0.0250,0.0195,0.0310,0.0595,0.0548,0.0794,0.0990,0.0679,0.0738,0.0755,0.0359,-0.0270
22,Income Tax expense (Gain),6241000,8881000,7995000,3640000,9394000,8690000,11720000,8024000,8569000,1300000,11500000,3800000,2079000,929000,1888000,4367000,4539000,6820000,8274000,13909000,17522000,11717000,4844000,-4142000
23,Net Income,10786000,14295000,14914000,6510000,15391000,14710000,18204000,12485000,14138000,-18400000,19700000,6900000,3008000,3200000,5100000,8600000,7900000,12578000,16185000,25287000,28250000,39873000,17083000,-10426000
24,Net Income ratio,0.0525,0.0628,0.0595,0.0294,0.0620,0.0476,0.0526,0.0365,0.0404,-0.3747,0.0622,0.0264,0.0148,0.0149,0.0229,0.0394,0.0346,0.0515,0.0655,0.0438,0.0455,0.0583,0.0280,-0.0193
25,EPS,0.70,0.94,1.03,0.56,1.36,1.28,1.56,1.06,1.18,-1.52,1.58,0.62,0.28,0.30,0.47,0.80,0.74,1.17,1.50,2.19,2.45,3.38,1.44,-0.88
26,EPS Diluted,0.70,0.94,1.03,0.56,1.36,1.28,1.56,1.06,1.18,-1.52,1.58,0.62,0.28,0.30,0.47,0.80,0.74,1.16,1.49,2.18,2.44,3.38,1.44,-0.88
27,Weighted Average Shares Outstanding,15384000,15272000,14514000,11618000,11286000,11474000,11669000,11795000,11951000,12100000,12442000,11060000,10753000,10757000,10762000,10745000,10722000,10736000,10779000,11531000,11633000,11759000,11784000,11822000
28,Weighted Average Shares Outstanding Diluted,15384000,15272000,14514000,11618000,11286000,11474000,11669000,11795000,11953000,12100000,12446000,11060000,10760000,10770000,10790000,10775000,10752000,10771000,10807000,11563000,11663000,11783000,11838000,11822000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1077688/000091664100000147/0000916641-00-000147-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000095010901000466/0000950109-01-000466-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000091664102000305/0000916641-02-000305-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000091664103000369/0000916641-03-000369-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000119312504031835/0001193125-04-031835-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000119312505034465/0001193125-05-034465-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000119312506041448/d10k.htm,https://www.sec.gov/Archives/edgar/data/1077688/000119312507042876/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1077688/000117184308000254/0001171843-08-000254-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000114420409021304/0001144204-09-021304-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518510000403/0001185185-10-000403-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518511000487/0001185185-11-000487-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518512000743/hookerfurniture10k012912.htm,https://www.sec.gov/Archives/edgar/data/1077688/000118518513000894/0001185185-13-000894-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518514001026/0001185185-14-001026-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518515000947/0001185185-15-000947-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518516004265/0001185185-16-004265-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518517000924/0001185185-17-000924-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518518000692/0001185185-18-000692-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518519000568/0001185185-19-000568-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518520000497/0001185185-20-000497-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518521000547/0001185185-21-000547-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3625000,157000,1243000,7926000,2316000,14859000,9230000,16365000,31864000,47100000,33100000,11800000,37995000,16600000,40400000,26300000,23900000,38663000,53922000,39792000,30915000,11435000,36031000,65841000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3625000,157000,1243000,7926000,2316000,14859000,9230000,16365000,31864000,47100000,33100000,11800000,37995000,16600000,40400000,26300000,23900000,38663000,53922000,39792000,30915000,11435000,36031000,65841000
34,Net Receivables,23346000,26599000,31019000,29430000,33771000,37601000,40960000,43993000,45444000,37700000,38200000,30300000,25894000,27700000,25800000,28300000,30100000,32245000,28176000,92578000,92803000,112557000,88404000,83290000
35,Inventory,35812000,37051000,42785000,33522000,54959000,42442000,69735000,68718000,68139000,62800000,50600000,60200000,36176000,57400000,34100000,49900000,49000000,44973000,43713000,75303000,84459000,105204000,92813000,70159000
36,Other Current Assets,1637000,2408000,1963000,3727000,2225000,3924000,8916000,5698000,4357000,6800000,3500000,4700000,3468000,5000000,4200000,5200000,4100000,2353000,2256000,4244000,5314000,5735000,4719000,4432000
37,Total Current Assets,64420000,66215000,77010000,74605000,93271000,98826000,128841000,134774000,149804000,154400000,125400000,107000000,103533000,106700000,104500000,109700000,107100000,118234000,128067000,211917000,213491000,234931000,221967000,223722000
38,PP&E,41500000,45138000,48767000,49952000,49577000,53582000,44142000,37006000,29215000,24800000,25400000,24600000,22747000,20700000,21700000,22800000,23800000,22824000,22768000,25803000,29249000,29482000,69419000,61393000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,2396000,2400000,3800000,- -,- -,- -,- -,- -,- -,- -,- -,23187000,40058000,40058000,40058000,490000
40,Intangible Assets,- -,- -,- -,- -,- -,7336000,7161000,6986000,4415000,4400000,5900000,4800000,3468000,3100000,1300000,1300000,1400000,1382000,1382000,25923000,38139000,35755000,33371000,26237000
41,Intangible Assets,- -,- -,- -,- -,- -,7336000,7161000,6986000,6811000,6800000,9700000,4800000,3468000,3100000,1300000,1300000,1400000,1382000,1382000,49110000,78197000,75813000,73429000,26727000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5350000,- -,- -,- -,- -,14173000
44,Other Non-Current Assets,5313000,5070000,7754000,6138000,7033000,7355000,8774000,10286000,15469000,16500000,14700000,17100000,19351000,19900000,21700000,22000000,23200000,28315000,24086000,31866000,29121000,29490000,28893000,26258000
45,Total Non-Current Assets,46813000,50208000,56521000,56090000,56610000,68273000,60077000,54278000,51495000,48100000,49800000,46500000,45566000,43700000,44700000,46100000,48400000,52521000,53586000,106779000,136567000,134785000,171741000,128551000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,111233000,116423000,133531000,130695000,149881000,167099000,188918000,189052000,201299000,202500000,175200000,153500000,149099000,150400000,149200000,155800000,155500000,170755000,181653000,318696000,350058000,369716000,393708000,352273000
48,Accounts Payable,4757000,3776000,5406000,4088000,5427000,6945000,14930000,13872000,11251000,10100000,13000000,8400000,10425000,11800000,9200000,11600000,7100000,10293000,9105000,36552000,32685000,40838000,25493000,32213000
49,Short-Term Debt,- -,- -,1581000,2730000,2905000,8671000,6671000,2283000,2457000,- -,2694000,2899000,- -,- -,- -,- -,- -,- -,- -,5817000,7528000,5829000,12141000,6650000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1368000,357000,4323000,3711000,3159000,- -,501000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,797000,- -,- -,3023000,3351000,4256000
52,Other Current Liabilities,7870000,7882000,9354000,8163000,13563000,8396000,10101000,8900000,12068000,17100000,7406000,4501000,5214000,5600000,5800000,5900000,5800000,8774000,6703000,21691000,20116000,14725000,9144000,10991000
53,Total Current Liabilities,12627000,11658000,16341000,14981000,21895000,24012000,31702000,25055000,25776000,27200000,23100000,15800000,15639000,17400000,15000000,17500000,12900000,19067000,16605000,64060000,60329000,64415000,50129000,54110000
54,Long-Term Debt,12062000,7000000,27919000,24181000,21798000,22166000,16495000,11012000,8555000,7900000,5200000,2300000,- -,- -,- -,- -,- -,- -,- -,41772000,45778000,29628000,24282000,29441000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4494000,4051000,90000,- -,7264000,3264000,4522000,- -,- -
57,Other Non-Current Liabilities,12644000,12531000,13712000,13792000,5144000,4657000,4136000,4373000,4432000,5100000,6100000,5700000,5868000,6200000,7100000,2806000,3749000,8689000,8987000,7673000,11227000,7975000,45176000,11219000
58,Total Non-Current Liabilities,24706000,19531000,41631000,37973000,26942000,26823000,20631000,15385000,12987000,13000000,11300000,8000000,5868000,6200000,7100000,7300000,7800000,8779000,8987000,56709000,60269000,42125000,69458000,40660000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40101000,36091000
61,Total Liabilities,37333000,31189000,57972000,52954000,48837000,50835000,52333000,40440000,38763000,40200000,34400000,23800000,21507000,23600000,22100000,24800000,20700000,27846000,25592000,120769000,120598000,106540000,119587000,94770000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2435000,2418000,2605000,2789000,3025000,4609000,7385000,9516000,11181000,20800000,18200000,17000000,- -,17200000,17300000,17400000,17600000,17852000,18667000,39753000,48970000,49549000,51582000,53323000
64,Retained Earnings,71465000,82816000,94963000,97432000,119213000,131468000,146886000,155183000,166326000,141500000,122800000,112500000,110073000,109000000,109700000,113500000,117100000,125392000,137255000,157688000,180122000,213380000,223252000,204988000
65,Other Comprehensive Income/Loss,- -,- -,- -,-62574000,-21194000,-19813000,-17686000,-16087000,-14971000,-200000,-191000,265000,443000,609000,109000,202000,98000,-335000,139000,486000,368000,247000,-713000,-808000
66,Other Total Stockholders Equity,- -,- -,- -,40094000,- -,- -,- -,- -,- -,200000,17000,-55000,55122000,-39000,4000,-57000,5000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,73900000,85234000,75559000,77741000,101044000,116264000,136585000,148612000,162536000,162300000,140826000,129710000,127592000,126770000,127113000,131045000,134803000,142909000,156061000,197927000,229460000,263176000,274121000,257503000
68,Total Liabilities And Stockholders Equity,111233000,116423000,133531000,130695000,149881000,167099000,188918000,189052000,201299000,202500000,175226000,153510000,149099000,150370000,149213000,155845000,155503000,170755000,181653000,318696000,350058000,369716000,393708000,352273000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000,-10000,- -,30000,-13000,-45000,-3000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,111233000,116423000,133531000,130695000,149881000,167099000,188918000,189052000,201299000,202500000,175200000,153500000,149099000,150400000,149200000,155800000,155500000,170755000,181653000,318696000,350058000,369716000,393708000,352273000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1077688/000091664100000147/0000916641-00-000147-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000095010901000466/0000950109-01-000466-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000091664102000305/0000916641-02-000305-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000091664103000369/0000916641-03-000369-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000119312504031835/0001193125-04-031835-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000119312505034465/0001193125-05-034465-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000119312506041448/d10k.htm,https://www.sec.gov/Archives/edgar/data/1077688/000119312507042876/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1077688/000117184308000254/0001171843-08-000254-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000114420409021304/0001144204-09-021304-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518510000403/0001185185-10-000403-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518511000487/0001185185-11-000487-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518512000743/hookerfurniture10k012912.htm,https://www.sec.gov/Archives/edgar/data/1077688/000118518513000894/0001185185-13-000894-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518514001026/0001185185-14-001026-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518515000947/0001185185-15-000947-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518516004265/0001185185-16-004265-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518517000924/0001185185-17-000924-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518518000692/0001185185-18-000692-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518519000568/0001185185-19-000568-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518520000497/0001185185-20-000497-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518521000547/0001185185-21-000547-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10786000,14295000,14914000,6510000,15391000,14710000,18204000,12485000,14138000,-18400000,19700000,6900000,3008000,3200000,5100000,8600000,7900000,12578000,16185000,25287000,28250000,39873000,17083000,-10426000
74,Depreciation and Amortization,4900000,4988000,6689000,7592000,8103000,8724000,7422000,6296000,4645000,- -,- -,- -,3125000,- -,2570000,2570000,2490000,2599000,2946000,8000000,6647000,7442000,7100000,6778000
75,Deferred Income Tax,- -,- -,- -,- -,-634000,2300000,41000,-1479000,-3273000,- -,- -,- -,239000,- -,-40000,20000,340000,-135000,544000,-2224000,4110000,-1221000,1940000,-11262000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000,74000,- -,225000,-38000,465000,338000,123000,829000,1157000,1175000,1284000,1296000,1741000
77,Change in Working Capital,68000,2764000,6112000,-1045000,11752000,3438000,22325000,12580000,14309000,3172000,-24900000,-11100000,-3306000,1406000,200000,2700000,2000000,4967000,12295000,36395000,5305000,17354000,1322000,-2226000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000,2972000,5767000,3007000,2451000,-1502000,2526000,-1576000,-3780000,4174000,-21507000,4224000,-17982000,25339000,-323000
79,Inventory,-2337000,-1239000,-5734000,9263000,-21437000,18641000,-27333000,992000,579000,5300000,18757000,-9629000,24072000,21262000,-23302000,15736000,856000,4043000,1260000,6016000,-6776000,-21323000,12391000,22654000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -,- -,2033000,1360000,-2552000,2387000,-4499000,3216000,-1273000,4662000,-4623000,8130000,-15349000,6686000
81,Other Working Capital,51793000,54557000,60669000,59624000,71376000,74814000,97139000,109719000,124028000,127200000,102300000,91200000,87894000,89300000,89500000,92200000,94200000,99167000,111462000,147857000,153162000,170516000,171838000,169612000
82,Other Non-Cash Items,-620000,-8782000,-11336000,7403000,-28917000,12935000,-40543000,-10258000,-7491000,31448000,48983000,6186000,34359000,-20291000,24488000,-17685000,-7368000,2636000,-9763000,-37375000,-17741000,-55070000,12688000,83658000
83,Cash Provided by Operating Activities,15134000,13265000,16379000,20460000,5695000,42107000,7449000,19624000,22328000,16220000,43830000,2060000,37425000,-15460000,32280000,-3330000,5700000,22768000,23036000,31240000,27746000,9662000,41429000,68263000
84,CAPEX,-11486000,-8626000,-12008000,-8797000,-6082000,-3974000,-3702000,-3590000,-4268000,-420000,-1942000,-2271000,-1678000,-2010000,-3805000,-4061000,-3471000,-2994000,-2847000,-2454000,-3166000,-5214000,-5129000,-1210000
85,Acquisitions Net,- -,- -,- -,-801000,- -,-22083000,- -,- -,- -,- -,-15826000,-181000,- -,- -,- -,- -,- -,- -,- -,-86062000,-32773000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-671000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-801000,3580000,18000,92000,181000,5226000,3409000,20000,3498000,372000,-29000,410000,-425000,112000,-389000,-687000,-608000,455000,-544000,703000,875000,734000
89,Cash Used for Investing Activites,-11486000,-8626000,-12809000,-6018000,-6064000,-25965000,-2621000,1636000,-859000,-400000,-14270000,-2080000,-1707000,-1600000,-4230000,-4620000,-3860000,-3681000,-3455000,-88061000,-36483000,-4511000,-4254000,-476000
90,Debt Repayment,-4800000,-9800000,-18500000,- -,- -,- -,- -,- -,- -,- -,-12717000,-7219000,-10077000,-3938000,-1987000,-2901000,5534000,4696000,- -,-12290000,-6285000,-17917000,-5368000,-30139000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-775000,-755000,- -,-25411000,-1167000,- -,- -,-930000,- -,- -,-36030000,-14100000,- -,- -,- -,-670000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2152000,-2290000,-2484000,-2259000,-1866000,-2455000,-2786000,-3286000,-3687000,- -,-5040000,-4460000,-4309000,-4310000,-4320000,-5390000,-4300000,-4306000,-4322000,-4854000,-5816000,-6714000,-7211000,-7838000
94,Other Financing Activites,6877000,4738000,18500000,19911000,-2208000,-1144000,-7671000,-9909000,-2283000,-600000,10217000,4529000,4859000,3938000,1987000,2901000,-5534000,-4696000,- -,59835000,11961000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-850000,-8107000,-2484000,-7759000,-5241000,-3599000,-10457000,-14125000,-5970000,-600000,-43570000,-21250000,-9527000,-4310000,-4320000,-6060000,-4300000,-4306000,-4322000,42691000,-140000,-24631000,-12579000,-37977000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2798000,-3468000,1086000,6683000,-5610000,12543000,-5629000,7135000,15499000,15220000,-14010000,-21270000,26191000,-21370000,23730000,-14010000,-2460000,14781000,15259000,-14130000,-8877000,-19480000,24596000,29810000
98,Cash at the End of Period,3625000,157000,1243000,7926000,2316000,14859000,9230000,16365000,31864000,47120000,33090000,11830000,37995000,16630000,40330000,26390000,23840000,38681000,53922000,39792000,30915000,11435000,36031000,65841000
99,Cash at the Beginning of Period,827000,3625000,157000,1243000,7926000,2316000,14859000,9230000,16365000,31900000,47100000,33100000,11804000,38000000,16600000,40400000,26300000,23900000,38663000,53922000,39792000,30915000,11435000,36031000
100,Free Cash Flow,3648000,4639000,4371000,11663000,-387000,38133000,3747000,16034000,18060000,15800000,41890000,-210000,35747000,-17470000,28470000,-7390000,2100000,19774000,20189000,28786000,24580000,4448000,36300000,67053000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1077688/000091664100000147/0000916641-00-000147-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000095010901000466/0000950109-01-000466-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000091664102000305/0000916641-02-000305-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000091664103000369/0000916641-03-000369-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000119312504031835/0001193125-04-031835-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000119312505034465/0001193125-05-034465-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000119312506041448/d10k.htm,https://www.sec.gov/Archives/edgar/data/1077688/000119312507042876/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1077688/000117184308000254/0001171843-08-000254-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000114420409021304/0001144204-09-021304-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518510000403/0001185185-10-000403-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518511000487/0001185185-11-000487-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518512000743/hookerfurniture10k012912.htm,https://www.sec.gov/Archives/edgar/data/1077688/000118518513000894/0001185185-13-000894-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518514001026/0001185185-14-001026-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518515000947/0001185185-15-000947-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518516004265/0001185185-16-004265-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518517000924/0001185185-17-000924-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518518000692/0001185185-18-000692-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518519000568/0001185185-19-000568-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518520000497/0001185185-20-000497-index.html,https://www.sec.gov/Archives/edgar/data/1077688/000118518521000547/0001185185-21-000547-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
