,https://roic.ai/company/TRTX,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1630472/000156459018003266/0001564590-18-003266-index.html,https://www.sec.gov/Archives/edgar/data/1630472/000156459019004202/0001564590-19-004202-index.html,https://www.sec.gov/Archives/edgar/data/1630472/000156459020005108/0001564590-20-005108-index.html,https://www.sec.gov/Archives/edgar/data/1630472/000156459021008107/0001564590-21-008107-index.htm,https://www.sec.gov/Archives/edgar/data/1630472/000156459022006015/0001564590-22-006015-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,59355000,69967000,94352000,106941000,126313000,-136826000,138550000
74,Depreciation and Amortization,- -,28000,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,33000,665000,2556000,5768000,5763000
77,Change in Working Capital,41085000,- -,-1688375000,729325000,-517886000,1795972000,-63000
78,Accounts Receivable,36587000,2400000,-2553000,-5167000,-8855000,2648000,1785000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,500000,984000,2478000,761000,519000,-4036000,93000
81,Other Working Capital,- -,- -,-1688375000,-959050000,-1476936000,319036000,- -
82,Other Non-Cash Items,-1831000,15739000,1685163000,-729234000,510682000,-1532829000,-12083000
83,Cash Provided by Operating Activities,98609000,85734000,91173000,107697000,121665000,132085000,132167000
84,CAPEX,- -,- -,-111000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-168888000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,94790000,766437000,- -
88,Other Investing Activites,-114773000,-544725000,-702471000,-1192865000,-1403420000,367036000,-342898000
89,Cash Used for Investing Activites,-114773000,-544725000,-702582000,-1192865000,-1308630000,964585000,-342898000
90,Debt Repayment,-508746000,-909412000,-1356592000,-2558383000,-4555140000,-2258366000,-1728243000
91,Common Stock Issued,188314000,250000000,244019000,139440000,174549000,12895000,- -
92,Common Stock Repurchased,-55574000,- -,-13851000,-8967000,-42000,- -,-247485000
93,Dividends Paid,-39663000,-73133000,-80294000,-103207000,-124610000,-111633000,-98283000
94,Other Financing Activites,526120000,1189726000,1789889000,3581268000,5731154000,1500436000,2226112000
95,Cash Used/Provided by Financing Activities,110451000,457181000,583171000,1050151000,1225911000,-856668000,152101000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,94287000,-1810000,-28238000,-35017000,38946000,240002000,-58630000
98,Cash at the End of Period,105951000,103126000,75737000,40720000,79666000,319668000,261039000
99,Cash at the Beginning of Period,11664000,104936000,103975000,75737000,40720000,79666000,319669000
100,Free Cash Flow,98609000,85734000,91062000,107697000,121665000,132085000,132167000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1630472/000156459018003266/0001564590-18-003266-index.html,https://www.sec.gov/Archives/edgar/data/1630472/000156459019004202/0001564590-19-004202-index.html,https://www.sec.gov/Archives/edgar/data/1630472/000156459020005108/0001564590-20-005108-index.html,https://www.sec.gov/Archives/edgar/data/1630472/000156459021008107/0001564590-21-008107-index.htm,https://www.sec.gov/Archives/edgar/data/1630472/000156459022006015/0001564590-22-006015-index.htm
102,false,,,,,,,
