,https://roic.ai/company/GSL,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,19648000,502000,- -,3500000,1400000,1300000,5400000,1300000,2123000,622000,2278000,4299000,12903000,9161000,9424000,13159000
49,Short-Term Debt,17819000,401100000,1608000,70419000,44500000,46000000,50572000,50110000,- -,35160000,31026000,40000000,64088000,87532000,76681000,190316000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,462000,796000,1940000000,2178000,3118000,- -,5623000,8496000
52,Other Current Liabilities,376000,7487000,17392000,20581000,25500000,23000000,19728000,17790000,17397000,17054000,-1924589000,8788000,15407000,32903000,20485000,32792000
53,Total Current Liabilities,37843000,409089000,19000000,94500000,71400000,70300000,75700000,69200000,19982000,53632000,48715000,55265000,95516000,129596000,112213000,244763000
54,Long-Term Debt,121339000,- -,590100000,567900000,536300000,485600000,420100000,361200000,401869000,442913000,388847000,358515000,813130000,809357000,692775000,880134000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101288000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,15289000,178061000,62500000,37400000,48800000,49400000,41300000,28400000,13727000,11609000,9802000,10499000,8479000,6470000,4462000,55376000
58,Total Non-Current Liabilities,136628000,178061000,652600000,605300000,585100000,535000000,461400000,389600000,415596000,454522000,398649000,369014000,821609000,815827000,697237000,1036798000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,17819000,401100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,174471000,587150000,671600000,699800000,656500000,605300000,537100000,458800000,435578000,508154000,447364000,424279000,917125000,945423000,809450000,1281561000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,3000,3000,- -
63,Common Stock,- -,- -,500000,500000,500000,500000,500000,500000,549000,549000,550000,69000,99000,175000,177000,365000
64,Retained Earnings,- -,-96925000,-53300000,-23300000,-27300000,-18200000,13700000,46200000,51237000,9792000,-58365000,-135693000,-196119000,-159362000,-121794000,13498000
65,Other Comprehensive Income/Loss,21969000,4739000,- -,-45800000,-85800000,-122300000,-158200000,-196600000,-234146000,-248306000,-376165000,-148014000,-111611000,-151350000,-157202000,227000
66,Other Total Stockholders Equity,169996000,184400000,347839000,396155000,437164000,474200000,510588000,549366000,620496000,634731000,762873000,535243000,623990000,716936000,743557000,698463000
67,Total Stockholders Equity,169996000,87475000,295039000,327555000,324564000,334200000,366588000,399466000,438136000,396766000,328893000,251605000,316362000,406402000,464741000,712553000
68,Total Liabilities And Stockholders Equity,344467000,674625000,966639000,1027355000,981064000,939500000,903688000,858266000,873714000,904920000,776257000,675884000,1233487000,1351825000,1274191000,1994114000
69,Minority Interest,- -,- -,-39000,45000,-64000,- -,12000,-66000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,344467000,674625000,966600000,1027400000,981000000,939500000,903700000,858200000,873714000,904920000,776257000,675884000,1233487000,1351825000,1274191000,1994114000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1430725/000119312509137683/0001193125-09-137683-index.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312510123410/d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312511144645/d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312512162876/d288661d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312513153007/d462471d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312514152688/d653401d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312515139908/d818512d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312516543227/d77086d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312517121381/d309436d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000156459018007059/0001564590-18-007059-index.html,https://www.sec.gov/Archives/edgar/data/1430725/000119312519092952/0001193125-19-092952-index.html,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,32677000,16776000,-43970000,42400000,-4000000,9100000,31900000,32500000,6110000,-28875000,-65095000,-74266000,-57364000,39838000,41563000,171495000
74,Depreciation and Amortization,16664000,16119000,20827000,35758000,37932000,38012000,38224000,38266000,38940000,42740000,40701000,36174000,34150000,45845000,46437000,16133000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1167000,2513000,980000,565000,460000,360000,177000,75000,283000,272000,50000,1717000,1998000,3510000
77,Change in Working Capital,10148000,-9528000,-3917000,-6051000,28000,-7775000,3159000,2071000,16581000,-762000,433000,-2281000,-6764000,1733000,-1664000,63687000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-810000,3836000,9458000,-607000,219000,-441000,5019000,-1393000,3132000,-33211000
79,Inventory,-1232000,2390000,1613000,- -,- -,- -,- -,- -,-553000,-160000,57000,-188000,-2250000,174000,-721000,-5094000
80,Accounts Payable,- -,- -,- -,2165000,-992000,-823000,3958000,-1772000,7225000,-315000,-1751000,-3030000,-9117000,2284000,-2215000,5939000
81,Other Working Capital,- -,- -,-1460000,-1706000,15322000,- -,11000,7000,451000,320000,1908000,1378000,-416000,668000,-1860000,103053000
82,Other Non-Cash Items,-36645000,33220000,60570000,-1708000,50087000,34970000,9955000,1147000,-905000,49159000,94830000,97919000,77670000,4248000,16095000,9124000
83,Cash Provided by Operating Activities,22844000,56587000,34677000,72912000,85027000,74872000,83698000,74344000,60903000,62337000,71152000,57818000,47742000,93381000,104429000,263949000
84,CAPEX,- -,- -,-272927000,-83639000,-1682000,-156000,-5914000,-2598000,-57927000,-101222000,-6935000,-4887000,-14311000,-99099000,-46446000,-490863000
85,Acquisitions Net,- -,- -,-6547000,- -,- -,- -,- -,- -,- -,- -,- -,- -,24037000,-826000,- -,- -
86,Purchases of Investments,- -,- -,-5503000,-13121000,-16727000,- -,-18402000,-14045000,-22146000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-106297000,-183807000,317446000,- -,-13645000,-27195000,- -,-43000,-7000,-3000,-6000,-8000,14504000,- -,6852000,16514000
89,Cash Used for Investing Activites,-106297000,-183807000,32469000,-96760000,-32054000,-27254000,-24316000,-16643000,-80080000,-101225000,-6941000,-4895000,24230000,-99925000,-39594000,-474349000
90,Debt Repayment,-19095000,-146166000,-304218000,-10908000,-55423000,-49157000,-59051000,-59310000,-366366000,-2275000,-60497000,-429363000,-58171000,-343938000,-200648000,-504317000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50710000,-74000,67549000
92,Common Stock Repurchased,- -,- -,-147053000,- -,- -,- -,-3024000,- -,-36400000,- -,- -,- -,- -,- -,-74000,-10000000
93,Dividends Paid,- -,- -,-15624000,-12371000,- -,- -,- -,- -,-1114000,-12570000,-3062000,-3062000,-3062000,-3081000,-3995000,-36203000
94,Other Financing Activites,102548000,275277000,439868000,51574000,- -,-1007000,3024000,- -,431816000,74029000,- -,398525000,6067000,360417000,84582000,804651000
95,Cash Used/Provided by Financing Activities,83453000,129111000,-27027000,28295000,-55423000,-50164000,-59051000,-59310000,27936000,59184000,-63559000,-33900000,-55166000,64108000,-120209000,321680000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,83453000,129111000,24472000,4447000,-2450000,-2546000,331000,-1609000,8759000,20296000,652000,19023000,16806000,57564000,-55374000,111280000
98,Cash at the End of Period,- -,1891000,26363000,30810000,28360000,25814000,26145000,24536000,33295000,53591000,54243000,73266000,90072000,147636000,92262000,203542000
99,Cash at the Beginning of Period,- -,- -,1891000,26363000,30810000,28360000,25814000,26145000,24536000,33295000,53591000,54243000,73266000,90072000,147636000,92262000
100,Free Cash Flow,22844000,56587000,-238250000,-10727000,83345000,74716000,77784000,71746000,2976000,-38885000,64217000,52931000,33431000,-5718000,57983000,-226914000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1430725/000119312509137683/0001193125-09-137683-index.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312510123410/d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312511144645/d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312512162876/d288661d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312513153007/d462471d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312514152688/d653401d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312515139908/d818512d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312516543227/d77086d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312517121381/d309436d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000156459018007059/0001564590-18-007059-index.html,https://www.sec.gov/Archives/edgar/data/1430725/000119312519092952/0001193125-19-092952-index.html,- -,- -,- -
102,false,,,,,,,,,,,,,,,,
