,https://roic.ai/company/DMAC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-2.33,-0.52,-1.54,-2.83,-1.97,-2.48,-3.00,-2.94,-4.02,-2.63,-1.55,-0.43,-0.40,-0.72,-0.74,-0.89,-0.78,-0.65
26,EPS Diluted,-2.33,-0.52,-1.54,-2.83,-1.97,-2.48,-3.00,-2.94,-4.02,-2.63,-1.55,-0.43,-0.40,-0.72,-0.74,-0.89,-0.78,-0.65
27,Weighted Average Shares Outstanding,272161,420152,876028,802304,909716,960478,1431871,2256955,2445849,2731269,3037810,3624730,4735751,5935790,7743520,11987696,15680320,20773399
28,Weighted Average Shares Outstanding Diluted,272161,420152,876028,802304,909716,960478,1431871,2256955,2445849,2731269,3037810,3624730,4735751,5935790,7743520,11987696,15680320,20773399
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401040/000143774919005272/0001437749-19-005272-index.htm,https://www.sec.gov/Archives/edgar/data/1401040/000143774920005906/0001437749-20-005906-index.html,https://www.sec.gov/Archives/edgar/data/1401040/000143774921005541/0001437749-21-005541-index.htm,https://www.sec.gov/Archives/edgar/data/1401040/000143774922006163/0001437749-22-006163-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7636,274765,269604,3501580,2467888,629526,2836770,2651972,2339746,2521200,203786,165693,1736361,1353000,16823000,3883000,7409000,4707000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3995000,20098000,- -
33,Cash and Short-Term Investments,7636,274765,269604,3501580,2467888,629526,2836770,2651972,2339746,2521200,203786,165693,1736361,1353000,16823000,7878000,27507000,4707000
34,Net Receivables,19972,30168,57057,95519,31108,47862,220952,50390,20511,14345,8401,9591,51974,80000,780000,823000,340000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,13492,9883,50063,42047,17235,83812,33702,104265,81672,53840,32831,65222,61000,369000,135000,74000,40732000
37,Total Current Assets,27608,318425,336544,3647161,2541044,694623,3141533,2736064,2464523,2617217,266027,208114,1853557,1494000,17972000,8836000,27921000,45439000
38,PP&E,19549,16114,13072,154351,99779,87866,8887,7480,6594,19656,15561,14294,19395,37000,96000,217000,174000,112000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,169172,228061,357247,535675,356800,462991,5927034,- -,1376083,269268,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,169172,228061,357247,535675,356800,462991,5927034,3583270,1376083,269268,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40405000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-0,0,- -,- -,0,- -,0,- -,0,- -,- -,- -,- -,271000,271000,- -,- -,-40405000
45,Total Non-Current Assets,188722,244175,370319,690026,456578,550857,5935920,3590750,1382677,288924,15561,14294,19395,308000,367000,217000,174000,112000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,216330,562600,706863,4337188,2997622,1245480,9077454,6326814,3847200,2906141,281588,222408,1872952,1802000,18339000,9053000,28095000,45551000
48,Accounts Payable,665327,56495,53269,272384,- -,- -,- -,- -,1191719,372078,959976,672355,326627,513000,483000,182000,1099000,509000
49,Short-Term Debt,168179,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,60000,65000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000,52000,8000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33028,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,443046,- -,- -,- -,218013,197873,554100,364565,390715,1152429,850495,358359,300339,490000,808000,1076000,864000,1015000
53,Total Current Liabilities,1276552,56495,53269,272384,218013,197873,554100,364565,1582434,1524508,1810472,1063743,626966,1003000,1296000,1318000,2028000,1524000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388173,- -,- -,18000,118000,46000,3000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388173,- -,- -,18000,118000,53000,3000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,776346,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000,178000,118000,- -
61,Total Liabilities,1276552,56495,53269,272384,218013,197873,554100,364565,1582434,1524508,1810472,1451916,626966,1003000,1314000,1436000,2081000,1527000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40993676,- -,- -,- -,- -,- -
64,Retained Earnings,-1970078,-2249786,-3019698,-5887735,-6644517,-10158054,-14901080,-21187947,-31796924,-37119287,-38864482,-33954302,-46707308,-40234000,-45968000,-56617000,-68909000,-82501000
65,Other Comprehensive Income/Loss,13585,-20166,-23077,91445,-57404,-94983,-8025,-10660,-15805,-19213,-20090,-20918,587077,610884,-24000,2000,-2000,-51000
66,Other Total Stockholders Equity,933985,2776058,3696370,9991024,9481530,11300644,23432458,27160856,34077495,38520133,37355688,32745712,6372541,41059000,63017000,64277000,94925000,126576000
67,Total Stockholders Equity,-1060222,506106,653595,4064804,2779609,1047607,8523353,5962249,2264766,1381634,-1528884,-1229508,1245986,799000,17025000,7617000,26014000,44024000
68,Total Liabilities And Stockholders Equity,216330,562600,706863,4337188,2997622,1245480,9077454,6326814,3847200,2906141,281588,222408,1872952,1802000,18339000,9053000,28095000,45551000
69,Minority Interest,-0,0,- -,- -,- -,- -,- -,0,0,-0,0,-0,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,216330,562600,706863,4337188,2997622,1245480,9077454,6326814,3847200,2906141,281588,222408,1872952,1802000,18339000,9053000,28095000,45551000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401040/000143774919005272/0001437749-19-005272-index.htm,https://www.sec.gov/Archives/edgar/data/1401040/000143774920005906/0001437749-20-005906-index.html,https://www.sec.gov/Archives/edgar/data/1401040/000143774921005541/0001437749-21-005541-index.htm,https://www.sec.gov/Archives/edgar/data/1401040/000143774922006163/0001437749-22-006163-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-640020,-210602,-778018,-2333499,-1853536,-2435413,-4266283,-6608144,-10051607,-7410961,-4817738,-1442558,-2223144,-4260000,-5734000,-10649000,-12292000,-13592000
74,Depreciation and Amortization,6410,28153,3319,18354,26742,30202,1667690,2303320,2365903,1107422,2468,4112,2196,4000,15000,21000,21000,161000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,155331,252398,294487,- -,1032072,704574,343303,125488,263310,409000,620000,1164000,1843000,1558000
77,Change in Working Capital,500302,1510874,21345,3091502,-1051747,-1826280,2090683,-215934,-1489410,210621,-2637154,688816,2082219,-735591,16185000,-9158000,18375000,18022000
78,Accounts Receivable,- -,- -,- -,- -,46617,-11706,-170844,- -,- -,- -,4757,- -,-42358,-27000,-700000,-43000,483000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-599065,248000,- -,-301000,917000,-590000
81,Other Working Capital,-1248944,261930,283276,3374777,2323030,496750,2587433,2371499,882088,1092709,-1544445,-855628,1226591,491000,16676000,7518000,25893000,43915000
82,Other Non-Cash Items,33954,-2159591,-47805,-1989708,1256855,1832386,-2163345,1084742,2659217,-114262,3353445,-741789,-3147760,682591,-16782000,9520000,-17132000,-18401000
83,Cash Provided by Operating Activities,-99354,-831166,-801159,-1213352,-1466355,-2146707,-2376769,-3436017,-5483825,-5502606,-3755675,-1365931,-3023179,-3900000,-5696000,-9102000,-9185000,-12252000
84,CAPEX,-103463,-76986,-108895,-296169,-85263,-92089,-57764,-79310,-63372,-134270,-31328,-5388,-6893,-22000,-50000,-2000,-47000,-22000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,149,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12919000,-39746000,-69813000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,23643000,49296000
88,Other Investing Activites,- -,- -,- -,- -,-84994,-91927,-50393,-77737,-59590,-116329,-31328,- -,- -,- -,- -,13000,16000,2000
89,Cash Used for Investing Activites,-103463,-76986,-108895,-296169,-85263,-92089,-57615,-79310,-63372,-134270,-31328,-5388,-6893,-22000,-50000,-3908000,-16134000,-20537000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000,-5000,-6000
91,Common Stock Issued,24604,1349092,905883,4693773,1170192,- -,1787534,3176874,282862,5890129,1678282,1366536,4121845,2917000,20566000,- -,28805000,29849000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,134905,-174079,- -,- -,- -,- -,2824548,211557,4882347,81888,- -,- -,470780,622000,650000,75000,45000,244000
95,Cash Used/Provided by Financing Activities,159510,1175013,905883,4693773,1170192,- -,4612082,3388431,5165209,5972017,1678282,1366536,4592625,3539000,21216000,70000,28845000,30087000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7674,67425,- -,- -,- -,- -
97,Net Change In Cash,-43307,266861,-4171,3184252,-381426,-2238796,2177699,-126896,-381988,335141,-2108722,-4783,1570227,-383000,15470000,-12940000,3526000,-2702000
98,Cash at the End of Period,7636,274765,269604,3501580,2467888,629526,2836770,2651972,2339746,2521200,203786,165693,1736361,1353000,16823000,3883000,7409000,4707000
99,Cash at the Beginning of Period,50943,7904,273775,317328,2849314,2868322,659072,2778868,2721734,2186059,2312508,170475,166134,1736000,1353000,16823000,3883000,7409000
100,Free Cash Flow,-202817,-908152,-910054,-1509520,-1551618,-2238796,-2434532,-3515327,-5547197,-5636877,-3787004,-1371319,-3030072,-3922000,-5746000,-9104000,-9232000,-12274000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1401040/000143774919005272/0001437749-19-005272-index.htm,https://www.sec.gov/Archives/edgar/data/1401040/000143774920005906/0001437749-20-005906-index.html,https://www.sec.gov/Archives/edgar/data/1401040/000143774921005541/0001437749-21-005541-index.htm,https://www.sec.gov/Archives/edgar/data/1401040/000143774922006163/0001437749-22-006163-index.htm
102,false,,,,,,,,,,,,,,,,,,
