,https://roic.ai/company/KLDO,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,15745000,55762000,998000,2655000,3814000,4298000
58,Total Non-Current Liabilities,20696000,70572000,15829000,23046000,22189000,9848000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,104000,91000,68000,- -,- -
61,Total Liabilities,21906000,74426000,27130000,33423000,38848000,39530000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,9000,10000,24000,30000,36000,- -
64,Retained Earnings,-16925000,-44484000,-106228000,-192559000,-274179000,-364467000
65,Other Comprehensive Income/Loss,-115000,-431000,-1221000,-2539000,- -,- -
66,Other Total Stockholders Equity,115000,1226000,165620000,243951000,294639000,375074000
67,Total Stockholders Equity,-16916000,-43679000,58195000,48883000,20496000,10607000
68,Total Liabilities And Stockholders Equity,4990000,30747000,85325000,82306000,59344000,50137000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4990000,30747000,85325000,82306000,59344000,50137000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1751299/000156459020007969/0001564590-20-007969-index.html,https://www.sec.gov/Archives/edgar/data/1751299/000156459021010420/0001564590-21-010420-index.htm,https://www.sec.gov/Archives/edgar/data/1751299/000095017022005256/0000950170-22-005256-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-9685000,-27559000,-61744000,-86331000,-81620000,-90288000
74,Depreciation and Amortization,99000,316000,792000,1318000,1823000,2358000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,58000,590000,6964000,10068000,12684000,10342000
77,Change in Working Capital,56000,21544000,40245000,-2040000,-30840000,-19433000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,298000,13000,1837000,-684000,3301000,281000
81,Other Working Capital,3153000,24697000,64942000,62902000,32062000,12629000
82,Other Non-Cash Items,122000,-17386000,-32573000,1189000,36435000,19927000
83,Cash Provided by Operating Activities,-9350000,-22495000,-46316000,-75796000,-61518000,-77094000
84,CAPEX,-195000,-1406000,-3002000,-3586000,-4024000,-1129000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,438000
89,Cash Used for Investing Activites,-195000,-1406000,-3002000,-3586000,-4024000,-691000
90,Debt Repayment,-46000,-86000,-105000,-30091000,-68000,-20000
91,Common Stock Issued,- -,- -,- -,67761000,37756000,471000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10980000,49822000,99012000,36972000,2711000,69586000
95,Cash Used/Provided by Financing Activities,10934000,49736000,98907000,74642000,40399000,70037000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1389000,25835000,49589000,-4740000,-25143000,-7748000
98,Cash at the End of Period,2842000,28677000,78266000,73526000,48383000,40635000
99,Cash at the Beginning of Period,1453000,2842000,28677000,78266000,73526000,48383000
100,Free Cash Flow,-9545000,-23901000,-49318000,-79382000,-65542000,-78223000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1751299/000156459020007969/0001564590-20-007969-index.html,https://www.sec.gov/Archives/edgar/data/1751299/000156459021010420/0001564590-21-010420-index.htm,https://www.sec.gov/Archives/edgar/data/1751299/000095017022005256/0000950170-22-005256-index.htm
102,false,,,,,,
