,https://roic.ai/company/AMRS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-3.0135,-0.9977,-1.0194,-1.2169,-2.7837,-5.7178,0.0528,-6.3816,-1.4486,-0.5042,-3.6198,-1.5913,-1.9120,-0.7951
25,EPS,-124.74,-47.40,-125.25,-59.85,-54.30,-46.80,0.45,-26.25,-5.55,-3.05,-3.52,-2.67,-1.88,-1.33
26,EPS Diluted,-124.74,-47.40,-125.25,-59.85,-54.30,-46.80,0.28,-26.25,-6.00,-3.05,-3.52,-2.72,-1.88,-1.33
27,Weighted Average Shares Outstanding,335612,1351968,989355,2986618,3781210,5031543,5226699,8464147,15896092,32253570,60357932,101370632,203598673,203598673
28,Weighted Average Shares Outstanding Diluted,335612,1351968,989355,2986618,3781210,5031543,8124003,8464147,17643051,32253570,60357932,101370632,203598673,203598673
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1365916/000119312511065613/0001193125-11-065613-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591612000014/0001365916-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591613000013/0001365916-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591614000007/0001365916-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591615000007/0001365916-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184316008924/0001171843-16-008924-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184317002148/0001171843-17-002148-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184318002791/0001171843-18-002791-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184319006229/0001171843-19-006229-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591620000042/0001365916-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591621000007/0001365916-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591622000032/0001365916-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,17899000,19188000,143060000,95703000,30592000,6868000,42047000,11992000,27150000,57059000,45353000,270000,30152000,483462
32,Short-Term Investments,19291000,48022000,114873000,7889000,97000,1428000,1375000,1520000,1374000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,37190000,67210000,257933000,103592000,30689000,8296000,43422000,13512000,28524000,57059000,45353000,270000,30152000,483462
34,Net Receivables,787000,1372000,5215000,6936000,8013000,13343000,11553000,5180000,13977000,33621000,26004000,28754000,51400000,37074
35,Inventory,1420000,2298000,4006000,9070000,6034000,10888000,14506000,10886000,6213000,5408000,9693000,27770000,42862000,75070
36,Other Current Assets,1556000,3983000,2905000,19873000,4758000,4393000,4123000,6088000,10409000,8519000,11165000,16817000,22150000,43606
37,Total Current Assets,40953000,74863000,270059000,139471000,49494000,36920000,73604000,35666000,59123000,104607000,92215000,73611000,146564000,639212
38,PP&E,41565000,42560000,54847000,128101000,163121000,140591000,118980000,59797000,53735000,13892000,19756000,54996000,53005000,80177
39,Goodwill,- -,- -,- -,- -,- -,560000,560000,560000,560000,560000,- -,- -,- -,131259
40,Intangible Assets,- -,- -,- -,- -,- -,8560000,5525000,- -,- -,- -,- -,- -,- -,39265
41,Intangible Assets,- -,- -,- -,9538000,9152000,9120000,6085000,560000,560000,560000,- -,- -,- -,170524
42,Investments,12950000,- -,- -,- -,- -,- -,2260000,68000,34000,3233000,- -,4734000,2380000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3355000,4736000,32547000,43001000,21067000,12233000,15254000,14107000,16421000,29191000,15954000,27625000,20865000,64385
45,Total Non-Current Assets,57870000,47296000,87394000,180640000,193340000,161944000,142579000,74532000,70750000,46876000,35710000,87355000,76250000,315086
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,98823000,122159000,357453000,320111000,242834000,198864000,216183000,110198000,129873000,151483000,127925000,160966000,222814000,954298
48,Accounts Payable,2617000,1709000,7116000,26379000,15392000,6512000,3489000,7943000,15315000,15921000,26844000,51234000,41045000,79666
49,Short-Term Debt,897000,11269000,4765000,31766000,4691000,7347000,17641000,38093000,60077000,56943000,147677000,71895000,86833000,8725
50,Tax Payable,- -,- -,- -,2180000,851000,825000,277000,7228000,3980000,5837000,2139000,1685000,656000,- -
51,Deferred Revenue,- -,378000,565000,8080000,12255000,6463000,5613000,6509000,5288000,4880000,8236000,1353000,4468000,- -
52,Other Current Liabilities,5083000,10445000,14795000,26041000,13488000,16980000,13255000,24268000,29188000,29402000,28979000,36655000,30707000,181414
53,Total Current Liabilities,8597000,23801000,27241000,92266000,45826000,37302000,39998000,76813000,109868000,107146000,211736000,161137000,163053000,269805
54,Long-Term Debt,2809000,4362000,4734000,13275000,100839000,145671000,215361000,118486000,167888000,108434000,62020000,197967000,185622000,328890
55,Deferred Revenue,12154000,8828000,12316000,4097000,8255000,5000000,6539000,4469000,6650000,383000,1587000,1449000,111000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,127406000,198913000,5614000,49661000,21685000,146739000,79348000,68886000,23975000,130227000,64401000,50581000,41073000,76395
58,Total Non-Current Liabilities,142369000,212103000,22664000,67033000,130779000,297410000,301248000,191841000,198513000,239044000,128008000,249997000,226806000,405285
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,3598000,7228000,5945000,6336000,2610000,1243000,816000,699000,1256000,217000,195000,27293000,19128000,- -
61,Total Liabilities,150966000,235904000,49905000,159299000,176605000,334712000,341246000,268654000,308381000,346190000,339744000,411134000,389859000,675090
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,4000,5000,7000,8000,8000,21000,5027000,5005000,5008000,5012000,5024000,5031
64,Retained Earnings,-55989000,-120448000,-202318000,-381188000,-586327000,-821438000,-819152000,-1037104000,-1134438000,-1206767000,-1521417000,-1755653000,-2086692000,-2357661
65,Other Comprehensive Income/Loss,-468000,1336000,2872000,-5924000,-12807000,-20087000,-29977000,-47198000,-40904000,-42156000,-43343000,-43804000,-47375000,-52769
66,Other Total Stockholders Equity,3164000,5366000,506988000,548159000,666233000,706253000,724669000,926216000,990870000,1048274000,1346996000,1543668000,1957224000,2651087
67,Total Stockholders Equity,-53292000,-113745000,307546000,161052000,67106000,-135264000,-124452000,-158065000,-179445000,-195644000,-212756000,-250777000,-171819000,245688
68,Total Liabilities And Stockholders Equity,97674000,122159000,357451000,320351000,243711000,199448000,216794000,110589000,128936000,150546000,126988000,160357000,218040000,920778
69,Minority Interest,1149000,- -,2000,-240000,-877000,-584000,-611000,-391000,937000,937000,937000,609000,4774000,33520
70,Total Liabilities & Equity,98823000,122159000,357453000,320111000,242834000,198864000,216183000,110198000,129873000,151483000,127925000,160966000,222814000,954298
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1365916/000119312511065613/0001193125-11-065613-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591612000014/0001365916-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591613000013/0001365916-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591614000007/0001365916-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591615000007/0001365916-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184316008924/0001171843-16-008924-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184317002148/0001171843-17-002148-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184318002791/0001171843-18-002791-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184319006229/0001171843-19-006229-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591620000042/0001365916-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591621000007/0001365916-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591622000032/0001365916-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-41864000,-64459000,-81870000,-178870000,-205139000,-235111000,2286000,-217952000,-97334000,-72329000,-230235000,-242767000,-331039000,-271792000
74,Depreciation and Amortization,2627000,5775000,7280000,11077000,14570000,16639000,14969000,12920000,11374000,11358000,4921000,17178000,12126000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2027000,3299000,10432000,25492000,27473000,18047000,14105000,9134000,7325000,6265000,9190000,12554000,13743000,- -
77,Change in Working Capital,-1329000,18706000,191756000,-195613000,-43537000,-4050000,33988000,-74753000,-9598000,48206000,-116982000,31995000,71037000,16858407
78,Accounts Receivable,-787000,-585000,-3565000,-1975000,2837000,-4849000,-1221000,4271000,-8959000,-19647000,7448000,-2818000,-24161000,- -
79,Inventory,-1420000,-878000,-1708000,-20680000,2919000,-5612000,-4481000,4470000,5686000,-3126000,-4416000,-17989000,-16249000,- -
80,Accounts Payable,1278000,-997000,3478000,15648000,-11811000,-2636000,-3209000,4373000,6442000,5858000,11603000,23748000,-10081000,- -
81,Other Working Capital,32356000,51062000,242818000,47205000,3668000,-382000,33606000,-41147000,-50745000,-2539000,-119521000,-87526000,-16489000,369407
82,Other Non-Cash Items,-340000,-9039000,-192175000,245418000,55761000,98616000,-150056000,185519000,5866000,-94117000,223740000,24107000,58380000,254933593
83,Cash Provided by Operating Activities,-38879000,-45718000,-64577000,-92496000,-150872000,-105859000,-84708000,-85132000,-82367000,-100617000,-109366000,-156933000,-175753000,- -
84,CAPEX,-21996000,-7608000,-15512000,-97024000,-56858000,-8087000,-5004000,-3367000,-922000,-4412000,-12472000,-13080000,-12781000,- -
85,Acquisitions Net,- -,- -,- -,-2934000,- -,- -,-2075000,- -,10000000,54827000,- -,- -,- -,- -
86,Purchases of Investments,-54353000,-47996000,-197484000,-67639000,-8334000,-2795000,-1371000,-2759000,-5559000,-11786000,- -,- -,- -,- -
87,Sales/Maturities of Investments,63651000,31940000,129085000,173106000,16503000,1281000,1409000,2321000,6187000,12498000,- -,- -,- -,- -
88,Other Investing Activites,-1962000,-1758000,4506000,344000,-955000,-736000,-2790000,-1339000,-4064000,865000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-14660000,-25422000,-79405000,5853000,-49644000,-10337000,-9831000,-5144000,5642000,51992000,-12472000,-13080000,-12781000,- -
90,Debt Repayment,-503000,-2119000,-12450000,-7853000,-56360000,-4643000,-6778000,-41548000,-11338000,-39409000,-42649000,-117661000,-55420000,- -
91,Common Stock Issued,586000,113000,86263000,8445000,85573000,20289000,6488000,25239000,5180000,- -,1415000,53721000,215037000,- -
92,Common Stock Repurchased,- -,- -,- -,-497000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,67896000,73479000,192874000,40957000,108904000,75535000,131211000,77733000,98357000,117757000,149191000,188850000,62908000,- -
95,Cash Used/Provided by Financing Activities,67979000,71473000,266687000,41052000,138117000,91181000,130921000,61424000,92199000,78348000,107957000,124910000,222525000,- -
96,Effect of Forex Changes on Cash,-555000,956000,1167000,-1766000,-2712000,1291000,-1203000,-1203000,-316000,186000,-77000,-252000,-4268000,- -
97,Net Change In Cash,13885000,1289000,123872000,-47357000,-65111000,-23724000,35179000,-30055000,15158000,29909000,-13958000,-45355000,29723000,- -
98,Cash at the End of Period,17899000,19188000,143060000,95703000,30592000,6868000,42047000,11992000,27150000,57059000,47054000,1699000,31422000,- -
99,Cash at the Beginning of Period,4014000,17899000,19188000,143060000,95703000,30592000,6868000,42047000,11992000,27150000,61012000,47054000,1699000,31422000
100,Free Cash Flow,-60875000,-53326000,-80089000,-189520000,-207730000,-113946000,-89712000,-88499000,-83289000,-105029000,-121838000,-170013000,-188534000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1365916/000119312511065613/0001193125-11-065613-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591612000014/0001365916-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591613000013/0001365916-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591614000007/0001365916-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591615000007/0001365916-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184316008924/0001171843-16-008924-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184317002148/0001171843-17-002148-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184318002791/0001171843-18-002791-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000117184319006229/0001171843-19-006229-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591620000042/0001365916-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591621000007/0001365916-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1365916/000136591622000032/0001365916-22-000032-index.htm
102,false,,,,,,,,,,,,,,
