,https://roic.ai/company/BZUN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
70,Total Liabilities & Equity,465179000,531447000,872514000,1889173000,2368265000,2976035000,4015824000,7096600000,10474691000,12318980000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1625414/000114420416093524/v434320_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000114420417020069/v461997_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000114420418020145/tv488603_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000114420419017964/tv516935_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000110465920052015/bzun-20191231x20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-47234000,-37771000,-59814000,22621000,86633000,208866000,269712000,281297000,425992000,- -
74,Depreciation and Amortization,4278000,7188000,13252000,23145000,35880000,50615000,72175000,120096000,151724000,- -
75,Deferred Income Tax,- -,- -,- -,-13815000,1483000,-3391000,-22944000,-16786000,-563000,- -
76,Stock Based Compensation,4526000,11506000,84963000,25195000,34185000,58231000,75862000,75183000,108440000,- -
77,Change in Working Capital,-3922000,1164000,-120695000,-77897000,-183386000,-530150000,-549279000,-279228000,-526436000,- -
78,Accounts Receivable,-23123000,-51101000,-123456000,-135542000,-260545000,-457012000,-462121000,-247806000,-400112000,- -
79,Inventory,-18997000,-72927000,-122128000,-112494000,-16483000,-106807000,-307045000,-320086000,-237680000,- -
80,Accounts Payable,42579000,116832000,126561000,170486000,65352000,54547000,302808000,-24369000,-450817000,- -
81,Other Working Capital,-1331000,-116000,-994000,-11389000,-1062000,-3064000,-11978000,13497000,- -,- -
82,Other Non-Cash Items,10429000,14623000,15806000,22953000,38646000,46755000,55972000,120834000,150857000,- -
83,Cash Provided by Operating Activities,-31923000,-3290000,-66488000,2202000,13441000,-169074000,-98502000,301396000,310014000,- -
84,CAPEX,-10377000,-21862000,-29091000,-58461000,-92191000,-349221000,-208738000,-152877000,-158579000,- -
85,Acquisitions Net,- -,- -,446000,-562000,-26240000,-17031000,-9777000,-2916000,-21400000,- -
86,Purchases of Investments,- -,-5625000,- -,-57682000,-6750000,-272614000,- -,-1743627000,-1977841000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,10000000,1143000,256079000,765969000,1541453000,- -
88,Other Investing Activites,-4136000,-43017000,-11231000,-22235000,-20325000,-81649000,-85724000,-61611000,-47525000,- -
89,Cash Used for Investing Activites,-10225000,-63481000,-30545000,-126949000,-119429000,-637179000,37564000,-1133451000,-616367000,- -
90,Debt Repayment,-62799000,-104251000,-160000000,- -,- -,-157392000,-515923000,-993728000,-664621000,- -
91,Common Stock Issued,- -,- -,17000,784350000,253678000,- -,- -,- -,3127305000,- -
92,Common Stock Repurchased,- -,- -,- -,-19479000,-45321000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,362752000,55477000,311087000,-77128000,2362000,325097000,847148000,2770619000,204153000,- -
95,Cash Used/Provided by Financing Activities,299953000,-48774000,151104000,687743000,210719000,167705000,331225000,1776891000,2666837000,- -
96,Effect of Forex Changes on Cash,314000,-376000,-1836000,17870000,25331000,-33962000,18911000,-881000,-156275000,- -
97,Net Change In Cash,258119000,-115921000,52235000,580866000,130062000,-672510000,289198000,943955000,2204209000,- -
98,Cash at the End of Period,270077000,154156000,206391000,787257000,917319000,244809000,582855000,1526810000,3731019000,- -
99,Cash at the Beginning of Period,11958000,270077000,154156000,206391000,787257000,917319000,293657000,582855000,1526810000,- -
100,Free Cash Flow,-42300000,-25152000,-95579000,-56259000,-78750000,-518295000,-307240000,148519000,151435000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1625414/000114420416093524/v434320_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000114420417020069/v461997_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000114420418020145/tv488603_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000114420419017964/tv516935_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000110465920052015/bzun-20191231x20f.htm,- -,undefined
102,Forex Rate,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
