,https://roic.ai/company/FPAY,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,480000,- -,- -,- -,30760,26492,23416,20340,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,20956,178652,-1189,1002,1207,5728,11161,55003,66758,68251,95722,90621,78335,72316,77578
45,Total Non-Current Assets,110000,248833,510000,20000,18237,19985,100000,1133192,1887727,2629105,3043886,3427285,5338742,5984012,7918784
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5200000,5228833,8190000,8130000,6888237,7919985,6480000,8505867,17477297,29155624,34008626,48626315,52214892,68249379,84812056
48,Accounts Payable,- -,- -,45551,58386,45376,86772,47314,836792,1783929,3917747,7702145,8317216,4567889,7907619,7982180
49,Short-Term Debt,- -,- -,4776601,5897572,4427343,4977763,3240942,1000000,- -,- -,14094096,16067488,1095466,6161224,1225820
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,52430,39620,36939,28642,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,680000,1500000,635418,124422,90342,126823,131744,336806,738639,555437,1190441,1728600,1886168,2998902,3378724
53,Total Current Liabilities,680000,1500000,5510000,6120000,4600000,5220000,3420000,2173598,2522568,4473184,22986682,26113304,7549523,17067745,12586724
54,Long-Term Debt,- -,- -,- -,- -,- -,4977763,- -,1000000,8786770,10156719,4698032,14020335,32629910,37875796,3750000
55,Deferred Revenue,- -,- -,- -,- -,- -,28642,12328,- -,- -,- -,- -,- -,- -,- -,495166
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,495166
57,Other Non-Current Liabilities,- -,50000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2067184,2151792,51341381
58,Total Non-Current Liabilities,- -,50000,300000,- -,- -,5006405,- -,1000000,8786770,10156719,4698032,14020335,34697094,40027588,56081713
59,Other Liabilities,- -,- -,- -,4235,185,1767,4137,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2094910,2108081,- -
61,Total Liabilities,679920,1549039,5510306,6124235,4600185,5221767,3424137,2173598,11309338,14629903,27684714,40133639,42246617,57095333,68668437
62,Preferred Stock,5503117,5361512,5212719,671409,671409,671409,671409,1711095,1640985,23167325,23149025,23149025,22807955,22803660,- -
63,Common Stock,11821,12941,1409,1863,1863,1863,4363,3502,5210,529,529,1758,1779,2136,2144
64,Retained Earnings,-1529780,-3355175,-5747917,-6125831,-5850606,-5471747,-6165428,-9895761,-18686865,-30940572,-39271333,-48732595,-48155180,-48495076,-45222302
65,Other Comprehensive Income/Loss,- -,- -,-149433,-179699,-200262,-220066,-258391,-420601,-999000,-2111127,-3725015,-5621391,-7435271,- -,- -
66,Other Total Stockholders Equity,536199,1660516,3065985,7641478,7665648,7716759,8804305,14934034,24207629,24409566,26170706,39695879,42748992,36843326,61363777
67,Total Stockholders Equity,4521357,3679794,2382763,2009220,2288052,2698218,3056258,6332269,6167959,14525721,6323912,8492676,9968275,11154046,16143619
68,Total Liabilities And Stockholders Equity,5201277,5228833,7893069,8133455,6888237,7919985,6480395,8505867,17477297,29155624,34008626,48626315,52214892,68249379,84812056
69,Minority Interest,-1277,- -,296931,-3455,- -,- -,-395,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5200000,5228833,8190000,8130000,6888237,7919985,6480000,8505867,17477297,29155624,34008626,48626315,52214892,68249379,84812056
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1397047/000101376209000526/0001013762-09-000526-index.html,- -,https://www.sec.gov/Archives/edgar/data/1397047/000101376211000907/0001013762-11-000907-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000101376212000598/0001013762-12-000598-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000101376213000436/0001013762-13-000436-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000101376214000468/0001013762-14-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000101376215000277/0001013762-15-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000101376216001443/0001013762-16-001443-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390017003105/0001213900-17-003105-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390018002740/0001213900-18-002740-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390019003916/0001213900-19-003916-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390020005205/0001213900-20-005205-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000121390021014067/0001213900-21-014067-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000121390022016138/0001213900-22-016138-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-1046680,-1267608,-1888948,-377914,275225,378859,-693681,-3730333,-8791104,-12253707,-8330761,-9461262,577415,-339896,3272774
74,Depreciation and Amortization,26026,46010,305845,30266,20563,19804,38326,2326945,10325774,24301060,33543827,43049769,60777517,2577084,2871541
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,495166
76,Stock Based Compensation,- -,- -,91915,4371,3607,31307,51721,439320,78600,136308,113952,133428,723394,1388755,1648627
77,Change in Working Capital,-965528,- -,-930000,-1310000,-180000,280000,410000,280000,2239077,7867925,8986333,-14075277,11107668,20240901,19108926
78,Accounts Receivable,- -,- -,-75587,-88470,1298827,-751256,2053125,- -,- -,- -,- -,- -,- -,30170332,-60355817
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-6921381,-17714951,-30100878,-34298108,-51588607,-56951502,-75067446,- -
80,Accounts Payable,- -,- -,-77349,14214,-13010,41396,-39458,816443,947138,2133818,3784397,827715,-3814098,3339730,74561
81,Other Working Capital,4410000,4410000,3480000,2170000,1990000,2270000,2680000,2960000,5199077,13067002,22053335,7978058,19085726,39326627,64306548
82,Other Non-Cash Items,103553,-3036419,-1372159,80972,1512680,-939491,1392956,-5343024,-18008633,-37424015,-40912185,-37806916,-73655455,-29074391,-38653065
83,Cash Provided by Operating Activities,-1882629,-4258017,-3793347,-1572305,1632075,-229521,1199322,-6027092,-14156286,-17372429,-6598834,-18160258,-469461,-5207547,-11256031
84,CAPEX,-111060,-27147,-25650,-18075,-18595,-17031,-112908,-1157237,-1328113,-1855088,-2021538,-2284876,-2241172,-3098194,-4945183
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-111060,-27147,- -,- -,- -,- -,-30760,4786464,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-111060,-27147,-25650,-18075,-18595,-17031,-112908,3629227,-1328113,-1855088,-2021538,-2284876,-2241172,-3098194,-4949544
90,Debt Repayment,-21472,- -,- -,- -,- -,- -,- -,- -,-1000000,-5172714,-2288208,-9970815,-12329223,-7041121,-15414
91,Common Stock Issued,- -,- -,800002,- -,- -,- -,1000000,6501104,9350000,- -,- -,10007500,- -,- -,1648627
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-950617,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,713212,- -
94,Other Financing Activites,5458434,1187224,3109377,1299820,-1470229,550420,-1736821,-1229305,7647256,26416520,10465000,21580744,15767118,16306410,11125772
95,Cash Used/Provided by Financing Activities,5436962,1187224,3909379,1299820,-1470229,550420,-736821,4321182,15997256,21243806,8176792,21617429,3437895,9978501,12758985
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3443273,-3097940,90382,-290560,143251,303868,349593,1923317,512857,2016289,-443580,1172295,727262,1672760,-3446590
98,Cash at the End of Period,3499044,401104,491486,163320,306571,610439,960032,2883349,3396206,5412495,4968915,6141210,6868472,8541232,5094642
99,Cash at the Beginning of Period,55771,3499044,401104,453880,163320,306571,610439,960032,2883349,3396206,5412495,4968915,6141210,6868472,8541232
100,Free Cash Flow,-1993689,-4285164,-3818997,-1590380,1613480,-246552,1086414,-7184329,-15484399,-19227517,-8620372,-20445134,-2710633,-8305741,-16201214
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1397047/000101376209000526/0001013762-09-000526-index.html,- -,https://www.sec.gov/Archives/edgar/data/1397047/000101376211000907/0001013762-11-000907-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000101376212000598/0001013762-12-000598-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000101376213000436/0001013762-13-000436-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000101376214000468/0001013762-14-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000101376215000277/0001013762-15-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000101376216001443/0001013762-16-001443-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390017003105/0001213900-17-003105-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390018002740/0001213900-18-002740-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390019003916/0001213900-19-003916-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390020005205/0001213900-20-005205-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000121390021014067/0001213900-21-014067-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000121390022016138/0001213900-22-016138-index.htm
102,false,,,,,,,,,,,,,,,
