,https://roic.ai/company/GLPG,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.3090,-0.4419,-0.1909,-0.1881,-0.0778,0.1005,0.1126,-0.2084,0.0294,-0.0209,0.5777,-2.9366,0.4515,-0.8678,-0.0808,0.1939,-0.5776,-0.1124
17,Operating Income,-3608000,-6650000,-11807000,-21840000,-15215000,1657000,1031000,-32935000,-6610000,-11020000,-36624000,-89444000,-11491000,-89802000,-44807000,370292000,-178632000,-165596000
18,Operating Income ratio,-0.4639,-0.5916,-0.3359,-0.3312,-0.1977,0.0178,0.0084,-0.3435,-0.0485,-0.0800,-0.5280,-2.2608,-0.0887,-0.7066,-0.1551,0.4382,-0.3737,-0.3415
19,Total Other Income Expenses (Gains),40000,-1000,-687000,-666000,-3263000,28000,-443000,-792000,1458000,-174000,1423000,-30183000,65737000,-25705000,15598000,-220232000,-131143000,42597000
20,Income Before Tax,-3568000,-6651000,-12494000,-22506000,-18478000,1685000,588000,-33727000,-5152000,-11194000,-35201000,-119627000,54246000,-115507000,-29209000,150060000,-309775000,-122999000
21,Income Before Tax Ratio,-0.4588,-0.5917,-0.3554,-0.3413,-0.2400,0.0181,0.0048,-0.3517,-0.0378,-0.0813,-0.5075,-3.0237,0.4188,-0.9089,-0.1011,0.1776,-0.6480,-0.2537
22,Income Tax expense (Gain),21000,-110000,-1159000,-558000,-3894000,-1324000,-3782000,-630000,569000,-3115000,2103000,-1218000,235000,198000,50000,214000,1226000,2423000
23,Net Income,-3589000,-6541000,-11335000,-21948000,-14584000,3010000,4370000,-33097000,-5721000,-8079000,33211000,-118410000,54012000,-115704000,-29259000,149845000,-305436000,-103231000
24,Net Income ratio,-0.4615,-0.5819,-0.3225,-0.3329,-0.1895,0.0323,0.0357,-0.3452,-0.0420,-0.0587,0.4788,-2.9929,0.4170,-0.9104,-0.1013,0.1773,-0.6389,-0.2129
25,EPS,-0.60,-0.73,-0.84,-1.06,-0.69,0.14,0.18,-1.25,-0.22,-0.28,1.10,-3.32,1.18,-2.34,-0.56,2.60,-4.69,-1.58
26,EPS Diluted,-0.60,-0.73,-0.84,-1.06,-0.69,0.13,0.17,-1.25,-0.22,-0.28,1.10,-3.32,1.14,-2.34,-0.56,2.49,-4.69,-1.58
27,Weighted Average Shares Outstanding,5939000,8936000,13543000,20680000,21189000,21656000,24284000,26403000,26545000,28787000,30108000,35700000,45696000,49479000,52113000,57614000,65075000,65500000
28,Weighted Average Shares Outstanding Diluted,5939000,8936000,13543000,20680000,21189000,22709000,24284000,26403000,26545000,28787000,30108000,35700000,45696000,49479000,52113000,60113000,65075000,65500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421876/000119312517093838/0001193125-17-093838-index.htm,https://www.sec.gov/Archives/edgar/data/1421876/000155837018002364/0001558370-18-002364-index.htm,https://www.sec.gov/Archives/edgar/data/1421876/000155837019002655/0001558370-19-002655-index.htm,https://www.sec.gov/Archives/edgar/data/1421876/000155837020003270/0001558370-20-003270-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10274000,23617000,51519000,49295000,27316000,47391000,40397000,32555000,94647000,141481000,187712000,340314000,973241000,1151211000,1290796000,1861616000,2135187000,2233368000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3919216000,3026278000,2469809000
33,Cash and Short-Term Investments,10274000,23617000,51519000,49295000,27316000,47391000,40397000,32555000,94647000,141481000,187712000,340314000,973241000,1151211000,1290796000,5780832000,5161465000,4703177000
34,Net Receivables,2169000,9786000,24847000,22079000,26616000,31984000,63484000,30010000,33242000,31979000,13795000,16057000,23478000,41788000,33533000,80109000,173400000,128601000
35,Inventory,98000,3142000,3499000,4948000,3574000,1816000,1437000,502000,204000,249000,281000,325000,300000,279000,276000,255000,355000,20569000
36,Other Current Assets,- -,- -,- -,4421000,2343000,3495000,3905000,2495000,4634000,2944000,11815000,17774000,10213000,4369000,4246000,4731000,34127000,9507000
37,Total Current Assets,12541000,36545000,79865000,80743000,59849000,84686000,109223000,65562000,132727000,176653000,213603000,374470000,1007232000,1197647000,1328851000,5865927000,5369347000,4861854000
38,PP&E,2625000,9399000,25965000,22914000,20293000,19285000,23886000,19523000,18098000,19525000,10091000,13782000,14961000,16693000,23137000,40706000,68264000,137513000
39,Goodwill,- -,29481000,35560000,33952000,33751000,33751000,42380000,38880000,37667000,39239000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,447000,4869000,17844000,6090000,4159000,3480000,13534000,10614000,9426000,7833000,2016000,1552000,1025000,2498000,3631000,24925000,67566000,60103000
41,Intangible Assets,447000,34350000,53404000,40042000,37910000,37231000,55914000,49494000,47093000,47072000,2016000,1552000,1025000,2498000,3631000,24925000,67566000,60103000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,- -,- -,- -,- -,- -,11275000,8951000,- -
43,Tax Assets,- -,- -,727000,352000,- -,1700000,3658000,2166000,1705000,4558000,293000,1726000,1957000,1978000,2514000,4205000,4475000,4032000
44,Other Non-Current Assets,- -,1269000,7685000,4673000,772000,807000,1280000,24310000,35706000,39346000,44464000,50984000,58164000,67458000,81363000,121571000,199128000,129658000
45,Total Non-Current Assets,3072000,45018000,87781000,67981000,58975000,59023000,84738000,95493000,102602000,110721000,56864000,68044000,76107000,88627000,110645000,202682000,348384000,331306000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15613000,81563000,167646000,148724000,118824000,143709000,193961000,161055000,235329000,287374000,270467000,442514000,1083339000,1286274000,1439496000,6068609000,5717731000,5193160000
48,Accounts Payable,2766000,9568000,25431000,13293000,13425000,15130000,22012000,18068000,22093000,29365000,30007000,29113000,31209000,47122000,68038000,142510000,171316000,134304000
49,Short-Term Debt,- -,- -,3172000,2621000,546000,520000,378000,425000,240000,226000,52000,52000,54000,9000,- -,5826000,6401000,7204000
50,Tax Payable,- -,- -,119000,56000,56000,44000,44000,616000,3000,50000,2582000,2583000,1022000,865000,1175000,2037000,1248000,1782000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,83608000,78979000,27026000,39806000,70827000,122544000,149801000,414298000,443159000,419866000
52,Other Current Liabilities,842000,4497000,675000,27447000,15780000,15694000,15833000,16867000,3073000,3989000,3271000,3441000,1701000,2024000,2066000,9159000,14398000,5100000
53,Total Current Liabilities,3608000,14065000,29278000,43361000,29751000,31344000,38223000,35360000,109014000,112559000,60356000,72412000,103791000,171699000,219905000,571793000,635274000,566474000
54,Long-Term Debt,- -,- -,4595000,1747000,1156000,964000,867000,451000,165000,167000,115000,63000,9000,- -,- -,19558000,23035000,19655000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214785000,97348000,- -,2586348000,2365974000,1944836000
56,Deferred Tax Liabilities,225000,1542000,594000,292000,201000,564000,2693000,2403000,2624000,2192000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1413000,4820000,23637000,4698000,3392000,1960000,3671000,4465000,5079000,5319000,3861000,5040000,6052000,5244000,5342000,15252000,23093000,18833000
58,Total Non-Current Liabilities,1638000,6362000,28826000,6737000,4749000,3488000,7231000,7319000,7868000,7678000,3976000,5103000,220846000,102592000,5342000,2621158000,2412102000,1983324000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,7767000,4368000,1686000,1484000,1245000,876000,405000,393000,167000,115000,63000,9000,- -,25384000,29436000,26859000
61,Total Liabilities,5246000,20427000,58104000,50098000,34500000,34832000,45454000,42679000,116882000,120237000,64332000,77515000,324637000,274291000,225247000,3192951000,3047376000,2549798000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,31557000,69051000,104396000,110855000,110855000,122870000,137122000,137460000,139347000,154542000,157274000,185399000,223928000,233414000,236540000,287282000,291312000,292075000
64,Retained Earnings,-21190000,-27731000,-39034000,-58962000,-72492000,-66868000,-60079000,-91140000,-94770000,-100107000,-63944000,-177317000,-112272000,-211441000,-297779000,-109223000,-334701000,-367205000
65,Other Comprehensive Income/Loss,- -,19816000,44179000,46733000,45961000,52875000,71463000,72056000,994000,217000,-1377000,-485000,-2090000,-3014000,-2292000,-5984000,-14096000,-11899000
66,Other Total Stockholders Equity,- -,- -,1000,- -,- -,- -,1000,- -,72876000,112484000,114182000,357402000,649135000,993025000,1277780000,2703583000,2727840000,2730391000
67,Total Stockholders Equity,10367000,61136000,109542000,98626000,84324000,108877000,148507000,118376000,118447000,167136000,206135000,364999000,758701000,1011984000,1214249000,2875658000,2670355000,2643362000
68,Total Liabilities And Stockholders Equity,15613000,81563000,167646000,148724000,118824000,143709000,193961000,161055000,235329000,287373000,270467000,442514000,1083338000,1286275000,1439496000,6068609000,5717731000,5193160000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,1000,-1000,- -,- -,- -,- -
70,Total Liabilities & Equity,15613000,81563000,167646000,148724000,118824000,143709000,193961000,161055000,235329000,287374000,270467000,442514000,1083339000,1286274000,1439496000,6068609000,5717731000,5193160000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421876/000119312517093838/0001193125-17-093838-index.htm,https://www.sec.gov/Archives/edgar/data/1421876/000155837018002364/0001558370-18-002364-index.htm,https://www.sec.gov/Archives/edgar/data/1421876/000155837019002655/0001558370-19-002655-index.htm,https://www.sec.gov/Archives/edgar/data/1421876/000155837020003270/0001558370-20-003270-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-3589000,-6541000,-11335000,-21948000,-14584000,3010000,4370000,-33097000,-5721000,-8079000,33211000,-118410000,54012000,-115704000,-29259000,149845000,-305436000,-103231000
74,Depreciation and Amortization,1003000,1315000,4726000,8354000,7366000,6955000,11635000,12096000,9009000,8154000,4649000,3402000,4182000,4285000,5081000,12448000,18682000,34636000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2337000,-1218000,235000,198000,50000,214000,2119000,- -
76,Stock Based Compensation,- -,- -,703000,1083000,1327000,2642000,2418000,2040000,2086000,2742000,2952000,5036000,11034000,16536000,26757000,38297000,79959000,70726000
77,Change in Working Capital,-41000,1994000,4132000,9514000,-8578000,-4919000,-28691000,8709000,57914000,3439000,-50017000,-34087000,235206000,-78561000,-133389000,2816899000,-353879000,-430382000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1069000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,51000,943000,293000,-1449000,502000,1265000,344000,942000,291000,-39000,-32000,-44000,25000,22000,3000,20000,-100000,-21168000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2343000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-7000,- -,- -,-844000,15000,-1000,- -,250000,66000,436000,-95000,246057000,-65699000,-153312000,2804202000,-207787000,-453720000
82,Other Non-Cash Items,-83000,-655000,-7536000,3368000,6260000,-1385000,-8305000,-1739000,816000,-5734000,-68687000,30687000,-65266000,26216000,-11706000,190914000,131219000,-75576000
83,Cash Provided by Operating Activities,-2710000,-3887000,-9310000,371000,-8209000,6303000,-18573000,-11991000,64104000,522000,-75555000,-114590000,239403000,-147030000,-142466000,3208617000,-427336000,-503827000
84,CAPEX,-148000,-1111000,-4266000,-6045000,-5702000,-5186000,-4253000,-5833000,-6836000,-7873000,-2804000,-6665000,-4790000,-7437000,-13717000,-45685000,-91315000,-57879000
85,Acquisitions Net,- -,-2807000,1798000,- -,-857000,- -,-15958000,8710000,- -,-1152000,130787000,- -,- -,- -,- -,- -,- -,28696000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2750000,- -,-4559000,-4787461000,-4576887000,-1561015000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372000,2361000,1063426000,5421942000,2131425000
88,Other Investing Activites,-45000,-50000,-146000,80000,-3298000,-615000,26000,-1393000,-541000,-480000,-8120000,1803000,-79000,4391000,-3324000,-18240000,-45245000,-3663000
89,Cash Used for Investing Activites,-148000,-3918000,-2468000,-5965000,-9857000,-4743000,-20176000,2921000,-6437000,-8960000,120606000,-4297000,-7287000,-549000,-15914000,-3764660000,757288000,541238000
90,Debt Repayment,-106000,-351000,-1553000,-2506000,-5079000,-497000,-255000,-343000,-477000,-308000,-216000,-43000,-49000,-65000,-5000,-5091000,-6247000,-7190000
91,Common Stock Issued,- -,21143000,40949000,- -,- -,- -,- -,- -,2742000,54803000,4430000,271413000,391784000,363924000,296188000,960087000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,202000,368000,370000,5910000,1163000,19012000,31414000,976000,1769000,1325000,- -,- -,4261000,-10502000,-8307000,380755000,28287000,3314000
95,Cash Used/Provided by Financing Activities,96000,21160000,39766000,3404000,-3916000,18515000,31159000,633000,4034000,55820000,4214000,271370000,395996000,353357000,287876000,1335751000,22040000,-3876000
96,Effect of Forex Changes on Cash,- -,-12000,-86000,-34000,3000,- -,597000,594000,391000,-548000,271000,118000,4816000,-27808000,10089000,-9966000,-70539000,56763000
97,Net Change In Cash,-2762000,13343000,27902000,-2224000,-21979000,20075000,-6994000,-7842000,62092000,46834000,49537000,152602000,632927000,177970000,139585000,570820000,281455000,90297000
98,Cash at the End of Period,10274000,23617000,51519000,49295000,27316000,47391000,40397000,32555000,94647000,141481000,187712000,340314000,973241000,1151211000,1290796000,1861616000,2143071000,2233368000
99,Cash at the Beginning of Period,13036000,10274000,23617000,51519000,49295000,27316000,47391000,40397000,32555000,94647000,138175000,187712000,340314000,973241000,1151211000,1290796000,1861616000,2143071000
100,Free Cash Flow,-2858000,-4998000,-13576000,-5674000,-13911000,1117000,-22826000,-17824000,57268000,-7351000,-78359000,-121255000,234613000,-154467000,-156183000,3162932000,-518651000,-561706000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1421876/000119312517093838/0001193125-17-093838-index.htm,https://www.sec.gov/Archives/edgar/data/1421876/000155837018002364/0001558370-18-002364-index.htm,https://www.sec.gov/Archives/edgar/data/1421876/000155837019002655/0001558370-19-002655-index.htm,https://www.sec.gov/Archives/edgar/data/1421876/000155837020003270/0001558370-20-003270-index.htm,- -,- -
102,Forex Rate,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
