,https://roic.ai/company/SPRO,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,7433000,7411000,8522000,13151000,31529000,21411000,82783000
62,Preferred Stock,18296000,47685000,- -,- -,- -,3000,- -
63,Common Stock,- -,- -,14000,17000,19000,29000,32000
64,Retained Earnings,-18100000,-45440000,-96840000,-138502000,-199427000,-277707000,-367463000
65,Other Comprehensive Income/Loss,-11000,-290000,-643000,-827000,-1515000,-7000,-2000
66,Other Total Stockholders Equity,18307000,55899000,182071000,254812000,275497000,409722000,455722000
67,Total Stockholders Equity,196000,10169000,84602000,115500000,74574000,132040000,88289000
68,Total Liabilities And Stockholders Equity,7629000,17580000,93124000,128651000,106103000,153451000,171072000
69,Minority Interest,-453000,-3808000,355000,355000,- -,- -,- -
70,Total Liabilities & Equity,7176000,13772000,93479000,129006000,106103000,153451000,171072000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701108/000156459018007402/0001564590-18-007402-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000156459019007805/0001564590-19-007805-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000156459020010998/0001564590-20-010998-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000156459021012514/0001564590-21-012514-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000095017022005194/0000950170-22-005194-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-10154000,-25491000,-38743000,-41662000,-60925000,-78280000,-89756000
74,Depreciation and Amortization,11000,279000,363000,409000,750000,761000,646000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,21000,180000,1427000,2749000,3776000,4888000,9430000
77,Change in Working Capital,170000,5387000,78948000,27999000,-43150000,56051000,14400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,671000,-644000,2349000,84000,564000,-2975000,-53000
81,Other Working Capital,-433000,4954000,83902000,111901000,68751000,124802000,139202000
82,Other Non-Cash Items,344000,-9314000,-81106000,-29120000,49529000,-69292000,933000
83,Cash Provided by Operating Activities,-9608000,-28959000,-39111000,-39625000,-50020000,-85872000,-64347000
84,CAPEX,-232000,-830000,-27000,-2436000,-314000,-157000,39000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-130175000,-88993000,-45723000,-43915000
87,Sales/Maturities of Investments,- -,- -,- -,49455000,118837000,56350000,51548000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-232000,-830000,-27000,-83156000,29530000,10470000,7672000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,77749000,70500000,15790000,78660000,7831000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,27537000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15275000,34413000,38362000,-977000,350000,52221000,48682000
95,Cash Used/Provided by Financing Activities,15275000,34413000,116111000,69523000,16140000,130881000,84050000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5435000,4624000,76973000,-53258000,-4350000,55479000,27375000
98,Cash at the End of Period,5691000,10315000,87288000,34080000,29730000,85209000,112584000
99,Cash at the Beginning of Period,256000,5691000,10315000,87338000,34080000,29730000,85209000
100,Free Cash Flow,-9840000,-29789000,-39138000,-42061000,-50334000,-86029000,-64308000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701108/000156459018007402/0001564590-18-007402-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000156459019007805/0001564590-19-007805-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000156459020010998/0001564590-20-010998-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000156459021012514/0001564590-21-012514-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000095017022005194/0000950170-22-005194-index.htm
102,false,,,,,,,
