,https://roic.ai/company/BHG,2018,2019,2020,2021
41,Intangible Assets,- -,38837000,415246000,1179000000
42,Investments,- -,115348000,175176000,675192000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,14339000,28309000,45603000
45,Total Non-Current Assets,- -,171755000,630995000,1938139000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,820355000,1810802000,3598339000
48,Accounts Payable,- -,33143000,57252000,118140000
49,Short-Term Debt,- -,- -,- -,155000000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,16005000,34628000,53295000
52,Other Current Liabilities,- -,145747000,473401000,1956383000
53,Total Current Liabilities,- -,194895000,565281000,2282818000
54,Long-Term Debt,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,888827000,1749193000,41994000
58,Total Non-Current Liabilities,- -,888827000,1749193000,41994000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,- -,1083722000,2314474000,2324812000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,14000,14000,63000
64,Retained Earnings,- -,-267547000,-515989000,-1700851000
65,Other Comprehensive Income/Loss,- -,982000,2426000,-3335000
66,Other Total Stockholders Equity,- -,3184000,9877000,2849243000
67,Total Stockholders Equity,- -,-263367000,-503672000,1145120000
68,Total Liabilities And Stockholders Equity,- -,820355000,1810802000,3469932000
69,Minority Interest,- -,- -,- -,128407000
70,Total Liabilities & Equity,- -,820355000,1810802000,3598339000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1671284/000167128422000018/0001671284-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-62641000,-125337000,-248442000,-1178365000
74,Depreciation and Amortization,1030000,1134000,8289000,35484000
75,Deferred Income Tax,- -,- -,- -,-25654000
76,Stock Based Compensation,257000,1864000,5452000,68423000
77,Change in Working Capital,34231000,450290000,160821000,-1237144000
78,Accounts Receivable,-568000,-201000,24631000,-32941000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,17948000,95690000,97012000,192611000
81,Other Working Capital,3415000,453705000,614526000,-622618000
82,Other Non-Cash Items,89000,-336159000,16642000,2419315000
83,Cash Provided by Operating Activities,-27034000,-8208000,-57238000,82059000
84,CAPEX,-694000,-793000,-6474000,-30414000
85,Acquisitions Net,- -,-31855000,-230332000,-431791000
86,Purchases of Investments,-166817000,-300325000,-916823000,-1017588000
87,Sales/Maturities of Investments,160571000,238330000,463887000,926901000
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-6940000,-94643000,-689742000,-552892000
90,Debt Repayment,- -,- -,- -,-3391000
91,Common Stock Issued,57000,260000,1241000,11390000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,203000000,423800000,711200000,1035642000
95,Cash Used/Provided by Financing Activities,203057000,424060000,712441000,1043641000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,169083000,321209000,-34539000,572808000
98,Cash at the End of Period,201701000,522910000,488371000,1061179000
99,Cash at the Beginning of Period,32618000,201701000,522910000,488371000
100,Free Cash Flow,-27728000,-9001000,-63712000,51645000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1671284/000167128422000018/0001671284-22-000018-index.htm
102,false,,,,
