,https://roic.ai/company/BNET,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/875729/000143790409000047/0001437904-09-000047-index.html,https://www.sec.gov/Archives/edgar/data/875729/000143790410000078/0001437904-10-000078-index.html,https://www.sec.gov/Archives/edgar/data/875729/000143790411000104/0001437904-11-000104-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000143790412000069/0001437904-12-000069-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000143790413000083/0001437904-13-000083-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000094883014000087/0000948830-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000094883015000065/0000948830-15-000065-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000094883016000132/0000948830-16-000132-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997317000560/0001079973-17-000560-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997318000517/0001079973-18-000517-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000155335019000992/0001553350-19-000992-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997320000805/0001079973-20-000805-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997321000987/0001079973-21-000987-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20000,60000,2604933,1300398,1813571,9386,- -,- -,- -,373109,478899,1695713,1026084,1394388,399992,44666,186148,339286,170194,72932,22013,41335,560828,4216321
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20000,60000,2604933,1300398,1813571,9386,- -,- -,- -,373109,478899,1695713,1026084,1394388,399992,44666,186148,339286,170194,72932,22013,41335,560828,4216321
34,Net Receivables,40000,350000,26695,21738,17295,7945,- -,- -,- -,2844,12068,8797,20753,211956,6958,31108,37108,20233,8500,1980,- -,- -,1000,1000
35,Inventory,390000,- -,- -,- -,67640,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,240000,46702,8446,147999,42988,- -,- -,- -,20110,9130,24173,9228,44476,42707,102127,17006,18503,15240,6426,8474,9005,7965,124049
37,Total Current Assets,450000,650000,2678330,1330582,2046505,60319,- -,- -,- -,396063,500097,1728683,1056065,1650820,449657,177901,240262,378022,193934,81338,30487,50340,569793,4341370
38,PP&E,210000,170000,208433,182851,154425,215683,- -,- -,- -,75621,59504,477229,889251,7291899,8172702,7331020,4351153,1977219,4259,3192,1448,2616,1368,541
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,40000,40000,36602,33370,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,40000,40000,36602,33370,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,70000,450000,11884,135859,1551969,631873,- -,- -,- -,171945,128443,85973,57315,82315,57315,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,330000,670000,256919,352080,1706394,847556,- -,- -,- -,247566,187947,563202,946566,7374214,8230017,7331020,4351153,1977219,4259,3192,1448,2616,1368,541
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,780000,1320000,2935249,1682662,3752899,907875,- -,- -,- -,643629,688044,2291885,2002631,9025034,8679674,7508921,4591415,2355241,198193,84530,31935,52956,571161,4341911
48,Accounts Payable,260000,360000,101166,210473,323937,854957,- -,- -,- -,648318,567811,41647,- -,- -,- -,1010528,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,90000,210000,26627,8113152,2603,1021,- -,- -,- -,737974,- -,- -,- -,- -,- -,7754000,9872960,8226230,8563662,8885249,9028983,9303270,9600816,9868495
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,380000,410000,49419,35272,55152,1421526,- -,- -,- -,229147,66647,1172138,675024,1563658,794760,808130,2151115,2217856,2232267,3002503,1172674,1623116,1442543,1086658
53,Total Current Liabilities,730000,980000,177212,8358897,381692,2277504,- -,- -,- -,1615439,634458,1213785,675024,1563658,794760,9572658,12024075,10444086,10795929,11887752,10201657,10926386,11043359,10955153
54,Long-Term Debt,290000,3150000,6225450,2482279,- -,- -,- -,- -,- -,3625564,784122,- -,- -,6411568,7754000,- -,- -,2654708,3280647,3316060,3525216,3801168,4615760,4793097
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69892,- -,27992,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,150000,- -,122833,3248,646,- -,- -,- -,- -,65973,71865,223232,2686215,3491684,877102,1337878,23400,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,440000,3150000,6348283,2485527,646,- -,- -,- -,- -,3691537,855987,223232,2756107,9903252,8659094,1337878,23400,2654708,3280647,3316060,3525216,3801168,4615760,4793097
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1170000,4130000,6525495,10844424,382338,2277504,- -,- -,- -,5306976,1490445,1437017,3431131,11466910,9453854,10910536,12047475,13098794,14076576,15203812,13726873,14727554,15659119,15748250
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1867716,1605592,2877425,29050,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10860000,12060000,22748871,30218339,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-11280000,-14930000,-23826878,-39380101,-56474000,-60107394,- -,- -,- -,-72563726,-74342288,-75654145,-78624862,-85617251,-92065095,-100308856,-106067869,-111696060,-116216493,-118676966,-121691956,-124346158,-128891893,-132339873
65,Other Comprehensive Income/Loss,-90000,-150000,-203894,-262582,-331548,-206171,- -,- -,- -,-321457,-337710,-353164,-54148,-65395,-77728,-979263,-1891358,-2506731,-2793194,-2792561,-2794305,-2794769,-2794257,- -
66,Other Total Stockholders Equity,120000,210000,- -,262582,60176109,58943936,- -,- -,- -,68221836,73877597,76862177,77250510,83240770,91368643,97886504,100503167,103459238,105131304,106350245,110791323,112466329,- -,- -
67,Total Stockholders Equity,-390000,-2810000,-3590246,-9161762,3370561,-1760155,- -,- -,- -,-4663347,-920093,743078,-1535171,-2542799,-858067,-3479368,-7530837,-10806933,-13938129,-15176614,-13749276,-14724006,-15129860,-11445456
68,Total Liabilities And Stockholders Equity,780000,1320000,2935249,1682662,3752899,517349,- -,- -,- -,643629,570352,2180095,1895960,8924111,8595787,7431168,4516638,2291861,138447,27198,-22403,3548,529259,4302794
69,Minority Interest,- -,- -,- -,- -,- -,390526,- -,- -,- -,- -,117692,111790,106671,100923,83887,77753,74777,63380,59746,57332,54338,49408,41902,39117
70,Total Liabilities & Equity,780000,1320000,2935249,1682662,3752899,907875,- -,- -,- -,643629,688044,2291885,2002631,9025034,8679674,7508921,4591415,2355241,198193,84530,31935,52956,571161,4341911
71,SEC Link,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/875729/000143790409000047/0001437904-09-000047-index.html,https://www.sec.gov/Archives/edgar/data/875729/000143790410000078/0001437904-10-000078-index.html,https://www.sec.gov/Archives/edgar/data/875729/000143790411000104/0001437904-11-000104-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000143790412000069/0001437904-12-000069-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000143790413000083/0001437904-13-000083-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000094883014000087/0000948830-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000094883015000065/0000948830-15-000065-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000094883016000132/0000948830-16-000132-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997317000560/0001079973-17-000560-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997318000517/0001079973-18-000517-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000155335019000992/0001553350-19-000992-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997320000805/0001079973-20-000805-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997321000987/0001079973-21-000987-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2380000,-3650000,-8897385,-15553223,-17093899,-3458260,- -,- -,- -,-2549325,-1778562,-1311857,-2970717,-6992389,-6447844,-8243761,-5759013,-5628191,-4518433,-2460473,-3014990,-2654202,-4545735,-3447980
74,Depreciation and Amortization,60000,50000,2187354,2070723,1626624,137001,- -,- -,- -,10475,16253,15454,16886,16804,15809,905871,978798,623934,293577,1981,1744,1314,1248,827
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493188,981803,4367907,4003279,4266374,397780,1142556,370661,530795,2129112,721084,2589134,1126481
77,Change in Working Capital,-50000,-50000,2831118,-9529433,8693128,-3881998,- -,- -,- -,997809,1085015,649259,-133857,-293879,-432265,-9049654,-2389056,1717749,-535931,-1204419,1635244,-704876,402480,3859783
78,Accounts Receivable,-40000,-40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-220000,390000,- -,- -,-67640,-67640,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,70000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-280000,-330000,2501118,-7028315,1664813,-2217185,- -,- -,- -,-1219376,-134361,514898,381041,87162,-345103,-9394757,-11783813,-10066064,-10601995,-11806414,-10171170,-10876046,-10473566,-6613783
82,Other Non-Cash Items,80000,1830000,380407,18724171,2904307,4881360,- -,- -,- -,-332481,109719,-800861,22136,1155620,309065,10235193,5779882,1333952,3490105,2615415,-1218491,1825563,586466,-2928571
83,Cash Provided by Operating Activities,-2290000,-1820000,-3498506,-4287762,-3869840,-2321897,- -,- -,- -,-1873522,-567575,-954817,-2083749,-1745937,-2551956,-1885977,-991609,-810000,-900021,-516701,-467381,-811117,-966407,-1389460
84,CAPEX,-20000,-10000,-95379,-60801,-40540,-119060,- -,- -,- -,-78623,-5395,-433179,-389677,-6405985,-897217,-64189,-850,- -,-5179,-1684,- -,-2482,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-3641548,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,580000,- -,202750,1972,8500545,44554,- -,- -,- -,-171945,48760,42470,28658,-25000,25000,- -,57315,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,560000,- -,107371,-58829,4818457,-74506,- -,- -,- -,-250568,43365,-390709,-361019,-6430985,-872217,-64189,56465,- -,-5179,-1684,- -,-2482,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162500,-1136425,- -,- -,-71098,- -,- -,- -,-17500,- -,-20000,- -
91,Common Stock Issued,- -,- -,1115490,542061,120000,- -,- -,- -,- -,- -,630000,380000,13153,1418200,1259250,1330499,944400,919970,314957,444263,350496,896801,1584000,2160000
92,Common Stock Repurchased,1710000,910000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22355,-25000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237464,-515592,-149550,-2917,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,30000,950000,4824995,2499995,-555444,592218,- -,- -,- -,1345000,- -,2182340,2161950,8779043,1342432,292258,203324,43168,421151,-23140,83466,-63880,-78100,2884953
95,Cash Used/Provided by Financing Activities,1740000,1860000,5940485,3042056,-435444,592218,- -,- -,- -,1345000,630000,2562340,1775139,8545226,2429777,1594840,1076626,963138,736108,421123,416462,832921,1485900,5044953
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,40000,2549350,-1304535,513173,-1804185,- -,- -,- -,-779090,105790,1216814,-669629,368304,-994396,-355326,141482,153138,-169092,-97262,-50919,19322,519493,3655493
98,Cash at the End of Period,20000,60000,2604933,1300398,1813571,9386,- -,- -,- -,373109,478899,1695713,1026084,1394388,399992,44666,186148,339286,170194,72932,22013,41335,560828,4216321
99,Cash at the Beginning of Period,10000,20000,55583,2604933,1300398,1813571,- -,- -,- -,1152199,373109,478899,1695713,1026084,1394388,399992,44666,186148,339286,170194,72932,22013,41335,560828
100,Free Cash Flow,-2310000,-1830000,-3593885,-4348563,-3910380,-2440957,- -,- -,- -,-1952145,-572970,-1387996,-2473426,-8151922,-3449173,-1950166,-992459,-810000,-905200,-518385,-467381,-813599,-966407,-1389460
101,SEC Link,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/875729/000143790409000047/0001437904-09-000047-index.html,https://www.sec.gov/Archives/edgar/data/875729/000143790410000078/0001437904-10-000078-index.html,https://www.sec.gov/Archives/edgar/data/875729/000143790411000104/0001437904-11-000104-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000143790412000069/0001437904-12-000069-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000143790413000083/0001437904-13-000083-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000094883014000087/0000948830-14-000087-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000094883015000065/0000948830-15-000065-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000094883016000132/0000948830-16-000132-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997317000560/0001079973-17-000560-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997318000517/0001079973-18-000517-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000155335019000992/0001553350-19-000992-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997320000805/0001079973-20-000805-index.htm,https://www.sec.gov/Archives/edgar/data/875729/000107997321000987/0001079973-21-000987-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
