,https://roic.ai/company/BRMK,2017,2018,2019,2020,2021
73,Net Income,45388000,81750000,75236000,90231000,82488000
74,Depreciation and Amortization,49000,97000,1150000,-558000,1123000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,259000,- -,4867000,3455000
77,Change in Working Capital,2124000,- -,344562000,-16852000,-4545000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,695610000,695610000,1040172000,1023320000,- -
82,Other Non-Cash Items,397000,-604000,-323810000,-16347000,-18391000
83,Cash Provided by Operating Activities,47958000,81502000,97138000,61341000,64130000
84,CAPEX,- -,- -,-14316000,- -,-476000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-127796000,-275650000,-227967000,34884000,-135603000
89,Cash Used for Investing Activites,-127796000,-275650000,-242283000,34884000,-136079000
90,Debt Repayment,- -,- -,- -,- -,-50000000
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,11000,- -,- -
93,Dividends Paid,-33155000,-57808000,-76892000,-111064000,-110072000
94,Other Financing Activites,124689000,298043000,436512000,- -,141535000
95,Cash Used/Provided by Financing Activities,91534000,240235000,359631000,-111064000,-18537000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,11696000,46087000,214486000,-14839000,-90486000
98,Cash at the End of Period,66147000,112234000,214486000,223375000,132889000
99,Cash at the Beginning of Period,54451000,66147000,- -,238214000,223375000
100,Free Cash Flow,47958000,81502000,82822000,61341000,63654000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1784797/000110465920034181/0001104659-20-034181-index.htm,https://www.sec.gov/Archives/edgar/data/1784797/000155837021002228/0001558370-21-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1784797/000095017022002327/0000950170-22-002327-index.htm
102,false,,,,,
