,https://roic.ai/company/SENEA,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,9900000,9200000,7200000,6797386,6923077,6739130,6756757,6444444,6210526,6428571,6268657,5759494,2898863,5621991,6000000,5862069,6117647,8000000,5941667,6705882,6589051,10978000,11193000,6861224,7400380,7645000,7654000,9957000,11636000,11799000,11219000,10819000,10762000,9948434,9855284,9839237,9652000,9264000,9088000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88948/000008894805000018/0000088948-05-000018-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88948/000008894812000020/0000088948-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894813000008/a10k033113.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894814000013/a10k033114.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894815000020/a10k03312015.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894816000051/a10k03312016.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894817000019/10k03312017.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774918012712/senea20180625_10k.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774919011972/senea20190331_10k.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774920014526/0001437749-20-014526-index.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774921014603/0001437749-21-014603-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1900000,2800000,2200000,16300000,13100000,13100000,8900000,3600000,1800000,7900000,15500000,2300000,26500000,1300000,1600000,4100000,31000000,11348000,5391000,24973000,64984000,4570000,5179000,6046000,8552000,10322000,5849000,7421000,4762000,9420000,14104000,13839000,10608000,8602000,11992000,15102000,11480000,10702000,59837000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4465000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1900000,2800000,2200000,16300000,13100000,13100000,8900000,3600000,1800000,7900000,15500000,2300000,26500000,1300000,1600000,4100000,31000000,11348000,5391000,24973000,64984000,9035000,5179000,6046000,8552000,10322000,5849000,7421000,4762000,9420000,14104000,13839000,10608000,8602000,11992000,15102000,11480000,10702000,59837000
34,Net Receivables,34400000,33500000,34600000,19500000,22000000,27100000,24600000,24500000,27200000,25200000,24400000,18700000,32600000,51100000,36500000,48600000,35700000,31702000,31510000,32035000,31799000,46180000,43664000,46618000,55500000,62012000,76713000,73460000,78536000,87421000,82933000,76964000,69837000,76788000,72080000,78796000,85343000,121762000,101517000
35,Inventory,95500000,73100000,87200000,78800000,80800000,70600000,88000000,84900000,92200000,86300000,82700000,92700000,132400000,229800000,158200000,194000000,152600000,203173000,229170000,181835000,141649000,270283000,294470000,307292000,380487000,395739000,392955000,446464000,455236000,432433000,479730000,451250000,472412000,567707000,598056000,680828000,501684000,411631000,343144000
36,Other Current Assets,3900000,2900000,2500000,1800000,300000,2700000,100000,600000,600000,300000,200000,2400000,2800000,17400000,10500000,7200000,4200000,5340000,6910000,6643000,5269000,22095000,15511000,9936000,6900000,17407000,12415000,12882000,17733000,13976000,34699000,42006000,34436000,20790000,6142000,3286000,4741000,7505000,11801000
37,Total Current Assets,135700000,112300000,126500000,116400000,116200000,113500000,121600000,113600000,121800000,119700000,122800000,116100000,194300000,299600000,206800000,253900000,223500000,251563000,272981000,245486000,243701000,347593000,358824000,369892000,451439000,485480000,487932000,540227000,556267000,543250000,611466000,584059000,587293000,673887000,688270000,778012000,603248000,551600000,516299000
38,PP&E,72900000,68300000,71400000,81300000,75000000,71100000,71500000,74000000,82800000,81700000,74100000,78200000,179700000,222700000,207400000,218400000,178700000,179146000,167450000,155189000,132969000,181907000,163290000,148501000,172235000,183051000,179245000,178113000,188012000,192825000,188407000,183917000,185557000,188837000,237476000,277025000,239273000,322769000,321387000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,400000,3900000,6500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1196000,- -,- -,- -,403000,2097000,- -,14829000,12897000,- -,10289000,2417000,7872000,- -
44,Other Non-Current Assets,2300000,-1300000,-3800000,3100000,3100000,3100000,500000,6400000,6500000,4400000,6200000,6300000,7700000,1600000,1800000,2600000,2700000,7831000,3802000,2901000,2870000,4403000,2381000,5273000,3041000,2346000,8428000,993000,429000,1558000,1179000,877000,18015000,19706000,20273000,5105000,3944000,27068000,71662000
45,Total Non-Current Assets,75600000,70900000,74100000,84400000,78100000,74200000,72000000,80400000,89300000,86100000,80300000,84500000,187400000,224300000,209200000,221000000,181400000,186977000,171252000,158090000,135839000,186310000,165671000,153774000,175276000,186593000,187673000,179106000,188441000,194786000,191683000,184794000,218401000,221440000,257749000,292419000,245634000,357709000,393049000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,211300000,183200000,200600000,200800000,194300000,187700000,193600000,194000000,211100000,205800000,203100000,200600000,381700000,523900000,416000000,474900000,404900000,438540000,444233000,403576000,379540000,533903000,524495000,523666000,626715000,672073000,675605000,719333000,744708000,738036000,803149000,768853000,805694000,895327000,946019000,1070431000,848882000,909309000,909348000
48,Accounts Payable,35800000,38700000,44400000,- -,- -,- -,- -,- -,- -,28100000,19700000,31800000,36100000,48900000,24400000,46500000,27000000,48699000,39726000,33979000,22730000,37362000,38719000,35163000,58615000,49400000,60019000,67674000,64369000,61074000,72128000,71219000,68105000,67410000,72824000,69618000,61024000,71194000,74089000
49,Short-Term Debt,34900000,6700000,4400000,2500000,3500000,5500000,9000000,8900000,8400000,2300000,5100000,7900000,5600000,113700000,27500000,73900000,7800000,8214000,43122000,22823000,22987000,79914000,76404000,66817000,10033000,10160000,38949000,6356000,142559000,7336000,40170000,14532000,12433000,280217000,8500000,9815000,6763000,28274000,28325000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60657000,4098000,7758000,4287000
52,Other Current Liabilities,13100000,15100000,15300000,35200000,30200000,25300000,33800000,43100000,35700000,12600000,13500000,13600000,19700000,28300000,26200000,21200000,21300000,25678000,26766000,25078000,25602000,42553000,38271000,38402000,48336000,55818000,56882000,61587000,54627000,49758000,52269000,45537000,43210000,51831000,50953000,54264000,40492000,42428000,51429000
53,Total Current Liabilities,83800000,60500000,64100000,37700000,33700000,30800000,42800000,52000000,44100000,43000000,38300000,53300000,61400000,190900000,78100000,141600000,56100000,82591000,109614000,81880000,71319000,159829000,153394000,140382000,116984000,115378000,155850000,135617000,261555000,118168000,164567000,131288000,123748000,399458000,132277000,194354000,112377000,149654000,158130000
54,Long-Term Debt,74500000,65000000,75300000,88600000,83200000,78300000,67300000,57900000,79900000,77600000,72500000,51400000,221500000,226500000,224100000,227800000,187900000,189968000,164251000,149430000,127107000,154428000,148318000,138813000,210395000,250039000,191853000,207924000,90060000,226873000,230016000,216239000,271634000,35967000,329138000,414132000,265900000,217081000,141086000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,10000000,11100000,12600000,12500000,13200000,10200000,9300000,10900000,10500000,11500000,11400000,15800000,7600000,6900000,8383000,6382000,7308000,9023000,15048000,11125000,7538000,4120000,- -,- -,3085000,3177000,- -,- -,339000,- -,- -,4181000,- -,- -,- -,28306000
57,Other Non-Current Liabilities,6200000,7900000,10000000,3100000,3500000,- -,- -,100000,100000,- -,- -,- -,- -,4200000,4300000,8800000,9400000,8599000,14227000,13835000,12727000,14349000,15849000,19154000,21645000,27226000,45477000,37697000,36084000,38322000,41400000,27355000,58582000,54728000,46162000,65015000,53120000,148210000,4011000
58,Total Non-Current Liabilities,80700000,72900000,85300000,101700000,97800000,90900000,79800000,71200000,90200000,86900000,83400000,61900000,233000000,242100000,244200000,244200000,204200000,206950000,184860000,170573000,148857000,183825000,175292000,165505000,236160000,277265000,237330000,248706000,129321000,265195000,271416000,243933000,330216000,90695000,379481000,479147000,319020000,365291000,173403000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6559000,5807000,3773000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4988000,34194000,35896000,31286000,67126000,47001000
61,Total Liabilities,164500000,133400000,149400000,139400000,131500000,121700000,122600000,123200000,134300000,129900000,121700000,115200000,294400000,433000000,322300000,385800000,260300000,289541000,294474000,252453000,220176000,343654000,328686000,305887000,353144000,392643000,393180000,384323000,390876000,383363000,435983000,375221000,453964000,490153000,511758000,673501000,431397000,514945000,331533000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41656000,56338000,56335000,54486000,69619000,69448000,69403000,31325000,6325000,6268000,5422000,5332000,2119000,1344000,1324000,707000,707000,681000,663000
63,Common Stock,2400000,2200000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2822000,2825000,2827000,2849000,2859000,2859000,2890000,3075000,3079000,3080000,3861000,4118000,2938000,2955000,2958000,3010000,3023000,3024000,3038000,3039000,3041000,3041000
64,Retained Earnings,25300000,33400000,39200000,49600000,51400000,54500000,59500000,65300000,71200000,72000000,76100000,83300000,84500000,77100000,84700000,79500000,84600000,88887000,89677000,90794000,99821000,112739000,120623000,142593000,173853000,182071000,200813000,249201000,266849000,278082000,319472000,333228000,343104000,397539000,410129000,389647000,409504000,459797000,585874000
65,Other Comprehensive Income/Loss,-27100000,-34400000,-41500000,-47500000,-54900000,-57800000,-65500000,-69900000,-76300000,-85200000,-93600000,-100800000,-106900000,-126300000,-148400000,-175300000,-163600000,-185533000,-191693000,-215103000,-226147000,-252870000,-265847000,-257048000,-1000000,-4000000,-19000000,-15000000,-14000000,-23000000,-23000000,-11000000,-32000000,-28000000,-11000000,-25000000,-18000000,-79000000,-19067000
66,Other Total Stockholders Equity,46200000,48600000,51500000,59300000,66300000,69300000,77000000,75400000,81900000,89100000,98900000,102900000,109700000,140100000,157400000,184900000,223600000,242823000,248950000,272605000,241185000,271183000,281839000,274858000,28024000,28832000,28129000,65623000,90540000,90385000,62317000,63114000,35497000,31268000,30784000,28538000,22235000,9845000,7304000
67,Total Stockholders Equity,46800000,49800000,51200000,61400000,62800000,66000000,71000000,70800000,76800000,75900000,81400000,85400000,87300000,90900000,93700000,89100000,144600000,148999000,149759000,151123000,159364000,190249000,195809000,217779000,273571000,279430000,282425000,335010000,353832000,354673000,367166000,393632000,351730000,405174000,434261000,396930000,417485000,394364000,577815000
68,Total Liabilities And Stockholders Equity,211300000,183200000,200600000,200800000,194300000,187700000,193600000,194000000,211100000,205800000,203100000,200600000,381700000,523900000,416000000,474900000,404900000,438540000,444233000,403576000,379540000,533903000,524495000,523666000,626715000,672073000,675605000,719333000,744708000,738036000,803149000,768853000,805694000,895327000,946019000,1070431000,848882000,909309000,909348000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,211300000,183200000,200600000,200800000,194300000,187700000,193600000,194000000,211100000,205800000,203100000,200600000,381700000,523900000,416000000,474900000,404900000,438540000,444233000,403576000,379540000,533903000,524495000,523666000,626715000,672073000,675605000,719333000,744708000,738036000,803149000,768853000,805694000,895327000,946019000,1070431000,848882000,909309000,909348000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88948/000008894805000018/0000088948-05-000018-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88948/000008894812000020/0000088948-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894813000008/a10k033113.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894814000013/a10k033114.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894815000020/a10k03312015.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894816000051/a10k03312016.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894817000019/10k03312017.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774918012712/senea20180625_10k.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774919011972/senea20190331_10k.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774920014526/0001437749-20-014526-index.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774921014603/0001437749-21-014603-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1800000,3100000,5000000,5800000,5900000,900000,4200000,9100000,- -,-10100000,7500000,-5100000,5200000,4320000,813000,1140000,9050000,12941000,7907000,21993000,32067000,8019000,18765000,48411000,17671000,11256000,41413000,13779000,9899000,54458000,12613000,-13811000,5747000,52335000,126100000
74,Depreciation and Amortization,- -,- -,- -,- -,8530000,8820000,8980000,8230000,8220000,9600000,9300000,9300000,6770000,23600000,26300000,28800000,27600000,23554000,23733000,24546000,22597000,29393000,29178000,23793000,22881000,22669000,22026000,22415000,22581000,22691000,23251000,23281000,21834000,21737000,24824000,31547000,31235000,30933000,32375000
75,Deferred Income Tax,- -,- -,- -,- -,1100000,1520000,-80000,730000,-3000000,-900000,1600000,-400000,450000,-2200000,-1900000,-6200000,- -,-87000,-2071000,969000,3520000,1107000,-1552000,-4344000,-2451000,-74000,4680000,4247000,1717000,1368000,-2950000,-3798000,-612000,-533000,6524000,-4923000,909000,15529000,16650000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-6950000,200000,-3900000,-17200000,16100000,-1000000,7800000,-21700000,70100000,-24200000,20000000,-16400000,55100000,1572000,-5605000,239000,8776000,15382000,17666000,24080000,104945000,35647000,-38020000,72528000,-109898000,130370000,21817000,5872000,10774000,-189116000,281564000,27665000,-92787000,-88925000,-43777000
78,Accounts Receivable,- -,- -,- -,- -,-2500000,-5100000,2500000,100000,-2700000,- -,- -,- -,-13900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14701000,3253000,-1661000,1431000,-208000,1276000,7127000,1289000,4708000,-672000,-5326000,-33290000,24280000
79,Inventory,- -,- -,- -,- -,-2000000,10200000,-17400000,3100000,-7300000,5900000,3700000,-10000000,-39900000,-91600000,71600000,-7200000,7200000,-6961000,-25997000,47335000,40186000,-41122000,-24187000,-12822000,24813000,-15252000,2731000,-53509000,1519000,22803000,-20134000,28320000,-21162000,-52185000,-30349000,-35817000,142271000,90053000,68487000
80,Accounts Payable,- -,- -,- -,- -,4400000,6000000,-6000000,-5200000,3800000,- -,- -,- -,-4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210000,6497000,-4321000,-10316000,-5142000,-207000,-31071000,-13509000,-65936000
81,Other Working Capital,- -,- -,- -,- -,82500000,82700000,78800000,61600000,77700000,76700000,84500000,62800000,132900000,108700000,128700000,112300000,167400000,168972000,163367000,163606000,172382000,187764000,205430000,229510000,334455000,370102000,332082000,404610000,294712000,425082000,446899000,452771000,463545000,274429000,555993000,583658000,490871000,401946000,358169000
