,https://roic.ai/company/DNLI,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1714899/000119312518217923/0001193125-18-217923-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489919000015/0001714899-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489920000026/0001714899-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489921000033/0001714899-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489922000058/0001714899-22-000058-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,30740000,39853000,218375000,77123000,79449000,507144000,293477000
32,Short-Term Investments,- -,138478000,187851000,387174000,335907000,962553000,571930000
33,Cash and Short-Term Investments,30740000,178331000,406226000,464297000,415356000,1469697000,865407000
34,Net Receivables,- -,438000,464000,8546000,- -,5674000,1226000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2691000,3186000,2917000,7993000,14675000,20284000,30601000
37,Total Current Assets,33431000,181955000,409607000,480836000,430031000,1495655000,897234000
38,PP&E,3168000,15262000,14923000,25162000,80655000,73464000,69608000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,73080000,61250000,147881000,39886000,32699000,425449000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,84000,770000,941000,8105000,2659000,2462000,11871000
45,Total Non-Current Assets,3252000,89112000,77114000,181148000,123200000,108625000,506928000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36683000,271067000,486721000,661984000,553231000,1604280000,1404162000
48,Accounts Payable,1713000,1963000,2716000,1891000,2590000,1071000,4779000
49,Short-Term Debt,- -,- -,- -,- -,3665000,4690000,5453000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,11427000,18739000,23483000,320301000
52,Other Current Liabilities,1768000,7143000,11448000,19468000,20350000,42455000,47712000
53,Total Current Liabilities,3481000,9106000,14164000,32786000,45344000,71699000,378245000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,58554000
55,Deferred Revenue,- -,- -,- -,57350000,43753000,317174000,4693000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,48836000,7442000,6761000,25003000,69244000,64876000,379000
58,Total Non-Current Liabilities,48836000,7442000,6761000,82353000,112997000,382050000,63626000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,72530000,68865000,64007000
61,Total Liabilities,52317000,16548000,20925000,115139000,158341000,453749000,441871000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,170000,2688000,1201000,1273000,1288000,1531000,1548000
64,Retained Earnings,-16860000,-103512000,-191697000,-227937000,-425551000,-354415000,-644996000
65,Other Comprehensive Income/Loss,- -,-373000,-368000,-649000,350000,-245000,-2499000
66,Other Total Stockholders Equity,1056000,355716000,656660000,774158000,818803000,1503660000,1608238000
67,Total Stockholders Equity,-15634000,254519000,465796000,546845000,394890000,1150531000,962291000
68,Total Liabilities And Stockholders Equity,36683000,271067000,486721000,661984000,553231000,1604280000,1404162000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,36683000,271067000,486721000,661984000,553231000,1604280000,1404162000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1714899/000119312518217923/0001193125-18-217923-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489919000015/0001714899-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489920000026/0001714899-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489921000033/0001714899-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489922000058/0001714899-22-000058-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-16788000,-86652000,-88185000,-36240000,-197614000,71136000,-290581000
74,Depreciation and Amortization,121000,1469000,3082000,7415000,7991000,8531000,8593000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,479000,2951000,4409000,18791000,38378000,50351000,85247000
77,Change in Working Capital,426000,142899000,222594000,52607000,-63363000,1039269000,-20412000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1678000,161000,207000,-526000,1033000,-1623000,3705000
81,Other Working Capital,29950000,172849000,395443000,448050000,384687000,1423956000,-15662000
82,Other Non-Cash Items,710000,-133026000,-218535000,7543000,63032000,-753135000,5764000
83,Cash Provided by Operating Activities,-15052000,-72359000,-76635000,50116000,-151576000,416152000,-211389000
84,CAPEX,-3062000,-6134000,-2875000,-3393000,-17919000,-3095000,-8500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-226870000,-179789000,-557930000,-369696000,-1285468000,-1422938000
87,Sales/Maturities of Investments,- -,14000000,141498000,273901000,535327000,665357000,1409812000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-3062000,-219004000,-41166000,-287422000,147712000,-623206000,-21626000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,110000,- -,265619000,94406000,- -,614094000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,48744000,300476000,30704000,2613000,6190000,20655000,19348000
95,Cash Used/Provided by Financing Activities,48854000,300476000,296323000,97019000,6190000,634749000,19348000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,9113000,178522000,-140287000,2326000,427695000,-213667000
98,Cash at the End of Period,30740000,39853000,218375000,78623000,80949000,508644000,294977000
99,Cash at the Beginning of Period,- -,30740000,39853000,218910000,78623000,80949000,508644000
100,Free Cash Flow,-18114000,-78493000,-79510000,46723000,-169495000,413057000,-219889000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1714899/000119312518217923/0001193125-18-217923-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489919000015/0001714899-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489920000026/0001714899-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489921000033/0001714899-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1714899/000171489922000058/0001714899-22-000058-index.htm
102,false,,,,,,,
