,https://roic.ai/company/AXIM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,6100,74885,14017,1000000,1009000,1998157,4440000,2189579,- -,1705770
95,Cash Used/Provided by Financing Activities,- -,19100,74885,14017,1000000,1029000,1873317,4426453,4593053,3377958,3216270
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-4010,-19001,661001,-526958,579176,1344497,-252216,-1293997,-54449
98,Cash at the End of Period,- -,23138,19128,127,661128,134170,713346,2057843,1805627,511630,457181
99,Cash at the Beginning of Period,- -,- -,23138,19128,127,661128,134170,713346,2057843,1805627,511630
100,Free Cash Flow,- -,4038,-78895,-33018,-338999,-1555958,-1294141,-3081956,-4845269,-5020142,-2097421
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1514946/000151495512000009/0001514955-12-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1514946/000151495514000003/0001514955-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000138730815000034/0001387308-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000138730816000190/0001387308-16-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878217001262/0001078782-17-001262-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878218000306/0001078782-18-000306-index.html,https://www.sec.gov/Archives/edgar/data/1514946/000107878219000800/0001078782-19-000800-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878220000359/0001078782-20-000359-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878221000365/0001078782-21-000365-index.htm
102,false,,,,,,,,,,,
