,https://roic.ai/company/LPI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,5913000,58288000,192524000,243953000,- -,- -,- -,- -,- -
43,Tax Assets,123391000,143723000,90376000,49916000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5960000,14128000,35829000,37059000,105914000,154926000,88276000,16749000,19522000,27918000,35394000,16336000,54304000
45,Total Non-Current Assets,525451000,967744000,1504714000,2200867000,2316151000,3567296000,1481055000,1627569000,1787907000,2227553000,2063958000,1306020000,2315967000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,625344000,1068160000,1627652000,2338304000,2623760000,3932549000,1813287000,1782346000,2023289000,2420305000,2264437000,1442610000,2551824000
48,Accounts Payable,34284000,41338000,46007000,48672000,16002000,39008000,14181000,32267000,58341000,69504000,40521000,38279000,71386000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14042000,11721000,7742000
50,Tax Payable,- -,- -,1493000,2121000,1303000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,36065000,35124000,65438000,34540000,26838000,37852000,48841000,33123000,24728000,117920000
52,Other Current Liabilities,44981000,108905000,168354000,177331000,202843000,320579000,168094000,128840000,181226000,82120000,83210000,122867000,329865000
53,Total Current Liabilities,79265000,150243000,214361000,262068000,253969000,425025000,216815000,187945000,277419000,200465000,170896000,197595000,526913000
54,Long-Term Debt,247100000,491600000,636961000,1216760000,1051538000,1801295000,1416226000,1353909000,791855000,983636000,1170417000,1179266000,1431584000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,16293000,105754000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,9872000,15218000,16317000,27753000,29704000,37274000,48799000,59919000,188436000,61974000,81250000,87192000,79547000
58,Total Non-Current Liabilities,256972000,506818000,653278000,1244513000,1097535000,1944323000,1465025000,1413828000,980291000,1045610000,1251667000,1266458000,1511131000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31250000,20639000,13468000
61,Total Liabilities,336237000,657061000,867639000,1506581000,1351504000,2369348000,1681840000,1601773000,1257710000,1246075000,1422563000,1464053000,2038044000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1276000,1283000,1427000,1437000,2138000,2419000,2425000,2339000,2373000,120000,171000
64,Retained Earnings,- -,- -,-192634000,-130980000,-12980000,252593000,-1957343000,-2218082000,-1669108000,-1203395000,-1545854000,-2420027000,-2275019000
65,Other Comprehensive Income/Loss,-624526000,-720647000,-896785000,-1139796000,-1364875000,-1608647000,-4253197000,-4561204000,-4680616000,-4919951000,-5801017000,- -,- -
66,Other Total Stockholders Equity,913633000,1131746000,1848156000,2101216000,2648684000,2917818000,6339849000,6957440000,7112878000,7295237000,8186372000,2398464000,2788628000
67,Total Stockholders Equity,289107000,411099000,760013000,831723000,1272256000,1563201000,131447000,180573000,765579000,1174230000,841874000,-21443000,513780000
68,Total Liabilities And Stockholders Equity,625344000,1068160000,1627652000,2338304000,2623760000,3932549000,1813287000,1782346000,2023289000,2420305000,2264437000,1442610000,2551824000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,625344000,1068160000,1627652000,2338304000,2623760000,3932549000,1813287000,1782346000,2023289000,2420305000,2264437000,1442610000,2551824000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528129/000152812913000056/0001528129-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812914000057/0001528129-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812915000032/0001528129-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812916000186/0001528129-16-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812917000026/0001528129-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812918000026/0001528129-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812919000012/0001528129-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812920000015/0001528129-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812921000026/0001528129-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812922000040/0001528129-22-000040-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-184495000,86248000,105554000,61654000,118000000,265573000,-2209936000,-260739000,548974000,324595000,-342459000,-874173000,145008000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14563000,13070000,13609000
75,Deferred Income Tax,-74006000,-25812000,59374000,32949000,75288000,164286000,-176945000,- -,- -,5056000,-2588000,-3946000,2321000
76,Stock Based Compensation,1419000,1257000,- -,10056000,21433000,23079000,24509000,29229000,35734000,36396000,8290000,8217000,7675000
77,Change in Working Capital,24220000,-41596000,-33208000,178271000,-113412000,175189000,-148585000,-8869000,34324000,37296000,-90588000,-319259000,45514000
78,Accounts Receivable,22062000,-23299000,-30196000,-9705000,6825000,-49953000,38975000,832000,-12124000,4669000,8924000,21117000,-87831000
79,Inventory,2887000,-4143000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-6753000,5711000,-3825000,2665000,-32581000,23006000,-24827000,873000,- -,- -,- -,- -,31387000
81,Other Working Capital,-49827000,-91423000,-124631000,53640000,-59772000,115417000,-33168000,-42037000,-7713000,29583000,-61005000,-380264000,81201000
82,Other Non-Cash Items,345531000,136946000,212356000,93846000,263420000,-129850000,2826904000,596674000,-234118000,134461000,887856000,1559481000,282544000
83,Cash Provided by Operating Activities,112669000,157043000,344076000,376776000,364729000,498277000,315947000,356295000,384914000,537804000,475074000,383390000,496671000
84,CAPEX,-363702000,-460636000,-706843000,-920308000,-776725000,-1353547000,-632601000,-498190000,-566914000,-705214000,-668612000,-390575000,-1190553000
85,Acquisitions Net,- -,- -,- -,-20496000,-3287000,-55164000,-99855000,-69609000,797807000,1655000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2369000,89000,56000,-920255000,-326597000,-1351797000,-567652000,-494793000,-499757000,-675073000,-462427000,-353452000,-33400000
89,Cash Used for Investing Activites,-361333000,-460547000,-706787000,-940751000,-329884000,-1406961000,-667507000,-564402000,295050000,-690956000,-661711000,-389238000,-796811000
90,Debt Repayment,-15900000,-105800000,-1196700000,-280000000,-395000000,- -,-1051200000,-304682000,-778480000,-20000000,-90000000,-200000000,-720000000
91,Common Stock Issued,- -,- -,319378000,- -,298104000,- -,754163000,276052000,- -,- -,- -,- -,72492000
92,Common Stock Repurchased,- -,- -,-3000,- -,-2083000,-4242000,-2811000,-1635000,-7662000,-97055000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,266039000,425552000,1236803000,849197000,229063000,744094000,653241000,239890000,185665000,203199000,272343000,213748000,955689000
95,Cash Used/Provided by Financing Activities,250139000,319752000,359478000,569197000,130084000,739852000,353393000,209625000,-600477000,86144000,182343000,13748000,308181000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1475000,16248000,-3233000,5222000,164929000,-168832000,1833000,1518000,79487000,-67008000,-4294000,7900000,8041000
98,Cash at the End of Period,14987000,31235000,28002000,33224000,198153000,29321000,31154000,32672000,112159000,45151000,40857000,48757000,56798000
99,Cash at the Beginning of Period,13512000,14987000,31235000,28002000,33224000,198153000,29321000,31154000,32672000,112159000,45151000,40857000,48757000
100,Free Cash Flow,-251033000,-303593000,-362767000,-543532000,-411996000,-855270000,-316654000,-141895000,-182000000,-167410000,-193538000,-7185000,-693882000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528129/000152812913000056/0001528129-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812914000057/0001528129-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812915000032/0001528129-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812916000186/0001528129-16-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812917000026/0001528129-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812918000026/0001528129-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812919000012/0001528129-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812920000015/0001528129-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812921000026/0001528129-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812922000040/0001528129-22-000040-index.htm
102,false,,,,,,,,,,,,,
