,https://roic.ai/company/NSPR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,4925,5944,5094000,10284000,17535000,6300000,3257000,7516000,3710000,9384000,5514000,12645000,34040000
34,Net Receivables,- -,- -,- -,2402000,1970000,2242000,814000,547000,513000,850000,820000,973000,945000,1389000
35,Inventory,- -,- -,- -,2171000,1807000,1593000,1924000,753000,500000,533000,1134000,1236000,1415000,1143000
36,Other Current Assets,- -,- -,- -,163000,248000,234000,330000,75000,65000,62000,81000,87000,334000,522000
37,Total Current Assets,- -,4925,5944,9830000,14309000,21604000,9368000,4632000,8594000,5155000,11419000,7810000,15339000,37094000
38,PP&E,- -,- -,- -,420000,- -,- -,622000,472000,379000,476000,421000,1484000,1713000,1713000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,215000,1705000,2362000,1469000,674000,437000,476000,448000,586000,725000,905000
45,Total Non-Current Assets,- -,- -,- -,635000,1705000,2362000,2091000,1146000,816000,952000,869000,2070000,2438000,2618000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4925,5944,10465000,16014000,- -,11459000,5778000,9410000,6107000,12288000,9880000,17777000,39712000
48,Accounts Payable,- -,- -,- -,814000,441000,1623000,909000,512000,618000,328000,929000,646000,236000,893000
49,Short-Term Debt,- -,- -,- -,94000,- -,1181000,3809000,4234000,2680000,- -,- -,362000,400000,420000
50,Tax Payable,- -,- -,- -,69000,56000,29000,15000,3000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,316000,184000,179000,179000,167000,33000,20000,25000,20000,- -,- -
52,Other Current Liabilities,- -,3250,8245,2217000,2925000,3141000,3576000,2006000,1447000,2134000,1966000,2087000,3069000,3034000
53,Total Current Liabilities,- -,3250,8245,3441000,3550000,6124000,8473000,6919000,4778000,2482000,2920000,3115000,3705000,4347000
54,Long-Term Debt,- -,- -,- -,- -,5018000,8593000,5086000,1099000,- -,- -,- -,653000,999000,781000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,270000,2060000,610000,687000,706000,587000,898000,605000,729000,910000,1052000
58,Total Non-Current Liabilities,- -,- -,- -,270000,7078000,9203000,5773000,1805000,587000,898000,605000,1382000,1909000,1833000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1015000,1399000,1201000
61,Total Liabilities,- -,3250,8245,3711000,10628000,15327000,14246000,8724000,5365000,3380000,3525000,4497000,5614000,6180000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,250,450,7000,7000,3000,4000,1000,- -,- -,4000,- -,5000,1000
64,Retained Earnings,- -,-10825,-34801,-36641000,-43722000,-82316000,-107411000,-122996000,-131914000,-140352000,-147592000,-157632000,-168176000,-183094000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,12250,32050,43388000,49101000,90952000,104620000,120049000,- -,- -,156351000,- -,180334000,- -
67,Total Stockholders Equity,- -,1675,-2301,6754000,5386000,8639000,-2787000,-2946000,4045000,2727000,8763000,5383000,12163000,33532000
68,Total Liabilities And Stockholders Equity,- -,4925,5944,10465000,16014000,23966000,11459000,5778000,9410000,6107000,12288000,9880000,17777000,39712000
69,Minority Interest,- -,- -,- -,- -,- -,-23966000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4925,5944,10465000,16014000,- -,11459000,5778000,9410000,6107000,12288000,9880000,17777000,39712000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1433607/000149315221005564/0001493152-21-005564-index.htm,https://www.sec.gov/Archives/edgar/data/1433607/000149315222006180/0001493152-22-006180-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,-3825,-23976,-14665000,-17597000,-29258000,-25095000,-15585000,-8461000,-8438000,-7240000,-10040000,-10544000,-14918000
74,Depreciation and Amortization,- -,- -,- -,89000,120000,208000,263000,241000,191000,178000,152000,158000,151000,161000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,9590000,10554000,3839000,4138000,3107000,978000,672000,70000,325000,606000,1576000
77,Change in Working Capital,- -,3000,4995,-1995000,-1663000,356000,923000,-220000,-290000,-60000,-182000,-350000,533000,-75000
78,Accounts Receivable,- -,- -,- -,-1432000,- -,85000,1220000,230000,49000,-287000,-73000,-107000,347000,-748000
79,Inventory,- -,- -,- -,-96000,-254000,214000,-331000,1171000,253000,-33000,-601000,-102000,-179000,272000
80,Accounts Payable,- -,- -,- -,-371000,-322000,390000,-659000,-397000,106000,-290000,584000,-283000,-410000,657000
81,Other Working Capital,- -,- -,- -,-398000,10000,- -,- -,- -,- -,- -,- -,78000,56000,-14000
82,Other Non-Cash Items,- -,- -,- -,978000,6000,14555000,409000,861000,87000,-483000,-406000,97000,173000,46000
83,Cash Provided by Operating Activities,- -,-825,-18981,-6003000,-8580000,-10300000,-19362000,-11596000,-7495000,-8131000,-7606000,-9810000,-9081000,-13210000
84,CAPEX,- -,- -,- -,-139000,-290000,-202000,-133000,-16000,-49000,-258000,-67000,-284000,-88000,-344000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000
88,Other Investing Activites,- -,- -,- -,152000,247000,-174000,47000,-7000,119000,-60000,23000,-103000,-99000,-113000
89,Cash Used for Investing Activites,- -,- -,- -,13000,-43000,-376000,-86000,-23000,70000,-318000,-44000,-387000,-187000,-22457000
90,Debt Repayment,- -,- -,- -,-1395000,-281000,-8787000,-1148000,-3702000,-2648000,-2179000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,20000,10564000,- -,22880000,9535000,12432000,14365000,6822000,16384000,6335000,16395000,35034000
92,Common Stock Repurchased,- -,- -,- -,- -,-21000,-27000,- -,- -,- -,- -,-3014000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1500000,11368000,1057000,-115000,-113000,-14000,-10000,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,20000,10669000,11066000,15123000,8272000,8617000,11703000,4633000,13370000,6335000,16395000,35034000
96,Effect of Forex Changes on Cash,- -,- -,- -,-221000,-229000,89000,-59000,-41000,-19000,10000,-46000,-8000,4000,-8000
97,Net Change In Cash,- -,-825,1019,4458000,2214000,4536000,-11235000,-3043000,4259000,-3806000,5674000,-3870000,7131000,-641000
98,Cash at the End of Period,- -,4925,5944,5094000,10284000,14820000,6300000,3257000,7516000,3710000,9384000,5514000,12645000,12004000
99,Cash at the Beginning of Period,- -,5750,4925,636000,8070000,10284000,17535000,6300000,3257000,7516000,3710000,9384000,5514000,12645000
100,Free Cash Flow,- -,-825,-18981,-6142000,-8870000,-10502000,-19495000,-11612000,-7544000,-8389000,-7673000,-10094000,-9169000,-13554000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1433607/000149315221005564/0001493152-21-005564-index.htm,https://www.sec.gov/Archives/edgar/data/1433607/000149315222006180/0001493152-22-006180-index.htm
102,false,,,,,,,,,,,,,,
