,https://roic.ai/company/AZUL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,-97567000,-105451000,-170842000,20711000,-65040000,-1074900000,-126314000,529000000,420277000,-2403086000,-10834709000,823700000
74,Depreciation and Amortization,51258000,87541000,106013000,200067000,197755000,218000000,301201000,299800000,324901000,3670884000,1805553000,1544300000
75,Deferred Income Tax,- -,- -,-1127000,-5965000,-26792000,-3900000,135265000,71700000,170604000,-135407000,-242516000,- -
76,Stock Based Compensation,2249000,4504000,3762000,1642000,6352000,9800000,9879000,28100000,22225000,17239000,22909000,- -
77,Change in Working Capital,65937000,-87099000,-22305000,202271000,-18940000,-46400000,258969000,-365000000,-205000000,231810000,2377283000,-545300000
78,Accounts Receivable,-7797000,-193770000,-31092000,-19098000,-220277000,100000,-20138000,-242700000,-160427000,-98803000,341759000,-270300000
79,Inventory,-2827000,-10486000,-8575000,-28033000,-4918000,-3000000,-17550000,-37100000,-53011000,-78511000,-44587000,- -
80,Accounts Payable,48302000,100239000,-82298000,229717000,187815000,170300000,-17804000,-93500000,305409000,174585000,743819000,-278000000
81,Other Working Capital,34222000,41667000,193787000,220615000,-35189000,-45800000,-59110000,-81600000,-62653000,-96130000,258971000,-419900000
82,Other Non-Cash Items,-9709000,41928000,66535000,196533000,204197000,499700000,-548648000,-268300000,-289950000,1213197000,7847710000,-2133300000
83,Cash Provided by Operating Activities,12168000,-58577000,-17964000,615259000,297532000,-397700000,30352000,295300000,443057000,2594637000,976230000,-310600000
84,CAPEX,-388518000,-503082000,-449449000,-402268000,-447776000,-1246300000,-442110000,-645600000,-854841000,-1560419000,-452660000,-776800000
85,Acquisitions Net,- -,- -,104288000,- -,- -,- -,- -,- -,- -,- -,-38713000,-20000000
86,Purchases of Investments,-31396000,-9072000,-18401000,-155052000,-1439165000,-539200000,-1111474000,-3673700000,-2843002000,-1355455000,-1471743000,- -
87,Sales/Maturities of Investments,- -,2166000,- -,495000,1152228000,994700000,377272000,3166200000,3392650000,1720701000,1513613000,90700000
88,Other Investing Activites,-388518000,-503082000,-477852000,-317980000,33239000,195600000,531963000,121200000,262953000,-124101000,-63917000,-152500000
89,Cash Used for Investing Activites,-419914000,-509988000,-391965000,-472537000,-701474000,-542500000,-644349000,-975800000,57964000,-1186820000,-403833000,-706100000
90,Debt Repayment,-67444000,-304657000,-186555000,-864084000,-1555807000,-1076900000,-1549085000,-2243500000,-1084476000,-1547005000,-1026494000,-2266400000
91,Common Stock Issued,- -,- -,- -,- -,32000,313000000,1451607000,1231300000,- -,37800000,23800000,24000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-346330000,-47400000,-12179000,-12853000,- -,-16200000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,405391000,907977000,735936000,996529000,1802393000,1925000000,970464000,1916400000,935412000,608555000,1936200000,3092491000
95,Cash Used/Provided by Financing Activities,337947000,603320000,549381000,132445000,246618000,1161100000,526656000,856800000,-161243000,-913503000,933506000,833891000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,26600000,- -,36800000,67039000,-15570000,-88968000,191855000
97,Net Change In Cash,-69799000,34755000,139452000,275167000,-157324000,247500000,-87341000,213100000,406817000,478744000,1416935000,9000000
98,Cash at the End of Period,96909000,131664000,271116000,546283000,388959000,636500000,549164000,762300000,1169136000,1647880000,3064815000,3073800000
99,Cash at the Beginning of Period,166708000,96909000,131664000,271116000,546283000,389000000,636505000,549200000,762319000,1169136000,1647880000,3064800000
100,Free Cash Flow,-376350000,-561659000,-467413000,212991000,-150244000,-1644000000,-411758000,-350300000,-411784000,1034218000,523570000,-1087400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1432364/000119312519129160/d658299d20f.htm,https://www.sec.gov/Archives/edgar/data/1432364/000119312520128789/d846546d20f.htm,- -,- -
102,Forex Rate,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
