,https://roic.ai/company/MYGN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-4300000,-6700000,-6500000,-6800000,-5437368,-2862597,-8993224,-19133000,-34854000,-33886000,-31334000,-27418000,57234000,94257000,147918000,166870000,193609000,242165000,291684000,159900000,195600000,97400000,174700000,85200000,-140400000,12300000
16,EBITDA ratio,-0.6515,-0.4408,-0.2802,-0.2688,-0.1599,-0.0634,-0.1670,-0.2975,-0.6153,-0.4112,-0.2742,-0.1745,0.1715,0.2887,0.4079,0.4150,0.3903,0.3949,0.3748,0.2211,0.2595,0.1263,0.2261,0.1001,-0.2199,0.0178
17,Operating Income,-8900000,-12500000,-13000000,-12400000,-11547127,-13136505,-18659767,-27346000,-42635000,-40745000,-45589000,-47727000,38081000,126462000,135075000,157778000,180318000,228002000,274442000,134200000,166800000,49400000,118700000,7600000,-231700000,-190500000
18,Operating Income ratio,-1.3485,-0.8224,-0.5603,-0.4901,-0.3395,-0.2909,-0.3466,-0.4251,-0.7526,-0.4944,-0.3989,-0.3037,0.1141,0.3873,0.3725,0.3924,0.3635,0.3718,0.3527,0.1856,0.2213,0.0640,0.1536,0.0089,-0.3628,-0.2758
19,Total Other Income Expenses (Gains),3100000,3300000,3200000,- -,-383481,6545345,5170397,2938000,2015000,767000,7400000,653000,10372000,9985000,5759000,1873000,4222000,5274000,3423000,700000,2100000,-6500000,-1800000,100000,8400000,133400000
20,Income Before Tax,- -,- -,- -,- -,- -,-6591160,-13489370,-24408000,-40620000,-39978000,-38189000,- -,48453000,136447000,140834000,159651000,184540000,233276000,277865000,134900000,168900000,42900000,116900000,- -,-223300000,-57100000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.1459,-0.2506,-0.3795,-0.7171,-0.4851,-0.3342,- -,0.1452,0.4179,0.3883,0.3971,0.3721,0.3804,0.3571,0.1866,0.2241,0.0556,0.1513,- -,-0.3497,-0.0827
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,583333,500000,417000,- -,- -,- -,- -,608000,193000,-11469000,58941000,72389000,86137000,101640000,54700000,43600000,21300000,-14000000,-4400000,-23700000,-29900000
23,Net Income,-5900000,-9200000,-9800000,-10000000,-8722102,-7174493,-13989370,-24825000,-40620000,-39978000,-38189000,-34962000,47845000,84615000,152303000,100710000,112151000,147139000,176225000,80200000,125300000,21800000,131100000,4600000,-199500000,-27200000
24,Net Income ratio,-0.8939,-0.6053,-0.4224,-0.3953,-0.2564,-0.1589,-0.2598,-0.3860,-0.7171,-0.4851,-0.3342,-0.2225,0.1434,0.2591,0.4200,0.2505,0.2261,0.2400,0.2264,0.1109,0.1662,0.0283,0.1697,0.0054,-0.3124,-0.0394
25,EPS,-0.20,-0.26,-0.26,-0.27,-0.21,-0.15,-0.29,-0.48,-0.74,-0.65,-0.53,-0.42,0.54,0.91,1.58,1.12,1.33,1.82,2.33,1.12,1.79,0.32,1.89,0.06,-2.69,-0.35
26,EPS Diluted,-0.20,-0.26,-0.26,-0.27,-0.21,-0.15,-0.29,-0.48,-0.74,-0.65,-0.53,-0.42,0.51,0.86,1.54,1.10,1.30,1.77,2.25,1.08,1.71,0.32,1.82,0.06,-2.69,-0.35
27,Weighted Average Shares Outstanding,30256410,35615672,37157924,37564488,40440892,45630070,47320254,51460000,54652000,61440000,72556000,82110000,88378000,93492000,96338000,89794000,84608000,80948000,75728000,71300000,70000000,68300000,69400000,73500000,74300000,78000000
28,Weighted Average Shares Outstanding Diluted,30256410,35615672,37222222,37564488,40440892,45630070,47320254,51460000,54652000,61440000,72556000,82110000,93408000,98573000,99152000,91704000,86465000,83327000,78182000,74500000,73400000,68800000,72000000,76000000,74300000,78000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899923/000156459020040011/0001564590-20-040011-index.htm,https://www.sec.gov/Archives/edgar/data/899923/000089992322000033/0000899923-22-000033-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13200000,15700000,14600000,5400000,56214736,35936817,61066953,61603000,83983000,49509000,98573000,143432000,237734000,63510000,92840000,52681000,86352000,104073000,64821000,64100000,68500000,102400000,110900000,93200000,163700000,258400000
32,Short-Term Investments,- -,- -,- -,4500000,24286955,91282481,12007946,11172000,31383000,64334000,129171000,164880000,90994000,253345000,310388000,293776000,254180000,268243000,121641000,80700000,90500000,48300000,69700000,43700000,54100000,81400000
33,Cash and Short-Term Investments,13200000,15700000,14600000,9900000,80501691,127219298,73074899,72775000,115366000,113843000,227744000,308312000,328728000,316855000,403228000,346457000,340532000,372316000,186462000,144800000,159000000,150700000,180600000,136900000,217800000,339800000
34,Net Receivables,- -,500000,600000,3200000,2751101,5760458,7452763,22308000,14548000,18381000,22217000,32451000,45432000,45305000,47801000,50847000,63101000,97706000,85067000,87700000,95000000,111300000,102100000,138600000,71000000,91300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5668000,11574000,5007000,23919000,25100000,38300000,42200000,34300000,31400000,29100000,15300000
36,Other Current Assets,37400000,32400000,16500000,600000,2678984,4219037,4826825,7740000,7279000,3331000,2326000,2499000,3143000,3993000,22947000,15289000,7285000,8963000,26975000,26000000,22200000,12900000,9400000,41700000,13800000,38400000
37,Total Current Assets,50600000,48600000,31700000,13700000,85931776,137198793,85354487,102823000,137193000,135555000,252287000,343262000,377303000,366153000,473976000,418261000,422492000,483992000,322423000,283600000,314500000,317100000,326400000,348600000,331700000,484800000
38,PP&E,9400000,12000000,12400000,10000000,11251718,12731046,15433098,18682000,17339000,18466000,19829000,24888000,30026000,22623000,23261000,23080000,24231000,27602000,34594000,67200000,58300000,51100000,43200000,57300000,103000000,125300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56051000,56850000,56850000,169181000,177200000,195300000,316100000,318600000,417200000,327600000,239200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16715000,15722000,13330000,205312000,192600000,227500000,491600000,455200000,684700000,605300000,404100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72766000,72572000,70180000,374493000,369800000,422800000,807700000,773800000,1101900000,932900000,643300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75370000,85154000,70857000,113692000,158748000,84124000,40600000,79900000,48500000,30700000,54900000,37000000,59000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27964000,25863000,30648000,28632000,3180000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,19600000,15500000,23300000,29900000,9191811,22215516,56602495,61318000,33824000,4937000,4487000,3917000,92013000,2275000,-16508000,- -,27000000,34667000,5000000,5000000,5000000,- -,- -,- -,- -,8300000
45,Total Non-Current Assets,29000000,27500000,35700000,39900000,20443529,34946562,72035593,80000000,51163000,23403000,24316000,28805000,122039000,100268000,119871000,192566000,268143000,319829000,501391000,482600000,566000000,907300000,847700000,1214100000,1072900000,835900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,79600000,76100000,67400000,53600000,106375305,172145355,157390080,182823000,188356000,158958000,276603000,372067000,499342000,466421000,593847000,610827000,690635000,803821000,823814000,766200000,880500000,1224400000,1174100000,1562700000,1404600000,1320700000
48,Accounts Payable,2200000,2600000,5100000,2900000,4262359,9657385,9461575,11454000,7938000,11897000,11804000,15763000,24884000,14177000,8870000,11395000,10141000,18132000,23078000,21100000,21100000,22000000,26000000,33300000,21700000,29600000
49,Short-Term Debt,- -,300000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000
51,Deferred Revenue,- -,- -,- -,- -,- -,19843373,14430370,2958000,1209000,1252000,117000,383000,2033000,33000,- -,1347000,2054000,2043000,1090000,1500000,1700000,2600000,2600000,2200000,32800000,5200000
52,Other Current Liabilities,6800000,6900000,4700000,2400000,24406299,3082799,4628635,4925000,5933000,10136000,14901000,15558000,46770000,17992000,18596000,21645000,32772000,44334000,56410000,46100000,49500000,192900000,73600000,82300000,92500000,156500000
53,Total Current Liabilities,9000000,9800000,9900000,5300000,28668658,32583557,28520580,19337000,15080000,23285000,26822000,31704000,73687000,32202000,27466000,34387000,44967000,64509000,80578000,68700000,72300000,217500000,102200000,117800000,147000000,204300000
54,Long-Term Debt,500000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99100000,9300000,233500000,224400000,79300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9648000,10008000,10718000,24238000,26600000,41900000,109600000,82200000,104300000,50100000,35800000
57,Other Non-Current Liabilities,-100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,- -,- -,- -,- -,8800000,18200000,20400000,15500000,18200000,64900000,33500000
58,Total Non-Current Liabilities,400000,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,9648000,10008000,10718000,24238000,35400000,60100000,229100000,107000000,356000000,339400000,148600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70400000,92300000
61,Total Liabilities,9400000,9900000,9900000,5400000,28668658,32583557,28520580,19337000,15080000,23285000,26822000,31704000,73687000,32202000,36266000,44035000,54975000,75227000,104816000,104100000,132400000,446600000,209200000,473800000,486400000,352900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,218666,234417,238171,271000,306000,309000,397000,434000,447000,959000,940000,862000,826000,806000,735000,700000,700000,700000,700000,700000,700000,800000
64,Retained Earnings,-14900000,-24100000,-33900000,-43900000,-52661982,-59836475,-73825845,-98651000,-139271000,-179249000,-217438000,-252400000,-204555000,-119940000,-10465000,-38630000,-12684000,30866000,2004000,-77000000,-73200000,-68400000,52900000,25600000,-173900000,-254200000
65,Other Comprehensive Income/Loss,-1400000,-3200000,-5900000,-6900000,-9719556,-12416209,-16360166,-20675000,-24565000,-1000000,-1000000,-39806000,-44770000,3000000,-42012000,-41033000,-48297000,-56595000,-2000000,-7000000,-10000000,-6000000,-4000000,-5000000,-5000000,-5100000
66,Other Total Stockholders Equity,86500000,93500000,97300000,98900000,139869519,211580065,218817340,282541000,336806000,315613000,467822000,632135000,674533000,550200000,609118000,645593000,695815000,753517000,718259000,745400000,830600000,851900000,915300000,1067600000,1096400000,- -
67,Total Stockholders Equity,70200000,66200000,57500000,48200000,77706647,139561798,128869500,163486000,173276000,135673000,249781000,340363000,425655000,434219000,557581000,566792000,635660000,728594000,718998000,662100000,748100000,778200000,964900000,1088900000,918200000,967800000
68,Total Liabilities And Stockholders Equity,79600000,76100000,67400000,53600000,106375305,172145355,157390080,182823000,188356000,158958000,276603000,372067000,499342000,466421000,593847000,610827000,690635000,803821000,823814000,766200000,880500000,1224800000,1174100000,1562700000,1404600000,1320700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -
70,Total Liabilities & Equity,79600000,76100000,67400000,53600000,106375305,172145355,157390080,182823000,188356000,158958000,276603000,372067000,499342000,466421000,593847000,610827000,690635000,803821000,823814000,766200000,880500000,1224400000,1174100000,1562700000,1404600000,1320700000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899923/000156459020040011/0001564590-20-040011-index.htm,https://www.sec.gov/Archives/edgar/data/899923/000089992322000033/0000899923-22-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5900000,-9200000,-9800000,-10000000,-8722102,-7174493,-13989370,-24825000,-40620000,-39978000,-38189000,-34962000,47845000,84615000,152303000,100710000,112151000,147139000,176225000,80200000,125300000,21800000,131100000,4600000,-199500000,-27200000
74,Depreciation and Amortization,1600000,2500000,3300000,3200000,3284734,3728563,4496146,5275000,5766000,6092000,6855000,7544000,8781000,9449000,7084000,7219000,9069000,8889000,13819000,25000000,26700000,48300000,54400000,73000000,72000000,62800000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28050000,- -,34185000,8179000,7464000,1700000,15700000,2500000,-23800000,13100000,-54100000,-34700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25682000,22776000,25088000,26275000,26612000,27068000,45700000,31600000,29900000,27100000,33500000,25200000,36300000
77,Change in Working Capital,5600000,-2800000,-17000000,-13400000,48863118,47352118,-47781329,26652093,38627000,-9843000,113195000,86093000,-7942000,30335000,112559000,-62636000,-6349000,41958000,-177638000,-26945000,27300000,-142600000,124600000,6600000,-46100000,120400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19901000,-21660000,-14989000,-34944000,-67185000,-24372000,-34400000,-39200000,-41400000,-39200000,-18200000,64000000,-8800000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000,-3426000,6567000,-15794000,-800000,-14600000,-1200000,7900000,8000000,1600000,1600000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10707000,-5307000,287000,-1249000,7991000,-1492000,-3100000,- -,-3000000,4000000,1100000,-10700000,9200000
81,Other Working Capital,41600000,38800000,21800000,8400000,57263118,104615236,56833907,83486000,122113000,112270000,225465000,311558000,303616000,333951000,446510000,383874000,377525000,419483000,241845000,214900000,242200000,99600000,224200000,230800000,184700000,-26600000
82,Other Non-Cash Items,100000,2900000,16500000,6100000,-26262215,-47681495,40962510,-53642093,-34653000,20425000,-109888000,-84526000,55052000,-66039000,-111586000,60378000,-33485000,-58911000,143275000,14845000,-60300000,146300000,-197500000,-47100000,263200000,-139400000
83,Cash Provided by Operating Activities,1400000,-6600000,-7000000,-14100000,17163535,-3775307,-16312043,-46540000,-30880000,-23304000,-28027000,-25851000,103736000,84042000,155086000,130759000,141846000,173866000,190213000,140500000,166300000,106200000,115900000,83700000,60700000,18200000
84,CAPEX,-6400000,-4700000,-3200000,-4000000,-4617196,-5255213,-6852742,-8036000,-3883000,-6736000,-7680000,-11400000,-13675000,-7525000,- -,-5792000,-10158000,-11373000,-14271000,-23900000,-5000000,-6100000,-8400000,-8600000,-10200000,-18000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79000000,-9000000,- -,-224000000,-20000000,-37000000,-216000000,- -,-279000000,21000000,379100000
86,Purchases of Investments,-622200000,-582800000,-840600000,-291700000,-23983772,-249333952,-89756898,-51784000,-52730000,-44603000,-165519000,-197841000,-191701000,-308566000,-477558000,-425153000,-396067000,-443777000,-161764000,-80700000,-164500000,-87500000,-80900000,-78500000,-60800000,-147800000
87,Sales/Maturities of Investments,569600000,592200000,841100000,300200000,25000541,172205932,137181371,50707000,58640000,70956000,100470000,162480000,174420000,111849000,52160000,456072000,385236000,384560000,381899000,165600000,115100000,163400000,77700000,79200000,69000000,61100000
88,Other Investing Activites,- -,- -,- -,- -,-735149,-2700000,-2482243,-2850000,-100000,-100000,-100000,20000,-349000,-9625000,348730000,-2517000,-19057000,-16373000,-13802000,-24000000,-5000000,-6200000,-8400000,-8100000,-9900000,-18000000
89,Cash Used for Investing Activites,-59000000,4700000,-2700000,4500000,-4335576,-85083233,38089488,-11963000,1927000,19517000,-72829000,-46741000,-31305000,-206342000,-76668000,-54390000,-38888000,-75590000,-17667000,40900000,-91400000,-146300000,-11600000,-286400000,19300000,274400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-305000000,-143000000,-115000000,-8600000,-226400000
91,Common Stock Issued,59200000,4600000,600000,600000,37981833,68580621,3352691,59039000,51333000,2466000,149920000,117451000,21871000,84209000,22305000,25060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71393000,-200490000,-128467000,-146268000,-287703000,-210700000,-162600000,-31600000,- -,-50000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-300000,-300000,-400000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136133000,- -,58831000,59222000,65713000,75905000,33400000,94300000,408400000,48000000,347300000,-1400000,75800000
95,Cash Used/Provided by Financing Activities,58900000,4300000,200000,400000,37981833,68580621,3352691,59039000,51333000,2466000,149920000,117451000,21871000,-51924000,-49088000,-116599000,-69245000,-80555000,-211798000,-177300000,-68300000,71800000,-95000000,182300000,-10000000,-150600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000,-42000,- -,- -,-4800000,-2200000,2200000,-800000,2700000,500000,-600000
97,Net Change In Cash,- -,- -,- -,-9200000,50809792,-20277919,25130136,536000,22380000,-1321000,49064000,44859000,94302000,-174224000,29330000,-40159000,33671000,17721000,-39252000,-700000,4400000,33900000,8500000,-17700000,70500000,141400000
98,Cash at the End of Period,- -,- -,- -,5400000,56214736,35936817,61066953,61603000,83983000,49509000,98573000,143432000,237734000,63510000,92840000,52681000,86352000,104073000,64821000,64100000,68500000,102400000,110900000,93200000,163700000,258400000
99,Cash at the Beginning of Period,11900000,13200000,24100000,14600000,5404944,56214736,35936817,61067000,61603000,50830000,49509000,98573000,143432000,237734000,63510000,92840000,52681000,86352000,104073000,64800000,64100000,68500000,102400000,110900000,93200000,117000000
100,Free Cash Flow,-5000000,-11300000,-10200000,-18100000,12546339,-9030520,-23164785,-54576000,-34763000,-30040000,-35707000,-37251000,90061000,76517000,155086000,124967000,131688000,162493000,175942000,116600000,161300000,100100000,107500000,75100000,50500000,200000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899923/000156459020040011/0001564590-20-040011-index.htm,https://www.sec.gov/Archives/edgar/data/899923/000089992322000033/0000899923-22-000033-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
