,https://roic.ai/company/AGLE,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1636282/000156459017005137/0001564590-17-005137-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459018005404/0001564590-18-005404-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459019006771/0001564590-19-006771-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459020005888/0001564590-20-005888-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459021014021/0001564590-21-014021-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459022008995/0001564590-22-008995-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,4597000,2616000,29294000,47748000,12817000,22461000,19253000,90095000,15142000
32,Short-Term Investments,- -,- -,3768000,15754000,37482000,52052000,52696000,56178000,- -
33,Cash and Short-Term Investments,4597000,2616000,33062000,63502000,50299000,74513000,71949000,146273000,15142000
34,Net Receivables,- -,- -,1697000,1215000,3078000,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,114000,3527000,1707000,1614000,2158000,2556000,3516000,83749000
37,Total Current Assets,4597000,2730000,38286000,66424000,54991000,76671000,74505000,149789000,98891000
38,PP&E,- -,162000,348000,599000,854000,1018000,7111000,9872000,8355000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,77986000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,38000,20000,40000,232000,50000,1567000,1957000,-75306000
45,Total Non-Current Assets,- -,200000,368000,639000,1086000,1068000,8678000,11829000,11035000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4597000,2930000,38654000,67063000,56077000,77739000,83183000,161618000,109926000
48,Accounts Payable,217000,319000,176000,168000,389000,663000,3154000,2254000,3319000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,351000,319000,5044000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,71000,20000,- -,- -,- -,2359000
52,Other Current Liabilities,1195000,739000,2347000,3726000,5220000,9576000,14854000,13870000,- -
53,Total Current Liabilities,1412000,1058000,2523000,3965000,5629000,10239000,18359000,16443000,10722000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,5129000,4608000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,27000,132000,111000,72000,4743000,214000,10655000
58,Total Non-Current Liabilities,- -,- -,27000,132000,111000,72000,4743000,5343000,15263000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,5063000,5448000,- -
61,Total Liabilities,1412000,1058000,2550000,4097000,5740000,10311000,23102000,21786000,25985000
62,Preferred Stock,4458000,13345000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,664000,811000,1000,1000,2000,2000,3000,5000,5000
64,Retained Earnings,-1937000,-12284000,-23579000,-45277000,-72513000,-116861000,-195115000,-276008000,-341809000
65,Other Comprehensive Income/Loss,- -,-19000,-1000,-4000,-102000,-27000,51000,11000,-20000
66,Other Total Stockholders Equity,- -,19000,59683000,108246000,122950000,184314000,255142000,415824000,425765000
67,Total Stockholders Equity,3185000,1872000,36104000,62966000,50337000,67428000,60081000,139832000,83941000
68,Total Liabilities And Stockholders Equity,4597000,2930000,38654000,67063000,56077000,77739000,83183000,161618000,109926000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4597000,2930000,38654000,67063000,56077000,77739000,83183000,161618000,109926000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1636282/000156459017005137/0001564590-17-005137-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459018005404/0001564590-18-005404-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459019006771/0001564590-19-006771-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459020005888/0001564590-20-005888-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459021014021/0001564590-21-014021-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459022008995/0001564590-22-008995-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-10347000,-11295000,-21698000,-27236000,-44348000,-78254000,-80893000,-65801000
74,Depreciation and Amortization,- -,19000,89000,132000,249000,293000,418000,996000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,147000,767000,1221000,2492000,4280000,4876000,6256000,- -
77,Change in Working Capital,- -,26000,34091000,26696000,-13097000,17070000,-10286000,77200000,-45177000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,102000,-169000,-8000,164000,239000,2583000,-544000,- -
81,Other Working Capital,- -,1672000,35763000,62459000,49362000,66432000,56146000,133346000,88169000
82,Other Non-Cash Items,- -,2820000,-34634000,-25191000,12977000,-9488000,17554000,-79334000,110978000
83,Cash Provided by Operating Activities,- -,-7335000,-10982000,-18840000,-24615000,-32193000,-65692000,-75775000,- -
84,CAPEX,- -,-181000,-208000,-212000,-619000,-422000,-1492000,-4280000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-3766000,-20390000,-64115000,-62179000,-91926000,-129000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,8446000,42205000,47370000,91679000,125676000,- -
88,Other Investing Activites,- -,-40000,-40000,80000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-221000,-4014000,-12076000,-22529000,-15231000,-1739000,-7604000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-25000,-20000,- -
91,Common Stock Issued,- -,5575000,43702000,49294000,11380000,54048000,64298000,153716000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-2028000,76000,833000,3020000,1450000,816000,- -
95,Cash Used/Provided by Financing Activities,- -,5575000,41674000,49370000,12213000,57068000,65723000,154512000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,51000,- -
97,Net Change In Cash,- -,-1981000,26678000,18454000,-34931000,9644000,-1708000,71184000,- -
98,Cash at the End of Period,- -,2616000,29294000,47748000,12817000,22461000,20753000,91937000,- -
99,Cash at the Beginning of Period,- -,4597000,2616000,29294000,47748000,12817000,22461000,20753000,91937000
100,Free Cash Flow,- -,-7516000,-11190000,-19052000,-25234000,-32615000,-67184000,-80055000,- -
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1636282/000156459017005137/0001564590-17-005137-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459018005404/0001564590-18-005404-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459019006771/0001564590-19-006771-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459020005888/0001564590-20-005888-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459021014021/0001564590-21-014021-index.htm,https://www.sec.gov/Archives/edgar/data/1636282/000156459022008995/0001564590-22-008995-index.htm
102,false,,,,,,,,,
