,https://roic.ai/company/DOOO,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
23,Net Income,119200000,59900000,70200000,51600000,257200000,274200000,227000000,371400000,363400000,793900000
24,Net Income ratio,0.0412,0.0188,0.0199,0.0135,0.0617,0.0611,0.0433,0.0614,0.0610,0.1038
25,EPS,1.01,0.53,0.59,0.44,2.28,2.56,2.31,4.00,4.15,0.76
26,EPS Diluted,1.01,0.53,0.59,0.44,2.27,2.54,2.28,3.96,4.10,0.75
27,Weighted Average Shares Outstanding,118126562,112587807,118292458,117013234,112946239,106961014,98291845,92760943,87519856,1049000000
28,Weighted Average Shares Outstanding Diluted,118126562,113406206,118913791,117457146,113205095,107917087,99588888,93813815,88604984,1053000000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748797/000119312519082717/0001193125-19-082717-index.html,https://www.sec.gov/Archives/edgar/data/1748797/000119312520102784/0001193125-20-102784-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,542400000,75400000,232000000,235000000,298600000,226000000,100000000,42500000,1325700000,265800000
32,Short-Term Investments,7800000,11100000,19300000,8000000,3500000,11500000,12800000,19100000,76500000,73600000
33,Cash and Short-Term Investments,550200000,86500000,251300000,243000000,302100000,237500000,112800000,61600000,1402200000,339400000
34,Net Receivables,227900000,293800000,333800000,348000000,372900000,350000000,401900000,417500000,339900000,497300000
35,Inventory,465000000,532700000,630200000,685900000,689800000,752500000,946200000,1166300000,1087300000,1691300000
36,Other Current Assets,11700000,13100000,14700000,17700000,18200000,18300000,24900000,26800000,32900000,140100000
37,Total Current Assets,1254800000,926100000,1230000000,1294600000,1383000000,1358300000,1485800000,1672200000,2862300000,2668100000
38,PP&E,448400000,515300000,586900000,636600000,673200000,766800000,905100000,1242100000,1278500000,1574600000
39,Goodwill,115900000,116000000,115900000,116000000,115900000,116000000,169400000,230200000,116000000,115900000
40,Intangible Assets,210200000,219900000,220600000,207900000,201200000,198600000,309300000,379900000,349100000,379000000
41,Intangible Assets,326100000,335900000,336500000,323900000,317100000,314600000,478700000,610100000,465100000,494900000
42,Investments,19200000,21400000,20300000,22200000,20100000,21400000,20000000,20200000,31600000,53200000
43,Tax Assets,118400000,95700000,114500000,133300000,116400000,91000000,169600000,206600000,227100000,212800000
44,Other Non-Current Assets,48500000,56800000,59700000,34600000,6400000,6300000,18000000,15900000,21300000,27300000
45,Total Non-Current Assets,960600000,1025100000,1117900000,1150600000,1133200000,1200100000,1591400000,2094900000,2023600000,2362800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2215400000,1951200000,2347900000,2445200000,2516200000,2558400000,3077200000,3767100000,4885900000,5030900000
48,Accounts Payable,357900000,368200000,476200000,461700000,518800000,560200000,687400000,754800000,814700000,965300000
49,Short-Term Debt,12200000,16900000,11300000,14800000,22700000,19800000,18400000,49500000,58800000,132500000
50,Tax Payable,32300000,13700000,19300000,32100000,29600000,42600000,68300000,67400000,63000000,135700000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,71300000,71800000,72400000,247900000
52,Other Current Liabilities,417400000,385400000,450700000,454800000,562500000,683700000,901300000,1008000000,1246600000,1273700000
53,Total Current Liabilities,787500000,770500000,938200000,931300000,1104000000,1263700000,1678400000,1884100000,2192500000,2619400000
54,Long-Term Debt,1042400000,883500000,1024200000,1131800000,901000000,970800000,1197100000,1836800000,2590700000,2054900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,129700000,140300000,132700000,107300000
56,Deferred Tax Liabilities,3800000,14000000,17700000,28800000,16800000,6000000,900000,14300000,16400000,22400000
57,Other Non-Current Liabilities,361100000,324000000,394700000,367400000,328900000,375300000,393900000,481300000,428500000,359700000
58,Total Non-Current Liabilities,1407300000,1221500000,1436600000,1528000000,1246700000,1352100000,1721600000,2472700000,3168300000,2544300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,240900000,239800000,146900000
61,Total Liabilities,2194800000,1992000000,2374800000,2459300000,2350700000,2615800000,3400000000,4356800000,5360800000,5163700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,52200000,360400000,361900000,331300000,303000000,234800000,217800000,190600000,210400000,260600000
64,Retained Earnings,-28000000,-428700000,-418800000,-393600000,-169100000,-312000000,-596300000,-757000000,-575900000,-404300000
65,Other Comprehensive Income/Loss,-24900000,13900000,10900000,21500000,100000,22400000,12200000,5200000,40800000,11300000
66,Other Total Stockholders Equity,19000000,11300000,16400000,21500000,26900000,-7800000,38300000,-32600000,-154000000,-3200000
67,Total Stockholders Equity,18300000,-43100000,-29600000,-19300000,160900000,-62600000,-328000000,-593800000,-478700000,-135600000
68,Total Liabilities And Stockholders Equity,2213100000,1948900000,2345200000,2440000000,2511600000,2553200000,3072000000,3763000000,4882100000,5028100000
69,Minority Interest,2300000,2300000,2700000,5200000,4600000,5200000,5200000,4100000,3800000,2800000
70,Total Liabilities & Equity,2215400000,1951200000,2347900000,2445200000,2516200000,2558400000,3077200000,3767100000,4885900000,5030900000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748797/000119312519082717/0001193125-19-082717-index.html,https://www.sec.gov/Archives/edgar/data/1748797/000119312520102784/0001193125-20-102784-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,119200000,59900000,70200000,51600000,257200000,274200000,227000000,371400000,363400000,793900000
74,Depreciation and Amortization,85100000,95100000,113200000,126200000,133100000,149200000,177300000,234100000,260800000,273600000
75,Deferred Income Tax,32400000,57400000,54400000,48800000,70100000,119600000,101600000,135100000,121400000,282100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,159600000,-119000000,-4500000,-83800000,105300000,63000000,-17200000,-147700000,204200000,-518300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-77000000,-48400000,-96400000,-28300000,-38200000,-44100000,-178200000,-225600000,101200000,-647800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,400000,1900000,32600000,5400000,91600000,35400000,39600000,16100000,-110500000,-4400000
82,Other Non-Cash Items,48500000,121400000,141500000,217300000,-59800000,-45200000,72500000,-37400000,4400000,-61300000
83,Cash Provided by Operating Activities,444800000,214800000,374800000,360100000,505900000,560800000,561200000,555500000,954200000,770000000
84,CAPEX,-154800000,-153300000,-172000000,-210600000,-186800000,-230400000,-298600000,-330700000,-279900000,-697700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-173000000,-113200000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-7100000,-12900000,-7900000,-4900000,-10200000,-15900000,-19400000,-49400000,-7000000,-58800000
89,Cash Used for Investing Activites,-150200000,-147300000,-166600000,-199000000,-184500000,-231200000,-470500000,-443300000,-260300000,-687700000
90,Debt Repayment,-871600000,-269300000,-14500000,-16600000,-143200000,-24600000,-17700000,-49500000,-86600000,-814700000
91,Common Stock Issued,1000000,301900000,500000,1600000,1200000,8400000,6200000,12000000,22500000,65000000
92,Common Stock Repurchased,-1100000,-1700000,- -,-95600000,-72900000,-454700000,-248600000,-447500000,-172100000,-682700000
93,Dividends Paid,- -,-483000000,- -,- -,- -,-25300000,-35300000,-37200000,-9600000,-43100000
94,Other Financing Activites,1093300000,-102400000,-28600000,-39600000,-56000000,91700000,82200000,344500000,829600000,332800000
95,Cash Used/Provided by Financing Activities,221600000,-554500000,-42600000,-150200000,-270900000,-404500000,-213200000,-177700000,583800000,-1142700000
96,Effect of Forex Changes on Cash,-700000,20000000,-9000000,-7900000,13100000,2300000,-3500000,8000000,5500000,500000
97,Net Change In Cash,515500000,-467000000,156600000,3000000,63600000,-72600000,-126000000,-57500000,1283200000,-1059900000
98,Cash at the End of Period,542400000,75400000,232000000,235000000,298600000,226000000,100000000,42500000,1325700000,265800000
99,Cash at the Beginning of Period,26900000,542400000,75400000,232000000,235000000,298600000,226000000,100000000,42500000,1325700000
100,Free Cash Flow,290000000,61500000,202800000,149500000,319100000,330400000,262600000,224800000,674300000,72300000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748797/000119312519082717/0001193125-19-082717-index.html,https://www.sec.gov/Archives/edgar/data/1748797/000119312520102784/0001193125-20-102784-index.html,- -,- -
102,Forex Rate,1.0025,0.8983,0.7854,0.7156,0.7673,0.8119,0.762,0.7555,0.7824,0.7868
