,https://roic.ai/company/CMCL,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
26,EPS Diluted,- -,- -,-1.50,0.50,-3.50,-1.51,-4.99,0.31,-11.00,-4.38,-62.19,-43.87,-4.14,2.67,-0.31,-0.73,-2.43,-1.41,-1.33,-0.56,-0.50,-0.41,-0.38,0.22,1.17,0.86,-0.29,0.40,44.50,79.00,0.86,0.99,3.81,1.73
27,Weighted Average Shares Outstanding,- -,- -,133334,128000,114285,200002,240000,320000,545454,633333,652809,746667,1250000,2964042,3304042,3766087,4620952,5870000,6245161,8423077,10255556,9969013,10003385,10003385,10024793,10119413,10397293,10423581,10415781,10557485,10848555,10885743,10741889,11983852
28,Weighted Average Shares Outstanding Diluted,- -,- -,133334,128000,114285,200002,240000,320000,545454,633333,652809,746667,1250000,2964042,3304042,4084645,4852000,6652667,6453333,10950000,10255556,9984354,10003385,10069438,10193277,10166636,10401529,10429093,10415781,10557485,10861111,10885743,10747118,11997691
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766011/000113717105000493/caldonia.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717106001035/caledonia20f042106.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717107000800/caledonia20f053007.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717108000472/caledonia20f050908.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717109000346/caledonia20f050809.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717110000382/caledonia20f06232010.htm,- -,https://www.sec.gov/Archives/edgar/data/766011/000113717112000193/caledonia20f05032012.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717113000189/caledonia20f05032013.htm,https://www.sec.gov/Archives/edgar/data/766011/000110262414000827/caledonia20f.htm,https://www.sec.gov/Archives/edgar/data/766011/000110262415000491/caledonia20f.htm,https://www.sec.gov/Archives/edgar/data/766011/000110262416002470/caledonia20f.htm,https://www.sec.gov/Archives/edgar/data/766011/000119907317000223/0001199073-17-000223-index.html,https://www.sec.gov/Archives/edgar/data/766011/000117184318002450/0001171843-18-002450-index.html,https://www.sec.gov/Archives/edgar/data/766011/000117184319002045/0001171843-19-002045-index.html,https://www.sec.gov/Archives/edgar/data/766011/000117184320002175/0001171843-20-002175-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3003998,3594581,3796138,1708132,99763,19289273,1899916,10580852,1397624,64990,69045,50017,56533,1184011,3222622,5382069,926468,1074125,76744,3000822,1549040,1144817,9486778,28087211,23687745,23119067,12568000,14335000,13067000,11187000,9383000,19092000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,3003998,3594581,3796138,1708132,99763,19289273,1899916,10580852,1397624,64990,69045,50017,56533,1184011,3222622,5382069,926468,1074125,76744,3000822,1549040,1144817,9486778,28087211,23687745,23119067,12568000,14335000,13067000,11187000,9383000,19092000
34,Net Receivables,- -,- -,- -,- -,- -,100478,199527,1998888,1399938,1094571,559050,1884708,552360,78693,55905,71777,137264,262865,661271,1207104,2084217,108463,1477414,2308631,3576885,1108732,2810936,1102631,3394000,2960000,4333000,5438000,6743000,3665000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,2498611,2599886,1386457,768693,779879,897585,- -,- -,- -,66319,422580,77493,4922787,2105423,870173,2472543,2625580,4389814,5536624,6448341,6521889,6091000,7222000,9175000,9427000,11092000,16798000
36,Other Current Assets,- -,- -,100133,- -,99898,200957,- -,99944,99996,510800,139762,-0,- -,4668,3141,74318,100249,155556,284140,322581,184792,109285,151848,113982,327130,744851,1007729,1050084,1509000,1275000,1338000,2116000,2621000,5031000
37,Total Current Assets,- -,- -,3104132,3594581,3896036,2009567,299290,23886717,5999736,13572680,2865129,2729577,1518991,133378,115579,1330107,3526454,6223069,1949371,7526596,4451176,4088743,5650845,6193009,17780607,35477418,33954751,31793670,23562000,25792000,27913000,28168000,29839000,44586000
38,PP&E,- -,- -,-100133,-99849,-99898,-100478,-99763,50072155,68796973,81071220,64500349,30155326,21403962,16580860,15571176,14351684,11322748,13397774,17216291,19392588,13771584,12110929,13975743,21285594,33220372,36660535,31413357,34791448,49218000,64873000,82078000,97427000,113651000,133247000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,703349,997634,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,703349,997634,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33580,30027,21822,9860,696209,4999,4897,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,462373,471860,77370,3001433,1550556,1144812,318315,62322,- -,- -,58000,44000,65000,98000,63000,87000
44,Other Non-Current Assets,- -,- -,5607463,5691420,5294613,11354055,11073737,7195998,16299283,18753649,419287,129980,- -,- -,- -,50181,60921,65716,-427932,-434111,11458922,-67169,-776991,-1144812,0,- -,-0,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,5507330,5591571,5194715,11956925,11971607,57268153,85096256,99824869,64919637,30285306,21403962,16580860,15571176,14401865,11383669,13463490,17284312,19460364,25329698,15055053,15445516,21290594,33543585,36722857,31413357,34791448,49276000,64917000,82143000,97525000,113714000,133334000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,8611462,9186152,9090751,13966493,12270897,81154870,91095992,113397548,67784766,33014883,22922953,16714238,15686755,15731971,14910123,19686559,19233683,26986960,29780874,19143796,21096361,27483603,51324192,72200275,65368108,66585118,72838000,90709000,110056000,125693000,143553000,177920000
48,Accounts Payable,- -,- -,- -,- -,- -,200957,199527,5496943,4399806,6056626,2865129,3639436,2692756,1051684,1007550,804797,609206,883425,2059583,5060913,2769868,766639,2059020,3881379,3761998,4880231,963588,867460,1257000,4536000,2939000,2510000,2825000,1897000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1399222,799965,- -,- -,- -,- -,- -,- -,43829,- -,- -,169623,- -,13127,- -,561551,746880,421156,- -,1686749,- -,1688000,1410000,1797000,- -,1368000,469000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288932,1525889,1068775,1714246,382000,587000,1145000,1538000,163000,495000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,99849,299695,703349,199527,-99944,- -,3940455,9643606,1364788,828540,652884,689079,0,- -,- -,0,- -,1602545,13147,14325,- -,288932,4447996,4425369,4112468,5452000,3886000,10866000,9688000,5686000,7598000
53,Total Current Liabilities,- -,- -,- -,99849,299695,904305,399054,6796221,5199771,9997081,12508735,5004224,3521297,1704568,1696629,848626,609206,883425,2229206,5060913,4385540,779786,2634896,4628259,4472086,9328227,7075706,4979929,8397000,9832000,15602000,12198000,9879000,9964000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,15591330,17699221,18242849,14255765,20406837,6145008,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1577000,- -,5960000,1942000,178000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820361,2285634,5912831,5943729,8003606,8693555,11318000,15909000,19620000,23328000,3129000,4234000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,729714,698812,1039839,8285405,684228,644480,321411,483509,351872,324608,1047529,1064324,947412,1652182,1730723,1748286,1020275,1476375,2487811,2762000,4074000,5623000,5399000,3886000,5501000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,15591330,17699221,18972563,14954577,21446676,14430413,684228,644480,321411,483509,351872,324608,1047529,1064324,947412,2472543,4016357,7661117,6964004,9479982,11181366,14080000,21560000,25243000,34687000,8957000,9913000
59,Other Liabilities,- -,- -,100133,- -,- -,301435,299290,51571321,36098412,- -,- -,42893352,- -,1368456,- -,- -,- -,703745,- -,2095058,- -,1894823,4945086,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43829,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349000,239000
61,Total Liabilities,- -,- -,100133,99849,299695,1205740,698344,42776212,23598962,28969644,27463312,26450900,17951710,2388796,2341110,1170036,1092715,1235297,2553814,6108442,5449864,1727198,5107440,8644617,12133203,16292231,16555688,16161294,22477000,31392000,40845000,46885000,18836000,19877000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198161495,54102764,49624416,54569000,55002000,55102000,55102000,56065000,74696000
64,Retained Earnings,- -,- -,-5206930,-5292022,-5694207,-200957,-1496451,-1199333,-7199683,-10070053,-50174703,-79482680,-89551414,-81581861,-77593311,-81215263,-109822096,-126377959,-139145858,-143513212,-173577704,-145303205,-172652087,-178498440,-155163565,-154196194,-151817763,-137621246,-147654000,-141767000,-135287000,-127429000,-88380000,-71487000
65,Other Comprehensive Income/Loss,- -,- -,-100133,-99849,-99898,-100478,-99763,-1998888,-2999868,-1386457,-1537386,-2209658,-5385513,-1529176,-1450395,245187,343160,666312,396074,372340,-57558,2465,-525260,-1060830,-1110676,13748078,146575317,3560292,-6520000,-6258000,-5885000,-6561000,-8621000,-8794000
66,Other Total Stockholders Equity,- -,- -,13818392,14478175,14585161,13062187,13168768,41576879,77696582,95884413,92033543,88256320,99908170,97436479,92389352,96886255,124740702,146124411,157640778,165513898,199247703,163859491,190056346,199432091,204113614,0,-0,134167772,148462000,148632000,149337000,149351000,149351000,147104000
67,Total Stockholders Equity,- -,- -,8511329,9086303,8791056,12760752,11572554,38378658,67497031,84427904,40321454,6563983,4971243,14325442,13345645,14070291,13249844,18451262,16679869,20878518,24331011,17416598,15988922,18838986,39190989,57713378,48860317,49731234,48857000,55609000,63267000,70463000,108415000,141519000
68,Total Liabilities And Stockholders Equity,- -,- -,8611462,9186152,9090751,13966493,12270897,81154870,91095992,113397548,67784766,33014883,22922953,16714238,15686755,15240328,14342559,19686559,19233683,26986960,29780874,19143796,21096361,27483603,51324192,74005609,65416005,65892528,71334000,87001000,104112000,117348000,127251000,161396000
69,Minority Interest,- -,- -,- -,- -,- -,-0,- -,- -,-0,0,-0,-0,- -,- -,-0,491644,567564,- -,-0,- -,- -,- -,- -,- -,- -,-1805334,-47898,692590,1504000,3708000,5944000,8345000,16302000,16524000
70,Total Liabilities & Equity,- -,- -,8611462,9186152,9090751,13966493,12270897,81154870,91095992,113397548,67784766,33014883,22922953,16714238,15686755,15731971,14910123,19686559,19233683,26986960,29780874,19143796,21096361,27483603,51324192,72200275,65368108,66585118,72838000,90709000,110056000,125693000,143553000,177920000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766011/000113717105000493/caldonia.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717106001035/caledonia20f042106.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717107000800/caledonia20f053007.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717108000472/caledonia20f050908.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717109000346/caledonia20f050809.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717110000382/caledonia20f06232010.htm,- -,https://www.sec.gov/Archives/edgar/data/766011/000113717112000193/caledonia20f05032012.htm,https://www.sec.gov/Archives/edgar/data/766011/000113717113000189/caledonia20f05032013.htm,https://www.sec.gov/Archives/edgar/data/766011/000110262414000827/caledonia20f.htm,https://www.sec.gov/Archives/edgar/data/766011/000110262415000491/caledonia20f.htm,https://www.sec.gov/Archives/edgar/data/766011/000110262416002470/caledonia20f.htm,https://www.sec.gov/Archives/edgar/data/766011/000119907317000223/0001199073-17-000223-index.html,https://www.sec.gov/Archives/edgar/data/766011/000117184318002450/0001171843-18-002450-index.html,https://www.sec.gov/Archives/edgar/data/766011/000117184319002045/0001171843-19-002045-index.html,https://www.sec.gov/Archives/edgar/data/766011/000117184320002175/0001171843-20-002175-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-399593,-301435,-1197161,99944,-5999736,-2772913,-40600978,-32754923,-5178378,4942981,-750638,-2751046,-10400000,-7670000,-7990000,-5000000,-4300000,-4630000,-3460000,2190000,12270000,8720000,-2970000,4435000,4779000,8526000,9384000,10766000,42018000,20780000
74,Depreciation and Amortization,- -,- -,- -,- -,-99898,-200957,-99763,-499722,-1499934,802685,838574,1819718,1311856,584862,10050,5717,332364,665480,1070260,34317,18176,326212,416388,565909,2921645,3409628,3076721,3366470,3322000,3491000,3763000,4071000,4434000,4628000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,399778,- -,- -,12019567,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820361,1426772,- -,12884613,9294965,- -,- -,- -,8691000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61499,708299,46796,353943,- -,14644713,63864,- -,24000,788000,2043000,285000,-588000,2046000
77,Change in Working Capital,- -,- -,- -,- -,- -,-1406697,-399054,699611,-299987,5691769,-1537386,-259960,-276180,487496,36433,-300449,-494305,-286988,992767,-552505,1549026,-1116680,-1830771,821869,-3117532,2978398,-4554974,1114691,-232000,1561000,2077000,-4666000,-4239000,-4453000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-299833,599974,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-307313,-1480279,-823868,- -,- -,-2090592,2946092,-1472000,- -,-1437000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,99944,- -,-145943,559050,-64990,-69045,70023,- -,- -,-66319,-351041,359910,-2799417,3688781,843057,-1732404,-158975,-1819785,-1156982,-1659513,-136967,375000,-1990000,-1975000,-277000,-1655000,-5707000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,999444,-999956,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1621200,1252029,1760718,- -,2083773,-756971,-1492859,1186000,3095000,5407000,-2411000,-878000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23007,3820,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,399593,-502392,598580,1898944,7299679,-437828,25227114,30480276,4004612,-6091364,0,1769664,6810312,462021,-9828,3200069,277075,1905267,3016871,1208456,4995426,-12761897,8882075,2889742,-1024000,8645000,-1446000,7211000,-23565000,7961000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-99898,-2411481,-1097397,2598555,-499978,3283713,-4053110,-714889,-138090,-76025,-704155,-1276115,-3751629,-6829487,-5936800,-2318119,-2394224,-2806902,-990354,6566949,17069540,29875456,13792650,11805903,6869000,23011000,24512000,17667000,18060000,30962000
84,CAPEX,- -,- -,- -,- -,- -,- -,-897871,-4497499,-12799437,-24591360,-9853249,-1884708,-207135,-80027,-14447,-586924,-1757443,-3171844,-4549681,-2279513,-3281834,-2229252,-1477414,-7288834,-8352595,-7950102,-11023977,-5845666,-16567000,-19885000,-21639000,-20192000,-20024000,-27840000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-736960,- -,7690261,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,900000
86,Purchases of Investments,- -,- -,- -,- -,- -,-703349,-199527,-499722,-99996,-5035026,-698812,- -,- -,- -,- -,-50181,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1058000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2110046,99763,- -,1599930,10288967,2236198,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50992,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,399593,-9244009,0,-17890051,-38998284,510800,908456,64990,- -,-480827,50880,- -,- -,- -,- -,-791009,- -,-530853,384,14009,- -,38197,- -,- -,- -,3000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,399593,-7837312,-997634,-22887272,-50297787,-18826620,-7407407,-1819718,-207135,-560854,36433,-637105,-1757443,-3171844,-4549681,-3807481,-3281834,4930156,-1477414,-7237842,-8352595,-7911905,-11023977,-5845666,-16567000,-19882000,-21639000,-20192000,-19024000,-27998000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-858,- -,-10682,- -,- -,- -,-432235,- -,- -,- -,- -,-1500000,-1500000,-124000,-692000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,21088733,279525,1364788,621405,- -,603023,3286519,7347486,11907099,5672464,6485072,4422902,919474,- -,- -,37218,- -,- -,- -,- -,433000,246000,- -,- -,12538000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-146000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3758431,-7451374,-3423324,-2504000,-2994000,-3310000,-3497000,-3395000,-4542000
94,Other Financing Activites,- -,- -,- -,- -,-99898,11956925,598580,39478046,32798557,3429656,2515723,259960,-276180,652884,74122,-246457,-53209,- -,169623,-168154,19186,0,561551,186970,-310480,979062,441410,- -,- -,2927000,- -,5940000,2294000,30000
