,https://roic.ai/company/SMPL,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,954102,56501000,111971000,266341000,99491000,75345000
34,Net Receivables,- -,- -,37181000,36622000,44240000,89740000,111456000
35,Inventory,- -,- -,29062000,30001000,38085000,59085000,97269000
36,Other Current Assets,- -,336458,11167000,7146000,8941000,11947000,14596000
37,Total Current Assets,- -,1290560,133911000,185740000,357607000,260263000,298666000
38,PP&E,- -,- -,2105000,2565000,2456000,11850000,16584000
39,Goodwill,- -,- -,465030000,471427000,471427000,544774000,543134000
40,Intangible Assets,- -,- -,319148000,312643000,306139000,1158768000,1139041000
41,Intangible Assets,- -,- -,784178000,784070000,777566000,1703542000,1682175000
42,Investments,- -,402794587,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,75559000,54475000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-73265000,-52245000,4021000,32790000,54792000
45,Total Non-Current Assets,- -,402794587,788577000,788865000,784043000,1748182000,1753551000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,404085147,922488000,974605000,1141650000,2008445000,2052217000
48,Accounts Payable,- -,186828,14859000,11158000,15730000,32240000,59713000
49,Short-Term Debt,- -,- -,- -,- -,676000,271000,4073000
50,Tax Payable,- -,- -,- -,- -,- -,- -,13406000
51,Deferred Revenue,- -,- -,75559000,54475000,- -,84352000,- -
52,Other Current Liabilities,- -,126000,-57174000,-35050000,31626000,-45385000,49878000
53,Total Current Liabilities,- -,312828,33244000,30583000,48032000,71478000,113664000
54,Long-Term Debt,- -,- -,191856000,190935000,190259000,596879000,451269000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,75559000,54475000,65383000,84352000,93755000
57,Other Non-Current Liabilities,- -,14087500,23127000,26011000,532000,22765000,204725000
58,Total Non-Current Liabilities,- -,14087500,290542000,271421000,256174000,703996000,749749000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,4329000,4073000
61,Total Liabilities,- -,14400328,323786000,302004000,304206000,775474000,863413000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,384685994,706000,706000,820000,958000,959000
64,Retained Earnings,- -,-192503,-12161000,58294000,105830000,140530000,105807000
65,Other Comprehensive Income/Loss,- -,- -,38000,-1000000,-1000000,-1000000,-818000
66,Other Total Stockholders Equity,- -,5191328,610119000,614601000,731794000,1092483000,1082856000
67,Total Stockholders Equity,- -,389684819,598702000,672601000,837444000,1232971000,1188804000
68,Total Liabilities And Stockholders Equity,- -,404085147,922488000,974605000,1141650000,2008445000,2052217000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,404085147,922488000,974605000,1141650000,2008445000,2052217000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1702744/000170274417000027/0001702744-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1702744/000170274418000064/0001702744-18-000064-index.html,https://www.sec.gov/Archives/edgar/data/1702744/000170274419000048/0001702744-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/1702744/000170274420000100/0001702744-20-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1702744/000170274421000121/0001702744-21-000121-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,10034000,-2035000,70455000,47536000,34700000,40880000
74,Depreciation and Amortization,- -,10179000,9617000,7672000,7644000,19855000,23225000
75,Deferred Income Tax,- -,5505000,-4262000,-21108000,10908000,8216000,9403000
76,Stock Based Compensation,- -,2104000,400000,4029000,5501000,7636000,8265000
77,Change in Working Capital,- -,-2299000,99689268,54490000,154418000,-120790000,-22150000
78,Accounts Receivable,- -,-14854000,-5556000,267000,-7985000,-18288000,-22284000
79,Inventory,- -,6078000,4130000,-1081000,-8272000,23880000,-39349000
80,Accounts Payable,- -,2247000,2089000,-3603000,4734000,-8736000,25923000
81,Other Working Capital,- -,977732,100667000,155157000,309575000,188785000,-2083000
82,Other Non-Cash Items,- -,3500000,-108826268,-54500000,-152965000,109304000,72466000
83,Cash Provided by Operating Activities,- -,29023000,-5417000,61038000,73042000,58921000,132089000
84,CAPEX,- -,-815000,-458000,-1770000,-1037000,-2669000,-6706000
85,Acquisitions Net,- -,- -,-600825000,-1757000,- -,-982075000,5800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,383521000,14000,-750000,-183000,-2395000
89,Cash Used for Investing Activites,- -,-815000,-217762000,-3513000,-1787000,-983994000,-2506000
90,Debt Repayment,- -,-7464000,- -,-1500000,-2000000,-75374000,-150314000
91,Common Stock Issued,- -,- -,- -,- -,- -,352542000,- -
92,Common Stock Repurchased,- -,- -,109000,- -,-2145000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,729000,227154000,-87000,87521000,477484000,265000
95,Cash Used/Provided by Financing Activities,- -,-6735000,227263000,-1587000,83376000,754652000,-150049000
96,Effect of Forex Changes on Cash,- -,-75000,149000,-468000,-261000,-73000,-36000
97,Net Change In Cash,- -,21398000,4233000,55470000,154370000,-170494000,-20502000
98,Cash at the End of Period,- -,78492000,82725000,111971000,266341000,95847000,75345000
99,Cash at the Beginning of Period,- -,57094000,78492000,56501000,111971000,266341000,95847000
100,Free Cash Flow,- -,28208000,-6373000,59268000,72005000,56252000,125383000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1702744/000170274417000027/0001702744-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1702744/000170274418000064/0001702744-18-000064-index.html,https://www.sec.gov/Archives/edgar/data/1702744/000170274419000048/0001702744-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/1702744/000170274420000100/0001702744-20-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1702744/000170274421000121/0001702744-21-000121-index.htm
102,false,,,,,,,
