,https://roic.ai/company/CLDT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,13666000,6905000,12648000,11363000,16325000,22926000,35024000,38541000,44120000,49009000,54368000,181094000,29521000
54,Long-Term Debt,- -,- -,50133000,228940000,239246000,272063000,550221000,607872000,582823000,538316000,583282000,585465000,473470000,566985000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23717000,23233000,- -
58,Total Non-Current Liabilities,- -,- -,50133000,228940000,239246000,272063000,550221000,607872000,582823000,538316000,583282000,609182000,496703000,566985000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23717000,23233000,22696000
61,Total Liabilities,- -,13666000,57038000,241588000,250609000,288388000,573147000,642896000,621364000,582436000,632291000,663550000,677797000,596506000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000
63,Common Stock,- -,10000,92000,137000,137000,261000,339000,379000,380000,450000,465000,469000,470000,487000
64,Retained Earnings,- -,- -,-4441000,-23220000,-35491000,-50792000,-11120000,-27281000,-45657000,-69018000,-99285000,-142365000,-228718000,-251103000
65,Other Comprehensive Income/Loss,- -,- -,- -,-11014000,-24181000,-42317000,-76839000,-120111000,-147902000,-188154000,-236041000,- -,- -,- -
66,Other Total Stockholders Equity,- -,9990000,169088000,250187000,264536000,476217000,676157000,839884000,869921000,1059884000,1132327000,904273000,906000000,1048070000
67,Total Stockholders Equity,- -,10000000,164739000,216090000,205001000,383369000,588537000,692871000,676742000,803162000,797466000,762377000,677752000,797502000
68,Total Liabilities And Stockholders Equity,- -,23666000,221777000,457678000,455610000,671757000,1161684000,1335767000,1298106000,1385598000,1429757000,1425927000,1355549000,1394008000
69,Minority Interest,- -,- -,425000,1028000,1611000,2167000,3415000,4131000,4848000,6618000,9952000,12647000,14708000,16691000
70,Total Liabilities & Equity,- -,23666000,222202000,458706000,457221000,673924000,1165099000,1339898000,1302954000,1392216000,1439709000,1438574000,1370257000,1410699000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1476045/000119312512107203/0001193125-12-107203-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000119312513108043/0001193125-13-108043-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604514000011/cldt-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1476045/000147604515000010/cldt-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1476045/000147604516000096/0001476045-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604517000035/0001476045-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604518000038/0001476045-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604519000029/0001476045-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604520000022/0001476045-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604521000030/0001476045-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1476045/000147604522000026/0001476045-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,- -,-1217000,-9105000,-1450000,2982000,66873000,32966000,31483000,29478000,30641000,18703000,-76023000,-18410000
74,Depreciation and Amortization,- -,- -,2537000,11908000,14273000,18249000,34710000,48981000,48776000,46277000,48169000,51505000,53871000,53967000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-426000,396000,-28000,29000,29000,- -
76,Stock Based Compensation,- -,- -,1157000,1571000,2003000,2085000,2471000,2835000,3013000,3784000,4210000,4719000,4885000,4823000
77,Change in Working Capital,- -,- -,23000,-7130000,-3275000,13247000,4688000,-8943000,-6878000,-8695000,-17199000,-118742000,1025384000,3684000
78,Accounts Receivable,- -,- -,-336000,-1022000,-41000,-68000,243000,-318000,47000,353000,-437000,-102000,2940000,-1314000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,7240000,110000,-3165000,10082000,14770000,5827000,-1051000,-9746000,-26945000,-145687000,879697000,-327000
82,Other Non-Cash Items,- -,- -,2774000,11702000,3334000,-4992000,-59436000,6003000,11701000,15449000,20422000,130020000,-1028107000,-15287000
83,Cash Provided by Operating Activities,- -,- -,5274000,8946000,14885000,31571000,49306000,81842000,87669000,86689000,86215000,86234000,-19961000,28777000
84,CAPEX,- -,- -,- -,-61981000,-36588000,-245824000,-14931000,-20331000,-22496000,-168481000,-101437000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-1649000,-27948000,-156544000,- -,-5036000,- -,- -,- -,2800000
86,Purchases of Investments,- -,- -,-201135000,-49721000,- -,-1649000,-27948000,- -,- -,-5036000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-376000,-821000,23552000,13932000,-382161000,-5488000,1418000,17908000,5036000,-44575000,26806000,-104743000
89,Cash Used for Investing Activites,- -,- -,-201511000,-112523000,-13036000,-235190000,-452988000,-182363000,-21078000,-160645000,-96401000,-44575000,26806000,-101943000
90,Debt Repayment,- -,- -,-101000,-98653000,-28194000,-365796000,-312317000,-96499000,-66259000,-153660000,-104399000,-72695000,-76444000,-176490000
91,Common Stock Issued,- -,- -,182490000,73600000,- -,202751000,171552000,120839000,482000,150691000,24486000,7298000,182000,24612000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-7000,-18000,-22000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-9047000,-10610000,-19424000,-26507000,-45264000,-52966000,-52617000,-61590000,-62660000,-16237000,-2601000
94,Other Financing Activites,- -,- -,18592000,137589000,36771000,385820000,581828000,127426000,43234000,126757000,147527000,74243000,96925000,226061000
95,Cash Used/Provided by Financing Activities,- -,- -,200981000,103489000,-2033000,203344000,414538000,106480000,-75509000,71171000,6024000,-53814000,4426000,71582000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,4744000,-88000,-184000,-275000,10856000,5959000,-8918000,-2785000,-4162000,-12155000,11271000,-1584000
98,Cash at the End of Period,- -,- -,4768000,4680000,4496000,4221000,15077000,21036000,12118000,9333000,32337000,20182000,31453000,29869000
99,Cash at the Beginning of Period,- -,- -,24000,4768000,4680000,4496000,4221000,15077000,21036000,12118000,36499000,32337000,20182000,31453000
100,Free Cash Flow,- -,- -,5274000,-53035000,14885000,31571000,49306000,81842000,87669000,86689000,86215000,86234000,-19961000,28777000
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1476045/000119312512107203/0001193125-12-107203-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000119312513108043/0001193125-13-108043-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604514000011/cldt-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1476045/000147604515000010/cldt-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1476045/000147604516000096/0001476045-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604517000035/0001476045-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604518000038/0001476045-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604519000029/0001476045-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604520000022/0001476045-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604521000030/0001476045-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1476045/000147604522000026/0001476045-22-000026-index.htm
102,false,,,,,,,,,,,,,,
