,https://roic.ai/company/KIDS,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,2476000,4237000,3601000,3859000,5128000,7072000,24853245,20390000
53,Total Current Liabilities,3218000,6337000,7251000,9467000,9217000,13663000,35028000,29715000
54,Long-Term Debt,13141000,13039000,17431000,25339000,21156000,26067000,1044000,907000
55,Deferred Revenue,- -,- -,- -,- -,- -,12410000,- -,4771000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,5755000,4771000
57,Other Non-Current Liabilities,1492000,- -,- -,- -,- -,63000,43817000,9026000
58,Total Non-Current Liabilities,14633000,13039000,17431000,25339000,21156000,38540000,50616000,19475000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,63000,323000,- -
61,Total Liabilities,17851000,19376000,24682000,34806000,30373000,52203000,85644000,49190000
62,Preferred Stock,60630000,65427000,71303000,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,2000,4000,4000,5000,5000
64,Retained Earnings,-63671000,-71562000,-78134000,-103066000,-115091000,-128822000,-161766000,-178026000
65,Other Comprehensive Income/Loss,-4434000,-6236000,- -,135000,-623000,-3000,7907000,8491000
66,Other Total Stockholders Equity,25451000,23685000,12824000,150424000,197442000,271182000,388622000,394899000
67,Total Stockholders Equity,17977000,11315000,5994000,47495000,81732000,142361000,234768000,225369000
68,Total Liabilities And Stockholders Equity,35828000,30691000,30676000,82301000,112105000,194564000,320412000,274559000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,29715000
70,Total Liabilities & Equity,35828000,30691000,30676000,82301000,112105000,194564000,320412000,304274000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1425450/000142545018000040/0001425450-18-000040-index.html,https://www.sec.gov/Archives/edgar/data/1425450/000142545019000027/0001425450-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1425450/000142545020000023/0001425450-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1425450/000142545021000047/0001425450-21-000047-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-9549000,-7891000,-6572000,-8932000,-12025000,-13731000,-32944000,-16260000
74,Depreciation and Amortization,1577000,1854000,1902000,2405000,2892000,4671000,8010000,10680000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-723000,-1128000
76,Stock Based Compensation,706000,1229000,1251000,3478000,3185000,2603000,6196000,5842000
77,Change in Working Capital,-2656000,-8160000,-2556000,46519000,27845000,26456000,9006000,-19468000
78,Accounts Receivable,375000,-1047000,-280000,-1505000,-3801000,-5820000,-451000,-466000
79,Inventory,-2678000,3272000,889000,-4410000,-4801000,-9767000,-12070000,-5050000
80,Accounts Payable,-445000,1354000,1544000,1952000,-1524000,2401000,3071000,-567000
81,Other Working Capital,24291000,16131000,13575000,60094000,87939000,114395000,123401000,103933000
82,Other Non-Cash Items,- -,12076000,4856000,-50687000,-37480000,-37768000,-8075000,7271000
83,Cash Provided by Operating Activities,-9922000,-892000,-1119000,-7217000,-15583000,-17769000,-18530000,-13063000
84,CAPEX,-3318000,-2252000,-4754000,-6544000,-5463000,-12086000,-11300000,-8103000
85,Acquisitions Net,- -,- -,- -,- -,- -,-49836000,-3393000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-55000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,9250000
88,Other Investing Activites,-134000,498000,-406000,-1337000,-712000,-270000,-796000,-8558000
89,Cash Used for Investing Activites,-3276000,-1713000,-4754000,-6544000,-5965000,-61922000,-69693000,-7411000
90,Debt Repayment,-1143000,-98000,-102000,-78000,-4178000,-118000,-25125000,- -
91,Common Stock Issued,- -,- -,- -,53775000,43425000,59996000,70207000,- -
92,Common Stock Repurchased,- -,- -,- -,-990000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-5965000,- -,- -,- -,- -
94,Other Financing Activites,20864000,- -,3706000,7992000,410000,31141000,1650000,6000
95,Cash Used/Provided by Financing Activities,19721000,-98000,3604000,54734000,39657000,91019000,46732000,6000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,8000,-404000,-658000
97,Net Change In Cash,6523000,-2703000,-2269000,40973000,18109000,11336000,-41895000,-21126000
98,Cash at the End of Period,6581000,3878000,1609000,42582000,60691000,72027000,30132000,9006000
99,Cash at the Beginning of Period,58000,6581000,3878000,1609000,42582000,60691000,72027000,30132000
100,Free Cash Flow,-13240000,-3144000,-5873000,-13761000,-21046000,-29855000,-29830000,-21166000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1425450/000142545018000040/0001425450-18-000040-index.html,https://www.sec.gov/Archives/edgar/data/1425450/000142545019000027/0001425450-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1425450/000142545020000023/0001425450-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1425450/000142545021000047/0001425450-21-000047-index.htm,- -
102,false,,,,,,,,
