,https://roic.ai/company/SEV,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
24,Net Income ratio,0.0205,-0.0725,- -,0.0221,0.0336,-0.0333,0.0193,0.0374,-0.1167,- -,- -,-Infinity,-Infinity
25,EPS,0.25,-0.46,- -,0.22,0.36,-0.32,0.22,0.44,-1.40,- -,- -,-0.18,-0.97
26,EPS Diluted,0.25,-0.46,- -,0.22,0.35,-0.32,0.15,0.31,-1.40,- -,- -,-0.18,-0.97
27,Weighted Average Shares Outstanding,3216000,3206521,- -,3206521,3329000,3357000,3398000,3469000,4148000,- -,- -,56860719,57684220
28,Weighted Average Shares Outstanding Diluted,3216000,3206521,- -,3206521,3380000,3369000,4856000,4929000,4148000,- -,- -,56860719,57684220
29,SEC Link,https://www.sec.gov/Archives/edgar/data/825411/000082541108000031/0000825411-08-000031-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000082541109000021/0000825411-09-000021-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/825411/000082541111000027/0000825411-11-000027-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000082541112000026/0000825411-12-000026-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000082541113000026/0000825411-13-000026-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000114036114046343/0001140361-14-046343-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000114036115045565/0001140361-15-045565-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000114036116090664/0001140361-16-090664-index.htm,undefined,undefined,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1630000,632000,- -,1797000,2823000,2062000,11238000,8048000,14127000,- -,1515000,407000,43264000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,1000,5214000
33,Cash and Short-Term Investments,1630000,632000,- -,1797000,2823000,2062000,11238000,8048000,14127000,- -,1517000,408000,48478000
34,Net Receivables,7087000,3383000,- -,5315000,5289000,6746000,6694000,8995000,11499000,- -,80000,341000,190000
35,Inventory,4970000,4723000,- -,7478000,6346000,5723000,6258000,6790000,13666000,- -,- -,- -,- -
36,Other Current Assets,862000,1398000,- -,1918000,2491000,2219000,1930000,4048000,4296000,- -,620000,193000,579000
37,Total Current Assets,14549000,10136000,- -,16508000,16949000,16750000,26120000,27881000,43588000,- -,2217000,942000,49247000
38,PP&E,3547000,2871000,- -,2247000,2145000,1969000,2105000,2625000,3843000,- -,1458000,4704000,4039000
39,Goodwill,1435000,1435000,- -,1435000,1435000,1435000,1435000,1435000,7794000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,9185000,- -,38000,27000,16000
41,Intangible Assets,1435000,1435000,- -,1435000,1435000,1435000,1435000,1435000,16979000,- -,38000,27000,16000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,28000,41000
43,Tax Assets,- -,- -,- -,2699000,3002000,3152000,3910000,3232000,4289000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,58000,30000,54000,397000,443000,274000,- -,- -,- -,- -
45,Total Non-Current Assets,4982000,4306000,- -,6439000,6612000,6610000,7847000,7735000,25385000,- -,1507000,4759000,4096000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19531000,14442000,- -,22947000,23561000,23360000,33967000,35616000,68973000,- -,3724000,5701000,53343000
48,Accounts Payable,3713000,1730000,- -,3800000,3198000,3880000,4405000,6184000,10604000,- -,5080000,3644000,2642000
49,Short-Term Debt,- -,- -,- -,39000,43000,46000,28000,- -,300000,- -,32000,2296000,9388000
50,Tax Payable,- -,- -,- -,65000,- -,47000,7000,- -,66000,- -,74000,75000,226000
51,Deferred Revenue,- -,- -,- -,65000,- -,47000,7000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2564000,1611000,- -,2106000,1803000,2087000,1836000,2173000,5213000,- -,414000,983000,2032000
53,Total Current Liabilities,6277000,3341000,- -,6010000,5044000,6060000,6276000,8357000,16117000,- -,5526000,6923000,14062000
54,Long-Term Debt,2410000,1611000,- -,39000,74000,28000,1700000,500000,15512000,- -,2035000,6182000,5334000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9949000,11164000,38972000
56,Deferred Tax Liabilities,202000,2357000,- -,2699000,4029000,4213000,4432000,4476000,1517000,- -,- -,- -,- -
57,Other Non-Current Liabilities,54000,48000,- -,-925000,1774000,1728000,1700000,500000,987000,- -,- -,- -,1000
58,Total Non-Current Liabilities,2666000,4016000,- -,1813000,5877000,5969000,7832000,5476000,18016000,- -,11984000,17346000,44307000
59,Other Liabilities,- -,11230000,- -,11260000,17915000,16051000,19181000,17023000,49133000,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2228000,1958000
61,Total Liabilities,6709000,10555000,- -,15457000,17082000,16142000,17625000,19904000,47234000,- -,17510000,24269000,58369000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4881000,5033000,- -,336000,348000,347000,359000,369000,534000,- -,32000,34000,6468000
64,Retained Earnings,8364000,6889000,- -,8467000,9662000,8591000,9495000,10607000,4344000,- -,-17120000,-27091000,-83123000
65,Other Comprehensive Income/Loss,-527000,-6000000,- -,-6608000,-9023000,-7419000,-8829000,-11004000,-13420000,- -,3302000,8489000,71629000
66,Other Total Stockholders Equity,328000,333000,- -,5295000,5492000,5699000,15317000,15740000,30281000,- -,- -,- -,- -
67,Total Stockholders Equity,13046000,6255000,- -,7490000,6479000,7218000,16342000,15712000,21739000,- -,-13786000,-18568000,-5026000
68,Total Liabilities And Stockholders Equity,19755000,16810000,- -,22947000,23561000,23360000,33967000,35616000,68973000,- -,3724000,5701000,53343000
69,Minority Interest,-224000,-2368000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19531000,14442000,- -,22947000,23561000,23360000,33967000,35616000,68973000,- -,3724000,5701000,53343000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/825411/000082541108000031/0000825411-08-000031-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000082541109000021/0000825411-09-000021-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/825411/000082541111000027/0000825411-11-000027-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000082541112000026/0000825411-12-000026-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000082541113000026/0000825411-13-000026-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000114036114046343/0001140361-14-046343-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000114036115045565/0001140361-15-045565-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000114036116090664/0001140361-16-090664-index.htm,undefined,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,804000,-1475000,- -,712000,1195000,-1071000,731000,1539000,-5813000,- -,- -,-9971000,-56032000
74,Depreciation and Amortization,685000,578000,- -,654000,598000,601000,608000,637000,1767000,- -,- -,224000,385000
75,Deferred Income Tax,-6000,-162000,- -,146000,-313000,514000,-260000,-344000,161000,- -,- -,- -,- -
76,Stock Based Compensation,208000,157000,- -,186000,242000,262000,320000,554000,754000,- -,- -,- -,32160000
77,Change in Working Capital,-607000,-1477000,- -,3392000,1407000,-1215000,9154000,-320000,7947000,- -,- -,-28000,21004000
78,Accounts Receivable,1459000,3230000,- -,-745000,93000,-1120000,-84000,-3045000,359000,- -,- -,- -,- -
79,Inventory,26000,-86000,- -,-2541000,1285000,637000,-544000,-841000,-3255000,- -,- -,- -,- -
80,Accounts Payable,778000,-1567000,- -,74000,-700000,642000,506000,2040000,1539000,- -,- -,- -,- -
81,Other Working Capital,8272000,6795000,- -,10498000,11905000,10690000,19844000,19524000,27471000,- -,- -,800000,26448000
82,Other Non-Cash Items,1249000,1843000,- -,-6582000,-1623000,500000,-10213000,-2227000,-11021000,- -,- -,1000000,1297000
83,Cash Provided by Operating Activities,2333000,-536000,- -,-1492000,1506000,-409000,340000,-161000,-6205000,- -,- -,-8775000,-1186000
84,CAPEX,-931000,-243000,- -,-635000,-426000,-435000,-744000,-1309000,-1432000,- -,- -,-1139000,-42000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,321000,- -,-9255000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-69000,-71000,-63000,-98000,-238000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1278000,89000,75000,63000,98000,-588000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-931000,-243000,- -,643000,-406000,-431000,-423000,-1309000,-11513000,- -,- -,-1139000,-42000
90,Debt Repayment,832000,307000,- -,-38000,-39000,-41000,-47000,1228000,-500000,- -,- -,-92000,-2609000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,9457000,- -,- -,5297000,38229000
92,Common Stock Repurchased,- -,- -,- -,-1797000,-69000,-71000,-63000,-98000,-238000,- -,- -,- -,- -
93,Dividends Paid,-392000,-98000,- -,-38000,- -,- -,- -,-263000,-434000,- -,- -,- -,- -
94,Other Financing Activites,-787000,-307000,- -,3535000,- -,- -,9345000,-2442000,15512000,- -,- -,3601000,8465000
95,Cash Used/Provided by Financing Activities,-347000,-98000,- -,1662000,-108000,-112000,9235000,-1575000,23797000,- -,- -,8806000,44085000
96,Effect of Forex Changes on Cash,- -,- -,- -,181000,34000,191000,24000,-145000,-826000,- -,- -,- -,- -
97,Net Change In Cash,616000,-998000,- -,-994000,1026000,-761000,9176000,-3190000,6079000,- -,- -,-1108000,42857000
98,Cash at the End of Period,1630000,632000,- -,1797000,2823000,2062000,11238000,8048000,14127000,- -,- -,407000,43264000
99,Cash at the Beginning of Period,1014000,1630000,- -,2791000,1797000,2823000,2062000,11238000,8048000,- -,- -,1515000,407000
100,Free Cash Flow,1402000,-779000,- -,-2127000,1080000,-844000,-404000,-1470000,-7637000,- -,- -,-9914000,-1228000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/825411/000082541108000031/0000825411-08-000031-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000082541109000021/0000825411-09-000021-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/825411/000082541111000027/0000825411-11-000027-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000082541112000026/0000825411-12-000026-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000082541113000026/0000825411-13-000026-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000114036114046343/0001140361-14-046343-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000114036115045565/0001140361-15-045565-index.htm,https://www.sec.gov/Archives/edgar/data/825411/000114036116090664/0001140361-16-090664-index.htm,undefined,undefined,- -,- -
102,Forex Rate,1.4104,1.4636,undefined,1.3384,1.2858,1.3524,1.2631,1.1176,1.1238,undefined,undefined,1.121,1.2213
