,https://roic.ai/company/TALO,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,121346000,152320000,328956000,297501000,340877000,506936000
53,Total Current Liabilities,- -,191184000,323467000,380418000,370452000,447534000,600526000
54,Long-Term Debt,- -,701175000,672581000,654861000,750220000,1004066000,972997000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,312953000,297332000,437211000,390533000,456345000,432639000
58,Total Non-Current Liabilities,- -,1014128000,969913000,1092072000,1140753000,1460411000,1405636000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,18833000,20347000,18045000
61,Total Liabilities,- -,1205312000,1293380000,1472490000,1511205000,1907945000,2006162000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,312000,542000,542000,813000,819000
64,Retained Earnings,- -,- -,-544269000,-327136000,-268407000,-734012000,-916964000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,489870000,1334090000,1346142000,1659800000,1676798000
67,Total Stockholders Equity,- -,6986000,-54087000,1007496000,1078277000,926601000,760653000
68,Total Liabilities And Stockholders Equity,- -,1212298000,1239293000,2479986000,2589482000,2834546000,2766815000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1212298000,1239293000,2479986000,2589482000,2834546000,2766815000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1724965/000156459021012130/0001564590-21-012130-index.htm,https://www.sec.gov/Archives/edgar/data/1724965/000095017022002013/0000950170-22-002013-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-646685000,-208087000,-62868000,221540000,58729000,-465605000,-182952000
74,Depreciation and Amortization,- -,- -,176647000,- -,- -,- -,454123000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1719000,1083000,875000,2893000,6964000,8669000,10992000
77,Change in Working Capital,20866000,-36487000,-142849000,215010000,-112896000,-123674000,18651000
78,Accounts Receivable,32231000,-20096000,-9132000,-786000,5788000,-34645000,-35396000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-10894000,-68042000,50235000,-48825000,7523000,27096000,-6261000
81,Other Working Capital,754000,-35733000,-178582000,36428000,-76468000,-200142000,14409000
82,Other Non-Cash Items,762466000,359614000,204248000,-175998000,440936000,882533000,110574000
83,Cash Provided by Operating Activities,138366000,116123000,176053000,263445000,393733000,301923000,411388000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,-39423000,-85886000,-2464000,278409000,-37916000,-315962000,-5399000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-245716000,-113032000,-155177000,-240914000,-458040000,-362942000,-288348000
89,Cash Used for Investing Activites,-285139000,-198918000,-157641000,37495000,-495956000,-678904000,-293747000
90,Debt Repayment,-30000000,-15267000,-28412000,-495209000,-49700000,-82873000,-743607000
91,Common Stock Issued,- -,- -,- -,- -,- -,71100000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,138231000,106891000,10000000,301998000,97783000,335965000,661585000
95,Cash Used/Provided by Financing Activities,108231000,91624000,-18412000,-193211000,48083000,324192000,-82022000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-38542000,8829000,- -,107729000,-54140000,-52789000,35619000
98,Cash at the End of Period,24604000,33433000,33433000,141162000,87022000,34233000,69852000
99,Cash at the Beginning of Period,63146000,24604000,33433000,33433000,141162000,87022000,34233000
100,Free Cash Flow,138366000,116123000,176053000,263445000,393733000,301923000,411388000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1724965/000156459021012130/0001564590-21-012130-index.htm,https://www.sec.gov/Archives/edgar/data/1724965/000095017022002013/0000950170-22-002013-index.htm
102,false,,,,,,,
