,https://roic.ai/company/CSTL,2017,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-12369529,-6366994,5277000,-10284000,-31292000
74,Depreciation and Amortization,310820,323016,358000,472000,3407000
75,Deferred Income Tax,- -,- -,- -,- -,-8736000
76,Stock Based Compensation,108696,293639,1249000,8309000,21740000
77,Change in Working Capital,-640514,9925388,90002995,307326000,-79861000
78,Accounts Receivable,-428211,-8407626,-896000,1663000,-4631000
79,Inventory,-115556,-577657,-355000,-980000,327000
80,Accounts Payable,370902,197248,557000,169000,-182000
81,Other Working Capital,1463617,11389005,101392000,408718000,328857000
82,Other Non-Cash Items,356940,-16469560,-89871995,-295958000,75759000
83,Cash Provided by Operating Activities,-12233587,-12294511,7015000,9865000,-18983000
84,CAPEX,-494854,-277036,-937000,-4751000,-3483000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,3000,-63174000
89,Cash Used for Investing Activites,-494854,-277036,-937000,-4748000,-66657000
90,Debt Repayment,-2000000,- -,-1791000,-27359000,-8000
91,Common Stock Issued,- -,- -,65931000,330041000,4234000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,10866443,15837996,24148000,3208000,1195000
95,Cash Used/Provided by Financing Activities,8866443,15837996,88288000,305890000,5421000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-3861998,3266449,94366000,311007000,- -
98,Cash at the End of Period,1212063,4478512,98845000,409852000,- -
99,Cash at the Beginning of Period,5074061,1212063,4479000,98845000,- -
100,Free Cash Flow,-12728441,-12571547,6078000,5114000,-22466000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1447362/000144736220000029/0001447362-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1447362/000144736221000047/0001447362-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1447362/000144736222000045/0001447362-22-000045-index.htm
102,false,,,,,
