,https://roic.ai/company/DMLP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1172358/000093066103001226/0000930661-03-001226-index.html,https://www.sec.gov/Archives/edgar/data/1172358/000119312504036114/0001193125-04-036114-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312505044370/0001193125-05-044370-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312506048544/0001193125-06-048544-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312507047235/0001193125-07-047235-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312508048870/0001193125-08-048870-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312509039182/0001193125-09-039182-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312510040507/0001193125-10-040507-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312511045377/0001193125-11-045377-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774912001712/0001437749-12-001712-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774913001785/0001437749-13-001785-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774914002522/0001437749-14-002522-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774915003008/0001437749-15-003008-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774916026030/0001437749-16-026030-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774917003642/0001437749-17-003642-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774918004162/0001437749-18-004162-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774919003623/0001437749-19-003623-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774920003742/0001437749-20-003742-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774921004057/0001437749-21-004057-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774922004351/0001437749-22-004351-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,23129000,10881000,12365000,23389000,13927000,15001000,16211000,10124000,11253000,14238000,13792000,15175000,15912000,7136000,8212000,13827000,18285000,15339000,11232000,28306000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,23129000,10881000,12365000,23389000,13927000,15001000,16211000,10124000,11253000,14238000,13792000,15175000,15912000,7136000,8212000,13827000,18285000,15339000,11232000,28306000
34,Net Receivables,- -,- -,2566000,7863000,10294000,14661000,10264000,10629000,9481000,9122000,9199000,14218000,12278000,13023000,10553000,5644000,6557000,11528000,11833000,12943000,6989000,18355000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,223000,69000,25000,22000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,25918000,18813000,22684000,38072000,24191000,25630000,25692000,19246000,20452000,28456000,26070000,28198000,26465000,12780000,14769000,25355000,30118000,28282000,18221000,46661000
38,PP&E,- -,- -,14185000,180138000,183489000,162684000,144214000,128602000,113851000,133503000,132640000,114294000,97711000,84568000,71025000,60930000,52423000,66692000,57805000,88601000,70106000,100146000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,74000,24000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,14185000,180138000,183489000,162758000,144238000,128621000,113870000,133522000,132659000,114313000,97730000,84587000,71044000,60949000,52442000,66692000,57805000,88601000,70106000,100146000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,40103000,198951000,206173000,200830000,168429000,154251000,139562000,152768000,153111000,142769000,123800000,112785000,97509000,73729000,67211000,92047000,87923000,116883000,88327000,146807000
48,Accounts Payable,- -,- -,451000,512000,669000,580000,303000,517000,733000,529000,542000,529000,448000,911000,975000,481000,252000,599000,421000,2052000,1578000,2512000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310000,300000,291000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000,- -,39000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,782000,- -,- -,39000,39000,39000,39000,39000,- -,39000,- -,39000,10000,54000,23000,38000,65000,- -,- -,- -
53,Total Current Liabilities,- -,- -,1233000,512000,669000,619000,342000,556000,772000,568000,581000,568000,487000,950000,985000,535000,275000,637000,486000,2362000,1878000,2803000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1594000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,366000,326000,287000,248000,208000,169000,129000,90000,- -,11000,- -,23000,- -,664000,790000,2185000,1885000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,366000,326000,287000,248000,208000,169000,129000,90000,50000,11000,- -,23000,- -,664000,790000,2185000,1885000,1594000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2495000,2185000,1885000
61,Total Liabilities,- -,- -,1233000,512000,1035000,945000,629000,804000,980000,737000,710000,658000,537000,961000,985000,558000,275000,1301000,1276000,4547000,3763000,4397000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,38870000,198439000,205138000,199885000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-20995000,-88051000,-108846000,-129703000,-148173000,-163740000,-178479000,-194078000,-212066000,-230414000,-246997000,-260140000,-270190000,-280258000,-288765000,-298067000,-307014000,-319690000,- -,- -
66,Other Total Stockholders Equity,- -,- -,20995000,88051000,108846000,129703000,315973000,317187000,317061000,346109000,364467000,372525000,370260000,371964000,366714000,353429000,355701000,388813000,393661000,432026000,84564000,- -
67,Total Stockholders Equity,- -,- -,38870000,198439000,205138000,199885000,167800000,153447000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,40103000,198951000,206173000,200830000,168429000,154251000,139562000,152768000,153111000,142769000,123800000,112785000,97509000,73729000,67211000,92047000,87923000,116883000,88327000,4397000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142410000
70,Total Liabilities & Equity,- -,- -,40103000,198951000,206173000,200830000,168429000,154251000,139562000,152768000,153111000,142769000,123800000,112785000,97509000,73729000,67211000,92047000,87923000,116883000,88327000,146807000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1172358/000093066103001226/0000930661-03-001226-index.html,https://www.sec.gov/Archives/edgar/data/1172358/000119312504036114/0001193125-04-036114-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312505044370/0001193125-05-044370-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312506048544/0001193125-06-048544-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312507047235/0001193125-07-047235-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312508048870/0001193125-08-048870-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312509039182/0001193125-09-039182-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312510040507/0001193125-10-040507-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312511045377/0001193125-11-045377-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774912001712/0001437749-12-001712-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774913001785/0001437749-13-001785-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774914002522/0001437749-14-002522-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774915003008/0001437749-15-003008-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774916026030/0001437749-16-026030-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774917003642/0001437749-17-003642-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774918004162/0001437749-18-004162-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774919003623/0001437749-19-003623-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774920003742/0001437749-20-003742-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774921004057/0001437749-21-004057-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774922004351/0001437749-22-004351-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,18351000,12960000,-26830000,33700000,52780000,50210000,43050000,66780000,21680000,34880000,42220000,38020000,43580000,45239000,13255000,20967000,38424000,53907000,52765000,21867000,70174000
74,Depreciation and Amortization,- -,2105000,2130000,23639000,20785000,20818000,18431000,15528000,14740000,15600000,17990000,18350000,16580000,13140000,10050000,10068000,8507000,9302000,8947000,13557000,12149000,10688000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,657000,26479000,-6384000,3714000,15438000,-13604000,1225000,-154000,-6242000,1193000,8017000,-2305000,1665000,-1768000,-13235000,2249000,10224000,4914000,-3712000,-9577000,-10557000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,796000,-702000,1747000,2122000,-1693000,-1727000,-437000,395000,2206000,-5972000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,-9000,-81000,463000,64000,-494000,-229000,455000,-178000,324000,-474000,623000
81,Other Working Capital,- -,-1794000,24685000,18301000,22015000,37453000,23849000,25074000,24920000,18678000,19871000,27888000,25583000,27248000,25480000,12245000,14494000,24718000,29632000,25920000,16343000,- -
82,Other Non-Cash Items,- -,-84000,-29395000,48097000,-9520000,-19924000,17746000,-1371000,1542000,6358000,-1300000,-13091000,4129000,-1987000,4139000,17604000,-3445000,-13922000,-5244000,3499000,14967000,- -
83,Cash Provided by Operating Activities,- -,21029000,12174000,38522000,48679000,69112000,72783000,58432000,82908000,37396000,52763000,55496000,56424000,56398000,57660000,27692000,28278000,44028000,62524000,66109000,39406000,70305000
84,CAPEX,- -,-5587000,-321000,-40000,-562000,-110000,- -,-12000,-50000,-6000,-119000,-6000,- -,- -,- -,- -,- -,-1056000,-60000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1406000,- -,2319000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-5550000,4558000,68000,1068000,50000,50000,55000,-50000,1245000,564000,-6000,- -,- -,3616000,140000,- -,-616000,-41000,439000,6126000,262000
89,Cash Used for Investing Activites,- -,-5550000,4237000,28000,506000,-60000,50000,43000,-50000,1245000,564000,-6000,- -,- -,3616000,140000,- -,-616000,-60000,1845000,6126000,2581000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-11721000,-50798000,-47701000,- -,-82295000,-57401000,-81648000,-44728000,-52198000,-52505000,-56870000,-55015000,-60539000,-36608000,-27202000,-37797000,-58006000,-70900000,-49639000,-55812000
94,Other Financing Activites,- -,-12807000,- -,- -,- -,-58028000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,-12807000,-11721000,-50798000,-47701000,-58028000,-82295000,-57401000,-81648000,-44728000,-52198000,-52505000,-56870000,-55015000,-60539000,-36608000,-27202000,-37797000,-58006000,-70900000,-49639000,-55812000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2672000,4690000,-12248000,1484000,11024000,-9462000,1074000,1210000,-6087000,1129000,2985000,-446000,1383000,737000,-8776000,1076000,5615000,4458000,-2946000,-4107000,17074000
98,Cash at the End of Period,- -,18439000,23129000,10881000,12365000,23389000,13927000,15001000,16211000,10124000,11253000,14238000,13792000,15175000,15912000,7136000,8212000,13827000,18285000,15339000,11232000,28306000
99,Cash at the Beginning of Period,- -,15767000,18439000,23129000,10881000,12365000,23389000,13927000,15001000,16211000,10124000,11253000,14238000,13792000,15175000,15912000,7136000,8212000,13827000,18285000,15339000,11232000
100,Free Cash Flow,- -,15442000,11853000,38482000,48117000,69002000,72783000,58420000,82858000,37390000,52644000,55490000,56424000,56398000,57660000,27692000,28278000,42972000,62464000,66109000,39406000,70305000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1172358/000093066103001226/0000930661-03-001226-index.html,https://www.sec.gov/Archives/edgar/data/1172358/000119312504036114/0001193125-04-036114-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312505044370/0001193125-05-044370-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312506048544/0001193125-06-048544-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312507047235/0001193125-07-047235-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312508048870/0001193125-08-048870-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312509039182/0001193125-09-039182-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312510040507/0001193125-10-040507-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000119312511045377/0001193125-11-045377-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774912001712/0001437749-12-001712-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774913001785/0001437749-13-001785-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774914002522/0001437749-14-002522-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774915003008/0001437749-15-003008-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774916026030/0001437749-16-026030-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774917003642/0001437749-17-003642-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774918004162/0001437749-18-004162-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774919003623/0001437749-19-003623-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774920003742/0001437749-20-003742-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774921004057/0001437749-21-004057-index.htm,https://www.sec.gov/Archives/edgar/data/1172358/000143774922004351/0001437749-22-004351-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
