,https://roic.ai/company/GTHP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-1220000,-1410000,-580000,-2780000,-5330000,-6140000,-6140000,-5892000,-6610000,-7923000,-1726000,-7841000,-1909000,-4192000,4238000,-2912000,-2220000,-1616000,-6526000,-3917000,-6714000,-8421000,-4531000,-852000,-9377000,2806000,-488000,777000,-919000
16,EBITDA ratio,-Infinity,-11.7500,-0.4915,-6.1778,-5.9222,-4.3546,-1.8383,-1.1855,-2.6870,-2.0850,-1.0855,-7.3280,-1.9480,-4.2776,4.0868,-2.2061,-1.4323,-0.4810,-1.8028,-1.1487,-5.6898,-10.2321,-7.4769,-1.4083,-38.4303,49.2281,-13.5556,7.6176,-11.3457
17,Operating Income,-1240000,-1220000,-790000,-3000000,-5900000,-7500000,-6700000,-6702000,-7235000,-8087000,-6469000,-9409000,-1893000,-4439000,2414000,-3067000,-1860000,-1621000,-6756000,-4281000,-6606000,-8669000,-6227000,-3820000,-3121000,-1548000,-937000,-1052000,-2362000
18,Operating Income ratio,-Infinity,-10.1667,-0.6695,-6.6667,-6.5556,-5.3191,-2.0060,-1.3485,-2.9411,-2.1282,-4.0686,-8.7935,-1.9316,-4.5296,2.3279,-2.3235,-1.2000,-0.4824,-1.8663,-1.2554,-5.5983,-10.5334,-10.2756,-6.3140,-12.7910,-27.1579,-26.0278,-10.3137,-29.1605
19,Total Other Income Expenses (Gains),20000,-130000,110000,-180000,170000,860000,160000,352000,265000,-423000,3859000,169000,-307000,-511000,-1189000,-1743000,-4350000,-1229000,116000,-69000,-614000,-1214000,-675000,-150000,-7575000,2564000,-984000,773000,292000
20,Income Before Tax,-1220000,-1350000,-680000,-3180000,-5730000,-6640000,-6540000,-6350000,-6970000,-8510000,-2610000,-9240000,-2200000,-4950000,1225000,-4810000,-6210000,-2850000,-6640000,-4350000,-7220000,-9883000,-6902000,-3970000,-10696000,1016000,-1921000,-279000,-2070000
21,Income Before Tax Ratio,-Infinity,-11.2500,-0.5763,-7.0667,-6.3667,-4.7092,-1.9581,-1.2777,-2.8333,-2.2395,-1.6415,-8.6355,-2.2449,-5.0510,1.1813,-3.6439,-4.0065,-0.8482,-1.8343,-1.2757,-6.1186,-12.0085,-11.3894,-6.5620,-43.8361,17.8246,-53.3611,-2.7353,-25.5556
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361000
23,Net Income,-1220000,-1350000,-680000,-3180000,-5730000,-6640000,-6540000,-6350000,-6970000,-8510000,-2610000,-9240000,-2200000,-4950000,3016000,-4810000,-6210000,-2850000,-6640000,-4350000,-7220000,-9883000,-6902000,-3970000,-10696000,1016000,-1921000,-279000,-2431000
24,Net Income ratio,-Infinity,-11.2500,-0.5763,-7.0667,-6.3667,-4.7092,-1.9581,-1.2777,-2.8333,-2.2395,-1.6415,-8.6355,-2.2449,-5.0510,2.9084,-3.6439,-4.0065,-0.8482,-1.8343,-1.2757,-6.1186,-12.0085,-11.3894,-6.5620,-43.8361,17.8246,-53.3611,-2.7353,-30.0123
25,EPS,-0.09,-0.10,-0.05,-136320000.00,-0.42,-0.49,-0.48,-0.47,-0.51,-0.62,-0.19,-0.68,-0.16,-0.36,12064.00,-19240.00,-24840.00,-11400.00,-26560.00,-17400.00,-28880.00,-6629232.04,-3167666.67,-5974.88,-1032.00,1.95,-0.58,-0.04,-0.23
26,EPS Diluted,-0.09,-0.10,-0.05,-136320000.00,-0.42,-0.49,-0.48,-0.47,-0.51,-0.62,-0.19,-0.68,-0.16,-0.36,12064.00,-19240.00,-24840.00,-11400.00,-26560.00,-5120000.00,-28880.00,-8320000.00,-3167666.67,-19696.00,-1032.00,0.01,-0.58,-0.04,-0.23
27,Weighted Average Shares Outstanding,13633600,13633600,13633600,2,13633600,13633600,13633600,13633600,13633600,13633600,13633600,13633600,13633600,13633600,250,250,250,1,1,1,1,2,3,836,10598,462000,3302000,10767000,10767000
28,Weighted Average Shares Outstanding Diluted,13633600,13633600,13633600,2,13633600,13633600,13633600,13633600,13633600,13633600,13633600,13633600,13633600,13633600,250,250,250,1,1,1,1,2,3,836,10598,65227000,3302000,10767000,10767000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924515/000112178112000081/0001121781-12-000081-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178113000037/0001121781-13-000037-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178114000055/0001121781-14-000055-index.htm,- -,https://www.sec.gov/Archives/edgar/data/924515/000112178116000420/0001121781-16-000420-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495417002258/0001654954-17-002258-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495418004170/0001654954-18-004170-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495419005469/0001654954-19-005469-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495420004236/gthp_10k.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495421003915/0001654954-21-003915-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000147793222001704/0001477932-22-001704-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,110000,4720000,12450000,4960000,2140000,3610000,9460000,1170000,390000,250000,310000,210000,3000,70000,230000,3270000,2200000,1040000,610000,162000,35000,14000,1000,- -,899000,182000,643000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,110000,4720000,12450000,4960000,2140000,3610000,9460000,1170000,390000,250000,310000,210000,3000,70000,230000,3270000,2200000,1040000,610000,162000,35000,14000,1000,- -,899000,182000,643000
34,Net Receivables,- -,- -,220000,- -,550000,680000,3450000,1260000,1230000,290000,820000,1340000,380000,110000,167000,160000,130000,90000,120000,110000,130000,338000,190000,- -,3000,13000,13000,24000,46000
35,Inventory,- -,- -,- -,- -,220000,400000,540000,480000,440000,640000,240000,360000,280000,180000,- -,- -,- -,- -,520000,520000,1190000,1180000,1119000,773000,182000,114000,48000,605000,571000
36,Other Current Assets,- -,- -,10000,90000,120000,130000,210000,380000,400000,900000,1240000,200000,170000,120000,17000,50000,50000,20000,50000,200000,110000,99000,780000,259000,111000,69000,70000,85000,377000
37,Total Current Assets,- -,- -,340000,4810000,13340000,6170000,6340000,5730000,11530000,3000000,2690000,2150000,1140000,620000,187000,280000,410000,3380000,2890000,1870000,2040000,1779000,2124000,1046000,297000,196000,1030000,896000,1637000
38,PP&E,- -,- -,300000,600000,1130000,970000,840000,890000,510000,550000,490000,570000,540000,570000,18000,10000,- -,40000,1030000,1270000,920000,587000,318000,126000,49000,21000,132000,454000,386000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5720000,3850000,3530000,- -,- -,- -,- -,20000,110000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,5720000,3850000,3530000,- -,- -,- -,- -,20000,110000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1590000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,110000,540000,530000,510000,510000,530000,-1020000,70000,- -,90000,70000,50000,772000,570000,270000,200000,390000,340000,360000,665000,73000,320000,60000,19000,18000,- -,17000
45,Total Non-Current Assets,- -,- -,410000,1140000,1660000,1480000,1350000,1420000,6800000,4470000,4020000,660000,610000,620000,790000,600000,380000,540000,1420000,1610000,1280000,1252000,391000,446000,109000,40000,150000,454000,403000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,750000,5950000,15000000,7650000,7690000,7150000,18330000,7470000,6710000,2810000,1750000,1240000,977000,880000,790000,3920000,4310000,3480000,3320000,3031000,2515000,1492000,406000,236000,1180000,1350000,2040000
48,Accounts Payable,- -,- -,170000,560000,520000,440000,530000,1020000,1020000,570000,830000,570000,680000,930000,786000,1340000,1160000,920000,1100000,770000,890000,1733000,1824000,2600000,3019000,3013000,3033000,2535000,2362000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,1017000,- -,381000,1846000,583000,656000,8701000,614000,417000,502000,144000,1831000,1571000,4034000,4642000,4757000,5406000,3390000,243000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,24000,217000,34000,21000,66000,101000,42000,337000
52,Other Current Liabilities,- -,- -,620000,380000,750000,400000,1050000,1260000,1190000,660000,1793000,4020000,6209000,7884000,2414000,2944000,2899000,1236000,1213000,1078000,722000,1015000,1859000,2670000,4164000,3156000,3870000,2995000,2752000
53,Total Current Liabilities,- -,- -,790000,940000,1270000,840000,1580000,2280000,2210000,1930000,3640000,4590000,7270000,10660000,3783000,4940000,12760000,2770000,2730000,2350000,1770000,4603000,5471000,9338000,11846000,10992000,12410000,8962000,5694000
54,Long-Term Debt,- -,- -,- -,250000,250000,- -,- -,- -,- -,- -,1020000,- -,- -,1920000,2123000,3580000,- -,30000,- -,- -,100000,823000,- -,- -,- -,340000,584000,623000,1145000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,380000,380000,1970000,380000,370000,280000,650000,- -,- -,- -,110000,110000,110000,- -,1550000,2070000,2606000,1420000,7962000,4728000,5121000,2620000,646000
58,Total Non-Current Liabilities,- -,- -,- -,250000,250000,- -,380000,380000,1970000,380000,1390000,280000,650000,1920000,2123000,3580000,110000,140000,110000,- -,1650000,2893000,2606000,1420000,7962000,5068000,5705000,3243000,1791000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132000,448000,- -
61,Total Liabilities,- -,- -,790000,1190000,1520000,840000,1960000,2660000,4180000,2310000,5030000,4870000,7920000,12580000,5906000,8520000,12870000,2910000,2840000,2350000,3420000,7496000,8077000,10758000,19808000,16060000,18115000,12205000,1791000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1185000,1245000,4559000,4559000,4511000,3904000,3069000,1962000,- -,- -,- -,1139000,678000,2052000,1302000,1056000,806000,806000,2721000,- -
63,Common Stock,- -,- -,- -,- -,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,13000,20000,20000,50000,50000,60000,70000,97000,236000,742000,791000,2877000,3394000,3403000,- -
64,Retained Earnings,- -,- -,-3240000,-6420000,-12150000,-18790000,-25340000,-32000000,-39280000,-48100000,-51010000,-60810000,-62670000,-67610000,-64598000,-69410000,-75600000,-78450000,-85090000,-92100000,-103030000,-113060000,-122563000,-127558000,-138533000,-137634000,-139555000,-139956000,-142387000
65,Other Comprehensive Income/Loss,- -,- -,-150000,-270000,-510000,-840000,-1120000,-1510000,-1830000,-135000,-69000,-42000,-4000,-2030000,- -,-1910000,-1880000,-1890000,-1870000,-950000,-1410000,-1845000,- -,- -,- -,- -,- -,-1746000,- -
66,Other Total Stockholders Equity,- -,- -,3350000,11490000,26150000,26420000,26950000,37985000,50472000,47876000,48241000,52588000,51938000,53778000,55752000,60588000,63419000,81303000,88383000,94123000,103124000,109665000,114713000,116248000,117284000,118127000,118420000,124723000,142387000
67,Total Stockholders Equity,- -,- -,-40000,4800000,13500000,6800000,500000,4485000,9372000,836000,-1583000,-3695000,-6167000,-11341000,-4929000,-7643000,-12079000,1013000,1473000,1133000,-107000,-4465000,-5562000,-9266000,-19402000,-15824000,-16935000,-10855000,249000
68,Total Liabilities And Stockholders Equity,- -,- -,750000,5990000,15020000,7640000,2460000,7145000,13552000,3146000,3447000,1175000,1753000,1239000,977000,877000,791000,3923000,4313000,3483000,3313000,3031000,2515000,1492000,406000,236000,1180000,1350000,2040000
69,Minority Interest,- -,- -,- -,-40000,-20000,10000,5230000,5000,4778000,4324000,3263000,1635000,-3000,1000,- -,3000,-1000,-3000,-3000,-3000,7000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,750000,5950000,15000000,7650000,7690000,7150000,18330000,7470000,6710000,2810000,1750000,1240000,977000,880000,790000,3920000,4310000,3480000,3320000,3031000,2515000,1492000,406000,236000,1180000,1350000,2040000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924515/000112178112000081/0001121781-12-000081-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178113000037/0001121781-13-000037-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178114000055/0001121781-14-000055-index.htm,- -,https://www.sec.gov/Archives/edgar/data/924515/000112178116000420/0001121781-16-000420-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495417002258/0001654954-17-002258-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495418004170/0001654954-18-004170-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495419005469/0001654954-19-005469-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495420004236/gthp_10k.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495421003915/0001654954-21-003915-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000147793222001704/0001477932-22-001704-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1350000,-680000,-3180000,-5730000,-6640000,-6540000,-6350000,-6970000,-8510000,-2610000,-9240000,-2200000,-4950000,3016000,-4810000,-6210000,-2850000,-6640000,-4350000,-7220000,-9883000,-6902000,-3970000,-10696000,1016000,-1921000,-279000,-2071000
74,Depreciation and Amortization,- -,80000,110000,300000,400000,500000,400000,458000,360000,587000,556000,479000,114000,49000,9000,7000,7000,7000,34000,361000,461000,483000,1054000,1223000,213000,27000,21000,- -,1000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,870000,645000,824000,886000,1408000,95000,59000,44000,8000,310000,228000
77,Change in Working Capital,- -,610000,-450000,4320000,8200000,-6740000,-570000,-1310000,5870000,-8250000,-2020000,-1490000,-3690000,-3910000,6444000,-1064000,-7690000,12960000,-450000,-640000,750000,-3094000,-523000,-4945000,-3257000,753000,-584000,3314000,4009000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000,4000,16000,47000,-50000,13000,-33000,-267000,129000,-31000,-9000,-10000,- -,-23000,-22000
79,Inventory,- -,- -,- -,- -,- -,-200000,-100000,60000,44000,-206000,405000,-125000,81000,5000,- -,- -,- -,- -,-520000,-4000,-669000,14000,61000,345000,508000,151000,66000,-483000,33000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000,-337000,126000,842000,91000,775000,420000,-6000,20000,-372000,136000
81,Other Working Capital,- -,- -,-450000,3870000,12070000,5330000,4760000,3450000,9320000,1070000,-950000,-2440000,-6130000,-10040000,-3596000,-4660000,-12350000,610000,160000,-480000,270000,-2824000,-3347000,-8292000,-11549000,-10796000,-11380000,-8066000,-4057000
82,Other Non-Cash Items,- -,70000,-110000,-3840000,-8970000,5880000,910000,1597000,-5651000,8269000,2687000,4837000,2269000,5236000,-13413000,3958000,12473000,-10464000,3452000,318000,-371000,5325000,920000,5795000,12537000,-3205000,1670000,-5220000,-3759000
83,Cash Provided by Operating Activities,- -,-590000,-1130000,-2400000,-6100000,-7000000,-5800000,-5605000,-6391000,-7904000,-1387000,-5414000,-3507000,-3575000,-3944000,-1909000,-1420000,-347000,-2734000,-3666000,-5556000,-6283000,-4043000,-1802000,-1144000,-1365000,-806000,-1875000,-1592000
84,CAPEX,- -,-80000,-210000,-400000,-600000,-300000,-300000,-440000,-90000,-290000,-202000,-205000,-68000,-73000,-27000,- -,-90000,-186000,-704000,-552000,-107000,-150000,-8000,- -,- -,- -,- -,-1000,-14000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,198000,-18000,- -,- -,- -,- -,2689000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,3600000,- -,- -,- -,-110000,-40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-80000,-210000,-700000,-600000,-300000,-300000,-440000,108000,-308000,-202000,-205000,3532000,-73000,2662000,- -,-200000,-226000,-704000,-552000,-107000,-150000,-8000,- -,- -,- -,- -,-1000,-14000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1193000,- -,-27000,- -,-215000,-125000,-374000,-656000,-1014000,-227000,-441000,-192000,-281000,-1101000,-86000
91,Common Stock Issued,- -,- -,- -,6500000,14400000,100000,2900000,7540000,12199000,70000,27000,5794000,137000,4000,1000,3000,- -,3055000,1767000,- -,- -,1730000,- -,50000,1572000,170000,635000,- -,- -
92,Common Stock Repurchased,- -,10000,10000,- -,- -,- -,- -,- -,-38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1180000,500000,1300000,- -,- -,400000,-29000,-29000,-29000,664000,-17000,-96000,3537000,2271000,1971000,1809000,556000,818000,3188000,5605000,4908000,4938000,1958000,- -,1386000,1351000,2260000,2153000
95,Cash Used/Provided by Financing Activities,- -,1190000,510000,7800000,14400000,100000,3300000,7511000,12132000,41000,691000,5477000,41000,3541000,1079000,1974000,1782000,3611000,2370000,3063000,5231000,5982000,3924000,1781000,1131000,1364000,1705000,1159000,2067000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,520000,-830000,7800000,14400000,100000,-2900000,1466000,5849000,-8171000,-898000,-142000,66000,-107000,-203000,65000,162000,3038000,-1068000,-1155000,-432000,-451000,-127000,-21000,-13000,1364000,1705000,-717000,- -
98,Cash at the End of Period,- -,520000,-830000,- -,- -,- -,2100000,3609000,9458000,1287000,389000,247000,313000,206000,3000,68000,230000,3268000,2200000,1045000,613000,162000,35000,14000,1000,- -,899000,182000,- -
99,Cash at the Beginning of Period,- -,- -,- -,100000,4700000,12100000,5000000,2143000,3609000,9458000,1287000,389000,247000,313000,206000,3000,68000,230000,3268000,2200000,1045000,613000,162000,35000,14000,1000,- -,899000,182000
100,Free Cash Flow,- -,-670000,-1340000,-2800000,-6700000,-7300000,-6100000,-6045000,-6481000,-8194000,-1589000,-5619000,-3575000,-3648000,-3971000,-1909000,-1510000,-533000,-3438000,-4218000,-5663000,-6433000,-4051000,-1802000,-1144000,-1365000,-806000,-1876000,-1606000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/924515/000112178112000081/0001121781-12-000081-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178113000037/0001121781-13-000037-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178114000055/0001121781-14-000055-index.htm,- -,https://www.sec.gov/Archives/edgar/data/924515/000112178116000420/0001121781-16-000420-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495417002258/0001654954-17-002258-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495418004170/0001654954-18-004170-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495419005469/0001654954-19-005469-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495420004236/gthp_10k.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495421003915/0001654954-21-003915-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000147793222001704/0001477932-22-001704-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
