,https://roic.ai/company/USDR,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.00,-0.34,-0.26,-0.13,-0.12,-0.15,-0.04,-0.02
27,Weighted Average Shares Outstanding,870390,870388,1161427,1172544,1172544,1172544,37285015,37285015
28,Weighted Average Shares Outstanding Diluted,870390,870388,1161427,1172544,1172544,1172544,37285015,37285015
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1638911/000154812316000516/0001548123-16-000516-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000154812317000043/0001548123-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000154812318000038/0001548123-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000154812319000045/0001548123-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000121390020009056/0001213900-20-009056-index.htm,https://www.sec.gov/Archives/edgar/data/1638911/000121390021018451/0001213900-21-018451-index.htm,https://www.sec.gov/Archives/edgar/data/1638911/000121390022010947/0001213900-22-010947-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,14080,- -,340,60,260,105,3560000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,3000
33,Cash and Short-Term Investments,- -,14080,- -,340,60,260,105,3563000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,25970,9850,5110,- -,- -,- -,- -
36,Other Current Assets,- -,25560,26250,28830,26250,8770,19,37000
37,Total Current Assets,- -,65610,36100,34280,26310,9030,124,3600000
38,PP&E,- -,- -,- -,- -,- -,- -,12,9000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,12,9000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,65610,36100,34280,26310,9030,136,3609000
48,Accounts Payable,- -,12610,15210,22590,29170,41240,109,75000
49,Short-Term Debt,- -,19798,445934,530009,621779,655089,956000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,22792,51126,86821,122831,198121,-954809,136000
53,Total Current Liabilities,- -,55200,512270,639420,773780,894450,1300,211000
54,Long-Term Debt,- -,300000,- -,- -,- -,35000,- -,297000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,685,- -
58,Total Non-Current Liabilities,- -,300000,- -,- -,- -,35000,685,297000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,355200,512270,639420,773780,929450,1985,508000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,110,120,120,120,120,- -,5000
64,Retained Earnings,- -,-300070,-599250,-748300,-890630,-1063580,- -,-6019000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,10369,122963,143039,143045,143047,- -,- -
67,Total Stockholders Equity,-147,-289591,-476167,-605141,-747465,-920413,-1849000,3101000
68,Total Liabilities And Stockholders Equity,- -,65609,36103,34279,26315,9037,-1847015,3609000
69,Minority Interest,- -,1,-3,1,-5,-7,1847151,- -
70,Total Liabilities & Equity,- -,65610,36100,34280,26310,9030,136,3609000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1638911/000154812316000516/0001548123-16-000516-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000154812317000043/0001548123-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000154812318000038/0001548123-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000154812319000045/0001548123-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000121390020009056/0001213900-20-009056-index.htm,https://www.sec.gov/Archives/edgar/data/1638911/000121390021018451/0001213900-21-018451-index.htm,https://www.sec.gov/Archives/edgar/data/1638911/000121390022010947/0001213900-22-010947-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-150,-299930,-299170,-149060,-142320,-172950,-1368000,-888000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,5000,3000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,645000,416000
77,Change in Working Capital,150,10410,-486580,-128970,-142330,-137950,884244,-165000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-27874,4740,4741,- -,- -,- -,- -
80,Accounts Payable,- -,-4677,2606,7374,6586,12072,-52000,-34000
81,Other Working Capital,- -,10410,-476170,-605140,-747470,-885420,-1176,- -
82,Other Non-Cash Items,- -,-6555,605698,195373,224208,255085,-1015244,400000
83,Cash Provided by Operating Activities,- -,-296075,-180052,-82657,-60442,-55815,-849000,-234000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,100,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,100,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,-43180,- -,-13,-38189,-32738,-34000,-960000
91,Common Stock Issued,- -,10050,- -,- -,- -,- -,- -,4649000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,343180,127211,83013,98349,88754,965000,- -
95,Cash Used/Provided by Financing Activities,- -,310050,127211,83000,60160,56016,931000,3689000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,310050,127211,83000,-282,201,82000,3455000
98,Cash at the End of Period,- -,14075,- -,343,61,262,105000,3560000
99,Cash at the Beginning of Period,- -,- -,14075,- -,343,61,23000,105000
100,Free Cash Flow,- -,-296075,-180052,-82657,-60442,-55815,-849000,-234000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1638911/000154812316000516/0001548123-16-000516-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000154812317000043/0001548123-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000154812318000038/0001548123-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000154812319000045/0001548123-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1638911/000121390020009056/0001213900-20-009056-index.htm,https://www.sec.gov/Archives/edgar/data/1638911/000121390021018451/0001213900-21-018451-index.htm,https://www.sec.gov/Archives/edgar/data/1638911/000121390022010947/0001213900-22-010947-index.htm
102,false,,,,,,,,
