,https://roic.ai/company/PCTL,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.8405,-22.1074,-11.9587,-23.4027,-3.2296,0.7716
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-10000,-4850,-6908,-10536,-5000,-4984,-6163,-34833,-38698,-33684,-29031,-28833,-2249653,-2721536,-3182483,-16578564,-8138287,988619
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.8405,-22.1074,-11.9587,-23.4027,-3.2296,0.7716
25,EPS,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.02,-0.10,-0.07,-0.07,-0.09,-0.01,0.00
26,EPS Diluted,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.02,-0.10,-0.07,-0.07,-0.09,-0.01,0.00
27,Weighted Average Shares Outstanding,19150000,19150000,19150000,19150000,19150000,19150000,19150000,19150000,19150000,19150000,19150000,24714500,22951766,39430536,43513512,189765526,609029869,609029869
28,Weighted Average Shares Outstanding Diluted,19150000,19150000,19150000,19150000,19150000,19150000,19150000,19150000,19150000,19150000,19150000,24714500,22951766,39430536,43513512,189765526,609029869,609029869
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119897/000102317509000065/0001023175-09-000065-index.html,https://www.sec.gov/Archives/edgar/data/1119897/000102317510000049/0001023175-10-000049-index.html,- -,https://www.sec.gov/Archives/edgar/data/1119897/000147124212000344/0001471242-12-000344-index.html,https://www.sec.gov/Archives/edgar/data/1119897/000155479513000185/0001554795-13-000185-index.html,- -,https://www.sec.gov/Archives/edgar/data/1119897/000155479515000073/0001554795-15-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479516000596/0001554795-16-000596-index.html,https://www.sec.gov/Archives/edgar/data/1119897/000155479517000163/0001554795-17-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479518000099/0001554795-18-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479519000101/0001554795-19-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479520000191/0001554795-20-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479521000130/0001554795-21-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479522000134/0001554795-22-000134-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1692,1156,156,393,1284,365,107,2863,774,254,21078,7838,4893,67613,115196,116497
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1692,1156,156,393,1284,365,107,2863,774,254,21078,7838,4893,67613,115196,116497
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4018,12637,49140,111915,349526,96022
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42706,10526,7105,- -,6188,36954
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84695,9320,220604,45210,276846,61290
37,Total Current Assets,- -,- -,1692,1156,156,393,1284,365,107,2863,774,254,152497,40321,281742,224738,747756,310763
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440109,477104,845474
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42857,4325107,4059775,3704429,3400024,3098021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42857,4325107,4059775,3704429,3400024,3098021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83500,388753,505471,5499,9726,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126357,4713860,4565246,4150037,3886854,3943495
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1692,1156,156,393,1284,365,107,2863,774,254,278854,4754181,4846988,4374775,4634610,4254258
48,Accounts Payable,- -,36850,45450,55450,59450,64671,37125,23170,21800,17400,10500,8200,52144,134613,350593,315228,272978,72873
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,76450,109150,140650,162950,180150,358802,1134217,653944,2482743,2763062,85850
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1075,- -
52,Other Current Liabilities,30000,- -,- -,- -,- -,- -,34600,6019,13129,22469,34011,47424,15441,187368,883797,11492515,12190363,4618206
53,Total Current Liabilities,30000,36850,45450,55450,59450,64671,71725,105639,144079,180519,207461,235774,426387,1456198,1888334,14290486,15227478,4776929
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129451,- -,1253067,- -,136920,41408
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218645,- -,1465300
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129451,- -,1253067,218645,136920,1506708
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118385,- -
61,Total Liabilities,30000,36850,45450,55450,59450,64671,71725,105639,144079,180519,207461,235774,555838,1456198,3141401,14509131,15364398,6283637
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218645,258645,- -
63,Common Stock,20000,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,19150,37118,41180,44560,498881,722488,790924
64,Retained Earnings,-80000,-86850,-93758,-104294,-109294,-114278,-120441,-155274,-193972,-227656,-256687,-285520,-4022984,-6744520,-9927003,-26505567,-34913854,-29598993
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30479,-46725,-30815,-55999,-100301,- -
66,Other Total Stockholders Equity,30000,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,30850,3739361,10048048,11618845,15928329,23303234,31276714
67,Total Stockholders Equity,-30000,-36850,-43758,-54294,-59294,-64278,-70441,-105274,-143972,-177656,-206687,-235520,-276984,3297983,1705587,-9915711,-10729788,2468645
68,Total Liabilities And Stockholders Equity,- -,- -,1692,1156,156,393,1284,365,107,2863,774,254,278854,4754181,4846988,4593420,4634610,8752282
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-218645,- -,-4498024
70,Total Liabilities & Equity,- -,- -,1692,1156,156,393,1284,365,107,2863,774,254,278854,4754181,4846988,4374775,4634610,4254258
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119897/000102317509000065/0001023175-09-000065-index.html,https://www.sec.gov/Archives/edgar/data/1119897/000102317510000049/0001023175-10-000049-index.html,- -,https://www.sec.gov/Archives/edgar/data/1119897/000147124212000344/0001471242-12-000344-index.html,https://www.sec.gov/Archives/edgar/data/1119897/000155479513000185/0001554795-13-000185-index.html,- -,https://www.sec.gov/Archives/edgar/data/1119897/000155479515000073/0001554795-15-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479516000596/0001554795-16-000596-index.html,https://www.sec.gov/Archives/edgar/data/1119897/000155479517000163/0001554795-17-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479518000099/0001554795-18-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479519000101/0001554795-19-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479520000191/0001554795-20-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479521000130/0001554795-21-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479522000134/0001554795-22-000134-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-10000,-4850,-6908,-10536,-5000,-4984,-6163,-34833,-38698,-33684,-29031,-28833,-2249653,-2721536,-3182483,-16578564,-8138287,988619
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38518,291590,336708,381358,353937,367534
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48703,430020,- -,- -,- -,104369
77,Change in Working Capital,10000,-6850,-6908,-10536,-5000,-4984,-6163,-34833,-38698,-33684,-29031,-28833,-38370,-1141987,-190715,-12459156,-413974,10013556
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15957,-8619,-39503,-161385,-283186,210118
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25859,-161164,15220,26510,20481,-30766
80,Accounts Payable,- -,- -,- -,- -,- -,- -,54,22895,17330,- -,- -,- -,5420,84316,215980,22148,-42250,-200105
81,Other Working Capital,-30000,-36850,-43758,-54294,-59294,-64278,-70441,-105274,-143972,-177656,-206687,-235520,-273890,-1415877,-1606592,-14065748,-14479722,-4466166
82,Other Non-Cash Items,- -,6850,15508,20536,9000,10205,6217,63747,63138,59124,51073,50446,1316528,1708727,2199788,27856945,7367660,-12982718
83,Cash Provided by Operating Activities,- -,-4850,1692,-536,-1000,237,-6109,-5919,-14258,-8244,-6989,-7220,-884274,-1433186,-836702,-799417,-830664,-1508640
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62372,-282297,-226443,-7516,-163133,-468866
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,-150000,-45000,106323,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62372,-282297,-226443,103807,-163133,-468866
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,5000,- -,- -,- -,- -,-104500,-180757,-105000,-211264,-1621090,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395000,1090000,115000,226928,- -,521101
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,7000,- -,14000,11000,4900,6700,634738,793000,1050200,742666,2662470,1457706
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,7000,5000,14000,11000,4900,6700,925238,1702243,1060200,758330,1041380,1978807
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-536,-1000,237,891,-919,-258,2756,-2089,-520,-21408,-13240,-2945,62720,47583,1301
98,Cash at the End of Period,- -,- -,1692,1156,156,393,1284,365,107,2863,774,254,21078,7838,4893,67613,115196,116497
99,Cash at the Beginning of Period,- -,- -,- -,1692,1156,156,393,1284,365,107,2863,774,42486,21078,7838,4893,67613,115196
100,Free Cash Flow,- -,-4850,1692,-536,-1000,237,-6109,-5919,-14258,-8244,-6989,-7220,-946646,-1715483,-1063145,-806933,-993797,-1977506
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119897/000102317509000065/0001023175-09-000065-index.html,https://www.sec.gov/Archives/edgar/data/1119897/000102317510000049/0001023175-10-000049-index.html,- -,https://www.sec.gov/Archives/edgar/data/1119897/000147124212000344/0001471242-12-000344-index.html,https://www.sec.gov/Archives/edgar/data/1119897/000155479513000185/0001554795-13-000185-index.html,- -,https://www.sec.gov/Archives/edgar/data/1119897/000155479515000073/0001554795-15-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479516000596/0001554795-16-000596-index.html,https://www.sec.gov/Archives/edgar/data/1119897/000155479517000163/0001554795-17-000163-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479518000099/0001554795-18-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479519000101/0001554795-19-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479520000191/0001554795-20-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479521000130/0001554795-21-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1119897/000155479522000134/0001554795-22-000134-index.htm
102,false,,,,,,,,,,,,,,,,,,
