,https://roic.ai/company/EVK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.7500,0.1250,-5.6667,-Infinity,-Infinity,0.1111,0.0875,0.0996,0.0472,0.0578,0.0582,0.0542,0.0526,0.0473,0.0475,0.0436,0.0261,0.0430,0.0365,0.0151,0.0215,0.0086
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,200000,300000,300000,1100000,800000,1100000,2000000,1900000,6600000,5476920,5054000,4077000,101005000,4942000,4562000,2469000,2945000
23,Net Income,-3100000,100000,-1700000,-600000,-1000,1000000,2500000,6800000,3600000,4300000,6700000,9600000,12800000,10700000,16366270,13569000,6764000,12459000,12008000,1270000,3280000,-92000
24,Net Income ratio,-1.1071,0.1250,-5.6667,-Infinity,-Infinity,0.0926,0.0781,0.0967,0.0369,0.0478,0.0500,0.0445,0.0458,0.0291,0.0356,0.0322,0.0172,0.0300,0.0268,0.0033,0.0123,-0.0003
25,EPS,-10.33,0.33,-23.72,-7.92,-0.01,0.20,0.70,0.99,0.30,0.31,0.45,0.65,0.87,0.73,1.11,0.92,0.46,0.84,0.81,0.09,0.22,-0.01
26,EPS Diluted,-10.33,0.33,-23.72,-7.92,-0.01,0.10,0.20,0.94,0.26,0.29,0.45,0.65,0.87,0.73,1.11,0.92,0.46,0.84,0.81,0.09,0.22,-0.01
27,Weighted Average Shares Outstanding,300000,300000,71214,71214,73319,5522470,2002883,6865482,11895048,13552837,14737945,14757319,14767253,14778080,14782320,14784847,14787270,14795992,14796947,14801770,14806778,14806778
28,Weighted Average Shares Outstanding Diluted,300000,300000,71214,71214,73319,11513968,7994382,7244062,13489769,14703522,14737945,14757319,14767253,14778080,14782320,14784847,14787270,14795992,14796947,14801770,14806778,14806778
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943184/000109635004000108/0001096350-04-000108-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000109635005000040/0001096350-05-000040-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121465906000720/0001214659-06-000720-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121465907001567/0001214659-07-001567-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420408014633/0001144204-08-014633-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420409017948/0001144204-09-017948-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420410017643/0001144204-10-017643-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420411019193/0001144204-11-019193-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390012001372/0001213900-12-001372-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390013001867/0001213900-13-001867-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390014002387/0001213900-14-002387-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390015002301/0001213900-15-002301-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390016011907/0001213900-16-011907-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390017003018/0001213900-17-003018-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390018003573/0001213900-18-003573-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390019005217/0001213900-19-005217-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390020007882/0001213900-20-007882-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390021018685/0001213900-21-018685-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390022019367/0001213900-22-019367-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,- -,1069,- -,- -,1467245,660096,641739,1445363,3555745,3691653,8822581,9365958,27772878,34134239,22702000,45288000,62876000,47012000,48551000,81865000,56573000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1792000,- -
33,Cash and Short-Term Investments,200000,- -,1069,- -,- -,1467245,660096,641739,1445363,3555745,3691653,8822581,9365958,27772878,34134239,22702000,45288000,62876000,47012000,48551000,83657000,56573000
34,Net Receivables,2800000,800000,82813,- -,- -,257244,8826626,13344389,21050912,26837187,48192940,70166536,73298974,86655978,99747622,96638000,74742000,91020000,99503000,88168000,60575000,69859000
35,Inventory,100000,- -,- -,- -,- -,396207,746817,1897023,3735227,12419622,26210714,36874804,46038456,75190197,70270213,75063000,49630000,56182000,65929000,67355000,53893000,63841000
36,Other Current Assets,- -,- -,192790,- -,- -,59021,- -,2760035,1233447,1045173,3151120,3300114,3596860,6010027,3916913,6193000,3139000,3028000,6420000,9681000,50119000,60456000
37,Total Current Assets,3100000,800000,276672,- -,- -,2179717,10233539,18643186,27464949,43857727,81246427,119164035,132300248,195629080,208068987,200596000,172799000,213106000,218864000,213755000,248244000,250729000
38,PP&E,500000,400000,319503,- -,- -,5855562,12158912,12140903,12494452,12540856,12580757,13210628,16068735,18370327,20102976,21906000,22694000,25891000,28445000,82191000,73854000,86417000
39,Goodwill,200000,- -,- -,- -,- -,- -,10079156,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,2521109,2729183,2854508,2788731,2815760,2845552,2801472,2821471,4041284,6217000,5769000,5995000,4962000,4729000,4406000,4794000
41,Intangible Assets,200000,- -,- -,- -,- -,- -,12600265,2729183,2854508,2788731,2815760,2845552,2801472,2821471,4041284,6217000,5769000,5995000,4962000,4729000,4406000,4794000
42,Investments,200000,- -,- -,- -,- -,- -,- -,- -,1467000,1467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3932000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,996000,902000,899000
44,Other Non-Current Assets,2000000,2000000,201269,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6466000
45,Total Non-Current Assets,2900000,2400000,520772,- -,- -,5855562,24759177,14870086,16815960,16796587,15396517,16056180,18870207,21191798,24144260,28123000,28463000,31886000,33407000,87916000,83094000,98576000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6000000,3200000,797444,- -,- -,8035279,34992716,33513272,44280909,60654314,96642944,135220215,151170455,216820878,232213247,228719000,201262000,244992000,252271000,301671000,331338000,349305000
48,Accounts Payable,- -,- -,109576,57000,57000,84300,2306113,2042244,3620543,14024568,31401661,41466844,52859206,76958416,62818812,68941000,62507000,78463000,83168000,77229000,71526000,67930000
49,Short-Term Debt,1000000,- -,69349,- -,- -,611247,4482180,25503,6542820,9881419,19139592,29185381,46919680,53338748,60216950,44841000,29232000,37730000,29497000,74819000,99400000,41633000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,626753,190640,1530248,2637586,5141863,5888494,11740254,10934000,6960000,7764000,4138000,2799000,1971000,999000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2843374,1583291,1205000,872000,1036000,976000,2497000,2054000,- -
52,Other Current Liabilities,1600000,200000,50720,- -,- -,1590693,6190687,7043306,3145328,2899895,6165197,13853400,21433722,26564663,34942748,31950000,21095000,23182000,25120000,19439000,15990000,90188000
53,Total Current Liabilities,2600000,200000,229645,57000,57000,2286240,12978980,9111053,13308691,26805882,56706450,84505625,121212608,159705201,159561801,146937000,113706000,140411000,138761000,173984000,188970000,199751000
54,Long-Term Debt,- -,100000,37181,- -,- -,- -,- -,- -,2660085,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8307000,8596000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2992000,3254000,1883000,354000,- -,- -,- -
57,Other Non-Current Liabilities,1100000,200000,32018,- -,- -,1,4238526,4474985,- -,1627839,606800,390800,- -,- -,- -,- -,- -,- -,- -,8537000,- -,- -
58,Total Non-Current Liabilities,1100000,300000,69199,- -,- -,1,4238526,4474985,2660085,1627839,606800,390800,- -,- -,- -,2992000,3254000,1883000,354000,8537000,8307000,8596000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53425000,41788000,- -
61,Total Liabilities,3700000,500000,298844,57000,57000,2286241,17217506,13586038,15968776,28433721,57313250,84896425,121212608,159705201,159561801,149929000,116960000,142294000,139115000,182521000,197277000,208347000
62,Preferred Stock,- -,- -,- -,- -,- -,1,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,282,282,382,1997,4080,11379,12374,13560,14751,14761,14772,14781,14784,15000,15000,15000,15000,15000,15000,15000
64,Retained Earnings,-3100000,-2600000,-4796816,-555600,-555600,4449864,5943289,12247748,15807539,23991693,30641770,34976853,46774001,53618026,67659920,78439000,83423000,95195000,105914000,106328000,109171000,108210000
65,Other Comprehensive Income/Loss,-600000,-600000,-365053,- -,- -,33428,566174,5513739,3956860,3934437,5160793,6487886,13190885,18995693,20813889,18576000,13810000,20379000,15505000,15609000,24966000,8191000
66,Other Total Stockholders Equity,6000000,5900000,5660187,498318,498218,1263748,11261666,2154368,7986383,3615357,3512380,8844290,-30021811,-15512823,-15837147,-18179000,-12334000,-11829000,-6727000,-1292000,297000,24542000
67,Total Stockholders Equity,2300000,2700000,498600,-57000,-57000,5749038,17775210,19927234,27763156,31555047,39329694,50323790,29957847,57115677,72651446,78851000,84914000,103760000,114707000,120660000,134449000,140958000
68,Total Liabilities And Stockholders Equity,6000000,3200000,797444,- -,- -,8035279,34992716,33513272,43731932,59988768,96642944,135220215,151170455,216820878,232213247,228780000,201874000,246054000,253822000,303181000,331726000,349305000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,548977,665546,- -,- -,- -,- -,- -,-61000,-612000,-1062000,-1551000,-1510000,-388000,- -
70,Total Liabilities & Equity,6000000,3200000,797444,- -,- -,8035279,34992716,33513272,44280909,60654314,96642944,135220215,151170455,216820878,232213247,228719000,201262000,244992000,252271000,301671000,331338000,349305000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943184/000109635004000108/0001096350-04-000108-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000109635005000040/0001096350-05-000040-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121465906000720/0001214659-06-000720-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121465907001567/0001214659-07-001567-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420408014633/0001144204-08-014633-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420409017948/0001144204-09-017948-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420410017643/0001144204-10-017643-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420411019193/0001144204-11-019193-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390012001372/0001213900-12-001372-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390013001867/0001213900-13-001867-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390014002387/0001213900-14-002387-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390015002301/0001213900-15-002301-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390016011907/0001213900-16-011907-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390017003018/0001213900-17-003018-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390018003573/0001213900-18-003573-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390019005217/0001213900-19-005217-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390020007882/0001213900-20-007882-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390021018685/0001213900-21-018685-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390022019367/0001213900-22-019367-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3100000,100000,-1700000,-600000,-1000,1000000,2500000,6800000,3600000,4300000,6700000,9600000,12800000,10700000,16366270,13569000,6764000,12459000,12008000,1270000,3280000,-92000
74,Depreciation and Amortization,340000,80000,55770,- -,- -,162906,287734,952122,1010379,1892654,2342539,3776545,4961510,6468807,7531500,8495000,7915000,7015000,6664000,8239000,5291000,6404000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,78618,341658,705854,1332624,629526,4164509,-3471009,-708000,477000,-1530000,-1370000,-1472000,154000,24000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,12854,43999,26280,19999,19809,19996,15041,10000,5000,18000,7000,12000,10000,10000
77,Change in Working Capital,1670000,100000,-552973,-104027,- -,-49523,-2638918,12277574,4624125,2895587,7488132,10118433,-23570770,24836239,12583307,5151814,5434000,13602000,7408000,-40332000,19503000,-8296000
78,Accounts Receivable,- -,2100000,- -,- -,- -,- -,- -,- -,4551516,-3264117,-22652993,- -,-17532398,-9590741,-13850056,-491000,12416000,-11204000,-9893000,6652000,27173000,-16737000
79,Inventory,- -,100000,- -,- -,- -,398205,268018,-571377,-1958971,-8833445,-14806632,-9631468,-12043857,-35405694,-510933,-12261000,21741000,-7919000,-16462000,-5145000,10161000,-15483000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1305759,12119692,16924139,12011263,8418977,22120419,-14744540,9007000,-3089000,11840000,14760000,-2129000,-10461000,-2238000
81,Other Working Capital,500000,600000,47027,-57000,-57000,-106523,-2745441,9532133,14156258,17051845,24539977,34658410,11087640,35923879,48507186,53659000,59093000,72695000,80103000,39771000,59274000,50978000
82,Other Non-Cash Items,2210000,-20000,2093063,702958,1000,2096286,-1482615,-18153238,-6493535,-6403240,-24974367,-25250914,25514434,-38683928,-23702929,-7387814,23531000,-16640000,-22155000,36268000,12218000,-15059000
83,Cash Provided by Operating Activities,1120000,260000,-104140,-1069,- -,3209669,-1333799,1876458,2832441,3070658,-7711562,-403313,20354509,7505623,9322180,19130000,44126000,14924000,2562000,3985000,40456000,-17009000
84,CAPEX,- -,-20000,- -,- -,- -,-2519904,-8488251,-3127321,-530764,-1314524,-1984027,-3892831,-7649346,-8181327,-10791280,-12860000,-11016000,-8564000,-12182000,-8675000,-8998000,-10123000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,39280,- -,- -,- -,- -,- -,- -,- -,- -,-690000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2936000,-1309000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,979000,- -
88,Other Investing Activites,300000,300000,4569,- -,- -,- -,- -,-1568141,-327034,-171460,944289,- -,- -,46386,161019,67000,41000,- -,- -,- -,-2644000,-775000
89,Cash Used for Investing Activites,300000,280000,4569,- -,- -,-2519904,-8448971,-4695462,-2324798,-1485984,-1039738,-3892831,-7649346,-8134941,-10630261,-13483000,-10975000,-8564000,-12182000,-8675000,-10955000,-12207000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-12743590,-16238040,-27474379,-56144178,-61088486,-113628008,-131172888,-149791000,-115839000,-56296000,-70513000,-58665000,-58658000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,363000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1330000,-750000,99709,- -,- -,611247,8730589,1757480,12910105,16800360,36194090,65322164,48798466,132239769,139028736,134442000,108087000,64854000,65232000,64782000,92577000,2413000
95,Cash Used/Provided by Financing Activities,-1330000,-750000,99709,- -,- -,611247,8730589,1757480,166515,562320,8719711,9177986,-12290020,18611761,7855848,-15349000,-7752000,8558000,-5281000,6117000,33919000,2776000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,5621,245032,806170,129466,-36612,167497,249086,128234,424477,-186406,-1730000,-2813000,2670000,-963000,2316000,7548000,2058000
97,Net Change In Cash,90000,-210000,138,- -,- -,1306633,-807149,-255354,803624,2110382,135908,5130928,543377,18406920,6361361,-11432000,22586000,17588000,-15864000,3743000,70968000,-24382000
98,Cash at the End of Period,90000,-10000,1069,- -,- -,1467245,660096,641739,1445363,3555745,3691653,8822581,9365958,27772878,34134239,22702000,45288000,62876000,47012000,50755000,121723000,97341000
99,Cash at the Beginning of Period,- -,200000,931,1069,- -,160612,1467245,897093,641739,1445363,3555745,3691653,8822581,9365958,27772878,34134000,22702000,45288000,62876000,47012000,50755000,121723000
100,Free Cash Flow,1120000,240000,-104140,-1069,- -,689765,-9822050,-1250863,2301677,1756134,-9695589,-4296144,12705163,-675704,-1469100,6270000,33110000,6360000,-9620000,-4690000,31458000,-27132000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943184/000109635004000108/0001096350-04-000108-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000109635005000040/0001096350-05-000040-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121465906000720/0001214659-06-000720-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121465907001567/0001214659-07-001567-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420408014633/0001144204-08-014633-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420409017948/0001144204-09-017948-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420410017643/0001144204-10-017643-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000114420411019193/0001144204-11-019193-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390012001372/0001213900-12-001372-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390013001867/0001213900-13-001867-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390014002387/0001213900-14-002387-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390015002301/0001213900-15-002301-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390016011907/0001213900-16-011907-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390017003018/0001213900-17-003018-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390018003573/0001213900-18-003573-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390019005217/0001213900-19-005217-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390020007882/0001213900-20-007882-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390021018685/0001213900-21-018685-index.htm,https://www.sec.gov/Archives/edgar/data/943184/000121390022019367/0001213900-22-019367-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
