,https://roic.ai/company/BRTHY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,69544000000,72704000000,80027000000,74613000000,71990000000,64739000000,72255000000,76483000000,87679000000,103406000000,122425000000,126871000000,112432000000,116967000000,128517000000,117858000000,120186000000
36,Other Current Assets,80227000000,95967000000,112064000000,97146000000,88313000000,94780000000,88996000000,89147000000,98551000000,112472000000,138442000000,133895000000,111060000000,119010000000,117291000000,111223000000,109172000000
37,Total Current Assets,232666000000,228689000000,262901000000,255708000000,207138000000,210077000000,229017000000,226047000000,248554000000,290252000000,371731000000,340174000000,345225000000,366633000000,384930000000,408780000000,428751000000
38,PP&E,72455000000,62816000000,72591000000,71981000000,70702000000,72548000000,68159000000,69945000000,88588000000,100422000000,112143000000,123071000000,120767000000,120320000000,115997000000,129931000000,128577000000
39,Goodwill,- -,- -,- -,- -,- -,9148000000,8058000000,6398000000,5253000000,4321000000,3836000000,107408000000,- -,- -,- -,- -,- -
40,Intangible Assets,10587000000,10874000000,15297000000,18278000000,15607000000,15019000000,12786000000,13517000000,14429000000,15596000000,16824000000,57209000000,- -,- -,- -,- -,- -
41,Intangible Assets,10587000000,10874000000,15297000000,18278000000,15607000000,24167000000,20844000000,19915000000,19682000000,19917000000,20660000000,164617000000,147012000000,153913000000,146203000000,134409000000,118196000000
42,Investments,11698000000,25870000000,29107000000,25186000000,22254000000,28095000000,27549000000,28191000000,28608000000,34610000000,36998000000,13723000000,21445000000,30907000000,26367000000,18188000000,29423000000
43,Tax Assets,7555000000,1761000000,1965000000,2234000000,2190000000,2906000000,2867000000,1901000000,1880000000,3031000000,4639000000,3565000000,16691000000,13489000000,14827000000,14533000000,14842000000
44,Other Non-Current Assets,8935000000,18207000000,17248000000,18872000000,19776000000,28197000000,24209000000,24903000000,34179000000,21738000000,21055000000,22658000000,22964000000,23012000000,20275000000,25628000000,24103000000
45,Total Non-Current Assets,111230000000,119528000000,136208000000,136551000000,130529000000,155913000000,143628000000,144855000000,172937000000,179718000000,195495000000,327634000000,328879000000,341641000000,323669000000,322689000000,315141000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,343896000000,348217000000,399109000000,392259000000,337667000000,365990000000,372645000000,370902000000,421491000000,469970000000,567226000000,667808000000,674104000000,708274000000,708599000000,731469000000,743892000000
48,Accounts Payable,40964000000,40211000000,39719000000,35541000000,24067000000,33713000000,33615000000,35978000000,32107000000,42771000000,44712000000,38046000000,66268000000,68189000000,62216000000,51041000000,54589000000
49,Short-Term Debt,33635000000,15251000000,18274000000,13054000000,9901000000,11364000000,9136000000,19466000000,6524000000,1466000000,10776000000,19539000000,20509000000,21894000000,19560000000,50361000000,19167000000
50,Tax Payable,4648000000,3361000000,10751000000,5194000000,2707000000,4378000000,7346000000,2592000000,2998000000,2640000000,14923000000,3123000000,6461000000,6099000000,8071000000,3455000000,6779000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,68631000000,64415000000,103574000000,81336000000,66101000000,67597000000,70170000000,62034000000,68423000000,72560000000,97901000000,80932000000,65580000000,66956000000,68068000000,68516000000,77733000000
53,Total Current Liabilities,143230000000,119877000000,161567000000,129931000000,100069000000,112674000000,112921000000,117478000000,107054000000,116797000000,153389000000,138517000000,152357000000,157039000000,149844000000,169918000000,151489000000
54,Long-Term Debt,15138000000,22070000000,982000000,20544000000,20500000000,15578000000,15250000000,500000000,12700000000,12900000000,4705000000,138900000000,117082000000,94552000000,77232000000,56650000000,38290000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,890000000,1189000000,1506000000
56,Deferred Tax Liabilities,2634000000,6368000000,7419000000,7117000000,4327000000,5901000000,5907000000,4935000000,4288000000,8956000000,12980000000,18160000000,7843000000,8257000000,6456000000,5564000000,6394000000
57,Other Non-Current Liabilities,32973000000,15537000000,15478000000,15444000000,13400000000,18306000000,18099000000,16568000000,18684000000,23012000000,28875000000,32513000000,35117000000,35936000000,32590000000,52981000000,46510000000
58,Total Non-Current Liabilities,50745000000,43975000000,23879000000,43105000000,38227000000,39785000000,39256000000,22003000000,35672000000,44868000000,46560000000,189573000000,160042000000,138745000000,117168000000,116384000000,92700000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,193975000000,163852000000,185446000000,173036000000,138296000000,152459000000,152177000000,139481000000,142726000000,161665000000,199949000000,328090000000,312399000000,295784000000,267012000000,286302000000,244189000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,19209000000,19209000000,19209000000,19209000000,19209000000,19209000000,19209000000,- -,19209000000,19209000000,19209000000,19209000000,19209000000,19209000000,19209000000,19209000000,19209000000
64,Retained Earnings,121979000000,142722000000,167812000000,188294000000,197082000000,211646000000,230351000000,243725000000,255639000000,268156000000,314892000000,337330000000,407843000000,427842000000,462244000000,491803000000,509662000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,8733000000,19182000000,23431000000,8795000000,-19305000000,-18346000000,-29099000000,- -,-11553000000,4330000000,16675000000,-33657000000,-81991000000,-51537000000,-56694000000,-82492000000,-45821000000
67,Total Stockholders Equity,149921000000,181113000000,210452000000,216298000000,196986000000,212509000000,220461000000,231421000000,263295000000,291695000000,350776000000,322882000000,345061000000,395514000000,424759000000,428520000000,483050000000
68,Total Liabilities And Stockholders Equity,343896000000,344965000000,395898000000,389334000000,335282000000,364968000000,372638000000,370902000000,406021000000,453360000000,550725000000,650972000000,657460000000,691298000000,691771000000,714822000000,727239000000
69,Minority Interest,- -,3252000000,3211000000,2925000000,2385000000,1022000000,7000000,- -,15470000000,16610000000,16501000000,16836000000,16644000000,16976000000,16828000000,16647000000,16653000000
70,Total Liabilities & Equity,343896000000,348217000000,399109000000,392259000000,337667000000,365990000000,372645000000,370902000000,421491000000,469970000000,567226000000,667808000000,674104000000,708274000000,708599000000,731469000000,743892000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,20401000000,24644000000,28874000000,27110000000,15262000000,19629000000,26238000000,19525000000,17826000000,19220000000,53969000000,31017000000,47242000000,50020000000,53902000000,49566000000,24520000000
74,Depreciation and Amortization,14212000000,17339000000,18827000000,22746000000,23894000000,21736000000,26595000000,24756000000,25894000000,29150000000,29523000000,41122000000,33811000000,34141000000,33674000000,40197000000,38252000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,435000000,-5732000000,-7248000000,1286000000,-15197000000,4430000000,-9961000000,-5317000000,-8519000000,-678000000,-4644000000,-14518000000,13193000000,-11003000000,-14913000000,1572000000,9975000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-6358000000,3049000000,-2014000000,-4294000000,-8717000000,9092000000,-11799000000,-5423000000,2333000000,-5993000000,-6451000000,-8095000000,9609000000,-4129000000,-12179000000,6053000000,3953000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,6854000000,5850000000,7320000000,7073000000,-3440000000,4553000000,6616000000,363000000,-2467000000,7327000000,-20827000000,-8380000000,4909000000,8659000000,617000000,-3587000000,36518000000
83,Cash Provided by Operating Activities,41902000000,42101000000,47773000000,58215000000,20519000000,50348000000,49488000000,39327000000,32734000000,55019000000,58021000000,49241000000,99155000000,81817000000,73280000000,87748000000,109265000000
84,CAPEX,-18877000000,-18709000000,-28962000000,-28210000000,-27957000000,-18287000000,-20902000000,-27155000000,-30664000000,-34269000000,-30963000000,-38982000000,-28951000000,-31871000000,-25467000000,-26084000000,-27514000000
85,Acquisitions Net,- -,- -,-5030000000,- -,-1631000000,-581000000,652000000,-3634000000,-13627000000,-3246000000,- -,-186462000000,2152000000,-85000000,- -,-2030000000,- -
86,Purchases of Investments,-77000000,-2565000000,-4575000000,-3894000000,-3433000000,-2034000000,-1979000000,-67000000,-2170000000,-11152000000,-5398000000,-637000000,-8551000000,-11224000000,-5804000000,-8371000000,-7537000000
87,Sales/Maturities of Investments,1131000000,240000000,945000000,708000000,1381000000,300000000,355000000,556000000,3960000000,7863000000,4385000000,7067000000,12371000000,6337000000,9194000000,8525000000,9247000000
88,Other Investing Activites,593000000,-2531000000,-3378000000,-3827000000,-1699000000,-2942000000,-2331000000,-6484000000,-4993000000,-4930000000,9471000000,-3034000000,-8746000000,-9391000000,-8341000000,-9207000000,-6135000000
89,Cash Used for Investing Activites,-14829000000,-19168000000,-35864000000,-29317000000,-26217000000,-18061000000,-20043000000,-30758000000,-41771000000,-39099000000,-15326000000,-215091000000,-23271000000,-37090000000,-22624000000,-27955000000,-25080000000
90,Debt Repayment,-6276000000,-22991000000,-2118000000,-21088000000,-438000000,-48000000,-5106000000,-500000000,-15000000000,- -,-1800000000,-10236000000,-18673000000,-20299000000,-21569000000,-20289000000,-50352000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-74000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2765000000,-3041000000,-3869000000,-6630000000,-6801000000,-5375000000,-5912000000,-6450000000,-6450000000,-6378000000,-7089000000,-8579000000,-9359000000,-12480000000,-15603000000,-15607000000,-14830000000
94,Other Financing Activites,-3748000000,-22682000000,-706000000,20746000000,-12283000000,-26749000000,68000000,-7167000000,15037000000,-7055000000,-9562000000,153132000000,-2357000000,-1772000000,-1868000000,20980000000,-8856000000
95,Cash Used/Provided by Financing Activities,-12863000000,-48714000000,-6693000000,-6972000000,-19522000000,-32172000000,-10950000000,-14117000000,-6413000000,-13433000000,-18451000000,134317000000,-30389000000,-34551000000,-39040000000,-14916000000,-74038000000
96,Effect of Forex Changes on Cash,-194000000,2894000000,4197000000,-9082000000,-11871000000,1768000000,-2560000000,-1614000000,10569000000,6877000000,8553000000,-6708000000,-849000000,-823000000,-1847000000,-7606000000,12434000000
97,Net Change In Cash,14016000000,-22888000000,10386000000,12842000000,-37091000000,2904000000,16069000000,-6369000000,-3672000000,13875000000,35798000000,-38042000000,44645000000,9352000000,9768000000,37270000000,22580000000
98,Cash at the End of Period,82878000000,59990000000,70376000000,83218000000,46127000000,49031000000,65100000000,58731000000,55059000000,68934000000,104732000000,66690000000,112032000000,121384000000,131152000000,168422000000,191002000000
99,Cash at the Beginning of Period,68862000000,82878000000,59990000000,70376000000,83218000000,46127000000,49031000000,65100000000,58731000000,55059000000,68934000000,104732000000,67387000000,112032000000,121384000000,131152000000,168422000000
100,Free Cash Flow,23025000000,23392000000,18811000000,30005000000,-7438000000,32061000000,28586000000,12172000000,2070000000,20750000000,27058000000,10259000000,70204000000,49946000000,47813000000,61664000000,81751000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,1.07,1.2019,1.2071,1.061,0.9686,0.8323,0.8882,0.8976,0.9408,0.902,0.9297,0.9031
