,https://roic.ai/company/NGS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,3483987,4305053,5252531,6382777,8481000,11472000,12114000,12143000,12118000,12210000,12250000,12320000,12550000,12721000,12793000,12935000,13110000,13233000,13114000,13261000,13100000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084991/000095013406006362/d34615e10vk.htm,https://www.sec.gov/Archives/edgar/data/1084991/000095013407005783/d44558e10vk.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499108000004/form_10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/1084991/000108499110000008/0001084991-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499111000009/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499112000011/0001084991-12-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/1084991/000108499114000007/ngs-2013x10k.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499115000008/ngs-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499116000045/0001084991-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499117000015/0001084991-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499118000011/0001084991-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499119000013/0001084991-19-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/1084991/000108499121000026/0001084991-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499122000009/0001084991-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,506669,2713638,176202,685187,3271000,4391000,245000,1149000,23017000,19137000,16390000,28086000,24443000,6181000,35532000,64094000,69208000,52628000,11592000,28925000,22942000
32,Short-Term Investments,- -,- -,- -,- -,- -,25052000,18661000,2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,506669,2713638,176202,685187,3271000,29443000,18906000,3449000,23017000,19137000,16390000,28086000,24443000,6181000,35532000,64094000,69208000,52628000,11592000,28925000,22942000
34,Net Receivables,1070625,806935,816596,1998965,6192000,8463000,11322000,11321000,7314000,5279000,5679000,6691000,6750000,10408000,9107000,7378000,8534000,7219000,9106000,11884000,10389000
35,Inventory,1615407,1475794,2554239,4469606,14723000,16943000,20769000,31931000,24037000,21489000,26965000,26509000,26832000,32624000,27722000,25833000,26224000,30974000,21080000,19926000,19329000
36,Other Current Assets,55000,87643,107030,141140,456000,321000,4225000,331000,1835000,2433000,469000,750000,2620000,6714000,843000,2454000,4260000,5578000,637000,11983000,12443000
37,Total Current Assets,3247701,5084010,3654067,7294898,24642000,55170000,55222000,47032000,56203000,48338000,49503000,62036000,60645000,55927000,73204000,99759000,108226000,96399000,42415000,72718000,65103000
38,PP&E,12442368,15694946,21804628,3134167,47625000,66580000,84605000,120940000,117889000,127904000,150312000,158490000,183849000,215654000,200460000,181813000,174751000,192473000,240215000,229817000,21113000
39,Goodwill,2589655,- -,- -,- -,10039000,10039000,10039000,10039000,10039000,10039000,10039000,10039000,10039000,10039000,10039000,10039000,10039000,10039000,- -,- -,- -
40,Intangible Assets,168910,2731080,2703596,2676112,3978000,3650000,3324000,3020000,2721000,2461000,2282000,2157000,2027000,1902000,1777000,1651000,1526000,1401000,1276000,1151000,1025000
41,Intangible Assets,2758565,2731080,2703596,2676112,14017000,13689000,13363000,13059000,12760000,12500000,12321000,12196000,12066000,11941000,11816000,11690000,11565000,11440000,1276000,1151000,1025000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,361179,427051,107900,30150299,85000,113000,43000,19000,19000,27000,28000,29000,29000,41000,73000,262000,3768000,5089000,2671000,3115000,211265000
45,Total Non-Current Assets,15562112,18853077,24616124,35960578,61727000,80382000,98011000,134018000,130668000,140431000,162661000,170715000,195944000,227636000,212349000,193765000,190084000,209002000,244162000,234083000,233403000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18809813,23937087,28270191,43255476,86369000,135552000,153233000,181050000,186871000,188769000,212164000,232751000,256589000,283563000,285553000,293524000,298310000,305401000,286577000,306801000,298506000
48,Accounts Payable,949308,600762,1070652,2354612,5124000,4914000,4072000,8410000,2239000,3364000,3730000,3420000,3904000,4990000,1226000,971000,4162000,2122000,1975000,2373000,4795000
49,Short-Term Debt,- -,1750223,2363927,4277904,5980000,4442000,4978000,3378000,10378000,2000000,- -,- -,577000,- -,- -,417000,- -,- -,606000,417000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,110000,- -,- -,- -,522000,- -,- -,- -,- -,- -,- -,- -,- -,11538000
51,Deferred Revenue,183374,317561,207215,22128,103000,- -,81000,38000,90000,389000,4863000,2027000,873000,1635000,271000,2225000,185000,81000,640000,1103000,1312000
52,Other Current Liabilities,916291,- -,300000,- -,- -,1281000,7515000,4097000,3193000,2151000,3719000,6339000,6837000,7475000,3071000,2887000,3106000,8743000,2287000,6968000,14171000
53,Total Current Liabilities,2048973,2668546,3941794,6654644,11207000,10637000,16646000,15923000,15900000,7904000,12312000,11786000,12191000,14100000,4568000,6500000,7453000,10946000,5508000,10861000,20278000
54,Long-Term Debt,10322046,1344387,6650486,10739508,22225000,13950000,9572000,13194000,2817000,- -,1017000,897000,- -,417000,417000,- -,417000,417000,415000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39288000
56,Deferred Tax Liabilities,613437,1171000,1843406,2958000,7247000,9764000,12635000,21042000,25498000,29746000,36769000,43741000,51464000,58304000,56458000,53745000,32163000,32158000,31243000,41890000,39288000
57,Other Non-Current Liabilities,44807,5752181,1409343,- -,- -,- -,- -,441000,558000,528000,524000,502000,197000,155000,129000,325000,958000,1699000,1718000,2506000,-36258000
58,Total Non-Current Liabilities,10980290,8267568,9903235,13697508,29472000,23714000,22207000,34677000,28873000,30274000,38310000,45140000,51661000,58876000,57004000,54070000,33538000,34274000,33376000,44396000,42318000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,5752181,1409343,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,604000,483000,- -
61,Total Liabilities,13029263,10936114,13845029,20352152,40679000,34351000,38853000,50600000,44773000,38178000,50622000,56926000,63852000,72976000,61572000,60570000,40991000,45220000,38884000,55257000,62596000
62,Preferred Stock,- -,3817,3437,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,33576,48576,50311,61042,90000,120000,121000,121000,121000,122000,122000,122000,123000,124000,126000,128000,129000,130000,132000,133000,134000
64,Retained Earnings,- -,1979847,3166039,6486790,10933000,18521000,30799000,46392000,57407000,64435000,74195000,86880000,101270000,115398000,125545000,132014000,151865000,152291000,137478000,139286000,130103000
65,Other Comprehensive Income/Loss,-1073231,-2209512,-3885584,-1446141,-10056000,-14999000,-21602000,- -,-7210000,-7899000,-7785000,- -,-96225000,-117009000,-122118000,-137363000,-157125000,-176984000,- -,- -,- -
66,Other Total Stockholders Equity,6820205,13178245,15090959,17801633,44723000,97559000,105062000,83937000,91780000,93933000,95010000,88823000,187569000,212074000,220428000,238175000,262450000,284744000,110083000,112125000,105673000
67,Total Stockholders Equity,5780550,13000973,14425162,22903324,45690000,101201000,114380000,130450000,142098000,150591000,161542000,175825000,192737000,210587000,223981000,232954000,257319000,260181000,247693000,251544000,235910000
68,Total Liabilities And Stockholders Equity,18809813,23937087,28270191,43255476,86369000,135552000,153233000,181050000,186871000,188769000,212164000,232751000,256589000,283563000,285553000,293524000,298310000,305401000,286577000,306801000,298506000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18809813,23937087,28270191,43255476,86369000,135552000,153233000,181050000,186871000,188769000,212164000,232751000,256589000,283563000,285553000,293524000,298310000,305401000,286577000,306801000,298506000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084991/000095013406006362/d34615e10vk.htm,https://www.sec.gov/Archives/edgar/data/1084991/000095013407005783/d44558e10vk.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499108000004/form_10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/1084991/000108499110000008/0001084991-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499111000009/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499112000011/0001084991-12-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/1084991/000108499114000007/ngs-2013x10k.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499115000008/ngs-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499116000045/0001084991-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499117000015/0001084991-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499118000011/0001084991-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499119000013/0001084991-19-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/1084991/000108499121000026/0001084991-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499122000009/0001084991-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,381993,786085,1307133,3374028,4446000,7588000,12278000,15593000,11015000,7028000,9760000,12685000,14390000,14128000,10147000,6469000,19851000,426000,-13864000,1808000,-9183000
74,Depreciation and Amortization,968122,1236373,1790673,2509220,4273000,6020000,7470000,9925000,11686000,11927000,13994000,15707000,18144000,21507000,22758000,21796000,21302000,22049000,23268000,25198000,25397000
75,Deferred Income Tax,304800,557563,671799,1119919,2408000,2666000,2930000,8407000,4456000,4248000,5869000,6972000,7723000,6840000,-1846000,-2713000,-21582000,-5000,-662000,10647000,-2602000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,423000,584000,1058000,1068000,1418000,1682000,3244000,3545000,2299000,4038000,2385000,2582000,2195000,1738000
77,Change in Working Capital,-496679,1216736,-2703191,927981,12794746,31098000,-5957000,-7467000,9194000,131000,-3243000,13059000,-1796000,-6627000,26809000,24623000,7514000,-15320000,-48546000,24950000,-17032000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,1000,4007000,2035000,-400000,-1012000,-59000,-3658000,824000,1668000,-1246000,1500000,-2550000,-3107000,1430000
79,Inventory,-593403,139614,-1078445,-1915367,-5699000,-2220000,-3826000,-11162000,9008000,2773000,-5476000,456000,-323000,-6112000,5382000,2117000,-5350000,-5757000,8256000,1033000,208000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1863000,1154000,1126000,-7220000,-439000,3410000,3597000,- -,4880000,9756000
81,Other Working Capital,1198728,2415464,-287727,640254,13435000,44533000,38576000,31109000,40303000,40434000,37191000,50250000,48454000,41827000,68636000,93259000,100773000,85453000,36907000,61857000,44825000
82,Other Non-Cash Items,-318481,-1590804,1958006,-3233954,-20132746,-35528000,1548000,1369000,-4757000,4406000,6175000,-14423000,-899000,-4528000,-19802000,-19703000,-13671000,13879000,66634000,-32149000,30209000
83,Cash Provided by Operating Activities,839755,2205953,3024420,4697194,3789000,11844000,18269000,28250000,32178000,28798000,33623000,35418000,39244000,34564000,41611000,32771000,17452000,23414000,29412000,32649000,28527000
84,CAPEX,-2220110,-4414952,-7881720,-11595811,-17708000,-27684000,-25307000,-46271000,-9542000,-21908000,-36525000,-23766000,-43419000,-53342000,-12504000,-4307000,-13489000,-39790000,-69938000,-15257000,-25710000
85,Acquisitions Net,- -,- -,- -,- -,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-38252000,-2609000,-2620000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,13200000,9000000,18981000,2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-866549,530374,437786,-1949877,2680000,4305000,95000,47000,143000,47000,1019000,5000,95000,240000,189000,-93000,698000,-220000,-237000,98000,45000
89,Cash Used for Investing Activites,-3086659,-3884578,-7443934,-13545688,-23028000,-48431000,-18821000,-29863000,-7099000,-21861000,-35506000,-23761000,-43324000,-53102000,-12315000,-4400000,-12791000,-40010000,-70175000,-15159000,-25665000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-5478000,-3878000,-13224000,-983000,-120000,-320000,-160000,- -,- -,- -,- -,- -,-11346000,-460000
91,Common Stock Issued,903233,6541937,237997,5157410,13085000,47520000,248000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-490000,- -,- -
93,Dividends Paid,-10908,-106624,-120941,-53277,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1718342,-2549719,1765022,4253346,8740000,-9813000,-3842000,7995000,667000,2407000,119000,159000,757000,436000,55000,191000,453000,16000,217000,11189000,-8385000
95,Cash Used/Provided by Financing Activities,2610667,3885594,1882078,9357479,21825000,37707000,-3594000,2517000,-3211000,-10817000,-864000,39000,437000,276000,55000,191000,453000,16000,-273000,-157000,-8845000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,363763,2206969,-2537436,508985,2586000,1120000,-4146000,904000,21868000,-3880000,-2747000,11696000,-3643000,-18262000,29351000,28562000,5114000,-16580000,-41036000,17333000,-5983000
98,Cash at the End of Period,506669,2713638,176202,685187,3271000,4391000,245000,1149000,23017000,19137000,16390000,28086000,24443000,6181000,35532000,64094000,69208000,52628000,11592000,28925000,22942000
99,Cash at the Beginning of Period,142906,506669,2713638,176202,685000,3271000,4391000,245000,1149000,23017000,19137000,16390000,28086000,24443000,6181000,35532000,64094000,69208000,52628000,11592000,28925000
100,Free Cash Flow,-1380355,-2208999,-4857300,-6898617,-13919000,-15840000,-7038000,-18021000,22636000,6890000,-2902000,11652000,-4175000,-18778000,29107000,28464000,3963000,-16376000,-40526000,17392000,2817000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084991/000095013406006362/d34615e10vk.htm,https://www.sec.gov/Archives/edgar/data/1084991/000095013407005783/d44558e10vk.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499108000004/form_10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/1084991/000108499110000008/0001084991-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499111000009/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499112000011/0001084991-12-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/1084991/000108499114000007/ngs-2013x10k.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499115000008/ngs-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499116000045/0001084991-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499117000015/0001084991-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499118000011/0001084991-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1084991/000108499119000013/0001084991-19-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/1084991/000108499121000026/0001084991-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1084991/000108499122000009/0001084991-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
