,https://roic.ai/company/ESMC,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0498,0.0811,0.1365,0.1980,0.0995,-0.0656,0.1536,-0.4940,-0.3747,-0.1229,-0.2059,-0.1087,-0.1003,-0.0283,-0.0801,-0.0995,-0.0647,0.0512,-0.0260,-0.0692,-0.0050
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112412,173300,231664,31309,51054,134990,- -,- -,-239879,- -,80000,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4000000,-5400000,-6100000,-4300000,-4100000,-5700000,200000,1200000,-862652,592200,978856,1712377,2741730,2448111,-1985940,5914603,-15059643,-12965036,-413864,-5757648,-5944797,2624469,-381883,-541245,-1151513,-726895,583675,-250016,-650280,-52023
24,Net Income ratio,-2.1053,-2.8421,-61.0000,-21.5000,-1.7826,-1.0556,0.0339,0.1579,-0.1293,0.0498,0.0811,0.1281,0.1862,0.0909,-0.0667,0.1523,-0.4985,-0.3747,-0.0131,-0.1923,-0.2432,0.2283,-0.0309,-0.0412,-0.0995,-0.0647,0.0512,-0.0260,-0.0692,-0.0050
25,EPS,-9.00,-10.92,-5.64,-2.97,-2.16,-2.16,-0.04,0.10,-0.27,0.18,0.29,0.51,0.70,0.42,-0.32,0.93,-2.36,-1.82,-0.06,-0.77,-0.79,0.35,-0.05,-0.07,-0.15,-0.10,0.07,-0.04,-0.09,-0.01
26,EPS Diluted,-9.00,-10.92,-5.64,-2.97,-2.16,-2.16,-0.04,0.10,-0.27,0.18,0.29,0.48,0.64,0.39,-0.32,0.92,-2.36,-1.82,-0.06,-0.77,-0.79,0.35,-0.05,-0.07,-0.15,-0.10,0.06,-0.04,-0.09,-0.01
27,Weighted Average Shares Outstanding,444444,494505,1081560,1447811,1892728,2629623,2673093,3114823,3242184,3292184,3345851,3365359,3896951,5831564,6152455,6374929,6389008,7137541,7526430,7526430,7526430,7526430,7526430,7526430,7541013,7551430,7551057,7415329,7415329,7415329
28,Weighted Average Shares Outstanding Diluted,444444,494505,1081560,1452703,1892728,2692308,2673093,3150721,3242184,3307986,3360492,3573192,4304375,6231024,6152455,6434275,6389008,7137541,7526430,7526430,7526430,7526430,7526430,7526430,7541013,7551430,9141468,7415329,7415329,7415329
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/862668/000089322008002623/0000893220-08-002623-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000095012309050042/0000950123-09-050042-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000095012310092815/0000950123-10-092815-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000119312511258876/0001193125-11-258876-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000144530512003000/0001445305-12-003000-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266813000011/0000862668-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266814000007/0000862668-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266815000009/0000862668-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266816000043/0000862668-16-000043-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266817000014/0000862668-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266818000014/0000862668-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266819000010/0000862668-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266820000008/0000862668-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266821000013/0000862668-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298390,12601971,5115772,3379710,- -,3708456,1810045,3342422,1915214,890623,2654701,2009554,1516761,538114,544118,874002,409743,825958,1650970
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1207317,50220,8879462,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298390,12601971,6323089,3429930,8879462,3708456,1810045,3342422,1915214,890623,2654701,2009554,1516761,538114,544118,874002,409743,825958,1650970
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2364370,2642689,4852310,3996243,4653073,3896297,4853856,4481249,4764722,2898367,1725841,1690156,1785928,1614549,1483770,1387133,1496105,1312935,1081702
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1785480,1781592,5856285,7122916,7761370,8670160,9830922,6978714,6260557,3782618,1853686,2910727,2219615,2283148,1917938,1823414,1878860,1785030,1416727
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310420,539508,633214,362160,469107,297807,1065823,1945524,321620,309135,288598,286548,245520,281330,209546,499620,528128,409474,443277
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4758660,17565760,17664898,14911249,21763012,16572720,17560646,16747909,13262113,7880743,6522826,6896985,5767824,4717141,4155372,4584169,4312836,4333397,4592676
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516686,409187,911700,969956,873191,1078839,892966,672490,650646,335607,12594,24456,48013,81206,54892,76268,67896,1204341,925001
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21072260,21072260,11590786,2065236,1124018,218208,218208,125027,125027,125027,125027,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11404650,11380779,21186170,1353881,1163194,2543499,4398817,3458379,1820996,1247200,611718,609806,608206,607006,773906,766356,746706,122050,102400
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11404650,11380779,21186170,22426141,22235454,14134285,6464053,4582397,2039204,1465408,736745,734833,733233,732033,773906,766356,746706,122050,102400
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210235,101389,286568,337421,145556,110176,137737,4140,1302875,68707,- -,- -,- -,- -,- -,- -,- -,62789,62789
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12131571,11891355,22384438,23733518,23254201,15323300,7494756,5259027,3992725,1869722,749339,759289,781246,813239,828798,842624,814602,1389180,1090190
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16890231,29457115,40049336,38644767,45017213,31896020,25055402,22006936,17254838,9750465,7272165,7656274,6549070,5530380,4984170,5426793,5127438,5722577,5682866
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454711,499242,1135680,1558501,1626274,2628004,2553481,1537860,2116841,1350997,672926,1486081,1044199,1091923,1047463,528844,666510,760621,1102125
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2485344,1871687,230344,232837,150200,501752,1374711,1254492,278278,4149516,- -,- -,- -,275000,795000,168153,204976,704907,986889
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104539,100582,100176,100834
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340239,334791,388435,542674,442809,530373,428194
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,930267,1229498,2685670,2503771,2748133,2895920,2919540,3205514,3177467,2562835,1846607,1864671,1377256,1082602,770345,1007350,945914,869106,879555
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3870322,3600427,4051694,4295109,4524607,6025676,6847732,5997866,5572586,8063348,2519533,3350752,2761694,2784316,3001243,2247021,2260209,2865007,3396763
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4080461,2396019,391793,162551,- -,250871,4741207,2916246,4506018,- -,- -,- -,- -,- -,- -,18037,14896,1336739,785307
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8872,40860
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1087000,1087000,1087000,1087000,1027821,1027820,986102,1042252,923706,841699,797431,835589,799347,749480,690094,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4080461,2396019,1478793,1249551,1087000,1337871,5769028,3944066,5492120,1042252,923706,841699,797431,835589,799347,767517,704990,1345611,826167
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1175167,909381
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7950783,5996446,5530487,5544660,5611607,7363547,12616760,9941932,11064706,9105600,3443239,4192451,3559125,3619905,3800590,3014538,2965199,4210618,4222930
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,645000,645000,645000,645000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3365,5018,5964,6345,6387,6414,7526,7526,7526,7526,7526,7526,7526,7551,7551,7415,7415,7415,7415
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37326328,-34584598,-32136487,-34122427,-28207824,-43267466,-56232503,-56646366,-62404014,-68348811,-65724342,-66106225,-66647470,-67798983,-68525878,-67942203,-68192219,-68842499,-68894522
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-759793,1601346,2751182,1516819,1561993,1494283,-528586,-613521,-841799,-515622,- -,-935465,-718524,-741975,-768289,-797459,-827948,-832040,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47022204,56438903,63898190,65699370,66045050,66299242,69192205,69317365,69428419,69501772,69545742,70497987,70348413,70443882,70470196,70499502,70529991,70534083,69702043
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8939448,23460669,34518849,33100107,39405606,24532473,12438642,12065004,6190132,644865,3828926,3463823,2989945,1910475,1183580,2412255,2162239,1511959,1459936
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16890231,29457115,40049336,38644767,45017213,31896020,25055402,22006936,17254838,9750465,7272165,7656274,6549070,5530380,4984170,5426793,5127438,5722577,5682866
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16890231,29457115,40049336,38644767,45017213,31896020,25055402,22006936,17254838,9750465,7272165,7656274,6549070,5530380,4984170,5426793,5127438,5722577,5682866
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/862668/000089322008002623/0000893220-08-002623-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000095012309050042/0000950123-09-050042-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000095012310092815/0000950123-10-092815-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000119312511258876/0001193125-11-258876-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000144530512003000/0001445305-12-003000-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266813000011/0000862668-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266814000007/0000862668-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266815000009/0000862668-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266816000043/0000862668-16-000043-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266817000014/0000862668-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266818000014/0000862668-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266819000010/0000862668-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266820000008/0000862668-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266821000013/0000862668-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4000000,-5400000,-6100000,-4300000,-4100000,-5700000,200000,1200000,-862652,592200,978856,1712377,2741730,2448111,-1985940,5914603,-15059643,-12965036,-413864,-5757648,-5944797,2624469,-381883,-541245,-1151513,-726895,583675,-250016,-650280,-52023
74,Depreciation and Amortization,300000,300000,400000,500000,800000,900000,300000,400000,666770,1038741,215165,307815,241453,387651,440952,590846,582511,784347,1147050,1035735,475857,14281,12591,14302,24651,45914,49218,50139,50084,44812
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263729,125160,111054,73353,43970,16780,67367,72043,- -,- -,- -,- -,- -
77,Change in Working Capital,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888338,13076995,-352129,-2997064,6622265,-6691361,165870,37129,-3060516,-7872132,4185898,-457060,-540103,-1073305,-778696,1183019,-284521,-584237,-272477
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142620,12246,-283473,835242,-382018,35684,-95772,171379,130779,149827,-103522,171162,221233
79,Inventory,-600000,300000,400000,700000,200000,100000,100000,-1100000,162862,74857,116479,-213413,3888,-1882149,-1189207,-638454,-694250,1282669,2394907,718157,1239881,-419426,-1057041,691112,-63533,189210,-19476,-55446,93830,368303
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82397,-254862,-305538,-221527,137666,94111,341504
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888338,13965333,13613204,10616140,17238405,10547044,10712914,10750043,7689527,-182605,4003293,3546233,3006130,1932825,1154129,2337148,2052627,1468390,1195913
82,Other Non-Cash Items,200000,-100000,300000,300000,- -,3500000,-700000,-700000,-1244864,-420613,835169,-737614,-12896892,-5833593,1936722,-7345069,18232002,10062755,-1363233,6504332,12567149,-8802662,186966,543145,931121,953681,-1709176,11709,1015938,1118393
83,Cash Provided by Operating Activities,-3400000,-5200000,-5400000,-3500000,-3300000,-1300000,-200000,900000,-1440746,1210328,2029190,2170916,3163286,-3349960,-2605330,5782645,-2936491,-1688335,-467758,-1167043,-700570,-1934044,-622606,-456534,-1197003,-505996,106736,-472689,-168495,838705
84,CAPEX,-600000,- -,-300000,-400000,-100000,- -,-100000,-1600000,-104064,-187477,-96054,-76040,-68274,-104396,-327340,-259705,-613158,-223186,-190351,-357289,-79155,-5780,-22541,-36259,-56644,-8000,-41852,-22117,-59751,-9390
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-13250540,-70662,- -,- -,-231014,-863903,-47060,- -,-1393706,-323975,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-900000,-200000,-500000,-300000,-7043061,- -,- -,- -,- -,- -,- -,- -,- -,-42000,-39400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,4400000,3200000,800000,400000,600000,7043061,- -,- -,- -,- -,3411761,1157336,75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-7600000,100000,100000,-100000,-200000,1000000,2719443,-592370,179247,- -,- -,-256000,- -,-31000,- -,100000,4337680,-45000,- -,6491382,- -,- -,- -,-8000,487500,- -,- -,- -
89,Cash Used for Investing Activites,-600000,- -,-7900000,4100000,2300000,500000,-400000,-300000,-10635161,-850509,83193,-76040,-299288,2187462,782936,-215705,-2006864,-489161,4107929,-402289,-79155,6485602,-22541,-36259,-56644,-8000,458148,-22117,-59751,-9390
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-501745,-1176980,-122732,-155795,-2487480,- -,- -,- -,- -,-85000,-2893,-3393,-3664
91,Common Stock Issued,1500000,7000000,15500000,- -,100000,- -,1100000,- -,- -,- -,107245,18620,11779491,29795,374061,183146,7462,1029000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,600000,-1500000,300000,- -,- -,- -,- -,1900000,8398773,-456095,-2079632,-2035932,-2339908,-6347583,-226749,-245188,-150200,- -,- -,- -,300000,-300000,- -,- -,275000,520000,-150000,36575,650000,- -
95,Cash Used/Provided by Financing Activities,2100000,5500000,15800000,- -,100000,- -,1100000,1000000,8398773,-456095,-1972387,-2017312,9439583,-6317788,147312,-62042,-142738,527255,-1176980,-122732,144205,-2787480,- -,- -,275000,520000,-235000,33682,646607,-3664
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5913,-60980,-5146,-84913,-248170,-930815,264857,11629,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2100000,5500000,15800000,- -,100000,- -,1100000,1600000,-3677134,-96276,139996,77564,12303581,-7486199,-1736061,5499752,-5171006,-1898411,1532377,-1427208,-623891,1764078,-645147,-492793,-978647,6004,329884,-461124,418361,825651
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,3900000,177106,80830,220826,298390,12601971,5115772,3379711,8879462,3708456,1810045,3342422,1915214,890623,2654701,2009554,1516761,538114,544118,874002,662878,1081239,1906890
99,Cash at the Beginning of Period,2100000,100000,400000,2900000,3500000,2600000,1800000,2300000,3854240,177106,80830,220826,298390,12601971,5115772,3379710,8879462,3708456,1810045,3342422,1514514,890623,2654701,2009554,1516761,538114,544118,1124002,662878,1081239
100,Free Cash Flow,-4000000,-5200000,-5700000,-3900000,-3400000,-1300000,-300000,-700000,-1544810,1022851,1933136,2094876,3095012,-3454356,-2932670,5522940,-3549649,-1911521,-658109,-1524332,-779725,-1939824,-645147,-492793,-1253647,-513996,64884,-494806,-228246,829315
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/862668/000089322008002623/0000893220-08-002623-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000095012309050042/0000950123-09-050042-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000095012310092815/0000950123-10-092815-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000119312511258876/0001193125-11-258876-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000144530512003000/0001445305-12-003000-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266813000011/0000862668-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266814000007/0000862668-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266815000009/0000862668-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266816000043/0000862668-16-000043-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266817000014/0000862668-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266818000014/0000862668-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266819000010/0000862668-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266820000008/0000862668-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/862668/000086266821000013/0000862668-21-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
