,https://roic.ai/company/APCX,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,6046719,1094637,1692856,- -,- -,- -,- -,- -,408479,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6250962,1243328,3616285,- -,- -,- -,- -,54,553184,- -,- -,885,26286,1384,24159,57497,8026
34,Net Receivables,2242312,1883298,3063816,- -,- -,- -,- -,- -,15240,- -,- -,25604,26200,26202,29836,40635,40344
35,Inventory,- -,- -,1770595,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,217834,57241,422961,- -,- -,- -,- -,- -,111256,- -,- -,- -,- -,- -,30948,6696,574279
37,Total Current Assets,8711108,3183867,8873657,- -,- -,- -,- -,54,679680,- -,- -,26489,52486,27586,84943,104828,622649
38,PP&E,8078,5049,1361530,- -,- -,- -,- -,- -,1346,- -,- -,325,194,65,- -,249825,188643
39,Goodwill,- -,- -,9900198,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,4294719,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,2335000,- -,- -,- -
41,Intangible Assets,- -,- -,14194917,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,2335000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8925272,9562959,- -,- -,- -,- -,- -,- -,128566,- -,- -,- -,- -,5948,- -,25036,6745674
45,Total Non-Current Assets,8933350,9568008,15556447,- -,- -,- -,- -,- -,129912,- -,- -,325,1900194,2341013,- -,274861,6934317
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17644458,12751875,24430104,- -,- -,- -,- -,54,809592,- -,- -,26814,1952680,2368599,84943,379689,7556966
48,Accounts Payable,124793,84063,1382476,- -,- -,- -,- -,- -,- -,- -,- -,1070825,1198465,1717275,1707878,1635384,1254929
49,Short-Term Debt,3280476,14143,1529040,- -,- -,- -,- -,- -,- -,- -,- -,2550302,2855609,2858656,2897975,2911861,678633
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,78009,172408,2695270,- -,- -,- -,- -,122972,1640222,- -,- -,1921216,2138875,2410809,2764480,3660282,5348902
53,Total Current Liabilities,3483278,270614,5606786,- -,- -,- -,- -,122972,1640222,- -,- -,5542343,6192949,6986740,7370333,8207527,7282464
54,Long-Term Debt,15264109,15070005,21210167,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291892,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,649226,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,610624,1045088,13668161,- -,- -,- -,- -,- -,1610212,- -,- -,- -,- -,- -,160000,75000,230499
58,Total Non-Current Liabilities,15874733,16115093,35527554,- -,- -,- -,- -,- -,1610212,- -,- -,- -,- -,- -,160000,366892,230499
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,148902,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,276653,- -
61,Total Liabilities,19358011,16385707,41134340,- -,- -,- -,- -,122972,3250434,- -,- -,5542343,6192949,6986740,7530333,8574419,230499
62,Preferred Stock,1000,952,944,- -,- -,- -,- -,132,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,157191,12119,29757,- -,- -,- -,- -,984072,57720,- -,- -,73664,86322,90077,84154,88512,11945
64,Retained Earnings,-1871744,-3850212,-18511466,- -,- -,- -,- -,-2277999,-5675043,- -,- -,-33138301,-34687801,-36816666,-40760413,-44947730,-124193274
65,Other Comprehensive Income/Loss,- -,- -,1279455,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,203309,497074,- -,- -,- -,- -,1170877,3176481,- -,- -,27549108,30361210,32108448,33230869,36664488,124225332
67,Total Stockholders Equity,-1713553,-3633832,-16704236,- -,- -,- -,- -,-122918,-2440842,- -,- -,-5515529,-4240269,-4618141,-7445390,-8194730,44003
68,Total Liabilities And Stockholders Equity,17644458,12751875,24430104,- -,- -,- -,- -,54,809592,- -,- -,26814,1952680,2368599,84943,379689,274502
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7282464
70,Total Liabilities & Equity,17644458,12751875,24430104,- -,- -,- -,- -,54,809592,- -,- -,26814,1952680,2368599,84943,379689,7556966
71,SEC Link,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070050/000157570521000225/0001575705-21-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1070050/000157570522000237/0001575705-22-000237-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-1699658,-1978468,-14661254,- -,- -,- -,- -,-190050,-745639,- -,- -,-2172815,-1549500,-2128868,-1343210,-4187317,-79245544
74,Depreciation and Amortization,12447,3029,508814,- -,- -,- -,- -,- -,21782,- -,- -,10825,131,129,65,- -,297130
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357240,867860,1547388,- -,111223,- -
77,Change in Working Capital,6283987,-2314577,353618,- -,- -,- -,- -,-3389789,-837624,- -,- -,-4555312,-624609,-818691,-326236,-817309,1442884
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-15240,- -,- -,-5113,-596,-2,-6034,-10799,291
79,Inventory,- -,- -,764706,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235866,127640,518810,310473,-4893,-1105919
81,Other Working Capital,5227830,2913253,3266871,- -,- -,- -,- -,-122918,-960542,- -,- -,-5515854,-6140463,-6959154,-7285390,-8102699,-6659815
82,Other Non-Cash Items,-9718250,4253746,14132384,- -,- -,- -,- -,3579007,3710025,- -,- -,5623916,1225212,1679741,908837,4302017,75680981
83,Cash Provided by Operating Activities,-5121474,-36270,333562,- -,- -,- -,- -,-832,2148544,- -,- -,-736146,-80906,279699,-760544,-591386,-1824549
84,CAPEX,-9085,- -,-95980,- -,- -,- -,- -,- -,-23127,- -,- -,- -,-350000,-435000,- -,- -,- -
85,Acquisitions Net,- -,- -,609022,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-739787,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,259662,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-25037,325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-350000,-440948,-25000,5911,-1184797
89,Cash Used for Investing Activites,-34122,325000,513042,- -,- -,- -,- -,- -,-503252,- -,- -,- -,-350000,-440948,-25000,5911,-1184797
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15179,-2938,- -,-36000,-59751,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,57228,- -,- -,146800,220000,95300,68750,- -,37460
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5371839,-344282,1056295,- -,- -,- -,- -,- -,-1557869,- -,- -,585091,239245,41047,775569,678564,2922415
95,Cash Used/Provided by Financing Activities,5359839,-344282,1056295,- -,- -,- -,- -,- -,-1500641,- -,- -,716712,456307,136347,808319,618813,2959875
96,Effect of Forex Changes on Cash,- -,- -,-128161,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5359839,-55552,1774738,- -,- -,- -,- -,-832,144651,- -,- -,-19434,25401,-24902,22775,33338,-49471
98,Cash at the End of Period,204243,148691,1923429,- -,- -,- -,- -,54,144705,- -,- -,885,26286,1384,24159,57497,8026
99,Cash at the Beginning of Period,- -,204243,148691,- -,- -,- -,- -,886,54,- -,- -,20319,885,26286,1384,24159,57497
100,Free Cash Flow,-5130559,-36270,237582,- -,- -,- -,- -,-832,2125417,- -,- -,-736146,-430906,-155301,-760544,-591386,-1824549
101,SEC Link,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070050/000157570521000225/0001575705-21-000225-index.htm,https://www.sec.gov/Archives/edgar/data/1070050/000157570522000237/0001575705-22-000237-index.htm
102,false,,,,,,,,,,,,,,,,,
