,https://roic.ai/company/LIN,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000000,55000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000000,118000000,145000000,156000000,182000000,213000000,161000000,190000000,161000000,202000000,246000000,255000000,77000000
14,Depreciation and Amortization,236000000,257000000,262000000,273000000,279000000,420000000,444000000,467000000,445000000,471000000,499000000,483000000,517000000,578000000,665000000,696000000,774000000,850000000,846000000,925000000,1003000000,1001000000,1109000000,1170000000,1106000000,1122000000,1184000000,1830000000,4675000000,4626000000,4635000000
15,EBITDA,411000000,234000000,428000000,558000000,663000000,812000000,1000000000,1019000000,1028000000,937000000,1064000000,1050000000,1276000000,1507000000,1767000000,2039000000,2370000000,2526000000,2402000000,3006000000,2179000000,3435000000,3695000000,3768000000,3426000000,3363000000,3224000000,7230000000,7975000000,8229000000,9800000000
16,EBITDA ratio,0.1665,0.0899,0.1756,0.2058,0.2107,0.1825,0.2112,0.2108,0.2216,0.1858,0.2063,0.2048,0.2273,0.2285,0.2308,0.2450,0.2521,0.2340,0.2682,0.2972,0.1937,0.3060,0.3099,0.3070,0.3179,0.3193,0.2839,0.4873,0.2825,0.3021,0.3183
17,Operating Income,376000000,428000000,339000000,464000000,533000000,705000000,838000000,856000000,831000000,707000000,800000000,923000000,922000000,1103000000,1293000000,1519000000,1786000000,1883000000,1575000000,2082000000,2468000000,2437000000,2625000000,2608000000,2321000000,2238000000,2448000000,5247000000,2933000000,3322000000,4984000000
18,Operating Income ratio,0.1523,0.1644,0.1390,0.1712,0.1694,0.1585,0.1770,0.1771,0.1791,0.1402,0.1551,0.1800,0.1643,0.1673,0.1689,0.1825,0.1900,0.1744,0.1759,0.2058,0.2193,0.2171,0.2201,0.2125,0.2154,0.2125,0.2155,0.3537,0.1039,0.1219,0.1619
19,Total Other Income Expenses (Gains),-201000000,-307000000,-148000000,-179000000,-149000000,-313000000,-216000000,-260000000,-204000000,-224000000,-224000000,-206000000,-151000000,-155000000,-163000000,-155000000,-173000000,-198000000,-133000000,-118000000,-145000000,-141000000,-178000000,-213000000,-161000000,-190000000,-161000000,-198000000,-6000000,62000000,115000000
20,Income Before Tax,175000000,121000000,191000000,285000000,384000000,392000000,622000000,596000000,627000000,483000000,576000000,717000000,771000000,948000000,1130000000,1364000000,1613000000,1685000000,1442000000,1964000000,2323000000,2296000000,2447000000,2395000000,2160000000,2048000000,2287000000,5049000000,2927000000,3384000000,5099000000
21,Income Before Tax Ratio,0.0709,0.0465,0.0783,0.1051,0.1221,0.0881,0.1314,0.1233,0.1352,0.0958,0.1117,0.1398,0.1374,0.1438,0.1476,0.1639,0.1716,0.1561,0.1610,0.1941,0.2065,0.2046,0.2052,0.1951,0.2004,0.1944,0.2014,0.3403,0.1037,0.1242,0.1656
22,Income Tax expense (Gain),68000000,37000000,48000000,82000000,122000000,110000000,151000000,127000000,152000000,103000000,135000000,158000000,174000000,232000000,376000000,355000000,419000000,465000000,169000000,768000000,-641000000,586000000,649000000,691000000,612000000,551000000,632000000,817000000,769000000,847000000,1262000000
23,Net Income,107000000,-60000000,118000000,203000000,262000000,282000000,405000000,425000000,431000000,363000000,430000000,409000000,585000000,697000000,726000000,988000000,1177000000,1211000000,1254000000,1195000000,1672000000,1692000000,1755000000,1694000000,1547000000,1500000000,1247000000,4381000000,2285000000,2501000000,3826000000
24,Net Income ratio,0.0433,-0.0230,0.0484,0.0749,0.0833,0.0634,0.0855,0.0879,0.0929,0.0720,0.0834,0.0798,0.1042,0.1057,0.0948,0.1187,0.1252,0.1122,0.1400,0.1181,0.1486,0.1507,0.1472,0.1380,0.1436,0.1424,0.1098,0.2953,0.0809,0.0918,0.1242
25,EPS,0.42,-0.23,0.44,0.74,0.94,0.89,1.28,1.34,1.35,1.14,1.33,1.25,1.79,2.14,2.24,3.05,3.69,3.87,4.08,3.90,5.53,5.67,5.94,5.79,5.39,5.25,4.36,13.26,4.22,4.75,7.40
26,EPS Diluted,0.42,-0.23,0.43,0.72,0.91,0.89,1.23,1.30,1.33,1.13,1.31,1.24,1.77,2.10,2.20,3.00,3.62,3.80,4.01,3.84,5.45,5.61,5.87,5.73,5.35,5.21,4.32,13.11,4.19,4.71,7.33
27,Weighted Average Shares Outstanding,254761905,260869565,268181818,279982000,288294000,318644068,316406250,316924000,318560000,318246000,323020000,325536000,326388000,325891000,323765000,323495000,318997000,312658000,307676000,306720000,302237000,298316000,295523000,292494000,287005000,285677000,286261000,330401000,541094000,526736000,516896000
28,Weighted Average Shares Outstanding Diluted,254761905,260869565,271264368,279982000,288294000,318644068,329268293,326712000,324444000,322184000,327014000,329490000,330991000,331403000,329685000,329293000,324842000,318302000,312382000,311395000,306722000,301845000,298965000,295608000,289055000,287757000,289114000,334127000,545170000,531157000,521875000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1707925/000170792518000004/0001707925-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/0001628280-19-003050-index.html,https://www.sec.gov/Archives/edgar/data/1707925/000170792520000015/0001707925-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1707925/000162828021003574/0001628280-21-003574-index.htm,https://www.sec.gov/Archives/edgar/data/1707925/000162828022004180/0001628280-22-004180-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,50000000,25000000,173000000,36000000,17000000,32000000,45000000,39000000,90000000,157000000,138000000,126000000,147000000,524000000,617000000,4466000000,2700000000,3754000000,2823000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,50000000,25000000,173000000,36000000,17000000,32000000,45000000,39000000,90000000,157000000,138000000,126000000,147000000,524000000,617000000,4466000000,2700000000,3754000000,2823000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,860000000,962000000,1231000000,1386000000,1456000000,1723000000,1604000000,1579000000,1664000000,1795000000,1834000000,1892000000,1796000000,1601000000,1641000000,1710000000,4580000000,4690000000,4590000000,4633000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000000,302000000,328000000,373000000,381000000,474000000,445000000,377000000,399000000,456000000,476000000,506000000,551000000,531000000,550000000,614000000,1651000000,1697000000,1729000000,1733000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,135000000,160000000,201000000,186000000,194000000,220000000,222000000,276000000,266000000,325000000,380000000,366000000,347000000,165000000,344000000,6575000000,1265000000,851000000,970000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1286000000,1449000000,1744000000,2133000000,2059000000,2408000000,2301000000,2223000000,2378000000,2607000000,2792000000,2916000000,2839000000,2626000000,2880000000,3285000000,17272000000,10352000000,10924000000,10159000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4666000000,5252000000,5946000000,6108000000,6694000000,7963000000,7922000000,8990000000,9532000000,10131000000,11453000000,12278000000,11997000000,10998000000,11477000000,11825000000,29717000000,30089000000,29801000000,26003000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1613000000,1967000000,1909000000,2070000000,2066000000,2372000000,2507000000,3194000000,3121000000,2986000000,3117000000,3233000000,26874000000,27019000000,28201000000,27038000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035000000,1131000000,1639000000,1626000000,71000000,134000000,121000000,142000000,132000000,167000000,173000000,596000000,603000000,568000000,583000000,785000000,16223000000,16137000000,16184000000,13802000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035000000,1131000000,1639000000,1626000000,1684000000,2101000000,2030000000,2212000000,2198000000,2539000000,2680000000,3790000000,3724000000,3554000000,3700000000,4018000000,43097000000,43156000000,44385000000,40840000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,564000000,523000000,663000000,709000000,701000000,677000000,731000000,739000000,1914000000,2067000000,2084000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,98000000,118000000,185000000,1236000000,7611000000,7236000000,268000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414000000,473000000,549000000,624000000,665000000,910000000,801000000,457000000,602000000,556000000,502000000,490000000,443000000,346000000,359000000,-667000000,-6225000000,-6288000000,767000000,4603000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6115000000,6856000000,8134000000,8358000000,9043000000,10974000000,10753000000,12094000000,12896000000,13749000000,15298000000,17339000000,16963000000,15693000000,16452000000,17151000000,76114000000,76260000000,77305000000,71446000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7401000000,8305000000,9878000000,10491000000,11102000000,13382000000,13054000000,14317000000,15274000000,16356000000,18090000000,20255000000,19802000000,18319000000,19332000000,20436000000,93386000000,86612000000,88229000000,81605000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,378000000,413000000,502000000,639000000,682000000,818000000,820000000,730000000,830000000,896000000,928000000,921000000,864000000,791000000,906000000,922000000,3219000000,3266000000,3095000000,3503000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000000,155000000,649000000,521000000,186000000,828000000,1316000000,298000000,402000000,724000000,677000000,785000000,589000000,256000000,598000000,1217000000,3008000000,3523000000,4277000000,2872000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123000000,168000000,119000000,144000000,133000000,242000000,892000000,638000000,878000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1546000000,1758000000,1769000000,2940000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484000000,549000000,724000000,841000000,890000000,1004000000,843000000,785000000,878000000,915000000,874000000,958000000,1037000000,846000000,974000000,1168000000,5183000000,3613000000,4599000000,4328000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000000,1117000000,1875000000,2001000000,1758000000,2650000000,2979000000,1813000000,2110000000,2535000000,2479000000,2664000000,2490000000,1893000000,2478000000,3307000000,12956000000,12160000000,13740000000,13643000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2510000000,2661000000,2876000000,2926000000,2981000000,3364000000,3709000000,4757000000,5155000000,5838000000,6685000000,8026000000,8669000000,8975000000,8917000000,7783000000,12288000000,10693000000,12946000000,11335000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7611000000,348000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,574000000,598000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7611000000,6889000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1287000000,1244000000,1294000000,886000000,989000000,1905000000,2055000000,2099000000,1864000000,2186000000,2505000000,2562000000,2633000000,2658000000,2496000000,3328000000,1324000000,7448000000,11974000000,11199000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3797000000,3905000000,4170000000,4386000000,4568000000,5269000000,5764000000,6856000000,7019000000,8024000000,9190000000,10588000000,11302000000,11633000000,11413000000,11111000000,28834000000,25378000000,24920000000,22534000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,976000000,1069000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4897000000,5022000000,6045000000,6387000000,6326000000,7919000000,8743000000,8669000000,9129000000,10559000000,11669000000,13252000000,13792000000,13526000000,13891000000,14418000000,41790000000,37538000000,38660000000,36177000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2593000000,3027000000,3529000000,4022000000,4687000000,5325000000,6068000000,6831000000,7475000000,8510000000,9534000000,10528000000,11461000000,12229000000,12879000000,13224000000,16529000000,16842000000,17178000000,18710000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1673000000,-1352000000,-1180000000,-1257000000,-1127000000,-672000000,-1768000000,-1155000000,-1018000000,-1746000000,-1852000000,-1981000000,-3185000000,-4596000000,-4600000000,-4098000000,-4456000000,-4814000000,-4690000000,-5048000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1418000000,1409000000,1255000000,1133000000,990000000,485000000,-295000000,-365000000,-669000000,-1280000000,-1622000000,-1942000000,-2657000000,-3248000000,-3262000000,-3112000000,39522000000,37045000000,34828000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2340000000,3088000000,3608000000,3902000000,4554000000,5142000000,4009000000,5315000000,5792000000,5488000000,6064000000,6609000000,5623000000,4389000000,5021000000,6018000000,51596000000,49074000000,47317000000,44035000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7237000000,8110000000,9653000000,10289000000,10880000000,13061000000,12752000000,13984000000,14921000000,16047000000,17733000000,19861000000,19415000000,17915000000,18912000000,20436000000,93386000000,86612000000,85977000000,80212000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164000000,195000000,225000000,202000000,222000000,321000000,302000000,333000000,353000000,309000000,357000000,394000000,387000000,404000000,420000000,- -,- -,- -,2252000000,1393000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7401000000,8305000000,9878000000,10491000000,11102000000,13382000000,13054000000,14317000000,15274000000,16356000000,18090000000,20255000000,19802000000,18319000000,19332000000,20436000000,93386000000,86612000000,88229000000,81605000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1707925/000170792518000004/0001707925-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/0001628280-19-003050-index.html,https://www.sec.gov/Archives/edgar/data/1707925/000170792520000015/0001707925-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1707925/000162828021003574/0001628280-21-003574-index.htm,https://www.sec.gov/Archives/edgar/data/1707925/000162828022004180/0001628280-22-004180-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,107000000,-60000000,118000000,203000000,262000000,282000000,405000000,425000000,431000000,363000000,430000000,409000000,585000000,697000000,726000000,988000000,1177000000,1211000000,1254000000,1195000000,1672000000,1692000000,1755000000,1694000000,1547000000,1500000000,1247000000,4381000000,2285000000,2501000000,3826000000
74,Depreciation and Amortization,236000000,257000000,262000000,273000000,279000000,420000000,444000000,467000000,445000000,471000000,499000000,483000000,517000000,578000000,665000000,696000000,774000000,850000000,846000000,925000000,1003000000,1001000000,1109000000,1170000000,1106000000,1122000000,1184000000,1830000000,4675000000,4626000000,4635000000
75,Deferred Income Tax,32000000,-11000000,-4000000,27000000,42000000,48000000,67000000,11000000,53000000,35000000,36000000,37000000,33000000,89000000,200000000,90000000,37000000,-23000000,-221000000,133000000,-3000000,258000000,101000000,55000000,99000000,-13000000,530000000,-248000000,-303000000,-369000000,6000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,47000000,62000000,70000000,70000000,51000000,30000000,39000000,59000000,62000000,95000000,133000000,- -
77,Change in Working Capital,-62000000,- -,- -,28000000,-46000000,-42000000,-7000000,43000000,-70000000,-4000000,284000000,- -,146000000,-463000000,263000000,169000000,-543000000,-436000000,1088000000,-142000000,-196000000,241000000,-61000000,97000000,384000000,-331000000,-424000000,4338000000,-6124000000,-1008000000,1072000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,-114000000,-108000000,-36000000,-84000000,-80000000,1000000,-33000000,-92000000,-124000000,80000000,19000000,-553000000
79,Inventory,-14000000,31000000,10000000,-11000000,-52000000,-4000000,-14000000,18000000,12000000,-13000000,20000000,4000000,-22000000,-24000000,-41000000,-15000000,-71000000,21000000,58000000,-26000000,-31000000,-18000000,-54000000,-42000000,-23000000,-13000000,-22000000,-4000000,-81000000,18000000,-129000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,28000000,-18000000,-60000000,-67000000,-24000000,-94000000,-98000000,186000000,186000000,332000000,-131000000,132000000,301000000,-242000000,-678000000,410000000,268000000,72000000,313000000,252000000,349000000,733000000,402000000,-22000000,4316000000,-1808000000,-2816000000,1307000000
82,Other Non-Cash Items,5000000,150000000,39000000,17000000,74000000,-102000000,-157000000,-10000000,94000000,34000000,-229000000,72000000,-144000000,342000000,-379000000,-191000000,513000000,436000000,-838000000,-253000000,-83000000,-510000000,-57000000,-199000000,-484000000,456000000,445000000,-6661000000,5560000000,1546000000,186000000
83,Cash Provided by Operating Activities,318000000,336000000,415000000,548000000,611000000,606000000,752000000,936000000,953000000,899000000,1020000000,1001000000,1137000000,1243000000,1475000000,1752000000,1958000000,2038000000,2168000000,1905000000,2455000000,2752000000,2917000000,2868000000,2682000000,2773000000,3041000000,3702000000,6188000000,7429000000,9725000000
84,CAPEX,-417000000,-333000000,-240000000,-326000000,-600000000,-893000000,-902000000,-781000000,-653000000,-704000000,-595000000,-498000000,-983000000,-668000000,-877000000,-1100000000,-1376000000,-1611000000,-1352000000,-1388000000,-1797000000,-2180000000,-2020000000,-1689000000,-1541000000,-1465000000,-1311000000,-1883000000,-3682000000,-3400000000,-3086000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-101000000,-241000000,-136000000,-290000000,-213000000,-113000000,-73000000,-929000000,-44000000,112000000,-437000000,-130000000,-131000000,-148000000,-294000000,-198000000,-1217000000,-114000000,238000000,-305000000,-3000000,7246000000,4871000000,414000000,79000000
86,Purchases of Investments,-54000000,-34000000,-110000000,-59000000,-202000000,-1705000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,52000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,107000000,130000000,65000000,23000000,82000000,264000000,300000000,206000000,103000000,106000000,45000000,24000000,64000000,45000000,34000000,- -,- -,54000000,-1352000000,-1388000000,-1711000000,-2180000000,-2020000000,-1689000000,-1541000000,-1465000000,-1311000000,-1906000000,-3742000000,-3400000000,-3086000000
89,Cash Used for Investing Activites,-364000000,-237000000,-285000000,-362000000,-720000000,-2334000000,-703000000,-816000000,-686000000,-888000000,-763000000,-587000000,-992000000,-1552000000,-887000000,-988000000,-1813000000,-1687000000,-1452000000,-1484000000,-2005000000,-2378000000,-3237000000,-1803000000,-1303000000,-1770000000,-1314000000,5340000000,1129000000,-2986000000,-3007000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2308000000,-1515000000,-580000000,-1522000000,-1347000000,-764000000,-1000000000,-770000000,-583000000,-3124000000,-1583000000,-2681000000,- -
91,Common Stock Issued,- -,17000000,48000000,71000000,111000000,611000000,110000000,117000000,105000000,124000000,142000000,206000000,246000000,212000000,242000000,267000000,323000000,185000000,95000000,183000000,195000000,164000000,154000000,103000000,88000000,139000000,120000000,77000000,72000000,47000000,50000000
92,Common Stock Repurchased,- -,- -,- -,-8000000,-45000000,-7000000,-137000000,-97000000,-73000000,-144000000,-76000000,-276000000,-271000000,-394000000,-396000000,-487000000,-959000000,-1077000000,-236000000,-587000000,-937000000,-623000000,-590000000,-862000000,-725000000,-228000000,-12000000,-599000000,-2658000000,-2457000000,-4612000000
93,Dividends Paid,- -,-16000000,-32000000,-37000000,-45000000,-58000000,-69000000,-79000000,-89000000,-98000000,-110000000,-123000000,-149000000,-195000000,-233000000,-323000000,-381000000,-468000000,-491000000,-551000000,-602000000,-655000000,-708000000,-759000000,-819000000,-856000000,-901000000,-1166000000,-1891000000,-2028000000,-2189000000
94,Other Financing Activites,74000000,-150000000,-110000000,-175000000,40000000,1231000000,28000000,-67000000,-169000000,63000000,-203000000,-218000000,38000000,658000000,-51000000,-362000000,847000000,1027000000,2229000000,2051000000,1544000000,2333000000,2819000000,1274000000,1159000000,1072000000,-280000000,-184000000,-2932000000,3774000000,-837000000
95,Cash Used/Provided by Financing Activities,74000000,-149000000,-94000000,-149000000,61000000,1777000000,-68000000,-126000000,-226000000,-55000000,-247000000,-411000000,-136000000,281000000,-438000000,-905000000,-170000000,-333000000,-711000000,-419000000,-380000000,-303000000,328000000,-1008000000,-1297000000,-643000000,-1656000000,-4996000000,-8992000000,-3345000000,-7588000000
96,Effect of Forex Changes on Cash,-19000000,-8000000,-26000000,-8000000,- -,-1000000,-1000000,-3000000,1000000,-1000000,-2000000,-3000000,2000000,3000000,-2000000,4000000,6000000,-3000000,8000000,-8000000,-19000000,-4000000,-27000000,-69000000,-61000000,17000000,22000000,-60000000,-77000000,-44000000,-61000000
