,https://roic.ai/company/RCAR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016708/000101670808000001/0001016708-08-000001-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016708/000114420412018004/0001144204-12-018004-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793213001493/0001477932-13-001493-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793214001298/0001477932-14-001298-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793215001831/0001477932-15-001831-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793216009210/0001477932-16-009210-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793217001337/0001477932-17-001337-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793218001262/0001477932-18-001262-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000173112219000192/0001731122-19-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000117184320003732/0001171843-20-003732-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000117184321002192/0001171843-21-002192-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000117184322002186/0001171843-22-002186-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1225276,1905478,938147,826603,846360,292191,128286,81978,178,46306,2734591,2409770,2052305,787771,513595,1508843,683098,397589,418031,2906237,15397524,12185248,7412969,2849192
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1225276,1905478,938147,826603,846360,292191,128286,81978,178,46306,2734591,2409770,2052305,787771,513595,1508843,683098,397589,418031,2906237,15397524,12185248,7412969,2849192
34,Net Receivables,- -,- -,153711,152009,- -,- -,- -,- -,- -,- -,4252,8759,2615,14514,800,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,673,- -,2721,9290,- -,- -,- -,- -,- -,720,- -,- -,- -,7562,1230,7448,10293,31535,750,168707,102500,566275,533445
37,Total Current Assets,1225276,1906151,1091858,981333,855650,292191,128286,81978,178,46306,2739563,2418529,2054920,802285,521957,1510073,690546,407882,449566,2906987,15566231,12287748,7979244,3382637
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,525873,535176,1050289,1057251,- -,- -,- -,- -,- -,- -,- -,38640,57901
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,48750,38750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162854,162854,152854,152854,152854,- -,152854,152854,152854
41,Intangible Assets,- -,48750,38750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162854,162854,152854,152854,152854,152854,152854,152854,152854
42,Investments,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8586,197384,305862,222917,287611,220956,332501,489550,84088,- -,348584,-429338,-508583,-511847,-513374,80000,- -,- -,898,581,264,- -,- -,58742
45,Total Non-Current Assets,8586,246134,344612,222917,287611,220956,332501,1489550,84088,- -,348584,96535,26593,538442,543877,242854,162854,152854,153752,153435,153118,152854,191494,269497
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1233862,2152285,1436470,1204250,1143261,513147,460787,1571528,84266,46306,3088147,2515064,2081513,1340727,1065834,1752927,853400,560736,603318,3060422,15719349,12440602,8170738,3652134
48,Accounts Payable,- -,- -,105049,190794,23027,35131,4048,39148,38390,25112,62931,35640,22674,45850,40543,11221,6182,71563,33290,168669,225163,280740,1237437,- -
49,Short-Term Debt,- -,- -,- -,- -,9044,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165481,- -,- -,- -,- -,30497
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,20000,20000,- -,- -,50000,- -,27612,- -,- -,- -,- -,1378420,5248041,27843,- -,44219,194755,164220,165220,100000,167497,- -,51125,1274748
53,Total Current Liabilities,20000,20000,105049,190794,82071,35131,31660,39148,38390,25112,62931,1414060,5270715,73693,40543,55440,200937,235783,363991,268669,392660,280740,1288562,1305245
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1036562,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,15456,- -,- -,- -,- -,- -,- -,40000,52558,55316,57532,1,178125,100000,- -,90678,- -,- -,28607,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,15456,- -,- -,- -,- -,- -,- -,40000,52558,55316,57532,1,178125,100000,- -,1127240,- -,- -,28607,- -
59,Other Liabilities,- -,726,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,15456,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79732,- -
61,Total Liabilities,17814,20726,105049,190794,97527,35131,31660,39148,38390,25112,62931,1454060,5323273,129009,98075,55441,379062,335783,363991,1395909,392660,280740,1317169,1305245
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,231,246,492,20,161,161,966,966,966,566,631,631,631,631,631,666,666,678,702,762,872,874,874,874
64,Retained Earnings,-827959,-1537618,-2224995,-2542960,-2805361,-3505184,-3680236,-3748202,-3793206,-3817888,-4083037,-4438001,-8704627,-4247045,-4491004,-5523792,-7655188,-8973695,-11051584,-14740922,-16861763,-20219845,- -,-4471723
65,Other Comprehensive Income/Loss,- -,- -,-190450,-322585,-447905,-573224,-616183,-630353,- -,- -,-93444,-429338,-508583,-511847,-513374,- -,- -,- -,-53,-370,-687,-951,- -,- -
66,Other Total Stockholders Equity,2043776,3667931,3746374,3878981,4298839,4556263,4724580,5909969,3838116,3838516,7201066,5927712,5970819,5969979,5971506,7220612,8128860,9197970,11290262,16405043,32188267,32379784,7077901,6817738
67,Total Stockholders Equity,1216048,2130559,1331421,1013456,1045734,478016,429127,1532380,45876,21194,3025216,1061004,-3241760,1211718,967759,1697486,474338,224953,239327,1664513,15326689,12159862,7078775,2346889
68,Total Liabilities And Stockholders Equity,1233862,2151285,1436470,1204250,1143261,513147,460787,1571528,84266,46306,3088147,2515064,2081513,1340727,1065834,1752927,853400,560736,603318,3060422,15719349,12440602,8395944,3652134
69,Minority Interest,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-225206,- -
70,Total Liabilities & Equity,1233862,2152285,1436470,1204250,1143261,513147,460787,1571528,84266,46306,3088147,2515064,2081513,1340727,1065834,1752927,853400,560736,603318,3060422,15719349,12440602,8170738,3652134
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016708/000101670808000001/0001016708-08-000001-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016708/000114420412018004/0001144204-12-018004-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793213001493/0001477932-13-001493-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793214001298/0001477932-14-001298-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793215001831/0001477932-15-001831-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793216009210/0001477932-16-009210-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793217001337/0001477932-17-001337-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793218001262/0001477932-18-001262-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000173112219000192/0001731122-19-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000117184320003732/0001171843-20-003732-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000117184321002192/0001171843-21-002192-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000117184322002186/0001171843-22-002186-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-231877,-709659,-771547,-317965,-262401,-699823,-175052,-67966,-45004,-24682,-265149,1269549,-4266626,4457582,-243959,-1032788,-2131396,-1318507,-2077889,-3689338,-2120841,-3358082,-9548336,-4471723
74,Depreciation and Amortization,- -,- -,183088,170885,125319,125319,42959,14170,- -,- -,- -,- -,- -,3264,1527,- -,- -,- -,53,317,317,264,2633,9368
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44114,-36138,- -,- -,15440,59860,59122,282262,904004,170517,191255,4206252,-173163
77,Change in Working Capital,- -,680875,-899342,-196270,-16960,-516519,-160434,-53796,-81042,59406,2655438,-1672163,-4220264,3944387,-247178,973219,-965024,-317510,-86524,2552743,12535253,-3166563,-5316326,-4613290
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4507,6144,-11899,13714,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33150,18104,-42004,88221,-71563,135379,56494,55577,1068394,37311
81,Other Working Capital,1205276,1886151,986809,790539,773579,257060,96626,42830,-38212,21194,2676632,1004469,-3215795,728592,481414,1454633,489609,172099,85575,2638318,15173571,12007008,6690682,2077392
82,Other Non-Cash Items,231877,28784,831277,271806,285173,552817,156963,61284,44246,11404,-2459976,67524,8174866,-9152691,222396,-305769,2210815,281386,93490,-1441754,-12611459,3120850,5932766,4685031
83,Cash Provided by Operating Activities,- -,- -,-656524,-71544,131131,-538206,-135564,-46308,-81800,46128,-69687,-290976,-348162,-747458,-267214,-349898,-825745,-1295509,-1788608,-1674028,-2026213,-3212276,-4723011,-4563777
84,CAPEX,- -,- -,-27807,- -,-107623,-186,-28341,- -,- -,- -,-442028,-33845,-9303,-520349,-6962,-162854,- -,- -,-951,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-283000,-40000,- -,-6733,- -,- -,- -,- -,- -,- -,- -,7377,- -,-159854,- -,- -,- -,- -,- -,- -,-49268,- -
89,Cash Used for Investing Activites,- -,- -,-310807,-40000,-107623,-6919,-28341,- -,- -,- -,-442028,-33845,-9303,-512972,-6962,-159854,- -,- -,-951,- -,- -,- -,-49268,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,- -,- -,- -,- -,1505000,- -,1010000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3388,1540000,- -,- -,-3751,-9044,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1810001,4212234,14517500,- -,- -,- -
95,Cash Used/Provided by Financing Activities,3388,1540000,- -,- -,-3751,-9044,- -,- -,- -,- -,3200000,- -,- -,- -,- -,1505000,- -,1010000,1810001,4162234,14517500,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4104,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-222649,680202,-967331,-111544,19757,-554169,-163905,-46308,-81800,46128,2688285,-324821,-357465,-1264534,-274176,995248,-825745,-285509,20442,2488206,12491287,-3212276,-4772279,-4563777
98,Cash at the End of Period,1225276,1905478,938147,826603,846360,292191,128286,81978,178,46306,2734591,2409770,2052305,787771,513595,1508843,683098,397589,418031,2906237,15397524,12185248,7412969,2849192
99,Cash at the Beginning of Period,1447925,1225276,1905478,938147,826603,846360,292191,128286,81978,178,46306,2734591,2409770,2052305,787771,513595,1508843,683098,397589,418031,2906237,15397524,12185248,7412969
100,Free Cash Flow,- -,- -,-684331,-71544,23508,-538392,-163905,-46308,-81800,46128,-511715,-324821,-357465,-1267807,-274176,-512752,-825745,-1295509,-1789559,-1674028,-2026213,-3212276,-4723011,-4563777
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016708/000101670808000001/0001016708-08-000001-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016708/000114420412018004/0001144204-12-018004-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793213001493/0001477932-13-001493-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793214001298/0001477932-14-001298-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793215001831/0001477932-15-001831-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793216009210/0001477932-16-009210-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793217001337/0001477932-17-001337-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000147793218001262/0001477932-18-001262-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000173112219000192/0001731122-19-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000117184320003732/0001171843-20-003732-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000117184321002192/0001171843-21-002192-index.htm,https://www.sec.gov/Archives/edgar/data/1016708/000117184322002186/0001171843-22-002186-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
