,https://roic.ai/company/HII,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-189000000,-197000000,-162000000,-81000000,-437000000,-141000000,-653000000,-349000000,-476000000,-627000000,-759000000,-1954000000
90,Debt Repayment,-178000000,-976000000,-29000000,-51000000,-710000000,-1028000000,- -,-615000000,-95000000,-5119000000,-1000000000,-25000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1000000,-119000000,-138000000,-232000000,-194000000,-286000000,-742000000,-262000000,-84000000,-101000000
93,Dividends Paid,- -,-1429000000,-5000000,-25000000,-49000000,-81000000,-98000000,-115000000,-132000000,-149000000,-172000000,-186000000
94,Other Financing Activites,8000000,2989000000,7000000,26000000,565000000,558000000,-51000000,532000000,70000000,5096000000,1359000000,1621000000
95,Cash Used/Provided by Financing Activities,-170000000,584000000,-28000000,-169000000,-332000000,-783000000,-343000000,-484000000,-899000000,-434000000,103000000,1309000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-170000000,584000000,142000000,-14000000,-53000000,-96000000,-174000000,-19000000,-461000000,-165000000,437000000,115000000
98,Cash at the End of Period,- -,915000000,1057000000,1043000000,990000000,894000000,720000000,701000000,240000000,75000000,512000000,627000000
99,Cash at the Beginning of Period,- -,- -,915000000,1057000000,1043000000,990000000,894000000,720000000,701000000,240000000,75000000,512000000
100,Free Cash Flow,168000000,331000000,170000000,97000000,551000000,640000000,537000000,432000000,451000000,366000000,740000000,429000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1501585/000119312512138529/0001193125-12-138529-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158513000003/0001501585-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/0001501585-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158515000005/0001501585-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000038/0001501585-16-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000005/0001501585-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158518000006/0001501585-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158519000005/0001501585-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/0001501585-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/0001501585-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/0001501585-22-000007-index.htm
102,false,,,,,,,,,,,,
