,https://roic.ai/company/SIGA,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-1400000,-2300000,-5200000,-3500000,-7083534,-3261821,-3365088,-5294896,-9448288,-2532339,-6810378,-7463107,-8736911,-11878927,-12722388,-31381437,-22535737,-23516181,-209667014,-30953266,-31014956,-18849169,355099398,-2322143,84500630,89092799
18,Operating Income ratio,-14.0000,-3.2857,-10.4000,-7.0000,-14.6621,-2.8131,-9.7695,-7.2360,-5.1372,-0.2987,-0.9384,-1.1141,-1.0832,-0.8601,-0.6621,-2.4660,-2.5121,-4.2607,-66.7764,-3.7859,-2.0694,-1.5363,0.7444,-0.0868,0.6762,Infinity
19,Total Other Income Expenses (Gains),-900000,- -,-1300000,- -,-155591,-392370,- -,-136750,-2611579,244789,-3088330,1824550,137534,-5739012,-15472951,8943967,163431,-1279591,-2267856,-8036075,-8669120,-19480105,56540158,-7856280,-10992039,218942
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22437470,-22372306,-24795772,-211934870,-38989341,-39684076,-38329274,411639556,-10178423,73508591,89311741
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.7631,-2.4939,-4.4926,-67.4987,-4.7688,-2.6478,-3.1241,0.8629,-0.3806,0.5883,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36031646,-7844153,-7618439,53528268,461983,13884,-2093790,-10168272,-2937276,17166581,- -
23,Net Income,-2300000,-2200000,-6600000,-3600000,-7789589,-3729606,-3331027,-5276640,-9373319,-2287550,-9898708,-5638557,-8599377,-17617939,-28195339,13594176,-14528153,-17177333,-265463138,-39451324,-39697960,-36235484,421807828,-7241147,56342010,- -
24,Net Income ratio,-23.0000,-3.1429,-13.2000,-7.2000,-16.1235,-3.2166,-9.6706,-7.2111,-5.0965,-0.2699,-1.3639,-0.8417,-1.0662,-1.2756,-1.4673,1.0682,-1.6195,-3.1122,-84.5468,-4.8253,-2.6487,-2.9534,0.8842,-0.2708,0.4509,- -
25,EPS,-0.75,-0.52,-0.99,-0.55,-1.08,-0.44,-0.32,-0.34,-0.40,-0.09,-0.35,-0.17,-0.25,-0.47,-0.62,0.27,-0.28,-0.33,-4.97,-0.73,-0.69,-0.46,5.28,-0.09,0.71,0.92
26,EPS Diluted,-0.75,-0.52,-0.99,-0.55,-1.08,-0.44,-0.32,-0.34,-0.40,-0.09,-0.35,-0.17,-0.25,-0.47,-0.62,0.09,-0.28,-0.33,-4.97,-0.73,-0.69,-0.46,5.18,-0.15,0.71,0.91
27,Weighted Average Shares Outstanding,3066667,4217044,6540022,6579424,7202856,8499961,10450529,15717138,23724026,24824824,28200130,33330814,34732625,37463255,45151774,50929491,51639622,52368842,53419686,53777687,57188503,78874494,79923295,81031254,79259000,75322194
28,Weighted Average Shares Outstanding Diluted,3066667,4217044,6547619,6585366,7202856,8499961,10450529,15717138,23724026,24824824,28200130,33330814,34732625,37463255,45151774,54061650,51639622,52368842,53419686,53777687,57188503,78874494,82708472,82175023,79437306,76402716
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1010086/000089155498000343/0000891554-98-000343-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1010086/000116923203002587/0001169232-03-002587-index.html,- -,https://www.sec.gov/Archives/edgar/data/1010086/000116923205001896/0001169232-05-001896-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1010086/000116923209001367/0001169232-09-001367-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000120677410000542/0001206774-10-000542-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000120677411000458/0001206774-11-000458-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008612000005/0001010086-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008613000004/0001010086-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008614000006/0001010086-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008615000004/0001010086-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008616000019/0001010086-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008617000005/0001010086-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008618000003/0001010086-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008619000007/0001010086-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008620000006/0001010086-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000143774921005031/0001437749-21-005031-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000143774922005179/0001437749-22-005179-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10700000,5000000,1800000,1707385,3148160,2069004,1440724,2020938,1772489,10639530,6832290,2321519,14496313,6332053,49256930,32017490,91309754,99713929,112711028,28701824,19857833,100652809,65249072,117890240,103138819
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4999300,14999350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,10700000,5000000,1800000,1707385,3148160,2069004,1440724,2020938,1772489,10639530,6832290,2321519,19495613,21331403,49256930,32017490,91309754,99713929,112711028,28701824,19857833,100652809,65249072,117890240,103138819
34,Net Receivables,- -,200000,- -,- -,37800,55000,60151,38786,108904,883054,617032,986489,1959608,2405861,3002144,2637103,970288,982023,491632,3676730,3154370,1802107,1959133,4167996,3340263,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17641922,20515349,19044477,12447088,26209964,2983249,2908210,9652855,20265519,- -
36,Other Current Assets,500000,- -,100000,- -,5644,153416,104227,50338,278547,160144,141032,130115,1973965,1585072,369017,1084670,34316476,11134716,10554633,623983,11093316,12721304,15769693,100971862,2112069,- -
37,Total Current Assets,500000,10900000,5100000,1800000,1750829,3356576,2233382,1529848,2408389,2815687,11397594,7948894,6255092,23486546,24702564,52978703,84946176,123941842,129804671,129458829,69159474,37364493,121289845,180041785,143608091,- -
38,PP&E,- -,- -,1700000,1400000,1027702,703239,432442,379046,508015,1224147,1320315,1479678,1360018,1225656,1150257,818992,987869,1382073,831936,449825,299477,138640,171274,2618303,2103990,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,4015691,3012631,1831069,165243,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,4015691,3012631,1831069,1063577,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334,898334
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35149031,10209278,42940624,- -,- -,- -,2431963,11733385,14151002,2544053,- -
44,Other Non-Current Assets,100000,200000,300000,200000,431662,147873,164168,174995,181725,234126,246201,261766,283856,304751,280648,535417,8794473,24661361,34850394,54925948,90624692,103836949,69350903,856766,676923,286585
45,Total Non-Current Assets,100000,200000,2000000,1600000,1459364,851112,596610,4569732,3702371,3289342,2630093,2639778,2542208,2428741,2329239,37401774,20889954,69882392,36580664,56274107,91822503,107305886,82153896,18524405,6223300,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214726575
47,Total Assets,600000,11100000,7100000,3400000,3210193,4207688,2829992,6099580,6110760,6105029,14027687,10588672,8797300,25915287,27031803,90380477,105836130,193824234,166385335,185732936,160981977,144670379,203443741,198566190,149831391,214726575
48,Accounts Payable,100000,200000,300000,200000,209278,210391,461146,353051,1148277,1251854,1357906,1321146,1806073,3458013,2884259,2278316,10189917,5064380,3384310,3944476,2517072,1328867,1688488,3054032,1278217,- -
49,Short-Term Debt,- -,- -,400000,300000,391407,192196,11206,- -,- -,107520,107520,- -,- -,- -,- -,- -,954738,1968826,1989948,- -,- -,- -,- -,80044866,- -,466830
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,347319,- -,- -,1302600,1570234,190763,- -,- -,- -,- -,- -,- -,1255318,4159946,2298341,3280947,- -
52,Other Current Liabilities,100000,300000,100000,100000,755912,263616,184554,195181,403072,525482,584504,796524,1210496,4000333,1188158,4644461,4570885,5155818,2085995,3388608,11312161,4226261,5488971,6338570,5924346,30021028
53,Total Current Liabilities,200000,500000,800000,600000,1356597,666203,656906,548232,1551349,2232175,2049930,2117670,4319169,9028580,4263180,6922777,15715540,12189024,7460253,7333084,13829233,6810446,11337405,91735809,10483510,30487858
54,Long-Term Debt,- -,- -,700000,500000,848579,- -,- -,- -,- -,106705,22809,- -,- -,- -,- -,- -,3955262,1989948,- -,- -,66553053,71050324,75547597,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41001110,57052020,162222189,81799,255258371,367483905,377641485,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175175,- -,- -,- -,5900468,265643,286066,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,80281,- -,- -,- -,- -,535119,4673098,3242797,2923532,6398216,10524660,770524,166303,447605,399445292,207304388,247989,12306415,13644052,9046625,9554612,- -
58,Total Non-Current Liabilities,- -,- -,700000,600000,928860,- -,- -,- -,- -,641824,4695907,3242797,2923532,6398216,10699835,41771634,61173585,164659742,405427559,462828402,434571013,460998224,89191649,9046625,9554612,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9924310
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,419709,449940,- -
61,Total Liabilities,200000,500000,1500000,1200000,2285457,666203,656906,548232,1551349,2873999,6745837,5360467,7242701,15426796,14963015,48694411,76889125,176848766,412887812,470161486,448400246,467808670,100529054,100782434,20038122,40412168
62,Preferred Stock,- -,- -,- -,- -,- -,- -,443674,72666,58672,58672,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,747,1016,1293,1868,2450,2650,3245,3394,3538,4306,4902,5164,5164,5310,5351,5411,7869,7904,8076,8127,7720,7354
64,Retained Earnings,-2300000,-4500000,-11000000,-14700000,-22441569,-26171175,-29531402,-34808042,-44181361,-46468911,-56367619,-62006176,-70605553,-90933492,-122464485,-108870309,-123398462,-156527870,-421991008,-461442332,-501140292,-537375776,-115791261,-123032408,-95192881,- -
65,Other Comprehensive Income/Loss,- -,- -,-200000,-600000,-897615,-1222078,-1539110,-1937228,-1954495,-2100304,-2888318,-3732234,-4060942,-4484612,-5086419,-5654707,-4938372,-5401509,-3497251,-3299417,-3468266,-3346738,-3244861,-3726313,- -,- -
66,Other Total Stockholders Equity,2700000,15100000,16800000,17500000,24263173,30933722,32798631,42222084,50634145,51738923,66534542,70963221,76217556,105902289,139614790,156205918,157278675,178899537,178980431,180307788,217182420,217576319,221942733,224534350,224978430,- -
67,Total Stockholders Equity,400000,10600000,5600000,2200000,924736,3541485,2173086,5551348,4559411,3231030,7281850,5228205,1554599,10488491,12068788,41686066,28947005,16975468,-246502477,-284428550,-287418269,-323138291,102914687,97783756,129793269,174314407
68,Total Liabilities And Stockholders Equity,600000,11100000,7100000,3400000,3210193,4207688,2829992,6099580,6110760,6105029,14027687,10588672,8797300,25915287,27031803,90380477,105836130,193824234,166385335,185732936,160981977,144670379,203443741,198566190,149831391,214726575
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,600000,11100000,7100000,3400000,3210193,4207688,2829992,6099580,6110760,6105029,14027687,10588672,8797300,25915287,27031803,90380477,105836130,193824234,166385335,185732936,160981977,144670379,203443741,198566190,149831391,214726575
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1010086/000089155498000343/0000891554-98-000343-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1010086/000116923203002587/0001169232-03-002587-index.html,- -,https://www.sec.gov/Archives/edgar/data/1010086/000116923205001896/0001169232-05-001896-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1010086/000116923209001367/0001169232-09-001367-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000120677410000542/0001206774-10-000542-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000120677411000458/0001206774-11-000458-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008612000005/0001010086-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008613000004/0001010086-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008614000006/0001010086-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008615000004/0001010086-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008616000019/0001010086-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008617000005/0001010086-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008618000003/0001010086-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008619000007/0001010086-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008620000006/0001010086-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000143774921005031/0001437749-21-005031-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000143774922005179/0001437749-22-005179-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2300000,-2200000,-6600000,-3600000,-7789589,-3729606,-3331027,-5276640,-9373319,-2287550,-9898708,-5638557,-8599377,-17617939,-28195339,13594176,-14528153,-17177333,-265463138,-39451324,-39697960,-36235484,421807828,-7241147,56342010,- -
74,Depreciation and Amortization,- -,100000,200000,400000,945401,556856,317032,739560,1054253,1327371,1555506,1248948,459882,475091,625343,568288,419358,463137,351561,247357,174275,132189,69630,526997,529814,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2718029,-9301422,-2417617,11606949,121446
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2141772,1483955,12463772,1779515,2263506,2435462,1574038,775541,1101031,2273177,2113994,1350948,- -
77,Change in Working Capital,-200000,-6100000,-3100000,-805768,2296141,-1113897,-594860,-124576,-273528,8764152,-3516440,-3895301,12522043,5981418,25616542,23174710,42522182,10591600,-218673,-66795504,-24776194,79398393,-21646464,44818605,45140653,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-446253,-596283,365041,-2104404,3759484,490391,-3185098,522360,1352263,-49723,-2208863,827733,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17641922,-2873427,1470872,6597389,-13762876,22690715,39,-6744644,-8009992,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7550989,-4566993,-3858565,1862779,-177342,- -,- -,- -,-2204381,- -
81,Other Working Capital,10400000,4300000,1200000,394232,2690373,1576476,981616,857040,583512,9347664,5831224,1935923,14457966,20439384,46055926,69230636,111752818,122344418,122125745,55330241,30554047,109952440,88305976,133124581,178265234,- -
82,Other Non-Cash Items,400000,6600000,4800000,905768,609660,1342198,960570,-670512,3702536,-9196424,7421637,2837077,-11580434,548829,-10355885,-24226910,-50415728,62295592,277071308,115534816,-52066443,-49836398,-324331426,-56005135,-43451146,-121446
83,Cash Provided by Operating Activities,-2100000,-1600000,-4700000,-3100000,-3938387,-2944449,-2648285,-5332168,-4890058,-1392451,-4438005,-5447833,-7197886,-8470829,-10825384,25574036,-20222826,58436502,14176520,11109383,-115590781,-8158298,68871323,-18204303,71519228,- -
84,CAPEX,- -,- -,-1900000,-100000,-98126,- -,-46235,-273560,-350688,-861941,-884182,-1243068,-340222,-340729,-549944,-237023,-588235,-857341,-28046,-108953,-23927,-100124,-102264,-29094,-15501,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4999300,-41235922,-25004717,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31250000,40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-100000,- -,-170000,- -,- -,- -,-1033022,- -,- -,- -,- -,-340729,-549944,-237023,-1936191,-857341,-3458439,3891047,1188664,-100124,78236562,-29094,-15501,-50620
89,Cash Used for Investing Activites,- -,- -,-2000000,100000,-268126,- -,-46235,-273560,-1383710,-861941,-884182,-1243068,-340222,-5340029,-10535866,14758260,-1936191,-857341,-3458439,3891047,1188664,-100124,78236562,-29094,-15501,-50620
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,-2000001,-2000000,- -,- -,- -,- -,-85913459,- -
91,Common Stock Issued,2300000,12200000,- -,- -,2987948,4713453,1796354,4988654,6853982,1791718,14296748,3013990,3186364,18565420,- -,- -,- -,- -,- -,- -,34596468,- -,- -,- -,97250,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1353656,- -,-178952,-415940,- -,-428009,-591067,- -,- -,-28502946,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,100000,1000000,-200000,1167409,-328229,-180990,-11206,- -,214225,-107520,-130329,-159027,7420232,13196990,3946237,4919577,9892055,102035,-3331,-3775546,5498,-3812561,-1176579,-281266,- -
95,Cash Used/Provided by Financing Activities,2200000,12300000,1000000,-200000,4155357,4385224,1615364,4977448,6853982,2005943,14189228,2883661,3027337,25985652,13196990,2592581,4919577,1713103,-2313906,-2003331,30392913,-585569,-3812561,-1176579,-114600421,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-3200000,-51156,1440775,-1079156,-628280,580214,-248449,8867041,-3807240,-4510771,12174794,-8164260,42924877,-17239440,59292264,8404175,12997099,-84009204,-8843991,143295324,-19409976,-43096694,- -
98,Cash at the End of Period,- -,- -,- -,1800000,1707385,3148160,2069004,1440724,2020938,1772489,10639530,6832290,2321519,14496313,6332053,49256930,32017490,91309754,99713929,112711028,28701824,19857833,180396910,160986934,117890240,103138819
99,Cash at the Beginning of Period,- -,- -,10700000,5000000,1758541,1707385,3148160,2069004,1440724,2020938,1772489,10639530,6832290,2321519,14496313,6332053,49256930,32017490,91309754,99713929,112711028,28701824,37101586,180396910,160986934,- -
100,Free Cash Flow,-2100000,-1600000,-6600000,-3200000,-4036513,-2944449,-2694520,-5605728,-5240746,-2254392,-5322187,-6690901,-7538108,-8811558,-11375328,25337013,-20811061,57579161,14148474,11000430,-115614708,-8258422,68769059,-18233397,71503727,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1010086/000089155498000343/0000891554-98-000343-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1010086/000116923203002587/0001169232-03-002587-index.html,- -,https://www.sec.gov/Archives/edgar/data/1010086/000116923205001896/0001169232-05-001896-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1010086/000116923209001367/0001169232-09-001367-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000120677410000542/0001206774-10-000542-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000120677411000458/0001206774-11-000458-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008612000005/0001010086-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008613000004/0001010086-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008614000006/0001010086-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008615000004/0001010086-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008616000019/0001010086-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008617000005/0001010086-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008618000003/0001010086-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008619000007/0001010086-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000101008620000006/0001010086-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000143774921005031/0001437749-21-005031-index.htm,https://www.sec.gov/Archives/edgar/data/1010086/000143774922005179/0001437749-22-005179-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
