,https://roic.ai/company/MNDO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,955000,485000,167000,718000,466000,686000,464000,741000,466000,450000,244000,749000,113000,525000,138000,237000,51000,113000,147000,2066000,1278000,839000
49,Short-Term Debt,- -,2901000,1486000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1486000,376000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1607000,1680000,1644000,1236000,1053000,1911000,2545000,3020000,2950000,2259000,4796000,3671000,3664000,4079000,3556000,1788000,1892000,2113000,2155000
52,Other Current Liabilities,- -,- -,- -,2509000,1116000,2124000,2531000,2750000,2619000,2015000,1581000,1236000,1214000,1151000,1153000,2306000,2264000,1233000,837000,1501000,2340000,768000,2265000
53,Total Current Liabilities,- -,3856000,1971000,2676000,3441000,4270000,4861000,4450000,4413000,4392000,4576000,4500000,4913000,3523000,6474000,6115000,6165000,5363000,4506000,3436000,6298000,5645000,5635000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1098000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216000,276000,633000,487000,357000,134000,426000,665000,138000,43000,103000,85000,154000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211000,157000
57,Other Non-Current Liabilities,- -,776000,772000,809000,998000,1200000,1049000,1482000,1504000,1537000,1472000,1702000,1456000,1615000,1804000,1687000,1786000,1687000,1712000,1517000,2758000,3357000,2361000
58,Total Non-Current Liabilities,- -,776000,772000,809000,998000,1200000,1049000,1482000,1504000,1537000,1688000,1978000,2089000,2102000,2161000,1821000,2212000,2352000,1850000,1560000,2861000,3653000,3770000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1275000,1838000,1474000
61,Total Liabilities,- -,4632000,2743000,3485000,4439000,5470000,5910000,5932000,5917000,5929000,6264000,6478000,7002000,5625000,8635000,7936000,8377000,7715000,6356000,4996000,9159000,9298000,9405000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,51000,52000,52000,53000,53000,53000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
64,Retained Earnings,- -,-12604000,-16994000,-16660000,-13027000,-8886000,-9967000,-12067000,-25984000,-32407000,-12620000,-7764000,-3473000,-3700000,-6047000,-564000,-1304000,-2293000,-2854000,-3084000,-3080000,-2472000,-1722000
65,Other Comprehensive Income/Loss,- -,-792000,-1373000,-2032000,-2437000,-2687000,-2909000,-3385000,-3715000,-4029000,-3900000,-4221000,-4200000,-4245000,-1397000,-1630000,-1000000,-1000000,-1000000,-1000000,-1000000,-522000,-836000
66,Other Total Stockholders Equity,- -,61572000,62306000,63122000,60951000,61766000,62308000,63257000,61454000,54816000,39153000,35914000,30638000,30997000,28379000,24551000,24098000,24524000,24822000,25012000,25962000,26059000,26230000
67,Total Stockholders Equity,- -,48227000,43991000,44482000,45540000,50246000,49485000,47859000,31809000,18434000,22687000,23983000,23019000,23106000,20989000,22411000,21848000,21285000,21022000,20982000,21936000,23119000,23726000
68,Total Liabilities And Stockholders Equity,- -,52859000,46734000,47967000,49979000,55716000,55395000,53791000,37726000,24363000,28951000,30461000,30021000,28731000,29624000,30347000,30225000,29000000,27378000,25978000,31095000,32417000,33131000
69,Minority Interest,- -,89000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,52948000,46734000,47967000,49979000,55716000,55395000,53791000,37726000,24363000,28951000,30461000,30021000,28731000,29624000,30347000,30225000,29000000,27378000,25978000,31095000,32417000,33131000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119083/000111908306000012/mind20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000111908306000014/mind20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000111908307000007/mind20f-2006.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420408037969/v118730_20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1119083/000114420410034542/v188762_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420411036451/v226365_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420412023296/v305647_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420413022899/v340719_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420414022276/v374308_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420415023137/v406726_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420416093563/v436066_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000121390017003411/f20f2016_mindctiltd.htm,https://www.sec.gov/Archives/edgar/data/1119083/000121390018004555/f20f2017_mindctiltd.htm,https://www.sec.gov/Archives/edgar/data/1119083/000121390019004589/0001213900-19-004589-index.html,https://www.sec.gov/Archives/edgar/data/1119083/000121390020006721/0001213900-20-006721-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1514000,3748000,-4390000,334000,3633000,6877000,4062000,909000,-11955000,-6423000,19787000,4856000,4291000,4278000,2185000,5483000,5018000,4203000,5612000,5134000,5065000,5383000,5947000
74,Depreciation and Amortization,196000,379000,805000,944000,806000,680000,987000,1391000,950000,1088000,778000,582000,295000,270000,250000,233000,173000,161000,104000,84000,151000,200000,194000
75,Deferred Income Tax,294000,-485000,-4000,16000,-8000,- -,- -,-293000,78000,248000,113000,- -,-277000,138000,-157000,101000,-46000,146000,63000,-2000,-2000,-128000,-96000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332000,- -,- -,72000,138000,136000,182000,224000,200000,213000,171000
77,Change in Working Capital,-1147000,-1700000,1109000,1886000,415000,-82000,-3999000,-1912000,108000,1013000,2975000,-385000,-268000,-12000,2775000,-2081000,811000,614000,-2232000,-1133000,1273000,789000,604000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2214000,-352000,-168000,913000,-390000,-1354000,352000,1145000,-141000,-750000,805000,1073000,243000
79,Inventory,51000,17000,-6000,12000,3000,-7000,-12000,-5000,-9000,8000,2000,4000,1000,16000,3000,- -,1000,4000,1000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000,-207000,505000,-639000,412000,-387000,99000,-186000,62000,34000,138000,-901000,-363000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-591000,- -,536000,288000,-842000,2413000,-1346000,285000,654000,-1050000,-1569000,153000,203000,111000
82,Other Non-Cash Items,172000,479000,498000,-1479000,-2005000,195000,-189000,498000,15490000,8186000,-17387000,1251000,12000,262000,137000,33000,203000,-16000,-983000,159000,-6000,42000,78000
83,Cash Provided by Operating Activities,1029000,2421000,-1982000,1701000,2841000,7670000,861000,593000,4671000,4112000,6266000,6304000,4385000,4936000,5190000,3841000,6297000,5244000,2746000,4466000,6681000,6499000,6898000
84,CAPEX,-526000,-1355000,-831000,-180000,-499000,-1226000,-589000,-379000,-445000,-436000,-367000,-171000,-401000,-169000,-240000,-201000,-146000,-68000,-71000,-46000,-52000,-68000,-82000
85,Acquisitions Net,-1410000,- -,-1000000,- -,- -,- -,-4233000,- -,-4979000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1169000,- -,-2310000,- -,- -
86,Purchases of Investments,- -,- -,- -,-30000000,-77000000,-40000000,-10000000,-10000000,-166300000,- -,-2183000,-208000,-3898000,-1432000,-5563000,-3840000,-210000,-4191000,-2294000,-2612000,- -,-385000,-6891000
87,Sales/Maturities of Investments,811000,- -,- -,- -,70308000,50000000,10000000,30000000,178796000,- -,18500000,- -,1636000,444000,- -,522000,- -,1730000,326000,1846000,4546000,545000,1370000
88,Other Investing Activites,19000,540000,130000,49000,4000,25000,269000,43000,119000,-6000,-222000,-682000,79000,84000,26000,3637000,3021000,82000,93000,-105000,-139000,-126000,-86000
89,Cash Used for Investing Activites,-1106000,-815000,-1701000,-30131000,-7187000,8799000,-4553000,19664000,7191000,-442000,15728000,-1061000,-2584000,-1073000,-5777000,118000,2665000,-2447000,-777000,-917000,2045000,-34000,-5689000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,2313000,41134000,33000,19000,354000,563000,322000,149000,95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1631000,-1169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-393000,-2013000,- -,- -,-2929000,-2736000,-5143000,-3009000,-4318000,-4319000,-14780000,-3686000,-5968000,-4505000,-4532000,-4544000,-5758000,-5192000,-6173000,-5799000,-5061000,-4775000,-5197000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,399000,41000,73000,424000,171000,85000,53000,39000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,1920000,39121000,33000,19000,-2575000,-2173000,-4821000,-2860000,-4223000,-5950000,-15949000,-3611000,-5569000,-4464000,-4459000,-4120000,-5587000,-5107000,-6120000,-5760000,-5061000,-4775000,-5197000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-388000,228000,-45000,52000,45000,-52000,49000,- -,- -,- -,- -,11000,91000,-90000
97,Net Change In Cash,1843000,40727000,-3650000,-28411000,-6921000,14296000,-8513000,17397000,7619000,-2668000,6273000,1587000,-3716000,-556000,-5098000,-112000,3375000,-2310000,-4151000,-2211000,3676000,1781000,-4078000
98,Cash at the End of Period,2646000,43373000,39723000,11312000,4391000,18687000,10174000,27571000,12390000,9722000,15995000,17582000,13866000,13310000,8212000,8100000,11475000,9165000,5014000,2803000,6479000,8260000,4182000
99,Cash at the Beginning of Period,803000,2646000,43373000,39723000,11312000,4391000,18687000,10174000,4771000,12390000,9722000,15995000,17582000,13866000,13310000,8212000,8100000,11475000,9165000,5014000,2803000,6479000,8260000
100,Free Cash Flow,503000,1066000,-2813000,1521000,2342000,6444000,272000,214000,4226000,3676000,5899000,6133000,3984000,4767000,4950000,3640000,6151000,5176000,2675000,4420000,6629000,6431000,6816000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1119083/000111908306000012/mind20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000111908306000014/mind20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000111908307000007/mind20f-2006.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420408037969/v118730_20f.htm,- -,https://www.sec.gov/Archives/edgar/data/1119083/000114420410034542/v188762_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420411036451/v226365_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420412023296/v305647_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420413022899/v340719_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420414022276/v374308_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420415023137/v406726_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000114420416093563/v436066_20f.htm,https://www.sec.gov/Archives/edgar/data/1119083/000121390017003411/f20f2016_mindctiltd.htm,https://www.sec.gov/Archives/edgar/data/1119083/000121390018004555/f20f2017_mindctiltd.htm,https://www.sec.gov/Archives/edgar/data/1119083/000121390019004589/0001213900-19-004589-index.html,https://www.sec.gov/Archives/edgar/data/1119083/000121390020006721/0001213900-20-006721-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
