,https://roic.ai/company/GCI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,3400000,2821000,3988000,7786000,- -,8282000,76297000,90240000,32399000
44,Other Non-Current Assets,- -,5784000,4798000,7900000,3523000,1704000,-2854000,7178000,1574000,112876000,143474000,284228000
45,Total Non-Current Assets,- -,397340000,354031000,552800000,580914000,865210000,965682000,1020349000,1146255000,3240987000,2472228000,2250808000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,510802000,469766000,693400000,820826000,1197120000,1336030000,1283546000,1443864000,4020102000,3108914000,2828069000
48,Accounts Payable,- -,8216000,9396000,11000000,9306000,9571000,19105000,15750000,16612000,146995000,131797000,- -
49,Short-Term Debt,- -,4600000,6648000,4312000,2250000,3509000,14387000,2716000,12395000,3300000,128445000,69456000
50,Tax Payable,- -,- -,- -,- -,3029000,5503000,3504000,4631000,6329000,18073000,30834000,- -
51,Deferred Revenue,- -,27171000,25217000,30620000,35806000,62294000,77987000,88164000,105187000,218823000,186007000,184838000
52,Other Current Liabilities,- -,31540000,31776000,56468000,47711000,100173000,84389000,97027000,113650000,349335000,295051000,408232000
53,Total Current Liabilities,- -,71527000,73037000,102400000,95073000,175547000,195868000,203657000,247844000,718453000,741300000,662526000
54,Long-Term Debt,- -,1176638000,1167450000,177700000,219802000,350266000,338860000,357195000,428180000,1639635000,1471728000,1417769000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,7090000,3988000,7786000,8080000,8282000,9052000,6855000,28812000
57,Other Non-Current Liabilities,- -,68269000,63438000,17900000,14734000,20246000,38543000,40221000,42335000,671606000,524922000,189347000
58,Total Non-Current Liabilities,- -,1244907000,1230888000,195600000,241626000,374500000,385189000,405496000,478797000,2320293000,2003505000,1635928000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,297662000,274460000,254969000
61,Total Liabilities,- -,1316434000,1303925000,298000000,336699000,550047000,581057000,609153000,726641000,3038746000,2744805000,2298454000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,568000,568000,300000,375000,445000,531000,534000,605000,1294000,1395000,1446000
64,Retained Earnings,- -,-1581114000,-1610917000,7200000,4001000,44753000,16293000,-2767000,3767000,-115958000,-786437000,-921399000
65,Other Comprehensive Income/Loss,- -,-54359000,-52642000,458000,-4469000,-3158000,-3977000,-5461000,-6881000,8202000,50173000,59998000
66,Other Total Stockholders Equity,- -,830939000,831034000,387404000,484220000,605033000,742126000,682087000,719732000,1087818000,1098978000,1392055000
67,Total Stockholders Equity,- -,-803966000,-831957000,395362000,484127000,647073000,754973000,674393000,717223000,981356000,364109000,532100000
68,Total Liabilities And Stockholders Equity,- -,512468000,471968000,693362000,820826000,1197120000,1336030000,1283546000,1443864000,4020102000,3108914000,2830554000
69,Minority Interest,- -,-1666000,-2202000,38000,- -,- -,- -,- -,- -,- -,- -,-2485000
70,Total Liabilities & Equity,- -,510802000,469766000,693400000,820826000,1197120000,1336030000,1283546000,1443864000,4020102000,3108914000,2828069000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579684/000119312515080982/d869108d10k.htm,https://www.sec.gov/Archives/edgar/data/1579684/000119312516478629/0001193125-16-478629-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968417000005/0001579684-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968418000003/0001579684-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1635718/000163571819000008/0001635718-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000006/0001579684-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968421000009/0001579684-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1579684/000157968422000010/0001579684-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-26044000,-21649000,-29803000,794600000,-3205000,67614000,31641000,-915000,18196000,-119842000,-670479000,-134962000
74,Depreciation and Amortization,46122000,43393000,40627000,40100000,41450000,67752000,67774000,74394000,84791000,111882000,263819000,203958000
75,Deferred Income Tax,- -,- -,- -,- -,2821000,1167000,-2862000,294000,202000,-87765000,-30175000,44970000
76,Stock Based Compensation,1715000,462000,95000,- -,59000,1319000,2442000,3135000,3156000,11324000,26350000,18439000
77,Change in Working Capital,-5950000,45077000,763000,-4498000,106639000,11524000,18117000,-114940000,-9775000,10897000,-165276000,-74918000
78,Accounts Receivable,6157000,2478000,3448000,-16700000,1781000,-4255000,14880000,4981000,15000,12608000,111506000,-33246000
79,Inventory,-682000,1714000,-2000,-1700000,1226000,2701000,-999000,1073000,-4336000,5150000,19965000,-2824000
80,Accounts Payable,-170000,2311000,1322000,-1600000,-4292000,-14666000,6010000,-3996000,-2530000,3958000,- -,- -
81,Other Working Capital,-3142000,41935000,42698000,38200000,144839000,156363000,174480000,59540000,49765000,60662000,-104614000,-10967000
82,Other Non-Cash Items,10610000,-44844000,11817000,-820002000,-106318000,-34057000,-18751000,148838000,12989000,99039000,633531000,69966000
83,Cash Provided by Operating Activities,26453000,22439000,23499000,10200000,41446000,115319000,98361000,110806000,109559000,25535000,57770000,127453000
84,CAPEX,-4780000,-3330000,-4687000,-5200000,-5012000,-10155000,-10631000,-11090000,-11639000,-13978000,-36975000,-39560000
85,Acquisitions Net,- -,- -,- -,- -,-77618000,-431126000,-137486000,-164155000,-204877000,-796502000,- -,-125000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,4156000,2599000,3643000,1000000,1027000,142583000,3284000,14972000,15040000,25420000,197111000,110332000
89,Cash Used for Investing Activites,-624000,-731000,-1044000,-4200000,-81603000,-298698000,-144833000,-160273000,-201476000,-785060000,160136000,70647000
90,Debt Repayment,-10513000,-11249000,-7140000,- -,-202630000,-107135000,-3509000,-14443000,-23093000,-832908000,-681050000,-2171058000
91,Common Stock Issued,7000,- -,- -,- -,116737000,150866000,135849000,- -,111099000,- -,4000,- -
92,Common Stock Repurchased,-11504000,- -,- -,- -,- -,- -,-417000,-5665000,-792000,-1002000,- -,- -
93,Dividends Paid,- -,- -,- -,-149000000,-18212000,-57360000,-59760000,-75608000,-87195000,-91936000,- -,- -
94,Other Financing Activites,- -,- -,- -,140300000,236160000,219937000,-83000,15993000,98506000,1824759000,479704000,1909886000
95,Cash Used/Provided by Financing Activities,-22010000,-11249000,-7140000,-8700000,132055000,206308000,72080000,-79723000,98525000,898913000,-201342000,-261172000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3494000,1498000,-35000
97,Net Change In Cash,3819000,10459000,15315000,-2700000,91898000,22929000,25608000,-129190000,6608000,135894000,18062000,-63107000
98,Cash at the End of Period,8753000,19212000,34527000,31800000,123709000,146638000,172246000,43056000,52770000,188664000,206726000,143619000
99,Cash at the Beginning of Period,4934000,8753000,19212000,34500000,31811000,123709000,146638000,172246000,46162000,52770000,188664000,206726000
100,Free Cash Flow,21673000,19109000,18812000,5000000,36434000,105164000,87730000,99716000,97920000,11557000,20795000,87893000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579684/000119312515080982/d869108d10k.htm,https://www.sec.gov/Archives/edgar/data/1579684/000119312516478629/0001193125-16-478629-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968417000005/0001579684-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968418000003/0001579684-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1635718/000163571819000008/0001635718-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968420000006/0001579684-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1579684/000157968421000009/0001579684-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1579684/000157968422000010/0001579684-22-000010-index.htm
102,false,,,,,,,,,,,,
