,https://roic.ai/company/VIRT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,100989000,89328000,187600000,193558000,215929000,179591000,113164000,696363000,-115982000,1382837000,996904000
21,Income Before Tax Ratio,0.2190,0.1451,0.2823,0.2677,0.2712,0.2557,0.1101,0.3707,-0.0758,0.4269,0.3546
22,Income Tax expense (Gain),11697000,1768000,5397000,3501000,18439000,21251000,94266000,76171000,-12277000,261924000,169670000
23,Net Income,89292000,87560000,182203000,190057000,20887000,32980000,2939000,289441000,-58595000,1120913000,476878000
24,Net Income ratio,0.1936,0.1422,0.2742,0.2629,0.0262,0.0470,0.0029,0.1541,-0.0383,0.3460,0.1696
25,EPS,2.81,2.75,5.73,5.97,0.60,0.88,0.26,2.82,-0.53,5.19,3.92
26,EPS Diluted,2.81,2.75,5.73,5.97,0.59,0.88,0.26,2.78,-0.53,5.16,3.90
27,Weighted Average Shares Outstanding,31825212,31825212,31825212,31825212,34964312,38539091,62579147,100875793,113918103,121692443,121692443
28,Weighted Average Shares Outstanding Diluted,31825212,31825212,31825212,31825212,35339585,38539091,62579147,102089138,113918103,122332190,122332190
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592386/000155837016004397/0001558370-16-004397-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000155837017001698/0001558370-17-001698-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000155837018002007/0001558370-18-002007-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000159238619000003/0001592386-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000159238620000003/0001592386-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000159238621000005/0001592386-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1592386/000159238622000041/0001592386-22-000041-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,39978000,66010000,75864000,163235000,181415000,532887000,736047000,732164000,889559000,1071463000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4256955000
33,Cash and Short-Term Investments,- -,39978000,66010000,75864000,163235000,181415000,532887000,736047000,732164000,889559000,5328418000
34,Net Receivables,- -,366143000,427741000,387652000,476536000,448728000,972018000,1101449000,1422115000,- -,1173283000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,55070000,- -,41116000,- -,-4207465000
37,Total Current Assets,- -,406121000,493751000,463516000,639771000,630143000,1559975000,1837496000,2195395000,889559000,2294236000
38,PP&E,- -,31459000,37585000,44644000,37501000,29660000,137018000,113322000,430615000,113590000,314923000
39,Goodwill,- -,715379000,715379000,715379000,715379000,715379000,844883000,836583000,1148926000,1148926000,1148926000
40,Intangible Assets,- -,2637000,1626000,1414000,1203000,992000,111225000,83989000,529638000,454499000,386332000
41,Intangible Assets,- -,718016000,717005000,716793000,716582000,716371000,956108000,920572000,1678564000,1603425000,1535258000
42,Investments,- -,2011966000,2674124000,2060705000,1765491000,2047887000,4183794000,4055080000,4837485000,4563613000,5725730000
43,Tax Assets,- -,- -,- -,- -,193740000,193859000,125760000,200359000,214671000,- -,158518000
44,Other Non-Current Assets,- -,41385000,41105000,38903000,38845000,74470000,357351000,254149000,252640000,-4563613000,291306000
45,Total Non-Current Assets,- -,2802826000,3469819000,2861045000,2752159000,3062247000,5760031000,5543482000,7413975000,1717015000,8025735000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3208947000,3963570000,3324561000,3391930000,3692390000,7320006000,7380978000,9609370000,2606574000,10319971000
48,Accounts Payable,- -,80173000,80921000,93331000,86775000,69281000,358825000,294975000,399168000,491818000,457942000
49,Short-Term Debt,- -,351243000,591408000,502833000,538589000,25000000,418525000,296989000,414228000,525921000,575835000
50,Tax Payable,- -,- -,- -,- -,218399000,231404000,147040000,214403000,269282000,271165000,259282000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,252508000,22504000,185376000,211414000,927382000,863245000,781844000,1185751000,-461235000,885807000
53,Total Current Liabilities,- -,683924000,694833000,781540000,836778000,1021663000,1640595000,1373808000,1999147000,556504000,1919584000
54,Long-Term Debt,- -,737328000,1537037000,998689000,1018192000,787160000,2143235000,2037076000,3517965000,1639280000,3025925000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000
57,Other Non-Current Liabilities,- -,1347460000,1528412000,1332067000,979090000,1349155000,2384598000,2475395000,2863322000,- -,3510779000
58,Total Non-Current Liabilities,- -,2084788000,3065449000,2330756000,1997282000,2136315000,4527833000,4512471000,6381287000,1639280000,6536769000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9193536000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,365364000,315340000,278745000
61,Total Liabilities,- -,2768712000,3760282000,3112296000,2834060000,3157978000,6168428000,5886279000,8380434000,8110760000,8456353000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,508637000,275988000,307353000,1000,1000,2000,2000,2000,1000,2000
64,Retained Earnings,- -,-68347000,-74027000,-91383000,3525000,-1254000,-62129000,96513000,-90374000,422381000,830538000
65,Other Comprehensive Income/Loss,- -,-55000,1327000,-3705000,99000,-252000,2991000,-82000,-647000,-25487000,-10196000
66,Other Total Stockholders Equity,- -,- -,- -,- -,127083000,147178000,889705000,955463000,1022393000,1071645000,- -
67,Total Stockholders Equity,- -,440235000,203288000,212265000,130708000,145673000,830569000,1051896000,931374000,1468540000,1549388000
68,Total Liabilities And Stockholders Equity,- -,3208947000,3963570000,3324561000,2964768000,3303651000,6998997000,6938175000,9311808000,9579300000,10005741000
69,Minority Interest,- -,- -,- -,- -,427162000,388739000,321009000,442803000,297562000,-6972726000,314230000
70,Total Liabilities & Equity,- -,3208947000,3963570000,3324561000,3391930000,3692390000,7320006000,7380978000,9609370000,2606574000,10319971000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592386/000155837016004397/0001558370-16-004397-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000155837017001698/0001558370-17-001698-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000155837018002007/0001558370-18-002007-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000159238619000003/0001592386-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000159238620000003/0001592386-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000159238621000005/0001592386-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1592386/000159238622000041/0001592386-22-000041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,89292000,87560000,182203000,190057000,20887000,32980000,2939000,289441000,-58595000,1120913000,476878000
74,Depreciation and Amortization,49894000,89629000,24933000,30652000,33840000,29914000,62774000,87277000,136239000,140995000,137484000
75,Deferred Income Tax,- -,- -,- -,- -,3985000,13313000,102973000,4131000,-18691000,21601000,34617000
76,Stock Based Compensation,7420000,8398000,13441000,14234000,61878000,22866000,26259000,31934000,71728000,59838000,55751000
77,Change in Working Capital,10477000,72010000,76721000,-116942000,121017000,-194513000,310900000,544308000,-267440000,136807000,86370000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,29733000,-110947000,68002000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,18333000,3479000,508000,7120000,-13392000,-14684000,17860000,-78985000,-37665000,81954000,-36258000
81,Other Working Capital,-349813000,-277803000,-201082000,-318024000,-197007000,-391520000,-80620000,463688000,196248000,333055000,- -
82,Other Non-Cash Items,1602000,-97151000,-37937000,154698000,18673000,335039000,-215271000,-242496000,305530000,-419270000,380526000
83,Cash Provided by Operating Activities,158685000,160446000,259361000,272699000,260280000,239599000,290574000,714595000,168771000,1060884000,1171626000
84,CAPEX,-13261000,-27056000,-32016000,-36159000,-24299000,-20263000,-33090000,-47949000,-57812000,-60359000,-60070000
85,Acquisitions Net,-533714000,-1300000,- -,- -,- -,-38754000,-804926000,376523000,-841831000,50180000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7620000,- -
88,Other Investing Activites,-6326000,-11224000,-10085000,-8039000,-8028000,-8404000,-14158000,-20882000,-48492000,-31471000,-62787000
89,Cash Used for Investing Activites,-546975000,-28356000,-32016000,-36159000,-24299000,-59017000,-838016000,329174000,-899643000,-2559000,-87349000
90,Debt Repayment,-73027000,-48000000,-13917000,-80086000,-2914000,-3825000,-737460000,-500000000,-500000000,-288500000,-36737000
91,Common Stock Issued,271598000,- -,- -,3048000,335148000,16677000,735974000,- -,- -,- -,- -
92,Common Stock Repurchased,-10258000,-352000,-573000,-3964000,-291874000,-24020000,-13826000,-75384000,-16449000,-49864000,-430907000
93,Dividends Paid,-120868000,-134408000,-433400000,-140652000,-147362000,-37759000,-63814000,-100329000,-112414000,-120496000,-548017000
94,Other Financing Activites,349113000,54000000,245195000,- -,-37353000,-112310000,968923000,-159769000,1398443000,-381058000,57802000
95,Cash Used/Provided by Financing Activities,416558000,-128760000,-202695000,-221654000,-144355000,-161237000,889797000,-835482000,769580000,-839918000,-957859000
96,Effect of Forex Changes on Cash,-28000,548000,1382000,-5032000,-4255000,-1165000,9117000,-5127000,-1475000,15318000,-12470000
97,Net Change In Cash,28240000,3878000,26032000,9854000,87371000,18180000,351472000,203160000,37233000,233725000,113948000
98,Cash at the End of Period,36100000,39978000,66010000,75864000,163235000,181415000,532887000,736047000,773280000,1007005000,1120953000
99,Cash at the Beginning of Period,7860000,36100000,39978000,66010000,75864000,163235000,181415000,532887000,736047000,773280000,1007005000
100,Free Cash Flow,145424000,133390000,227345000,236540000,235981000,219336000,257484000,666646000,110959000,1000525000,1111556000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592386/000155837016004397/0001558370-16-004397-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000155837017001698/0001558370-17-001698-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000155837018002007/0001558370-18-002007-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000159238619000003/0001592386-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000159238620000003/0001592386-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1592386/000159238621000005/0001592386-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1592386/000159238622000041/0001592386-22-000041-index.htm
102,false,,,,,,,,,,,
