,https://roic.ai/company/EURN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,214067599,172537562,291638000,261906000,290076000,338279000,640184000,194628000,261902000,127638000,-58624000,136280000,199280000,597247000,470993000,271004000,228341000,539723000,860570000,100951000
16,EBITDA ratio,0.2531,0.3011,0.6773,0.4576,0.4281,0.6371,0.7476,0.4219,0.4988,0.3236,-0.1427,0.3399,0.4204,0.7055,0.6883,0.5279,0.3806,0.5789,0.6992,0.2405
17,Operating Income,32529880,5037593,257425000,255515000,288507000,190329000,513896000,31362000,88152000,-40156000,-60953000,-28918000,11527000,351972000,208220000,13406000,-74578000,195603000,534322000,-281573000
18,Operating Income ratio,0.0385,0.0088,0.5978,0.4464,0.4257,0.3585,0.6001,0.0680,0.1679,-0.1018,-0.1484,-0.0721,0.0243,0.4158,0.3043,0.0261,-0.1243,0.2098,0.4341,-0.6708
19,Total Other Income Expenses (Gains),-2098702,74304497,-11524000,-45175000,-69205000,-87784000,-108914000,-49694000,-68358000,-55712000,-58705000,-60997000,-63027000,3962000,-4345000,-13381000,-35254000,-82771000,-70057000,-80607000
20,Income Before Tax,30431178,79342090,245901000,210340000,219302000,102545000,404982000,-18332000,19794000,-95868000,-119658000,-89915000,-51500000,355934000,203875000,25000,-109832000,112832000,464265000,-362180000
21,Income Before Tax Ratio,0.0360,0.1385,0.5710,0.3675,0.3236,0.1931,0.4729,-0.0397,0.0377,-0.2430,-0.2914,-0.2243,-0.1086,0.4205,0.2979,0.0000,-0.1830,0.1210,0.3772,-0.8628
22,Income Tax expense (Gain),- -,- -,9399000,920000,1260000,1490000,2513000,-718000,114000,118000,-726000,178000,-5700000,-5633000,174000,1358000,-238000,602000,1944000,-427000
23,Net Income,26233774,76823294,236502000,209420000,218042000,101055000,402469000,-17614000,19680000,-95986000,-118931000,-89683000,-45800000,350301000,204049000,1383000,-110070000,112230000,473238000,-339157000
24,Net Income ratio,0.0310,0.1341,0.5492,0.3659,0.3218,0.1903,0.4700,-0.0382,0.0375,-0.2433,-0.2896,-0.2237,-0.0966,0.4138,0.2982,0.0027,-0.1834,0.1204,0.3845,-0.8080
25,EPS,0.62,1.83,5.63,3.99,4.15,1.93,7.86,-0.35,0.39,-1.92,-2.38,-1.79,-0.39,2.25,1.29,0.01,-0.57,0.52,2.25,-1.68
26,EPS Diluted,0.62,1.83,5.63,3.99,4.15,1.93,7.86,-0.35,0.39,-1.92,-2.38,-1.79,-0.39,2.22,1.29,0.01,-0.57,0.52,2.25,-1.68
27,Weighted Average Shares Outstanding,42016807,42016807,42016807,52518862,52518862,52419503,51183562,50000000,50000000,50000000,50000000,50230438,116539018,155872171,158262268,158166534,191994398,216029171,210193707,201677981
28,Weighted Average Shares Outstanding Diluted,42016807,42016807,42016807,52518862,52518862,52419503,51183562,56474307,50000000,50000000,50000000,50230438,116539018,157529562,158429057,158297057,191994398,216029171,210206276,201773240
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604481/000091957416012266/d7100196_20-f.htm,https://www.sec.gov/Archives/edgar/data/1604481/000091957417003437/d7461142_20-f.htm,https://www.sec.gov/Archives/edgar/data/1604481/000160448118000007/a20f2017.htm,https://www.sec.gov/Archives/edgar/data/1604481/000160448119000006/a20f2018.htm,https://www.sec.gov/Archives/edgar/data/1604481/000160448120000004/a20f2019.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,38825986,11334584,61761000,51388000,63239000,60767000,206263000,185479000,166893000,185414000,145840000,120750000,254100000,131663000,206689000,143648000,173133000,296954000,161478000,152528000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,38825986,11334584,61761000,51388000,63239000,60767000,206263000,185479000,166893000,185414000,145840000,120750000,254100000,131663000,206689000,143648000,173133000,296954000,161478000,152528000
34,Net Receivables,64010410,70526303,146647000,162556000,110959000,120824000,120439000,100637000,110322000,106460000,73371000,84046000,163300000,198792000,145550000,112191000,264134000,287461000,214615000,247331000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183382000,75780000,69035000
36,Other Current Assets,164748103,170018765,- -,956000,694000,707000,14840000,- -,29868000,- -,78220000,73398000,120500000,44597000,21149000,24797000,83874000,34452000,- -,- -
37,Total Current Assets,267584499,251879652,208408000,214900000,174892000,182298000,341542000,286116000,307083000,291874000,297431000,278194000,537900000,375052000,373388000,280636000,521141000,802249000,451873000,468894000
38,PP&E,1780748607,855131418,776862000,1981276000,2155824000,920000,2278551000,2499428000,2336037000,2158816000,2062061000,1865685000,2276200000,2382976000,2470076000,2336831000,3522010000,3238435000,3127091000,3179299000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,67000,16866000,8745000,701000,165000,335000,447000,241000,78000,32000,- -,238000,156000,72000,105000,39000,162000,- -
41,Intangible Assets,- -,- -,67000,16866000,8745000,701000,165000,335000,447000,241000,78000,32000,- -,238000,156000,72000,105000,39000,162000,186000
42,Investments,185735123,44078939,611000,4293000,1000,13000,529000,2000,1000,1000,2000,410000,17333000,21638000,18414000,30596000,43183000,50323000,51704000,70614000
43,Tax Assets,- -,- -,1192000,759000,723000,523000,456000,431000,293000,205000,963000,880000,- -,- -,- -,- -,- -,- -,1357000,1546000
44,Other Non-Current Assets,0,- -,- -,11000,9000,2090238000,- -,354000,353000,179000,2344000,3772000,264967000,260842000,184877000,162838000,40912000,73797000,54585000,57091000
45,Total Non-Current Assets,1966483730,899210357,778732000,2003205000,2165302000,2092395000,2279701000,2500550000,2337131000,2159442000,2065448000,1870779000,2558500000,2665694000,2673523000,2530337000,3606210000,3362594000,3234899000,3308736000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2234068229,1151090009,987140000,2218105000,2340194000,2274693000,2621243000,2786666000,2644214000,2451316000,2362879000,2148973000,3096400000,3040746000,3046911000,2810973000,4127351000,4164843000,3686772000,3777630000
48,Accounts Payable,- -,- -,59243000,12311000,16142000,90264000,143428000,110843000,82790000,78817000,14756000,32068000,21800000,23034000,18107000,19274000,16266000,22737000,85149000,93399000
49,Short-Term Debt,- -,- -,44677000,109017000,122327000,236551000,117431000,135735000,168568000,170162000,168336000,183980000,169427000,100022000,119119000,97371000,198879000,221205000,117588000,236493000
50,Tax Payable,- -,- -,20000,849000,65000,46000,265000,3000,7000,- -,- -,21000,1000,1000,- -,11000,41000,49000,629000,366000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13329000,12548000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1583470623,743044973,231000,57429000,71687000,46000,265000,5003000,7000,- -,113349000,69541000,104173000,56451000,51869000,42095000,71977000,72108000,856000,628000
53,Total Current Liabilities,1583470623,743044973,104151000,178757000,210156000,326861000,261124000,251581000,251365000,248979000,309770000,298137000,295400000,179507000,189095000,158740000,287122000,316050000,203593000,330520000
54,Long-Term Debt,- -,- -,449899000,1129988000,1049785000,961248000,1079744000,1383459000,1249503000,1180560000,1119741000,995599000,1319400000,952426000,966443000,801349000,1569631000,1523654000,1134653000,1475687000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1679000,739000,- -,- -,922000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,650597605,408045036,2424000,2302000,57770000,2092000,101127000,79997000,64838000,40789000,66348000,54247000,8900000,3064000,3417000,4523000,10075000,13284000,37206000,11221000
58,Total Non-Current Liabilities,650597605,408045036,454002000,1133029000,1107555000,963340000,1181793000,1463456000,1314341000,1221349000,1186089000,1049846000,1328300000,955490000,969860000,805872000,1579706000,1536938000,1171859000,1486908000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,63866000,- -,35680000,27495000,18509000,8616000,- -,- -,- -,- -,- -,- -,- -,75624000,66921000,39051000
61,Total Liabilities,2234068229,1151090009,558153000,1311786000,1317711000,1290201000,1442917000,1715037000,1565706000,1470328000,1495859000,1347983000,1623700000,1134997000,1158955000,964612000,1866828000,1852988000,1375452000,1817428000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,94441588,62969913,45000000,56248000,56248000,56248000,56248000,56248000,56248000,56248000,56248000,58937000,142400000,173046000,173046000,173046000,239148000,239148000,239148000,239148000
64,Retained Earnings,- -,- -,376178000,495226000,612236000,595492000,830448000,719824000,733180000,637194000,518262000,428309000,359200000,529809000,515665000,473622000,335764000,420058000,540248000,179760000
65,Other Comprehensive Income/Loss,438628708,328702946,1198000,1782000,936000,- -,- -,-11444000,-17921000,-19455000,-14491000,-5768000,379000,-50000,120000,568000,-2287000,-4284000,-6521000,2849000
66,Other Total Stockholders Equity,20987020,11334584,6611000,353063000,353063000,332752000,291630000,307001000,307001000,307001000,307001000,319512000,970729000,1202944000,1199125000,1199125000,1687898000,1656933000,1538911000,1538445000
67,Total Stockholders Equity,554057316,403007443,428987000,906319000,1022483000,984492000,1178326000,1071629000,1078508000,980988000,867020000,800990000,1472708000,1905749000,1887956000,1846361000,2260523000,2311855000,2311786000,1960202000
68,Total Liabilities And Stockholders Equity,2788125544,1554097452,987140000,2218105000,2340194000,2274693000,2621243000,2786666000,2644214000,2451316000,2362879000,2148973000,3096408000,3040746000,3046911000,2810973000,4127351000,4164843000,3687238000,3777630000
69,Minority Interest,-554057316,-403007443,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000,- -,- -,- -,- -,- -,-466000,- -
70,Total Liabilities & Equity,2234068229,1151090009,987140000,2218105000,2340194000,2274693000,2621243000,2786666000,2644214000,2451316000,2362879000,2148973000,3096400000,3040746000,3046911000,2810973000,4127351000,4164843000,3686772000,3777630000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604481/000091957416012266/d7100196_20-f.htm,https://www.sec.gov/Archives/edgar/data/1604481/000091957417003437/d7461142_20-f.htm,https://www.sec.gov/Archives/edgar/data/1604481/000160448118000007/a20f2017.htm,https://www.sec.gov/Archives/edgar/data/1604481/000160448119000006/a20f2018.htm,https://www.sec.gov/Archives/edgar/data/1604481/000160448120000004/a20f2019.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,26233774,76823294,236502000,209420000,218042000,101055000,402469000,-17614000,19680000,-95986000,-118931000,-89683000,-45800000,350301000,204049000,1383000,-110070000,112230000,473238000,-339157000
74,Depreciation and Amortization,135366276,60451116,45737000,- -,- -,153698000,144873000,163903000,172147000,168523000,- -,167362000,160954000,210206000,227763000,229872000,270693000,337702000,319751000,344994000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000,-5743000,5633000,-174000,-1358000,239000,602000,1944000,-427000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183000,3994000,1637000,406000,313000,37000,- -,- -,- -
77,Change in Working Capital,-8394808,32744355,- -,- -,49695000,-856000,62585000,-17113000,-38043000,3338000,19435000,-51285000,-112280000,-57692000,38487000,22083000,-114533000,-165419000,180576000,-20504000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3210000,-23755000,12330000,-755000,5938000,-23589000,-41001000,85830000,-34972000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-161121000,107602000,6745000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17313000,-10512000,1190000,-6817000,1165000,-8181000,6471000,4490000,8272000
81,Other Working Capital,-8394808,32744355,- -,- -,49695000,- -,- -,- -,- -,- -,- -,-9579000,-34713000,17811000,-2984000,-6599000,-5029000,10505000,-17900000,-6250000
82,Other Non-Cash Items,-139563680,-62969913,-84865000,104748000,145153000,-55523000,-44568000,-8724000,-26465000,-19425000,177348000,-498000,13657000,-59553000,-32329000,-40998000,-45525000,-13124000,-5724000,-10211000
83,Cash Provided by Operating Activities,13641563,107048852,197374000,314168000,412890000,198374000,565359000,120452000,127319000,56450000,77852000,26257000,14782000,450532000,438202000,211295000,841000,271991000,969785000,-25305000
84,CAPEX,-480602747,-295958591,-363782000,-1383118000,-315556000,-150785000,-460133000,-384949000,-146514000,-16607000,-148845000,-10355000,-1177146000,-360143000,-342698000,-177901000,-238065000,-8053000,-225410000,-413319000
85,Acquisitions Net,- -,- -,- -,5013000,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1500000,-3018000,- -,267248000,-4000000,2000000,- -
86,Purchases of Investments,- -,- -,-127000,-2036000,- -,- -,-56773000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,4392000,- -,17275000,12025000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,620166427,445826984,58268000,15262000,86227000,118477000,223026000,182000,112104000,52192000,47803000,52944000,153120000,152512000,245083000,137648000,160858000,55789000,106083000,59958000
89,Cash Used for Investing Activites,139563680,149868393,-305641000,-1364879000,-224937000,-32308000,-276605000,-372742000,-34410000,35585000,-101042000,42589000,-1023007000,-205873000,-100615000,-40242000,190042000,43750000,-117106000,-353246000
90,Debt Repayment,- -,- -,-114898000,-522012000,-216846000,-223659000,-178230000,-246118000,-200254000,-167817000,-776064000,-156682000,-799891000,-1367871000,-774015000,-710993000,-1115894000,-1348612000,-1414916000,-1107053000
91,Common Stock Issued,- -,- -,- -,357700000,- -,- -,- -,- -,- -,- -,- -,- -,475000000,237326000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-48757000,-1157000,- -,- -,- -,- -,- -,- -,-6157000,- -,-1661000,-30965000,-118488000,- -
93,Dividends Paid,-15740265,-44078939,-81685000,-92823000,-105179000,-119021000,-139427000,-113222000,-6570000,-63000,-47000,-4000,-2000,-138003000,-216838000,-44133000,-22643000,-26015000,-352041000,-24212000
94,Other Financing Activites,-224561109,-118383436,305185000,1302639000,141240000,72157000,332025000,593092000,94675000,95500000,759524000,63310000,1513914000,903233000,735850000,520150000,980033000,1214405000,885744000,1505158000
95,Cash Used/Provided by Financing Activities,-240301374,-162462375,108602000,1045504000,-180785000,-270523000,-34389000,232595000,-112149000,-72380000,-16587000,-93376000,1189021000,-365315000,-261160000,-234976000,-160165000,-191187000,-999701000,373893000
96,Effect of Forex Changes on Cash,- -,- -,5947000,-5166000,4683000,-7161000,277000,-1089000,654000,-1134000,203000,-560000,-1019000,-1767000,-1401000,882000,-1233000,-733000,11546000,-4292000
97,Net Change In Cash,-240301374,-162462375,6282000,-10373000,11851000,-111618000,254642000,-20784000,-18586000,18521000,-39574000,-25090000,179777000,-122423000,75026000,-63041000,29485000,123821000,-135476000,-8950000
98,Cash at the End of Period,- -,- -,61761000,51388000,63239000,-48379000,206263000,185479000,166893000,185414000,145840000,120750000,254086000,131663000,206689000,143648000,173133000,296954000,161478000,152528000
99,Cash at the Beginning of Period,- -,- -,55479000,61761000,51388000,63239000,-48379000,206263000,185479000,166893000,185414000,145840000,74309000,254086000,131663000,206689000,143648000,173133000,296954000,161478000
100,Free Cash Flow,-466961185,-188909739,-166408000,-1068950000,97334000,47589000,105226000,-264497000,-19195000,39843000,-70993000,15902000,-1162364000,90389000,95504000,33394000,-237224000,263938000,744375000,-438624000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604481/000091957416012266/d7100196_20-f.htm,https://www.sec.gov/Archives/edgar/data/1604481/000091957417003437/d7461142_20-f.htm,https://www.sec.gov/Archives/edgar/data/1604481/000160448118000007/a20f2017.htm,https://www.sec.gov/Archives/edgar/data/1604481/000160448119000006/a20f2018.htm,https://www.sec.gov/Archives/edgar/data/1604481/000160448120000004/a20f2019.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,
