,https://roic.ai/company/WLDN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,226000,251000,- -,266000,3066000,20633000,15511000,- -,8144000,6642000,3001000,10006000,3131000,- -,20371000,22668000,14424000,15259000,5452000,- -,11221000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,226000,251000,- -,266000,3066000,20633000,16811000,- -,8144000,6642000,3001000,10006000,3131000,- -,20371000,22668000,14424000,15259000,5452000,- -,11221000
34,Net Receivables,- -,- -,- -,16908000,22324000,26735000,22583000,- -,13866000,14660000,37629000,25439000,23014000,- -,25567000,49972000,65006000,115090000,163767000,- -,132766000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,865000,1323000,1858000,2067000,- -,10065000,13057000,1724000,1782000,7380000,- -,2244000,2601000,3760000,5745000,6254000,- -,4972000
37,Total Current Assets,- -,- -,- -,18039000,26713000,49226000,41461000,- -,32075000,34359000,42354000,37227000,33525000,- -,48182000,75241000,83190000,136094000,175473000,- -,148959000
38,PP&E,- -,- -,- -,2027000,2802000,4372000,3354000,- -,2377000,1496000,1217000,979000,691000,- -,1384000,4511000,5306000,7998000,34348000,- -,31934000
39,Goodwill,- -,- -,- -,2763000,2763000,2911000,2911000,- -,11145000,12475000,15208000,- -,- -,- -,- -,21947000,38184000,97748000,127647000,- -,130124000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,1367000,95000,49000,12000,- -,- -,- -,5941000,10666000,44364000,76837000,- -,52713000
41,Intangible Assets,- -,- -,- -,2763000,2763000,2911000,2911000,- -,12512000,12570000,15257000,12000,- -,- -,- -,27888000,48850000,142112000,204484000,- -,182837000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,233000,622000,5100000,3452000,3688000,- -,4558000,- -,- -,12321000,9312000,- -,16849000
44,Other Non-Current Assets,- -,- -,- -,394000,519000,599000,500000,- -,373000,407000,383000,307000,333000,- -,535000,707000,826000,3311000,16296000,- -,13843000
45,Total Non-Current Assets,- -,- -,- -,5184000,6084000,7882000,6765000,- -,15495000,15095000,21957000,4750000,4712000,- -,6477000,33106000,54982000,165742000,264440000,- -,245463000
46,Other Assets,18463000,19229000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18463000,19229000,- -,23223000,32797000,57108000,48226000,- -,47570000,49454000,64311000,41977000,38237000,- -,54659000,108347000,138172000,301836000,439913000,- -,394422000
48,Accounts Payable,- -,- -,- -,2094000,2400000,2492000,2077000,- -,2111000,5380000,14265000,8783000,3957000,- -,3237000,17395000,20826000,36829000,34000000,- -,36672000
49,Short-Term Debt,- -,- -,- -,2930000,1754000,1238000,1264000,- -,1372000,2486000,3548000,8387000,646000,- -,679000,4306000,672000,8892000,19645000,- -,21150000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343000,- -,637000,1337000,1812000,2137000,3463000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247000,- -,2479000,- -,3942000,8516000,7413000,5355000,5563000,- -,13499000
52,Other Current Liabilities,- -,- -,- -,5820000,13138000,19206000,7949000,- -,8772000,8433000,11211000,6958000,10737000,- -,15918000,20835000,27447000,40234000,72770000,- -,45886000
53,Total Current Liabilities,- -,- -,- -,10844000,17292000,22936000,11290000,- -,12255000,16299000,29271000,24128000,17819000,- -,23776000,51052000,56358000,91310000,131978000,- -,117207000
54,Long-Term Debt,- -,- -,- -,902000,845000,394000,283000,- -,174000,227000,213000,124000,85000,- -,306000,2284000,2660000,63363000,135233000,- -,97084000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,398000,395000,- -,- -,- -,- -,- -,- -,- -,- -,1842000,2463000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,547000,606000,- -,805000,766000,534000,374000,120000,- -,164000,3251000,6039000,2874000,5424000,- -,910000
58,Total Non-Current Liabilities,- -,- -,- -,902000,845000,1339000,1284000,- -,979000,993000,747000,498000,205000,- -,470000,7377000,11162000,66237000,140657000,- -,97994000
59,Other Liabilities,13517000,19229000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,285000,592000,348000,283000,- -,325000,269000,299000,276000,214000,- -,630000,544000,449000,544000,24527000,- -,17660000
61,Total Liabilities,13517000,19229000,- -,11746000,18137000,24275000,12574000,- -,13234000,17292000,30018000,24626000,18024000,- -,24246000,58429000,67520000,157547000,272635000,- -,215201000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,5209000,11141000,71000,71000,- -,72000,72000,73000,73000,74000,- -,76000,83000,88000,110000,115000,- -,128000
64,Retained Earnings,- -,- -,- -,6284000,3557000,210000,2785000,- -,1180000,-1675000,155000,-17145000,-14515000,- -,-5099000,7459000,19588000,30171000,35012000,- -,12099000
65,Other Comprehensive Income/Loss,- -,- -,- -,-16000,-38000,-6675000,-8200000,- -,-9200000,- -,-10606000,-10600000,-10800000,- -,-9658000,-9144000,-10376000,-11785000,-396000,- -,-38000
66,Other Total Stockholders Equity,4946000,- -,- -,- -,- -,39227000,40996000,- -,42284000,33765000,44671000,45023000,45454000,- -,45094000,51520000,61352000,125793000,132547000,- -,167032000
67,Total Stockholders Equity,4946000,- -,- -,11477000,14660000,32833000,35652000,- -,34336000,32162000,34293000,17351000,20213000,- -,30413000,49918000,70652000,144289000,167278000,- -,179221000
68,Total Liabilities And Stockholders Equity,18463000,19229000,- -,23223000,32797000,57108000,48226000,- -,47570000,49454000,64311000,41977000,38237000,- -,54659000,108347000,138172000,301836000,439913000,- -,394422000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18463000,19229000,- -,23223000,32797000,57108000,48226000,- -,47570000,49454000,64311000,41977000,38237000,- -,54659000,108347000,138172000,301836000,439913000,- -,394422000
71,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370450/000104746908003535/0001047469-08-003535-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1370450/000104746909003692/0001047469-09-003692-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1370450/000104746913003407/0001047469-13-003407-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000104746914002940/0001047469-14-002940-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1370450/000104746915003021/0001047469-15-003021-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837017001619/0001558370-17-001619-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837018001811/0001558370-18-001811-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837019001690/0001558370-19-001690-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837020002100/0001558370-20-002100-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1370450/000155837022003337/0001558370-22-003337-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1506000,- -,3772000,-1381000,6289000,2144000,- -,-1605000,2720000,1830000,-17300000,2630000,- -,9416000,8299000,12129000,10030000,4841000,- -,-8417000
74,Depreciation and Amortization,- -,844000,- -,1056000,1274000,1584000,1755000,- -,1978000,1053000,944000,737000,585000,- -,460000,3220000,4082000,6211000,15472000,- -,17146000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,389000,1465000,-2249000,- -,- -,-1427000,1225000,621000,-2890000,-209000,- -,-2738000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,214000,235000,201000,227000,150000,- -,258000,1239000,2774000,6262000,12112000,- -,16563000
77,Change in Working Capital,- -,- -,- -,-1224000,1590000,-2106000,-4611000,- -,1467000,-4235000,-4434000,7931000,-2277000,- -,3384000,7376000,-9531000,-11077000,-21336000,- -,-15161000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,3266000,-4407000,-2507000,625000,2216000,- -,-532000,1288000,-7412000,3177000,11627000,- -,-14209000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-186000,3923000,2802000,-1199000,-3026000,- -,-720000,206000,3186000,-1583000,-6294000,- -,-4700000
81,Other Working Capital,- -,- -,- -,-185000,161000,170000,865000,- -,- -,-278000,-210000,-110000,-1456000,- -,1651000,2136000,-1693000,-2336000,315000,- -,6065000
82,Other Non-Cash Items,- -,-2350000,- -,275000,3082000,506000,449000,- -,1492000,-65000,-689000,15925000,125000,- -,530000,241000,994000,-968000,741000,- -,2411000
83,Cash Provided by Operating Activities,- -,- -,- -,3879000,4565000,6273000,-263000,- -,3546000,97000,-683000,5271000,1213000,- -,12621000,21600000,11069000,7568000,11621000,- -,9804000
84,CAPEX,- -,- -,- -,-981000,-1885000,-2822000,-654000,- -,-552000,-685000,-395000,-359000,-306000,- -,-492000,-1662000,-2178000,-2105000,-6637000,- -,-8500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-10236000,-2104000,-2733000,- -,- -,- -,- -,-8857000,-14603000,-124344000,-71756000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-22800000,- -,-7100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,21500000,- -,8400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,36000,13000,-95000,35000,- -,-26000,40000,6000,20000,27000,- -,5000,15000,- -,59000,45000,- -,46000
89,Cash Used for Investing Activites,- -,- -,- -,-945000,-1872000,-2917000,-1919000,- -,-9514000,-2749000,-3122000,-339000,-279000,- -,-487000,-10504000,-16781000,-126390000,-78348000,- -,-8454000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1474000,-14313000,-34920000,-10335000,-3683000,- -,-423000,-4900000,-4554000,-3344000,-80481000,- -,-15454000
91,Common Stock Issued,- -,- -,- -,612000,3556000,22664000,25000,- -,75000,87000,93000,120000,73000,- -,76000,209000,830000,55266000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-442000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-1085000,-1720000,-5484000,-3150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-2693000,-1729000,-2969000,185000,- -,- -,15075000,34991000,12288000,804000,- -,450000,-224000,1192000,68177000,137401000,- -,-3080000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-3166000,107000,14211000,-2940000,- -,-1399000,849000,164000,2073000,-2806000,- -,103000,-4915000,-2532000,119657000,56920000,- -,-18534000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-232000,2800000,17567000,-5122000,- -,-7367000,-1803000,-3641000,7005000,-1872000,- -,12237000,6181000,-8244000,835000,-9807000,- -,-17184000
98,Cash at the End of Period,- -,- -,- -,266000,3066000,20633000,15511000,- -,8144000,6642000,3001000,10006000,8134000,- -,20371000,22668000,14424000,15259000,5452000,- -,11221000
99,Cash at the Beginning of Period,- -,- -,- -,498000,266000,3066000,20633000,- -,15511000,8445000,6642000,3001000,10006000,- -,8134000,16487000,22668000,14424000,15259000,- -,28405000
100,Free Cash Flow,- -,- -,- -,2898000,2680000,3451000,-917000,- -,2994000,-588000,-1078000,4912000,907000,- -,12129000,19938000,8891000,5463000,4984000,- -,1304000
101,SEC Link,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370450/000104746908003535/0001047469-08-003535-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1370450/000104746909003692/0001047469-09-003692-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1370450/000104746913003407/0001047469-13-003407-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000104746914002940/0001047469-14-002940-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1370450/000104746915003021/0001047469-15-003021-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837017001619/0001558370-17-001619-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837018001811/0001558370-18-001811-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837019001690/0001558370-19-001690-index.htm,https://www.sec.gov/Archives/edgar/data/1370450/000155837020002100/0001558370-20-002100-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1370450/000155837022003337/0001558370-22-003337-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
