,https://roic.ai/company/CYDY,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,-495,-764885,-313321,-928616,-371157,-219103,346399,-5021917,-4006969,-2388138,3276880,-8687443,7913661,-23067,-13412610,-21556928,-7673634,-22965000
82,Other Non-Cash Items,- -,841872,433961,1982071,-307042,-496215,-717166,6077603,-791691,743842,-1901390,24043651,-18422947,5396885,31994348,12058471,33134250,40166366
83,Cash Provided by Operating Activities,-360133,-694679,-602074,-935090,-473308,-1287005,-2146410,-1821417,-4391095,-3392933,-7386943,-12016858,-24810651,-26732468,-29897971,-50466164,-68803615,-117573000
84,CAPEX,-3335,-3167,-936,-3326,- -,-1951,-3663,-4705,- -,-3503135,-19220,-18585,-11949,-11114,- -,-45284,-41095,-122000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,- -,- -,- -,- -,- -,-19553,- -,- -
89,Cash Used for Investing Activites,-3335,-3167,-936,-3326,- -,-1951,-3663,-4705,- -,-3503135,-19220,-18585,-11949,-11114,- -,-45284,-41095,-122000
90,Debt Repayment,-50000,- -,- -,- -,-37661,-51513,-67500,-5000,-74492,-74492,-1000000,- -,-789140,- -,-259157,- -,-2185000,-950000
91,Common Stock Issued,540000,- -,245767,- -,321000,1511654,1148200,1365987,3386024,- -,13642667,- -,37569964,19133755,25224212,38268839,12665799,1000000
92,Common Stock Repurchased,-54000,- -,- -,- -,- -,- -,-436000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-1500,- -,- -,- -,- -,- -,- -,- -,- -,-243000
94,Other Financing Activites,111194,511812,481633,829700,258800,8900,1940350,-232544,328236,7289250,-954063,8199381,-3366508,-256366,4388778,14477673,69189232,137539000
95,Cash Used/Provided by Financing Activities,547194,511812,727400,829700,542139,1469041,2585050,1128443,3638268,7214758,11688604,8199381,33414316,18877389,29353833,52746512,79670031,137346000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,183726,-186034,124390,-108716,68831,180085,434977,-697679,-752827,318690,4282441,-3836062,8591716,-7866193,-544138,2235064,10825321,19651000
98,Cash at the End of Period,186964,930,125320,16604,85435,265520,700497,2818,284991,603681,4886122,1050060,9641776,1775583,1231445,3466509,14291830,33943000
99,Cash at the Beginning of Period,3238,186964,930,125320,16604,85435,265520,700497,1037818,284991,603681,4886122,1050060,9641776,1775583,1231445,3466509,14292000
100,Free Cash Flow,-363468,-697846,-603010,-938416,-473308,-1288956,-2150073,-1826122,-4391095,-6896068,-7406163,-12035443,-24822600,-26743582,-29897971,-50511448,-68844710,-117695000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1175680/000126967810000122/0001269678-10-000122-index.html,- -,https://www.sec.gov/Archives/edgar/data/1175680/000119312512363776/0001193125-12-363776-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312513351909/0001193125-13-351909-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312514265518/0001193125-14-265518-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312515250418/0001193125-15-250418-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312516651305/0001193125-16-651305-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312517231500/0001193125-17-231500-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312518229738/0001193125-18-229738-index.html,https://www.sec.gov/Archives/edgar/data/1175680/000119312519221300/0001193125-19-221300-index.htm,https://www.sec.gov/Archives/edgar/data/1175680/000119312520220598/0001193125-20-220598-index.htm,https://www.sec.gov/Archives/edgar/data/1175680/000155837021009730/0001558370-21-009730-index.htm
102,false,,,,,,,,,,,,,,,,,,
