,https://roic.ai/company/CNNE,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,235000000,218800000,176400000,355500000,348100000,272600000
39,Goodwill,- -,103100000,202700000,164800000,66100000,53400000,53400000
40,Intangible Assets,- -,111800000,214500000,175800000,63100000,51800000,26900000
41,Intangible Assets,- -,214900000,417200000,340600000,129200000,105200000,80300000
42,Investments,- -,401000000,424900000,397200000,836500000,1453000000,3415100000
43,Tax Assets,- -,33100000,10600000,16900000,54500000,- -,- -
44,Other Non-Current Assets,- -,316700000,65500000,76700000,85600000,1862900000,- -
45,Total Non-Current Assets,- -,1200700000,1137000000,1007800000,1461300000,3769200000,3768000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1473300000,1487200000,1459500000,2092200000,4613400000,3889600000
48,Accounts Payable,- -,24700000,20300000,23400000,19600000,25700000,22700000
49,Short-Term Debt,- -,11400000,122200000,5900000,48500000,37500000,26100000
50,Tax Payable,- -,- -,800000,24200000,49300000,57300000,32600000
51,Deferred Revenue,- -,24700000,26100000,31500000,26400000,23900000,23100000
52,Other Current Liabilities,- -,98700000,81200000,99200000,104200000,114900000,107600000
53,Total Current Liabilities,- -,159500000,249800000,160000000,198700000,202000000,179500000
54,Long-Term Debt,- -,93300000,12700000,42200000,120100000,52200000,209700000
55,Deferred Revenue,- -,- -,9100000,200000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,325300000,143800000
57,Other Non-Current Liabilities,- -,210700000,62500000,57400000,243600000,248700000,15500000
58,Total Non-Current Liabilities,- -,304000000,84300000,99800000,363700000,626200000,369000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,30000000,25600000,20900000,268700000,251200000,219400000
61,Total Liabilities,- -,463500000,334100000,259800000,562400000,828200000,548500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,200000,45800000,143600000,1929800000,1642800000
65,Other Comprehensive Income/Loss,- -,-68100000,-71000000,-67200000,-45900000,-4900000,-7200000
66,Other Total Stockholders Equity,- -,1077800000,1223900000,1220900000,1432200000,2040200000,- -
67,Total Stockholders Equity,- -,893500000,1059400000,1124600000,1488500000,3779600000,3335300000
68,Total Liabilities And Stockholders Equity,- -,1357000000,1393500000,1384400000,2050900000,4607800000,3883800000
69,Minority Interest,- -,116300000,93700000,75100000,41300000,5600000,5800000
70,Total Liabilities & Equity,- -,1473300000,1487200000,1459500000,2092200000,4613400000,3889600000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1704720/000170472018000022/0001704720-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472019000012/0001704720-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472020000017/0001704720-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472021000024/0001704720-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472022000020/0001704720-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-22900000,-12400000,108800000,27600000,77300000,1786200000,-287000000
74,Depreciation and Amortization,65500000,62900000,58100000,61300000,93300000,55800000,49000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1400000,1200000,500000,21800000,4600000,4200000,2400000
77,Change in Working Capital,-81200000,113100000,-12700000,191300000,140500000,210000000,-201400000
78,Accounts Receivable,-1600000,-4200000,-1200000,-7300000,18200000,-1600000,- -
79,Inventory,11200000,11800000,-12200000,9500000,-36200000,- -,- -
80,Accounts Payable,-23500000,-7600000,15000000,900000,8400000,26000000,-1200000
81,Other Working Capital,- -,113100000,100400000,291700000,432200000,642200000,-204000000
82,Other Non-Cash Items,48300000,-104500000,-245400000,-324900000,-399900000,-2170100000,260900000
83,Cash Provided by Operating Activities,11100000,60300000,-90700000,-22900000,-84200000,-113900000,-176100000
84,CAPEX,-60500000,-55200000,-40100000,-15900000,-28300000,-22300000,-13700000
85,Acquisitions Net,52900000,-144500000,102000000,61500000,-504900000,-804200000,-554000000
86,Purchases of Investments,-34400000,-46200000,-5600000,-42300000,-30000000,-700000,- -
87,Sales/Maturities of Investments,- -,36000000,32900000,178000000,513600000,731400000,- -
88,Other Investing Activites,315100000,41700000,2500000,5400000,25400000,21300000,295300000
89,Cash Used for Investing Activites,273100000,-168200000,91700000,186700000,-24200000,-74200000,-272400000
90,Debt Repayment,- -,- -,- -,- -,- -,-108000000,- -
91,Common Stock Issued,- -,- -,- -,- -,236000000,455000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-4900000,-15200000,-160400000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-212500000,-20800000,98200000,-86400000,88000000,47300000,-30000000
95,Cash Used/Provided by Financing Activities,-212500000,-20800000,98200000,-86400000,319100000,379100000,-190400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,71700000,-128700000,99200000,77400000,210700000,191000000,-638900000
98,Cash at the End of Period,275100000,146400000,245600000,323000000,533700000,724700000,85800000
99,Cash at the Beginning of Period,203400000,275100000,146400000,245600000,323000000,533700000,724700000
100,Free Cash Flow,-49400000,5100000,-130800000,-38800000,-112500000,-136200000,-189800000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1704720/000170472018000022/0001704720-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472019000012/0001704720-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472020000017/0001704720-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472021000024/0001704720-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1704720/000170472022000020/0001704720-22-000020-index.htm
102,false,,,,,,,
