,https://roic.ai/company/LOVE,2016,2017,2018,2019,2020,2021,2022
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701758/000121390019007792/0001213900-19-007792-index.html,https://www.sec.gov/Archives/edgar/data/1701758/000121390020010439/0001213900-20-010439-index.html,https://www.sec.gov/Archives/edgar/data/1701758/000121390021021548/0001213900-21-021548-index.htm,https://www.sec.gov/Archives/edgar/data/1701758/000162828022007882/0001628280-22-007882-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,208836,878696,9175951,49070950,48538830,78341101,92392000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,208836,878696,9175951,49070950,48538830,78341101,92392000
34,Net Receivables,1188927,1008515,2805186,3955120,7188930,5977666,8547000
35,Inventory,8387974,9433019,11641482,26154310,36399860,50416712,108493000
36,Other Current Assets,2587227,1898226,6062946,5933880,8050120,8664147,15726000
37,Total Current Assets,12372964,13218456,29685565,85114260,100177740,143399626,225158000
38,PP&E,4741790,6593531,11037289,18595080,23844260,25867980,135028000
39,Goodwill,143562,143562,143562,143560,143560,143562,144000
40,Intangible Assets,548263,571817,526370,942330,1352160,1517032,1413000
41,Intangible Assets,691825,715379,669932,1085890,1495720,1660594,1557000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,9836000
44,Other Non-Current Assets,12844,192654,48149,219080,146050,90671,- -
45,Total Non-Current Assets,5446459,7501564,11755370,19900050,25486030,27619245,146421000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17819423,20720020,41440935,105014310,125663770,171018871,371579000
48,Accounts Payable,7733129,7102029,12695954,16836820,19887610,24310972,33247000
49,Short-Term Debt,- -,194530,405,- -,- -,- -,16382000
50,Tax Payable,675914,489009,894882,750922,1404792,2470593,5359000
51,Deferred Revenue,1010999,695398,909236,- -,- -,5992633,13316000
52,Other Current Liabilities,2778601,1875790,3133415,7781800,12513390,26019964,55834000
53,Total Current Liabilities,11522729,9867747,16739010,24618620,32401000,56323569,118779000
54,Long-Term Debt,3177238,3098777,- -,31370,- -,- -,96574000
55,Deferred Revenue,- -,- -,- -,1594179,3108245,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,487105,703643,1063472,1,-5,6748747,- -
58,Total Non-Current Liabilities,3664343,3802420,1063472,1625550,3108240,6748747,96574000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,15187072,13670167,17802482,26244170,35509240,63072316,215353000
62,Preferred Stock,- -,3,26,- -,- -,- -,- -
63,Common Stock,127,150,152,140,150,150,- -
64,Retained Earnings,-43877207,-50751655,-56253453,-62957810,-78162830,-63435681,-17536000
65,Other Comprehensive Income/Loss,-6649962,-8123506,-9320280,-11222030,-15846660,-21629949,- -
66,Other Total Stockholders Equity,53159393,65924861,89212008,152949834,184163867,193012035,17536000
67,Total Stockholders Equity,2632351,7049853,23638453,78770134,90154527,107946555,156226000
68,Total Liabilities And Stockholders Equity,17819423,20720020,41440935,105014304,125663767,171018871,371579000
69,Minority Interest,- -,- -,- -,6,3,- -,- -
70,Total Liabilities & Equity,17819423,20720020,41440935,105014310,125663770,171018871,371579000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701758/000121390019007792/0001213900-19-007792-index.html,https://www.sec.gov/Archives/edgar/data/1701758/000121390020010439/0001213900-20-010439-index.html,https://www.sec.gov/Archives/edgar/data/1701758/000121390021021548/0001213900-21-021548-index.htm,https://www.sec.gov/Archives/edgar/data/1701758/000162828022007882/0001628280-22-007882-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-8994223,-6874448,-5501798,-6704360,-15205020,14727147,45900000
74,Depreciation and Amortization,2382969,2110112,2214499,3133751,5158062,6612872,7859000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-9836000
76,Stock Based Compensation,36855,25736,950554,3310018,5245588,4681397,5859000
77,Change in Working Capital,-3640477,2500474,9595846,47549085,7281100,19299317,19302943
78,Accounts Receivable,-394956,180412,-1796671,-1149938,-3233801,2675465,-4034000
79,Inventory,-1943079,-1045045,-2208463,-14512832,-10245548,-14016850,-56819000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,39195000
81,Other Working Capital,850235,3350709,12946555,60495640,67776740,87076057,106379000
82,Other Non-Cash Items,1342510,-4238798,-9999438,-54296163,-13674097,-4800220,-35066943
83,Cash Provided by Operating Activities,-8872366,-6476924,-2740337,-7007669,-11194367,40520513,34018000
84,CAPEX,-1154638,-3985407,-6809350,-11362222,-10950209,-9051723,-15887000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-189464,-304765,-172861,-614510,-373672,-678068,-601000
89,Cash Used for Investing Activites,-1154638,-3985407,-6809350,-11362222,-10650209,-9051723,-16488000
90,Debt Repayment,-3913682,-383931,-3292902,- -,- -,- -,-3583000
91,Common Stock Issued,15786053,11266214,- -,58908552,25610000,- -,- -
92,Common Stock Repurchased,-2000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,249907,21139845,-643660,-4297549,-1666516,104000
95,Cash Used/Provided by Financing Activities,9872371,11132190,17846943,58264892,21312451,-1666516,-3479000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-154633,669860,8297255,39895001,-532125,29802274,- -
98,Cash at the End of Period,208836,878696,9175951,49070952,48538827,78341101,- -
99,Cash at the Beginning of Period,363469,208836,878696,9175951,49070952,48538827,78341101
100,Free Cash Flow,-10027004,-10462331,-9549687,-18369891,-22144576,31468790,18131000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701758/000121390019007792/0001213900-19-007792-index.html,https://www.sec.gov/Archives/edgar/data/1701758/000121390020010439/0001213900-20-010439-index.html,https://www.sec.gov/Archives/edgar/data/1701758/000121390021021548/0001213900-21-021548-index.htm,https://www.sec.gov/Archives/edgar/data/1701758/000162828022007882/0001628280-22-007882-index.htm
102,false,,,,,,,
