,https://roic.ai/company/S&SPOWER.NS,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,6200000,6200000,6200000,6200000,6200000,6200000,6200000,6200000
28,Weighted Average Shares Outstanding Diluted,6200000,6200000,6200000,6200000,6200000,6200000,6200000,6200000
29,SEC Link,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,27644000,32981000,49230000,52892427,37083000,9327000,8047000,25706000
32,Short-Term Investments,240000,268000,274000,289719,290000,- -,- -,- -
33,Cash and Short-Term Investments,27884000,33249000,49504000,53182146,37373000,9327000,8047000,25706000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,145183000,148607000,146949000,127578756,129491000,117936000,193423000,202295000
36,Other Current Assets,292789000,271344000,316936000,389197149,403748000,399432000,353544000,435649000
37,Total Current Assets,465856000,453200000,513389000,569958051,570612000,526695000,555014000,663650000
38,PP&E,133631000,123161000,120533000,68161187,123461000,121065000,134870000,131004000
39,Goodwill,762678000,633627000,655158000,567631193,320884000,314897000,266284000,292355000
40,Intangible Assets,- -,- -,16000,2412889,4145000,5447000,4703000,4975000
41,Intangible Assets,762678000,633627000,655158000,570044082,325029000,320344000,270987000,297330000
42,Investments,- -,- -,28414000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,2047000,- -,- -,2732000,4873000,66134000
44,Other Non-Current Assets,6835000,6860000,-11675000,9476326,9765000,7956000,11547000,16813000
45,Total Non-Current Assets,903144000,763648000,794477000,647681595,458255000,452097000,422277000,511281000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1369000000,1216848000,1307866000,1217639646,1028867000,978792000,977291000,1174931000
48,Accounts Payable,351471000,337489000,240622000,342453847,252952000,267063000,321985000,382291000
49,Short-Term Debt,183636000,166627000,164879000,231712901,301420000,301801000,231390000,234142000
50,Tax Payable,- -,- -,23332000,11372257,24493000,6256000,4272000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,32635000,41661000,316076000,53037390,41449000,25513000,183148000,250486000
53,Total Current Liabilities,567742000,545777000,721577000,627204138,595821000,594377000,736523000,866919000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,10130000,1405000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3715000,3454000,4613000,4861888,2124000,- -,- -,9238000
57,Other Non-Current Liabilities,197723000,191792000,30172000,206424025,230583000,247960000,222140000,307833000
58,Total Non-Current Liabilities,201438000,195246000,34785000,211285913,232707000,247960000,232270000,318476000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,19120000,13222000
61,Total Liabilities,769180000,741023000,756362000,838490051,828528000,842337000,968793000,1185395000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,62000000,62000000,62000000,62000000,62000000,62000000,62000000,62000000
64,Retained Earnings,- -,- -,-175718000,- -,-182070000,-218396000,-342117000,-364855000
65,Other Comprehensive Income/Loss,- -,- -,- -,-103107810,-14973000,-19035000,-36312000,- -
66,Other Total Stockholders Equity,442217000,316710000,542878000,342045170,300513000,300116000,316691000,285921000
67,Total Stockholders Equity,504217000,378710000,429160000,300937360,165470000,124685000,262000,-16934000
68,Total Liabilities And Stockholders Equity,1273397000,1119733000,1185522000,1139427411,993998000,967022000,969055000,1168461000
69,Minority Interest,95603000,97115000,122344000,78212235,34869000,11770000,8236000,6470000
70,Total Liabilities & Equity,1369000000,1216848000,1307866000,1217639646,1028867000,978792000,977291000,1174931000
71,SEC Link,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,- -,58371000,-31295277,30066000,-20630000,-142992000,-15875000
74,Depreciation and Amortization,- -,- -,11902713,9479647,6352000,8925000,18846000,19034000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-61558406,112793360,-46813000,25598000,205346000,38788000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,1657537,19370470,7053000,11555000,-75487000,-10464000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,38348056,-115306669,17172000,-15725000,72842000,36524000
83,Cash Provided by Operating Activities,- -,- -,47063363,-24328939,6777000,-1832000,154042000,78471000
84,CAPEX,- -,- -,-9273902,-19881800,-7055000,-4075000,-33314000,-5611000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-2598000,-2915000,-5917000,-5123000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,290000,- -,- -
88,Other Investing Activites,- -,- -,232422,370950,-26258000,2715000,1438000,-1297000
89,Cash Used for Investing Activites,- -,- -,-9041480,-19510850,-35911000,-3985000,-37793000,-9837000
90,Debt Repayment,- -,- -,- -,- -,-27115000,- -,-80261000,-4578000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-22011529,38650979,49126000,-21940000,-37268000,-46347000
95,Cash Used/Provided by Financing Activities,- -,- -,-22011529,38650979,22011000,-21940000,-117529000,-50925000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,16976193,4628201,-7123000,-27756000,-1280000,17659000
98,Cash at the End of Period,- -,- -,49230065,52892427,37083000,9327000,8047000,25706000
99,Cash at the Beginning of Period,- -,- -,32253872,48264226,44206000,37083000,9327000,8047000
100,Free Cash Flow,- -,- -,37789461,-44210739,-278000,-5907000,120728000,72860000
101,SEC Link,undefined,undefined,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
102,Forex Rate,- -,0.016,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
