,https://roic.ai/company/ACRS,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,9588000,10757000,9851000,30171000,20202000,57019000,35937000,22063000,27349000
32,Short-Term Investments,3736000,5373000,75017000,107051000,173655000,110953000,39078000,32068000,- -
33,Cash and Short-Term Investments,13324000,16130000,84868000,137222000,193857000,167972000,75015000,54131000,27349000
34,Net Receivables,- -,- -,- -,- -,481000,4861000,704000,772000,- -
35,Inventory,- -,- -,- -,- -,- -,791000,- -,- -,- -
36,Other Current Assets,62000,204000,1656000,1334000,5883000,5875000,8084000,2590000,- -
37,Total Current Assets,13386000,16334000,86524000,138556000,200221000,179499000,83803000,57493000,- -
38,PP&E,19000,515000,360000,481000,2159000,4280000,2470000,1654000,- -
39,Goodwill,- -,- -,- -,- -,18504000,18504000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,7349000,72951000,7199000,7123000,- -
41,Intangible Assets,- -,- -,- -,- -,25853000,91455000,7199000,7123000,- -
42,Investments,802000,518000,7170000,36912000,14997000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10000,22000,136000,279000,332000,4825000,4514000,- -
45,Total Non-Current Assets,821000,1043000,7552000,37529000,43288000,96067000,14494000,13291000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,251211000
47,Total Assets,14207000,17377000,94076000,176085000,243509000,275566000,98297000,70784000,251211000
48,Accounts Payable,353000,1263000,810000,2845000,7822000,14755000,9917000,5254000,- -
49,Short-Term Debt,- -,- -,- -,- -,142000,601000,637000,603000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,14000,188000,745000,3378000,4798000,11986000,11878000,9017000,22931000
53,Total Current Liabilities,367000,1451000,1555000,6223000,12762000,27342000,22432000,14874000,22931000
54,Long-Term Debt,- -,- -,- -,- -,- -,29914000,- -,10653000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,549000,549000,549000,367000,- -
57,Other Non-Current Liabilities,23003000,36681000,- -,372000,4936000,2637000,5404000,7240000,30939000
58,Total Non-Current Liabilities,23003000,36681000,- -,372000,5485000,33100000,5953000,18260000,30939000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,142000,601000,637000,603000,- -
61,Total Liabilities,23370000,38132000,1555000,6595000,18247000,60442000,28385000,33134000,53870000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-9166000,-20749000,-42833000,-90912000,-159435000,-292173000,-453527000,-504542000,- -
65,Other Comprehensive Income/Loss,3000,-6000,-149000,-269000,-246000,-69000,-66000,-94000,-224000
66,Other Total Stockholders Equity,18000,21000,135396000,260528000,385177000,508968000,525505000,- -,- -
67,Total Stockholders Equity,-9163000,-20755000,92521000,169490000,225262000,215124000,69912000,37650000,197341000
68,Total Liabilities And Stockholders Equity,14207000,17377000,94076000,176085000,243509000,275566000,98297000,70784000,251211000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14207000,17377000,94076000,176085000,243509000,275566000,98297000,70784000,251211000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1557746/000155837016004311/0001558370-16-004311-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837017001802/0001558370-17-001802-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837018001866/0001558370-18-001866-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837019002211/0001558370-19-002211-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837020001325/0001558370-20-001325-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837021001717/0001558370-21-001717-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837022001838/0001558370-22-001838-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-5236000,-8517000,-20563000,-48079000,-68523000,-132738000,-161354000,-51015000,-90865000
74,Depreciation and Amortization,11000,12000,90000,120000,402000,1879000,6409000,1324000,923000
75,Deferred Income Tax,- -,- -,- -,- -,-1837000,- -,- -,-182000,- -
76,Stock Based Compensation,- -,27000,891000,6104000,14430000,20055000,16177000,11207000,14060000
77,Change in Working Capital,302000,1864000,70086000,47364000,55126000,-35302000,-90786000,-18752000,139482000
78,Accounts Receivable,- -,- -,- -,- -,- -,-4380000,-809000,4898000,149000
79,Inventory,- -,- -,- -,- -,- -,102000,605000,- -,- -
80,Accounts Payable,303000,819000,-359000,1810000,4564000,6964000,-3160000,-5219000,3655000
81,Other Working Capital,13019000,14883000,84969000,132333000,187459000,152157000,61371000,42619000,182101000
82,Other Non-Cash Items,3000,-1022000,-70873000,-40112000,-54261000,45295000,133109000,18785000,-115734000
83,Cash Provided by Operating Activities,-4920000,-7636000,-20369000,-34603000,-54663000,-100811000,-96445000,-38633000,-52134000
84,CAPEX,- -,-417000,-507000,-232000,-1235000,-1356000,-1613000,-453000,-308000
85,Acquisitions Net,- -,- -,- -,- -,-9647000,-67122000,34186000,- -,- -
86,Purchases of Investments,-4535000,-5035000,-82513000,-148764000,-197337000,-161598000,-137385000,-47714000,-235153000
87,Sales/Maturities of Investments,- -,3673000,6069000,87093000,152527000,239443000,210491000,54554000,67829000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4535000,-1779000,-76951000,-61903000,-55692000,9367000,105679000,6387000,-167632000
90,Debt Repayment,- -,- -,- -,- -,-78000,-648000,-30523000,-137000,-11483000
91,Common Stock Issued,- -,- -,56550000,116705000,100229000,100205000,- -,7737000,238200000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10584000,39864000,121000,235000,28704000,207000,10772000,-1665000
95,Cash Used/Provided by Financing Activities,- -,10584000,96414000,116826000,100386000,128261000,-30316000,18372000,225052000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-9455000,1169000,-906000,20320000,-9969000,36817000,-21082000,-13874000,5286000
98,Cash at the End of Period,9588000,10757000,9851000,30171000,20202000,57019000,35937000,22063000,27349000
99,Cash at the Beginning of Period,19043000,9588000,10757000,9851000,30171000,20202000,57019000,35937000,22063000
100,Free Cash Flow,-4920000,-8053000,-20876000,-34835000,-55898000,-102167000,-98058000,-39086000,-52442000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1557746/000155837016004311/0001558370-16-004311-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837017001802/0001558370-17-001802-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837018001866/0001558370-18-001866-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837019002211/0001558370-19-002211-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837020001325/0001558370-20-001325-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837021001717/0001558370-21-001717-index.htm,https://www.sec.gov/Archives/edgar/data/1557746/000155837022001838/0001558370-22-001838-index.htm
102,false,,,,,,,,,
